"display_names","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake",3893650.27919472,20767.7315869268,3851779.38090458,3882576.76848009,3896854.6769941,3905131.52009451,3925554.6164147
"Cml Pop Growth",2078337.80799061,241856.79473601,1608066.77228519,2026363.1211139,2164163.10206077,2212376.49800579,2328814.07411801
"Total Number Increase",5971988.08718533,258974.60480088,5482264.92719119,5910389.92633423,6067113.48403357,6113465.84757353,6254368.69053271
"Total Mortality",3803207.22400441,141238.392579151,3592891.23029187,3733395.06891454,3794734.05713408,3902995.54952807,3999071.27577919
"Liveweight (kg)",7725563091.07678,206682782.741136,7242493162.8482,7660337415.42342,7755694358.88914,7825031796.09979,7990125266.91955
"Meat (kg)",269741600.734787,27730277.8891307,202144368.21715,262234033.472766,277904982.544953,285971684.195162,301928777.467623
"Manure",304774703.581211,12241694.4697308,288306837.820175,297327231.062093,302294283.906475,310461405.439815,327892927.962837
"Hides",4534972.45916572,30638.0874950842,4497482.53316232,4508634.03167819,4532150.37556043,4548645.5521267,4591577.33043187
"Milk",0,0,0,0,0,0,0
"Wool",0,0,0,0,0,0,0
"Cml Dry Matter",201116107.23466,5732048.1020701,192721957.996086,196659475.341902,200262289.561797,204770955.70423,210488836.660255
"Value of Offtake",17630116282.7093,90264877.0904941,17451584094.5096,17571135355.2098,17660188353.8439,17676344250.1344,17771063183.5642
"Value of Herd Increase",5920562291.21803,616025342.509403,4756640277.01652,5763720299.6527,6136591277.22339,6246115040.00735,6636795329.06031
"Total Value Increase 1",23550678573.9274,690756733.620111,22309187024.7407,23394910420.5228,23804744747.7632,23884723339.1918,24407858512.6245
"Value of Manure",152387351.790606,6120847.23486539,144153418.910088,148663615.531046,151147141.953238,155230702.719907,163946463.981418
"Value of Hides",181398898.366629,1225523.49980337,179899301.326493,180345361.267128,181286015.022417,181945822.085068,183663093.217275
"Value of Milk",0,0,0,0,0,0,0
"Total Value Increase 2",23884464824.0846,694519832.69853,22636741713.3987,23737041475.5031,24136126308.6302,24222289727.8599,24747301514.1158
"Feed Cost",255693247.079268,11934713.1332352,228746171.398308,250996756.8317,256411627.14346,264430843.837632,269182084.690771
"Labour Cost",1778705853.26169,59433676.6686155,1701915354.40407,1742811548.8447,1773904648.91981,1783365376.3242,1916048534.3895
"Health Cost",10999588.8741865,197505.148356233,10715274.2218569,10819876.6926015,11055089.6685328,11182192.2057077,11209142.8816875
"Capital Cost",0,0,0,0,0,0,0
"Total Expenditure",2045398689.21515,53434071.0629147,1982125324.8387,2004153916.57534,2038177332.37485,2060910733.78934,2155509980.00967
"Gross Margin",21839066134.8695,712409545.141955,20481231733.389,21707706828.6959,22112993325.6947,22227079093.1777,22683492046.3673
