production_system,group,age_group,sex,ahle_component,cause,disease,median,mean,sd,lower95,upper95,pct_of_total,exchg_rate_lcuperusdol,mean_usd,median_usd,lower95_usd,upper95_usd,sd_usd
Crop livestock mixed,Juvenile,Juvenile,Overall,Mortality,External,Cause 2,252255076.255172,255499240.03568,84701683.950379,89483939.49293715,421514540.57842284,0.14247234058003608,29.06975,8789179.13073487,8677579.829725815,3078249.3655066574,14500108.895963084,2913739.6761368434
Crop livestock mixed,Juvenile,Juvenile,Overall,Mortality,External,Cause 3,252255076.255172,255499240.03568,84701683.950379,89483939.49293715,421514540.57842284,0.14247234058003608,29.06975,8789179.13073487,8677579.829725815,3078249.3655066574,14500108.895963084,2913739.6761368434
Crop livestock mixed,Juvenile,Juvenile,Overall,Mortality,External,Cause 4,252255076.255172,255499240.03568,84701683.950379,89483939.49293715,421514540.57842284,0.14247234058003608,29.06975,8789179.13073487,8677579.829725815,3078249.3655066574,14500108.895963084,2913739.6761368434
Crop livestock mixed,Juvenile,Juvenile,Overall,Mortality,External,Cause 5,252255076.255172,255499240.03568,84701683.950379,89483939.49293715,421514540.57842284,0.14247234058003608,29.06975,8789179.13073487,8677579.829725815,3078249.3655066574,14500108.895963084,2913739.6761368434
Crop livestock mixed,Neonate,Neonatal,Overall,Mortality,External,Cause 1,383917172.2172,389482816.850036,95354358.1024866,202588274.96916232,576377358.7309097,0.21718471070434883,29.06975,13398216.938571403,13206758.648326868,6969040.840363688,19827393.036779117,3280191.8868406713
Crop livestock mixed,Neonate,Neonatal,Overall,Mortality,External,Cause 2,383917172.2172,389482816.850036,95354358.1024866,202588274.96916232,576377358.7309097,0.21718471070434883,29.06975,13398216.938571403,13206758.648326868,6969040.840363688,19827393.036779117,3280191.8868406713
Crop livestock mixed,Neonate,Neonatal,Overall,Mortality,External,Cause 3,383917172.2172,389482816.850036,95354358.1024866,202588274.96916232,576377358.7309097,0.21718471070434883,29.06975,13398216.938571403,13206758.648326868,6969040.840363688,19827393.036779117,3280191.8868406713
Crop livestock mixed,Neonate,Neonatal,Overall,Mortality,External,Cause 4,383917172.2172,389482816.850036,95354358.1024866,202588274.96916232,576377358.7309097,0.21718471070434883,29.06975,13398216.938571403,13206758.648326868,6969040.840363688,19827393.036779117,3280191.8868406713
Crop livestock mixed,Neonate,Neonatal,Overall,Mortality,External,Cause 5,383917172.2172,389482816.850036,95354358.1024866,202588274.96916232,576377358.7309097,0.21718471070434883,29.06975,13398216.938571403,13206758.648326868,6969040.840363688,19827393.036779117,3280191.8868406713
Pastoral,Adult female,Adult,Female,Mortality,External,Cause 1,290193270.21695197,293541643.926184,98862657.5403452,99770835.1471074,487312452.70526063,0.1636856730455819,29.06975,10097838.609763896,9982654.48505584,3432118.7883317675,16763558.431196025,3400877.459914351
