item,mean_current,stdev_current,min_current,q1_current,median_current,q3_current,max_current,mean_ideal,stdev_ideal,min_ideal,q1_ideal,median_ideal,q3_ideal,max_ideal,envelope
Num Offtake,3887024.54863714,31299.4364395243,3819848.99739013,3866734.05182993,3884677.46808316,3903763.14990173,3964119.87256361,4615192.6670063,108520.376144621,4412816.84856015,4532051.61432464,4606357.09244265,4692872.07197522,4899358.38998121,728168.1183691598
Cml Pop Growth,1902376.06981813,267022.102167204,1321508.55760947,1676308.04871013,1878227.81887191,2111868.99700818,2570777.30916897,12225630.4096292,998089.658565825,10004941.0803135,11517955.0396698,12283111.8399305,12906243.4298852,14937431.8334698,10323254.33981107
Total Number Increase,5789400.61845527,281388.778196721,5199479.33449859,5567686.64021995,5757003.76262139,6033054.92191591,6492341.75524266,16840823.0766355,1034619.28687215,14451658.6697402,16131867.0765325,16882732.3559408,17492037.9660118,19492425.7317382,11051422.458180228
Total Mortality,3815878.43390309,182358.788522118,3420446.38847303,3695159.40427502,3817019.953997,3950191.59836996,4368000.790865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3815878.43390309
Liveweight (kg),643134725.020693,63468704.8824998,514281882.421804,600949233.680628,632411472.658056,692671566.111267,843718660.437703,916207420.069252,74695124.9883434,743663547.954295,860037750.42274,914580614.606709,983055285.90943,1053549419.36171,273072695.04855907
Meat (kg),271534627.40646,27847006.7698808,194336444.776366,253645948.202512,268992573.974705,286580495.476925,362419516.284731,385538826.750035,30223450.8130589,314917478.863126,362007459.457421,384943680.304925,405676615.430305,452010453.868652,114004199.343575
Manure,157735561.027599,9984194.83079894,134149912.67326,151315845.560444,157238124.35803,164218536.241743,183207719.938453,260947831.690943,20292010.4974802,216768895.71703,245272049.653626,259816676.894255,275785698.726702,300479895.324859,103212270.663344
Hides,4535481.34869541,62418.9896231267,4391343.17176702,4492362.65878361,4524450.52877904,4574844.88355942,4716497.96130699,4615192.6670063,108520.376144622,4412816.84856015,4532051.61432464,4606357.09244265,4692872.07197522,4899358.38998121,79711.31831088942
Milk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wool,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cml Dry Matter,197058414.417438,4792492.93764646,184058694.473897,193531989.569949,196737445.706612,200554975.344239,209011813.625379,244209240.914797,7396844.69798692,225605153.437386,238909218.115313,244751052.710036,248532135.925147,264864420.383526,47150826.49735901
Value of Offtake,17608141034.1437,136642578.184232,17317360239.2448,17511575148.414,17605200476.3024,17684608537.9713,17933153034.9303,22416397653.2266,490241576.191173,21514135779.9272,22011920210.7222,22369784776.7481,22775328243.2733,23731966442.3832,4808256619.082901
Value of Herd Increase,5519066678.38341,660774376.647534,4208741078.27939,5041789770.35433,5462147782.41105,6028734920.85699,6845169898.56624,33767613750.6979,2446292223.39986,27838353127.311,32308034930.7176,33737194678.5928,35474689507.3521,39129682815.4112,28248547072.314487
Total Value Increase 1,23127207712.5271,748433469.49046,21526101317.5242,22561918421.3479,23067752324.2749,23633253538.4058,24652418874.464,56184011403.9245,2741414988.51649,49461709493.5258,54414198396.9337,56222774496.4512,58145064782.302,61847940774.0862,33056803691.3974
Value of Manure,78867780.5137995,4992097.41539947,67074956.3366299,75657922.7802218,78619062.1790152,82109268.1208717,91603859.9692266,130473915.845471,10146005.2487401,108384447.858515,122636024.826813,129908338.447128,137892849.363351,150239947.662429,51606135.33167149
Value of Hides,181419253.947816,2496759.58492507,175653726.870681,179694506.351344,180978021.151162,182993795.342377,188659918.45228,184607706.680252,4340815.04578486,176512673.942406,181282064.572986,184254283.697706,187714882.879009,195974335.599249,3188452.7324359715
Total Value Increase 2,23387494746.9887,750184883.914103,21780443545.6934,22818262804.2739,23323890167.2389,23902528716.5469,24912900771.4771,56499093026.4502,2750935618.01154,49748240018.02,54716691451.1745,56538019582.3539,58469918322.8851,62193670470.2744,33111598279.461502
Feed Cost,4567395344.1507,473339239.364421,3276591159.03193,4295888827.73141,4496584906.53607,4794087150.48487,5976046061.58105,5638757781.49261,450650065.329578,4555585573.25779,5373622905.01746,5619533193.3663,6019555343.40347,6740955684.0441,1071362437.3419104
Labour Cost,10079617996.7919,558972180.09438,8934198093.02254,9632333495.12569,10109890912.2516,10459433065.9718,11445584167.5091,10650597188.7437,583457065.710468,9236030538.3589,10254589446.0308,10665862118.3884,11100179399.5473,11997963319.608,570979191.9517994
Health Cost,63469504.2417606,1381835.9758305,59874605.4636649,62597083.397399,63516460.0921655,64292263.5908935,67367181.5585648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-63469504.2417606
Capital Cost,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total Expenditure,14710482845.1844,792944952.693176,12898041082.8816,14210958738.8108,14652058918.0786,15153012240.7559,17133976712.9069,16289354970.2363,752623423.972852,14148365990.9732,15783678611.6851,16348275304.4468,16812873369.8655,18077906305.7746,1578872125.051899
Gross Margin,8677011901.80435,981039160.463687,6628141127.42646,7979491435.76046,8626439388.28441,9420799013.2003,10909976783.3419,40209738056.2139,2506415282.48529,33246771961.2387,38706596374.0781,40109940027.0644,41834053294.9824,45601929868.1804,31532726154.409546
