region,species,production_system,group,year,ahle_total_mean,ahle_dueto_mortality_mean,ahle_dueto_healthcost_mean,ahle_dueto_productionloss_mean,ahle_dueto_ppr_total_mean,ahle_dueto_ppr_mortality_mean,ahle_dueto_ppr_healthcost_mean,ahle_dueto_ppr_productionloss_mean,ahle_dueto_otherdisease_total_mean,ahle_dueto_otherdisease_mortality_mean,ahle_dueto_otherdisease_healthcost_mean,ahle_dueto_otherdisease_productionloss_mean,ahle_when_af_repro_imp25_mean,ahle_when_af_repro_imp50_mean,ahle_when_af_repro_imp75_mean,ahle_when_af_repro_imp100_mean,ahle_when_af_ideal_mean,ahle_when_am_ideal_mean,ahle_when_jf_ideal_mean,ahle_when_jm_ideal_mean,ahle_when_nf_ideal_mean,ahle_when_nm_ideal_mean,ahle_when_af_mort_imp25_mean,ahle_when_am_mort_imp25_mean,ahle_when_j_mort_imp25_mean,ahle_when_n_mort_imp25_mean,ahle_when_af_mort_imp50_mean,ahle_when_am_mort_imp50_mean,ahle_when_j_mort_imp50_mean,ahle_when_n_mort_imp50_mean,ahle_when_af_mort_imp75_mean,ahle_when_am_mort_imp75_mean,ahle_when_j_mort_imp75_mean,ahle_when_n_mort_imp75_mean,ahle_when_af_mort_imp100_mean,ahle_when_am_mort_imp100_mean,ahle_when_j_mort_imp100_mean,ahle_when_n_mort_imp100_mean,ahle_when_all_growth_imp25_mean,ahle_when_af_growth_imp25_mean,ahle_when_am_growth_imp25_mean,ahle_when_jf_growth_imp25_mean,ahle_when_jm_growth_imp25_mean,ahle_when_nf_growth_imp25_mean,ahle_when_nm_growth_imp25_mean,ahle_when_all_growth_imp50_mean,ahle_when_af_growth_imp50_mean,ahle_when_am_growth_imp50_mean,ahle_when_jf_growth_imp50_mean,ahle_when_jm_growth_imp50_mean,ahle_when_nf_growth_imp50_mean,ahle_when_nm_growth_imp50_mean,ahle_when_all_growth_imp75_mean,ahle_when_af_growth_imp75_mean,ahle_when_am_growth_imp75_mean,ahle_when_jf_growth_imp75_mean,ahle_when_jm_growth_imp75_mean,ahle_when_nf_growth_imp75_mean,ahle_when_nm_growth_imp75_mean,ahle_when_all_growth_imp100_mean,ahle_when_af_growth_imp100_mean,ahle_when_am_growth_imp100_mean,ahle_when_jf_growth_imp100_mean,ahle_when_jm_growth_imp100_mean,ahle_when_nf_growth_imp100_mean,ahle_when_nm_growth_imp100_mean,ahle_when_a_ideal_mean,ahle_when_j_ideal_mean,ahle_when_n_ideal_mean,ahle_when_a_mort_imp100_mean,ahle_total_stdev,ahle_dueto_mortality_stdev,ahle_dueto_healthcost_stdev,ahle_dueto_productionloss_stdev,ahle_dueto_ppr_total_stdev,ahle_dueto_ppr_mortality_stdev,ahle_dueto_ppr_healthcost_stdev,ahle_dueto_ppr_productionloss_stdev,ahle_dueto_otherdisease_total_stdev,ahle_dueto_otherdisease_mortality_stdev,ahle_dueto_otherdisease_healthcost_stdev,ahle_dueto_otherdisease_productionloss_stdev,ahle_total_mean_usd,ahle_dueto_mortality_mean_usd,ahle_dueto_healthcost_mean_usd,ahle_dueto_productionloss_mean_usd,ahle_dueto_ppr_total_mean_usd,ahle_dueto_ppr_mortality_mean_usd,ahle_dueto_ppr_healthcost_mean_usd,ahle_dueto_ppr_productionloss_mean_usd,ahle_dueto_otherdisease_total_mean_usd,ahle_dueto_otherdisease_mortality_mean_usd,ahle_dueto_otherdisease_healthcost_mean_usd,ahle_dueto_otherdisease_productionloss_mean_usd,ahle_when_af_repro_imp25_mean_usd,ahle_when_af_repro_imp50_mean_usd,ahle_when_af_repro_imp75_mean_usd,ahle_when_af_repro_imp100_mean_usd,ahle_when_af_ideal_mean_usd,ahle_when_am_ideal_mean_usd,ahle_when_jf_ideal_mean_usd,ahle_when_jm_ideal_mean_usd,ahle_when_nf_ideal_mean_usd,ahle_when_nm_ideal_mean_usd,ahle_when_af_mort_imp25_mean_usd,ahle_when_am_mort_imp25_mean_usd,ahle_when_j_mort_imp25_mean_usd,ahle_when_n_mort_imp25_mean_usd,ahle_when_af_mort_imp50_mean_usd,ahle_when_am_mort_imp50_mean_usd,ahle_when_j_mort_imp50_mean_usd,ahle_when_n_mort_imp50_mean_usd,ahle_when_af_mort_imp75_mean_usd,ahle_when_am_mort_imp75_mean_usd,ahle_when_j_mort_imp75_mean_usd,ahle_when_n_mort_imp75_mean_usd,ahle_when_af_mort_imp100_mean_usd,ahle_when_am_mort_imp100_mean_usd,ahle_when_j_mort_imp100_mean_usd,ahle_when_n_mort_imp100_mean_usd,ahle_when_all_growth_imp25_mean_usd,ahle_when_af_growth_imp25_mean_usd,ahle_when_am_growth_imp25_mean_usd,ahle_when_jf_growth_imp25_mean_usd,ahle_when_jm_growth_imp25_mean_usd,ahle_when_nf_growth_imp25_mean_usd,ahle_when_nm_growth_imp25_mean_usd,ahle_when_all_growth_imp50_mean_usd,ahle_when_af_growth_imp50_mean_usd,ahle_when_am_growth_imp50_mean_usd,ahle_when_jf_growth_imp50_mean_usd,ahle_when_jm_growth_imp50_mean_usd,ahle_when_nf_growth_imp50_mean_usd,ahle_when_nm_growth_imp50_mean_usd,ahle_when_all_growth_imp75_mean_usd,ahle_when_af_growth_imp75_mean_usd,ahle_when_am_growth_imp75_mean_usd,ahle_when_jf_growth_imp75_mean_usd,ahle_when_jm_growth_imp75_mean_usd,ahle_when_nf_growth_imp75_mean_usd,ahle_when_nm_growth_imp75_mean_usd,ahle_when_all_growth_imp100_mean_usd,ahle_when_af_growth_imp100_mean_usd,ahle_when_am_growth_imp100_mean_usd,ahle_when_jf_growth_imp100_mean_usd,ahle_when_jm_growth_imp100_mean_usd,ahle_when_nf_growth_imp100_mean_usd,ahle_when_nm_growth_imp100_mean_usd,ahle_when_a_ideal_mean_usd,ahle_when_j_ideal_mean_usd,ahle_when_n_ideal_mean_usd,ahle_when_a_mort_imp100_mean_usd,ahle_total_stdev_usd,ahle_dueto_mortality_stdev_usd,ahle_dueto_healthcost_stdev_usd,ahle_dueto_productionloss_stdev_usd,ahle_dueto_ppr_total_stdev_usd,ahle_dueto_ppr_mortality_stdev_usd,ahle_dueto_ppr_healthcost_stdev_usd,ahle_dueto_ppr_productionloss_stdev_usd,ahle_dueto_otherdisease_total_stdev_usd,ahle_dueto_otherdisease_mortality_stdev_usd,ahle_dueto_otherdisease_healthcost_stdev_usd,ahle_dueto_otherdisease_productionloss_stdev_usd
National,All Small Ruminants,Pastoral,Overall,2017,47827169975.48234,43000614529.987595,99166279.03982835,4727389166.454915,6762603557.27076,2811873013.5634656,20098070.607796043,3930632473.099498,41064566418.21158,40188741516.424126,79068208.4320323,796756693.3554173,35942618501.01611,45303281283.63679,56803250739.289734,65045417488.03409,71789271964.95486,28493284595.456566,29410218516.794373,29089933006.626648,30419798102.66594,30920792747.058876,30047310277.344864,30094435223.50702,29437958774.697807,29696815466.206825,31724695005.755432,29471543750.501205,30573154326.701508,30084074106.418175,33419071883.357246,30822729906.337616,31502771122.58539,31700876463.70112,31599766999.018814,27648693718.49697,29683296199.53646,31482468005.810684,25430901411.67873,25342143064.326435,26168215755.372425,25606798087.91015,25945523658.00197,26569578057.269814,25732081734.212257,27543868871.844345,25713849833.943245,27629029460.74498,26502026946.838818,25933551909.399696,24732544275.9074,25648097364.40539,29466648679.29464,26104202303.318947,26978368353.153656,25852699298.824276,26544247761.116734,27241987782.39936,26547187453.500957,29899176474.2269,26642844596.005047,27350371181.519524,26700500152.65846,27017985848.728218,26097422845.142673,27051675641.128143,,,,,3986970231.0408015,3774720129.5297666,1049274.8400533355,5490395685.236215,4240103138.844851,293901061.96265507,724750.6514691227,4250276813.0473857,5820172355.802489,3786144462.444611,1275241.6228989197,6943291565.82011,2003978909.118863,1801744168.4594724,4155109.5704279714,198079631.08896264,283355985.8643116,117818683.75633186,842117.7676339988,164695184.34034568,1720622923.2545514,1683925484.7031405,3312991.8027939727,33384446.74861695,1506011111.4972014,1898226891.8028715,2380080538.0975103,2725430855.467149,3008001246.8334794,1193880829.873219,1232300753.9531631,1218880653.8803065,1274602571.0625744,1295594461.2676528,1258995171.6235182,1260969727.0540555,1233463082.6420758,1244309288.8996127,1329278310.2649229,1234870307.514628,1281028262.541015,1260535591.8097665,1400273427.236162,1291485586.2354393,1319979604.4972491,1328280303.1499865,1324043773.2687597,1158492110.3414364,1243742825.8350396,1319128895.2073886,1065565662.6768942,1061846649.9024937,1096459449.512085,1072935808.7577217,1087128555.2403433,1113276701.8882987,1078185247.2040198,1154099904.36414,1077421322.7729697,1157668169.518288,1110446281.425188,1086626933.845715,1036304199.5412784,1074666266.1337438,1234665201.9342303,1093777258.450376,1130405190.3943849,1083239174.8287504,1112215351.6290522,1141450957.4032454,1112338525.9991915,1252788301.8185904,1116346601.2456057,1145992268.2532656,1118762393.766597,1132065180.4294262,1093493196.2487557,1133476797.162272,,,,,167055760.53081006,158162390.3584897,43965.06526340307,230049931.06577012,177662137.79928088,12314580.391077323,30367.36274922423,178088419.1063408,243867714.8249395,158641074.80132493,53433.170259289895,290926890.82166547
National,All Small Ruminants,Pastoral,Overall,2018,50218528474.256454,45150645256.48697,104124592.99181977,4963758624.777666,7100733735.134308,2952466664.241639,21102974.13818584,4127164096.7544827,43117794739.12215,42198178592.24533,83021618.85363393,836594528.0231833,37739749426.066925,47568445347.81865,59643413276.25423,68297688362.43579,75378735563.2026,29917948825.229404,30880729442.63409,30544429656.95798,31940788007.799236,32466832384.411823,31549675791.21211,31599156984.68237,30909856713.432713,31181656239.517162,33310929756.04321,30945120938.026264,32101812043.036594,31588277811.73908,35090025477.525116,32363866401.65449,33077909678.714664,33285920286.88618,33179755348.96976,29031128404.421825,31167461009.51328,33056591406.101223,26702446482.26267,26609250217.54276,27476626543.141056,26887137992.30566,27242799840.902073,27898056960.133297,27018685820.92287,28921062315.436558,26999542325.640408,29010480933.78223,27827128294.18076,27230229504.869686,25969171489.702766,26930502232.625668,30939981113.259373,27409412418.484898,28327286770.811337,27145334263.76549,27871460149.17258,28604087171.51933,27874546826.176006,31394135297.938244,27974986825.8053,28717889740.5955,28035525160.291386,28368885141.16463,27402293987.3998,28404259423.18455,,,,,4186318742.592842,3963456136.006255,1101738.5820560022,5764915469.498027,4452108295.787094,308596115.0607879,760988.1840425789,4462790653.699756,6111180973.592615,3975451685.566842,1339003.7040438657,7290456144.111117,1830829439.1437914,1646068354.5175953,3796096.3011095384,180964988.32508668,258873223.8235467,107638814.82021652,769356.4005063724,150465052.6028238,1571956215.3202448,1538429539.6973789,3026739.900603166,30499935.722262874,1375887473.6955616,1734214696.5085557,2174434819.0760617,2489945888.070293,2748101394.9919357,1090726134.9982917,1125826468.5073698,1113565903.200101,1164473288.4617972,1183651419.7264774,1150214412.6665106,1152018360.8991985,1126888368.6960099,1136797431.9246514,1214424888.492669,1128174005.3424032,1170343781.9445646,1151621736.1731608,1279285825.6986167,1179897563.1681528,1205929617.3159487,1213513112.027265,1209642630.3614812,1058395101.3543905,1136279912.8778746,1205152411.72514,973497762.7221664,970100083.2151909,1001722238.62215,980231107.246986,993197560.1195432,1017086432.6242814,985026979.3006902,1054382394.4494292,984329060.1103815,1057642351.3587348,1014500568.5288874,992739280.2382475,946764573.1175603,981812048.1904204,1127986621.4667468,999271796.4868361,1032734971.0706104,989644233.2231513,1016116786.0421602,1042826352.434817,1016229317.796847,1144543834.0431101,1019891083.957183,1046975281.1279718,1022098145.1423923,1034251533.2514848,999012278.0663034,1035541182.2889678,,,,,152621668.30530328,144496710.57715696,40166.358743520155,210172963.5734555,162311624.45075992,11250565.666182846,27743.53635033221,162701073.84205374,222796851.5669343,144934035.324446,48816.39257396395,265789981.08771235
National,All Small Ruminants,Pastoral,Overall,2019,52729454897.96929,47408177519.311325,109330822.64141075,5211946556.016556,7455770421.891014,3100089997.453721,22158122.845095135,4333522301.592198,45273684476.07828,44308087521.857605,87172699.79631561,878424254.4243574,39626736897.37027,49946867615.20957,62625583940.06695,71712572780.55757,79147672341.36275,31413846266.490875,32424765914.7658,32071651139.805878,33537827408.1892,34090174003.63241,33127159580.77272,33179114833.916496,32455349549.10434,32740739051.49302,34976476243.84537,32492376984.92758,33706902645.188423,33167691702.326042,36844526751.401375,33982059721.73722,34731805162.650406,34950216301.23049,34838743116.41825,30482684824.64292,32725834059.988945,34709420976.40628,28037568806.3758,27939712728.4199,28850457870.298103,28231494891.92095,28604939832.947174,29292959808.13997,28369620111.969017,30367115431.20839,28349519441.922432,30461004980.471344,29218484708.8898,28591740980.113174,27267630064.187912,28277027344.25695,32486980168.922348,28779883039.40915,29743651109.351906,28502600976.953766,29265033156.631203,30034291530.0953,29268274167.48481,32963842062.83515,29373736167.095566,30153784227.625282,29437301418.305954,29787329398.222862,28772408686.7698,29824472394.34378,,,,,4395634679.722485,4161628942.8065686,1156825.5111588025,6053161242.972929,4674713710.576449,324025920.8138273,799037.5932447078,4685930186.384744,6416740022.272245,4174224269.845185,1405953.889246059,7654978951.316674,1813894336.8267457,1630842285.1696808,3760982.555454063,179291069.101611,256478656.40024474,106643159.89830394,762239.8832152026,149073256.6187256,1557415680.426501,1524199125.2713768,2998742.6722388603,30217812.482885387,1363160567.1658776,1718173276.8671753,2154321380.131131,2466913983.799571,2722681562.151816,1080636959.9494622,1115412616.7155137,1103265461.168599,1153701955.0628817,1172702689.3465686,1139574973.3235657,1141362235.1040685,1116464694.368006,1126282099.1406193,1203191504.7031834,1117738438.9245722,1159518146.7053697,1140969279.1415834,1267452480.7196958,1168983555.817894,1194774814.4600627,1202288162.1352262,1198453482.2768772,1048604987.1307088,1125769367.12524,1194004797.9912548,964492945.635095,961126694.5336612,992456346.2120625,971164006.980485,984010520.6596953,1007678422.0070682,975915517.4010446,1044629397.6112072,975224053.9365641,1047859200.0437343,1005116477.0556954,983556479.8497812,938007037.0122864,972730324.2806337,1117552788.3426018,990028570.5728171,1023182212.0710329,980490061.9012467,1006717744.6187602,1033180248.5434275,1006829235.4590187,1133956847.3356376,1010457130.4223658,1037290799.8047897,1012643776.3759906,1024684746.1097142,989771452.6877527,1025962465.9429057,,,,,151209923.7084077,143160121.52861887,39794.82146075569,208228871.69559178,160810248.12997875,11146498.363894677,27486.909699763768,161196095.12929225,220735989.20775875,143593401.03871498,48364.84280897012,263331433.92415395
National,All Small Ruminants,Pastoral,Overall,2020,55365927642.86775,49778586395.27689,114797363.77348131,5472543883.817377,7828558942.985573,3255094497.3264074,23266028.987349894,4550198416.671816,47537368699.88218,46523491897.950485,91531334.78613141,922345467.1455612,41608073742.23878,52444210995.97006,65756863137.070305,75298201419.58545,83105055958.43088,32984538579.815422,34046004210.504097,33675233696.79618,35214718778.598656,35794682703.814026,34783517559.811356,34838070575.61232,34078117026.559563,34377776004.06768,36725300056.037636,34116995834.173958,35392247777.447845,34826076287.442345,38686753088.97144,35681162707.82408,36468395420.78293,36697727116.292015,36580680272.23915,32006819065.87507,34362125762.9884,36444892025.22659,29439447246.694588,29336698364.840897,30292980763.81301,29643069636.51699,30035186824.594536,30757607798.546974,29788101117.567467,31885471202.768814,29766995414.018547,31984055229.49491,30679408944.334297,30021328029.118835,28631011567.39731,29690878711.469803,34111329177.368477,30218877191.37961,31230833664.819504,29927731025.801453,30728284814.46277,31536006106.60006,30731687875.859055,34612034165.97691,30842422975.450348,31661473439.00654,30909166489.221245,31276695868.13401,30211029121.10829,31315696014.060966,,,,,4615416413.70861,4369710389.946897,1214666.7867167424,6355819305.121575,4908449396.105272,340227216.85451865,838989.4729069432,4920226695.703981,6737577023.385859,4382935483.337443,1476251.583708362,8037727898.882508,1585182393.199964,1425211173.5789034,3286764.3980121403,156684455.2230485,224139544.4612851,93196641.0577898,666129.8939723995,130276773.50952291,1361042848.738679,1332014532.5211136,2620634.5040397407,26407681.713525586,1191281149.2405143,1501530696.5020206,1882685364.7122333,2155863510.494754,2379381635.957701,944380633.1904548,974771465.6101359,964155931.5575206,1008232943.3617591,1024837895.9396822,995887217.2256948,997449125.1323311,975690887.9475625,984270426.9408256,1051482410.0723966,976804027.4527196,1013315777.7915078,997105716.5553331,1107640790.2399125,1021587703.8706512,1044126971.0528595,1050692968.9761424,1047341799.6871704,916387536.6242144,983822344.74182,1043454045.114426,842881090.0093545,839939285.8100991,867318616.1367878,848711004.5605893,859937715.44713,880621357.1224681,852863402.2536955,912913224.8184183,852259124.6575961,915735785.0114849,878382444.9946711,859540924.1439886,819734760.4992088,850079826.6336019,976641785.3486173,865196956.0599917,894170291.3345122,856861147.4648724,879781810.4903554,902907686.3750286,879879243.5730839,990977474.569779,883049701.2472267,906499942.7449647,884960635.4154823,895483372.5074036,864972257.8865062,896599986.0509248,,,,,132144030.5938682,125109219.12493376,34777.13615363212,181973522.08794847,140533860.6590004,9741048.634171752,24021.1154613162,140871056.63418096,192903630.8971827,125487866.89773634,42266.57292771855,230128262.7977791
National,All Small Ruminants,Pastoral,Overall,2021,58134224025.01114,52267515715.040726,120537231.96215539,5746171078.008258,8219986890.134842,3417849222.192727,24429330.436717387,4777708337.505398,49914237134.8763,48849666492.848,96107901.525438,968462740.5028601,43688477429.35072,55066421545.768555,69044706293.9238,79063111490.56473,87260308756.35243,34633765508.80618,35748304421.0293,35358995381.63599,36975454717.528595,37584416839.00473,36522693437.801926,36579974104.39293,35782022877.88753,36096664804.27106,38561565058.83952,35822845625.88266,37161860166.32024,36567380101.81445,40621090743.42001,37465220843.21529,38291815191.82207,38532613472.10661,38409714285.85112,33607160019.16881,36080232051.13782,38267136626.48793,30911419609.029324,30803533283.082935,31807629802.003666,31125223118.34284,31536946165.82426,32295488188.474316,31277506173.445827,33479744762.907246,31255345184.71948,33583257990.96966,32213379391.551006,31522394430.57477,30062562145.76717,31175422647.043293,35816895636.23689,31729821050.94858,32792375348.060474,31424117577.091526,32264699055.1859,33112806411.930065,32268272269.651997,36342635874.27576,32384544124.222866,33244547110.956875,32454624813.682316,32840530661.540707,31721580577.163708,32881480814.76401,,,,,4846187234.39404,4588195909.4442425,1275400.1260525798,6673610270.377655,5153871865.910536,357238577.6972446,880938.9465522903,5166238030.489181,7074455874.555152,4602082257.504317,1550064.1628937803,8439614293.826634,1664441512.8599622,1496471732.2578483,3451102.617912748,164518677.98420128,235346521.6843491,97856473.11067928,699436.3886710195,136790612.1849988,1429094991.1756132,1398615259.1471689,2751666.2292417283,27728065.79920246,1250845206.7025402,1576607231.3271213,1976819632.9478445,2263656686.0194917,2498350717.7555866,991599664.8499773,1023510038.8906425,1012363728.1353966,1058644590.5298471,1076079790.7366664,1045681578.0869796,1047321581.3889475,1024475432.3449402,1033483948.2878667,1104056530.5760167,1025644228.8253556,1063981566.6810832,1046961002.3830994,1163022829.751908,1072667089.0641838,1096333319.6055024,1103227617.4249494,1099708889.6715293,962206913.4554249,1033013461.9789108,1095626747.3701475,885025144.5098224,881936250.1006039,910684546.9436272,891146554.7886187,902934601.2194864,924652424.9785912,895506572.36638,958558886.0593388,894872080.890476,961522574.2620592,922301567.2444044,902517970.351188,860721498.5241691,892583817.965282,1025473874.6160479,908456803.8629912,938878805.9012377,899704204.838116,923770901.014873,948053070.6937801,923873205.7517378,1040526348.298268,927202186.3095881,951824939.8822132,929208667.1862566,940257541.1327736,908220870.7808316,941429985.3534709,,,,,138751232.12356162,131364680.0811805,36515.992961313736,191072198.1923459,147560553.6919504,10228101.065880341,25222.17123438201,147914609.46589002,202548812.44204184,131762260.24262321,44379.901574104486,241634675.93766809
National,Cattle,Crop livestock mixed,Overall,2017,611105181926.5093,100505208760.17415,910953104.816092,509689020061.51904,,,,,,,,,,,,,391141746244.7202,22427877944.081264,16842923798.863327,2223826343.153,1263994642.7785797,6850558898.799774,,,,,,,,,,,,,18491390886.312668,-4959192327.912903,10552266362.651459,5602629630.13678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71656647184.6217,42640129959.693855,2768951.968317176,83383786052.13383,,,,,,,,,25605568894.453907,4211211299.2515855,38169325.30575436,21356188269.89657,,,,,,,,,,,,,16389006716.311287,939737693.0157304,705725721.9718627,93179276.37169577,52961916.97451485,287041352.35074276,,,,,,,,,,,,,774797199.0698919,-207792282.8487681,442144480.7417686,234752581.43340087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3002444211.7266474,1786639710.547751,116020.27357494348,3493816353.687999,,,,,,,,
National,Cattle,Crop livestock mixed,Overall,2018,533792003124.511,149514973525.90338,851690884.3242575,383425338714.2833,,,,,,,,,,,,,308696676242.1123,-3347262830.1852875,-36706548573.60654,-27765098133.367355,-37464130787.61334,-46317602676.507385,,,,,,,,,,,,,-21600423306.531967,-3703984629.0367737,-30227128803.57553,-49351106950.83905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80410502066.5829,57238688446.76588,2978036.509826088,98702159584.14772,,,,,,,,,19460588420.086304,5450904744.537748,31050307.35559297,13978633368.19296,,,,,,,,,,,,,11254231850.294516,-122031997.27758902,-1338219812.0833213,-1012239119.4585463,-1365839176.1331146,-1688612412.7310076,,,,,,,,,,,,,-787492029.1190778,-135037093.0214125,-1101997986.7141402,-1799205635.9486492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2931545763.5382733,2086765165.172837,108571.02106903896,3598409291.629523,,,,,,,,
National,Cattle,Crop livestock mixed,Overall,2019,598088070019.2632,136376476797.70018,900512239.4590166,460811080982.10394,,,,,,,,,,,,,424283326836.6263,39199676313.044556,31553838742.642853,18478163204.471313,38130828445.67607,29580707372.09175,,,,,,,,,,,,,19373562969.065598,17087673291.797592,4448498953.085495,9643720598.038803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60298781062.04337,41445290697.93729,3259862.148239735,73168675874.52617,,,,,,,,,20574241953.207825,4691353616.653056,30977639.623973943,15851910696.930794,,,,,,,,,,,,,14595355200.393064,1348469674.2505374,1085452704.0185366,635649195.6233306,1311701285.5520282,1017576944.1461228,,,,,,,,,,,,,666450966.0064362,587816313.9276255,153028455.80321452,331744187.6190474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2074279313.1018798,1425718855.4403558,112139.32518304199,2517003960.2860765,,,,,,,,
National,Cattle,Crop livestock mixed,Overall,2020,586526700776.0197,53085127161.49196,803572062.3010406,532638001552.2267,,,,,,,,,,,,,431205114664.8496,22039410771.968155,35577301283.60849,21155511634.57396,26282364051.891907,41954577434.23064,,,,,,,,,,,,,6007981209.105942,713498425.3024445,27105184388.080307,29856509384.93596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97062479126.9993,40680263822.24103,2794984.1649299404,105242618395.48769,,,,,,,,,16792851466.502626,1519880773.2433686,23007079.246347394,15249963614.01291,,,,,,,,,,,,,12345837678.970863,631010576.3526582,1018614046.4606063,605703651.8665403,752490611.4726259,1201201899.6931627,,,,,,,,,,,,,172014566.30119014,20428180.101323266,776048788.2290258,854821999.997805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2778996749.4977717,1164717014.726168,80023.21781906225,3013202393.553333,,,,,,,,
National,Cattle,Crop livestock mixed,Overall,2021,528507504072.20435,58841740308.0441,787162692.6522542,468878601071.508,,,,,,,,,,,,,346621306814.3904,6386527159.880188,20471126566.402664,8420281032.921173,27936309692.818604,951074977.4208679,,,,,,,,,,,,,12162509419.818512,-1773608789.7055054,23787038835.152496,5899938092.159164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75606348103.8433,51616893560.29484,2972561.3795326026,91545745850.0965,,,,,,,,,15131703301.95379,1684698418.1899066,22537262.430154,13424467621.33373,,,,,,,,,,,,,9924117883.734503,182852718.96531832,586109016.5660723,241081145.16350383,799844744.6178071,27230236.59145402,,,,,,,,,,,,,348224921.1787322,-50780209.87928018,681046931.8074347,168921182.8073702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2164686061.0995107,1477843763.2480693,85107.43271450062,2621047107.347177,,,,,,,,
National,Cattle,Overall,Overall,2017,820408729382.0829,120115614380.83565,2161279416.647493,698131835584.5997,,,,,,,,,,,,,561894416609.1722,32199025424.751602,34807299099.747086,6012411423.968018,-5386231623.257614,-2511998392.523514,,,,,,,,,,,,,20415993711.16835,10047963182.308243,16405742098.78572,8250820958.553703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114747802796.2087,94500628153.29187,16816427.339720912,148652034129.09146,,,,,,,,,34375477189.67075,5032895695.029496,90558533.35864487,29252022961.28261,,,,,,,,,,,,,23543616747.837337,1349152958.0040452,1458440742.2609932,251922614.12819892,-225685412.24936777,-105253808.68109457,,,,,,,,,,,,,855438881.8501718,421013961.4631359,687407621.4683754,345712932.4677495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4807982090.289123,3959616799.713671,704615.5089838278,6228583906.282288,,,,,,,,
National,Cattle,Overall,Overall,2018,743422381773.318,168549826521.08676,1965504235.8175116,572907051016.4137,,,,,,,,,,,,,491108057387.06726,-1051977511.7015228,-30416119535.424637,-23173967392.703156,-30278842494.783203,-33977301762.108437,,,,,,,,,,,,,-10441996514.073074,-4363619738.403717,-26728035870.72238,-43741204610.42813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84587032600.33911,58788475683.65717,16472744.129518481,103009956939.56036,,,,,,,,,27103135508.375484,6144863135.835914,71656878.98523796,20886615493.554333,,,,,,,,,,,,,17904449146.21274,-38352206.969340056,-1108888069.0424595,-844859119.001643,-1103883325.6746063,-1238718979.2036493,,,,,,,,,,,,,-380686475.7337932,-159085575.00632226,-974430681.450475,-1594684024.7506812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3083810580.668541,2143266145.6658125,600550.9482673475,3755459736.072519,,,,,,,,
National,Cattle,Overall,Overall,2019,802797318021.0774,153947021918.6657,2024336544.8821263,646825959557.5295,,,,,,,,,,,,,601882170414.8987,46133055385.62518,38890017566.69711,30768558141.342896,47903553209.90686,38588627429.31735,,,,,,,,,,,,,29943149126.43466,17673134256.287262,10013301315.095291,14874333232.428802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67711794896.82221,43026893908.884254,18097458.252343293,80225937795.16507,,,,,,,,,27616244309.67165,5295780731.470539,69637218.9262765,22250826359.274834,,,,,,,,,,,,,20704759085.127968,1586978057.4523408,1337817406.984825,1058439035.1256167,1647883219.1507275,1327449580.038265,,,,,,,,,,,,,1030044947.9763212,607956183.1899917,344457771.91394114,511677370.20197296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2329287142.0229692,1480126038.5412416,622552.9374123717,2759773916.0180283,,,,,,,,
National,Cattle,Overall,Overall,2020,820661060208.9987,80431664778.00974,2000259121.1892214,738229136309.7997,,,,,,,,,,,,,635539770675.146,41482867428.48685,53138994439.57434,38743451777.42038,37164261919.64346,55944107080.64453,,,,,,,,,,,,,17932176223.842926,9542776557.74942,37290669642.49661,37032377136.03223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99345245599.0676,42088049247.00074,13787226.627938684,107892918686.2819,,,,,,,,,23496354505.59821,2302839748.0176086,57269437.64402449,21136245319.936577,,,,,,,,,,,,,18196145130.10627,1187696366.0981226,1521423047.7869577,1109264130.9202409,1064050331.3029884,1601736254.1013098,,,,,,,,,,,,,513416305.5146902,273219325.0542314,1067669512.000616,1060274336.8274682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2844354657.7523084,1205023332.4154031,394742.2147903181,3089083166.016123,,,,,,,,
