species,production_system,item,group,age_group,sex,mean_current,stdev_current,min_current,q1_current,median_current,q3_current,max_current,mean_ideal,stdev_ideal,min_ideal,q1_ideal,median_ideal,q3_ideal,max_ideal,mean_ideal_af,stdev_ideal_af,min_ideal_af,q1_ideal_af,median_ideal_af,q3_ideal_af,max_ideal_af,mean_ideal_am,stdev_ideal_am,min_ideal_am,q1_ideal_am,median_ideal_am,q3_ideal_am,max_ideal_am,mean_ideal_jf,stdev_ideal_jf,min_ideal_jf,q1_ideal_jf,median_ideal_jf,q3_ideal_jf,max_ideal_jf,mean_ideal_jm,stdev_ideal_jm,min_ideal_jm,q1_ideal_jm,median_ideal_jm,q3_ideal_jm,max_ideal_jm,mean_ideal_nf,stdev_ideal_nf,min_ideal_nf,q1_ideal_nf,median_ideal_nf,q3_ideal_nf,max_ideal_nf,mean_ideal_nm,stdev_ideal_nm,min_ideal_nm,q1_ideal_nm,median_ideal_nm,q3_ideal_nm,max_ideal_nm,mean_all_mortality_zero,stdev_all_mortality_zero,min_all_mortality_zero,q1_all_mortality_zero,median_all_mortality_zero,q3_all_mortality_zero,max_all_mortality_zero,mean_all_mortality_minus25pct,stdev_all_mortality_minus25pct,min_all_mortality_minus25pct,q1_all_mortality_minus25pct,median_all_mortality_minus25pct,q3_all_mortality_minus25pct,max_all_mortality_minus25pct,mean_all_mortality_minus50pct,stdev_all_mortality_minus50pct,min_all_mortality_minus50pct,q1_all_mortality_minus50pct,median_all_mortality_minus50pct,q3_all_mortality_minus50pct,max_all_mortality_minus50pct,mean_all_mortality_minus75pct,stdev_all_mortality_minus75pct,min_all_mortality_minus75pct,q1_all_mortality_minus75pct,median_all_mortality_minus75pct,q3_all_mortality_minus75pct,max_all_mortality_minus75pct,mean_mortality_zero_af,stdev_mortality_zero_af,min_mortality_zero_af,q1_mortality_zero_af,median_mortality_zero_af,q3_mortality_zero_af,max_mortality_zero_af,mean_mortality_zero_am,stdev_mortality_zero_am,min_mortality_zero_am,q1_mortality_zero_am,median_mortality_zero_am,q3_mortality_zero_am,max_mortality_zero_am,mean_mortality_zero_j,stdev_mortality_zero_j,min_mortality_zero_j,q1_mortality_zero_j,median_mortality_zero_j,q3_mortality_zero_j,max_mortality_zero_j,mean_mortality_zero_n,stdev_mortality_zero_n,min_mortality_zero_n,q1_mortality_zero_n,median_mortality_zero_n,q3_mortality_zero_n,max_mortality_zero_n
Sheep,Crop livestock mixed,<<<<<<< HEAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Num Offtake,Overall,Overall,Combined,3860185.6700001,,3860185.6700001,3860185.6700001,3860185.6700001,3860185.6700001,3860185.6700001,4566344.25500013,73.5061069268051,4566292.27833346,4566318.2666668,4566344.25500013,4566370.24333346,4566396.2316668,4281378.61875012,16.3441839921961,4281367.06166678,4281372.84020845,4281378.61875012,4281384.39729178,4281390.17583345,3922045.64958343,19.6581577729312,3922031.74916676,3922038.6993751,3922045.64958343,3922052.59979177,3922059.5500001,3933507.3812501,6.81356309232191,3933502.56333343,3933504.97229177,3933507.3812501,3933509.79020843,3933512.19916677,3935033.04666677,7.89602572346929,3935027.46333343,3935030.2550001,3935033.04666677,3935035.83833343,3935038.6300001,3958589.22083343,10.8505535577817,3958581.54833343,3958585.38458343,3958589.22083343,3958593.05708343,3958596.89333343,3959416.6875001,13.4538850235034,3959407.17416677,3959411.93083343,3959416.6875001,3959421.44416677,3959426.20083343,4121177.87416678,3.97865415599875,4121175.06083344,4121176.46750011,4121177.87416678,4121179.28083344,4121180.68750011,3922021.68541677,19.8431840470475,3922007.65416677,3922014.66979177,3922021.68541677,3922028.70104177,3922035.71666677,3987809.24958344,6.47650886002657,3987804.6700001,3987806.95979177,3987809.24958344,3987811.5393751,3987813.82916677,4055110.28833344,2.01171879196206,4055108.86583344,4055109.57708344,4055110.28833344,4055110.99958344,4055111.71083344,3879027.1862501,16.3229707882468,3879015.64416677,3879021.41520843,3879027.1862501,3879032.95729177,3879038.72833343,3924620.2350001,17.3594714786566,3924607.9600001,3924614.0975001,3924620.2350001,3924626.3725001,3924632.5100001,3931987.84416677,7.23134534886418,3931982.73083343,3931985.2875001,3931987.84416677,3931990.40083343,3931992.9575001,3959800.30958343,5.61030305333646,3959796.3425001,3959798.32604177,3959800.30958343,3959802.2931251,3959804.27666677
Sheep,Crop livestock mixed,Num Offtake,Overall,Overall,Combined,3861669.9887501,8.37980461320329,3861664.06333343,3861667.02604176,3861669.9887501,3861672.95145843,3861675.91416676,4566344.25500013,73.5061069268051,4566292.27833346,4566318.2666668,4566344.25500013,4566370.24333346,4566396.2316668,4281378.61875012,16.3441839921961,4281367.06166678,4281372.84020845,4281378.61875012,4281384.39729178,4281390.17583345,3922045.64958343,19.6581577729312,3922031.74916676,3922038.6993751,3922045.64958343,3922052.59979177,3922059.5500001,3933507.3812501,6.81356309232191,3933502.56333343,3933504.97229177,3933507.3812501,3933509.79020843,3933512.19916677,3935033.04666677,7.89602572346929,3935027.46333343,3935030.2550001,3935033.04666677,3935035.83833343,3935038.6300001,3958589.22083343,10.8505535577817,3958581.54833343,3958585.38458343,3958589.22083343,3958593.05708343,3958596.89333343,3959416.6875001,13.4538850235034,3959407.17416677,3959411.93083343,3959416.6875001,3959421.44416677,3959426.20083343,4121177.87416678,3.97865415599875,4121175.06083344,4121176.46750011,4121177.87416678,4121179.28083344,4121180.68750011,3922021.68541677,19.8431840470475,3922007.65416677,3922014.66979177,3922021.68541677,3922028.70104177,3922035.71666677,3987809.24958344,6.47650886002657,3987804.6700001,3987806.95979177,3987809.24958344,3987811.5393751,3987813.82916677,4055110.28833344,2.01171879196206,4055108.86583344,4055109.57708344,4055110.28833344,4055110.99958344,4055111.71083344,3879027.1862501,16.3229707882468,3879015.64416677,3879021.41520843,3879027.1862501,3879032.95729177,3879038.72833343,3924620.2350001,17.3594714786566,3924607.9600001,3924614.0975001,3924620.2350001,3924626.3725001,3924632.5100001,3931987.84416677,7.23134534886418,3931982.73083343,3931985.2875001,3931987.84416677,3931990.40083343,3931992.9575001,3959800.30958343,5.61030305333646,3959796.3425001,3959798.32604177,3959800.30958343,3959802.2931251,3959804.27666677
Sheep,Crop livestock mixed,Num Offtake,Neonatal Female,Neonatal,Female,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sheep,Crop livestock mixed,Num Offtake,Neonatal Female,Neonatal,Female,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sheep,Crop livestock mixed,Num Offtake,Neonatal Male,Neonatal,Male,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sheep,Crop livestock mixed,Num Offtake,Neonatal Male,Neonatal,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sheep,Crop livestock mixed,Num Offtake,Neonatal Combined,Neonatal,Combined,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sheep,Crop livestock mixed,Num Offtake,Neonatal Combined,Neonatal,Combined,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sheep,Crop livestock mixed,Num Offtake,Juvenile Female,Juvenile,Female,76992.5033333345,,76992.5033333345,76992.5033333345,76992.5033333345,76992.5033333345,76992.5033333345,107209.241666666,3.25504821606153,107206.94,107208.090833333,107209.241666666,107210.3925,107211.543333333,95868.5300000008,1.41892760758197,95867.5266666674,95868.0283333341,95868.5300000008,95869.0316666674,95869.5333333341,76920.8133333345,0.942809041578633,76920.1466666678,76920.4800000011,76920.8133333345,76921.1466666678,76921.4800000011,81332.7283333345,1.06301719437911,81331.9766666679,81332.3525000012,81332.7283333345,81333.1041666679,81333.4800000012,81329.4500000012,0.490260701609365,81329.1033333346,81329.2766666679,81329.4500000012,81329.6233333345,81329.7966666679,81550.8433333345,0.0141421356266121,81550.8333333346,81550.8383333346,81550.8433333345,81550.8483333346,81550.8533333346,81699.6316666679,0.308769961114147,81699.4133333346,81699.5225000012,81699.6316666679,81699.7408333346,81699.8500000012,86392.5300000013,0.164991582279605,86392.4133333347,86392.471666668,86392.5300000013,86392.5883333347,86392.646666668,79193.6733333345,0.240416305590667,79193.5033333345,79193.5883333345,79193.6733333345,79193.7583333345,79193.8433333345,81549.8100000012,0.65525228387868,81549.3466666679,81549.5783333346,81549.8100000012,81550.0416666679,81550.2733333345,84015.5983333346,0.214489056947023,84015.446666668,84015.5225000013,84015.5983333346,84015.6741666679,84015.7500000013,77188.9400000011,0.669394419525872,77188.4666666678,77188.7033333344,77188.9400000011,77189.1766666678,77189.4133333345,77042.4516666678,1.49199530831432,77041.3966666678,77041.9241666678,77042.4516666678,77042.9791666678,77043.5066666678,81228.4783333346,0.0259272486436439,81228.4600000012,81228.4691666679,81228.4783333346,81228.4875000012,81228.4966666679,81689.2983333346,0.32762614193934,81689.0666666679,81689.1825000012,81689.2983333346,81689.4141666679,81689.5300000012
