species,production_system,item,group,age_group,sex,mean_current,mean_ideal,mean_ideal_af,mean_ideal_am,mean_ideal_jf,mean_ideal_jm,mean_ideal_nf,mean_ideal_nm,mean_all_mortality_zero,mean_mortality_zero_af,mean_mortality_zero_am,mean_mortality_zero_j,mean_mortality_zero_n,stdev_current,stdev_ideal,stdev_ideal_af,stdev_ideal_am,stdev_ideal_jf,stdev_ideal_jm,stdev_ideal_nf,stdev_ideal_nm,stdev_all_mortality_zero,stdev_mortality_zero_af,stdev_mortality_zero_am,stdev_mortality_zero_j,stdev_mortality_zero_n,sqrd_stdev_current,sqrd_stdev_ideal,sqrd_stdev_ideal_af,sqrd_stdev_ideal_am,sqrd_stdev_ideal_jf,sqrd_stdev_ideal_jm,sqrd_stdev_ideal_nf,sqrd_stdev_ideal_nm,sqrd_stdev_all_mortality_zero,sqrd_stdev_mortality_zero_af,sqrd_stdev_mortality_zero_am,sqrd_stdev_mortality_zero_j,sqrd_stdev_mortality_zero_n
Sheep,Crop livestock mixed,Num Offtake,Neonatal Female,Neonatal,Female,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Num Offtake,Neonatal Male,Neonatal,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Num Offtake,Juvenile Female,Juvenile,Female,77100.2266666678,107094.876666666,95853.2533333341,77014.2466666678,81320.9766666679,81337.3933333345,81653.6133333345,81633.8500000012,86541.636666668,77371.9766666678,77069.5333333345,81325.3300000012,81540.0166666679,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Num Offtake,Juvenile Male,Juvenile,Male,772912.260000014,1130270.04000003,1006591.00500002,772180.560000014,809999.505000015,810214.875000015,829786.590000016,829741.365000016,874947.465000018,776608.155000014,772672.815000014,810052.155000015,828709.560000016,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Num Offtake,Adult Female,Adult,Female,577621.353333384,605995.530000055,600476.596666721,577313.933333384,579510.166666717,579848.803333384,579039.786666717,579106.916666717,596844.973333387,592001.033333386,577452.953333384,580158.456666717,579177.913333384,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Num Offtake,Adult Male,Adult,Male,2434814.82583336,2720536.43000005,2577030.95500004,2497639.0491667,2463579.05500003,2463251.5341667,2467966.12250003,2468694.50250003,2566034.55000004,2435343.73083336,2498023.12083337,2463623.29500003,2467171.77750003,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Cml Pop Growth,Neonatal Female,Neonatal,Female,224719.860787136,2870145.52770825,2085009.02753071,224319.444108796,240791.555332517,243468.875889961,685896.242746359,689909.393860196,803083.38460682,302687.78300215,224801.247697479,243404.274026433,684743.632496573,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Cml Pop Growth,Neonatal Male,Neonatal,Male,224743.796454751,2870145.52770825,2084964.99007171,224306.363110915,240762.194904863,243483.673684346,685896.242746359,689909.393860196,803083.38460682,302687.09001381,224847.020554178,243358.341919959,684743.632496573,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Cml Pop Growth,Juvenile Female,Juvenile,Female,73645.4208676869,1933932.2900001,1239802.27604995,70127.3312559512,247669.523333312,249045.439999979,362367.693745612,362400.691785207,599371.696666627,105458.929121202,72445.5681470961,248608.003333314,357408.074557854,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Cml Pop Growth,Juvenile Male,Juvenile,Male,467828.417182146,2079315.62666671,1502546.12771924,465415.42461753,585003.994999924,586300.791666591,724476.276845013,724988.469789703,897501.534999898,497623.415088273,467070.305663138,585891.344999924,720903.373270045,,,,,,,,,,,,,,,,,,,,,,,,,,
