species,production_system,item,group,age_group,sex,mean_current,mean_ideal,mean_ideal_af,mean_ideal_am,mean_ideal_jf,mean_ideal_jm,mean_ideal_nf,mean_ideal_nm,mean_all_mortality_zero,mean_mortality_zero_af,mean_mortality_zero_am,mean_mortality_zero_j,mean_mortality_zero_n,stdev_current,stdev_ideal,stdev_ideal_af,stdev_ideal_am,stdev_ideal_jf,stdev_ideal_jm,stdev_ideal_nf,stdev_ideal_nm,stdev_all_mortality_zero,stdev_mortality_zero_af,stdev_mortality_zero_am,stdev_mortality_zero_j,stdev_mortality_zero_n,sqrd_stdev_current,sqrd_stdev_ideal,sqrd_stdev_ideal_af,sqrd_stdev_ideal_am,sqrd_stdev_ideal_jf,sqrd_stdev_ideal_jm,sqrd_stdev_ideal_nf,sqrd_stdev_ideal_nm,sqrd_stdev_all_mortality_zero,sqrd_stdev_mortality_zero_af,sqrd_stdev_mortality_zero_am,sqrd_stdev_mortality_zero_j,sqrd_stdev_mortality_zero_n
Sheep,Crop livestock mixed,Cml Pop Growth,Adult Female,Adult,Female,850406.792425836,3065427.38666659,2524195.52370363,832929.443977755,1009863.40827991,1028361.30706805,1035312.73371296,1039032.99215084,2072334.15629623,1632150.48518514,841113.604140781,1044617.71850671,1040977.26676994,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Cml Pop Growth,Adult Male,Adult,Male,208976.172442575,1465648.90333325,916266.646138281,362288.950833327,314466.668040057,314088.690457511,379279.858116371,381333.714601559,674511.616666642,219011.40245619,363728.045833328,314815.302353748,376217.622382372,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Total Number Increase,Neonatal Female,Neonatal,Female,224719.860787136,2870145.52770825,2085009.02753071,224319.444108796,240791.555332517,243468.875889961,685896.242746359,689909.393860196,803083.38460682,302687.78300215,224801.247697479,243404.274026433,684743.632496573,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Total Number Increase,Neonatal Male,Neonatal,Male,224743.796454751,2870145.52770825,2084964.99007171,224306.363110915,240762.194904863,243483.673684346,685896.242746359,689909.393860196,803083.38460682,302687.09001381,224847.020554178,243358.341919959,684743.632496573,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Total Number Increase,Juvenile Female,Juvenile,Female,150745.647534355,2041027.16666676,1335655.52938328,147141.577922619,328990.49999998,330382.833333314,444021.307078947,444034.541785208,685913.333333295,182830.905787869,149515.101480431,329933.333333315,438948.091224522,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Total Number Increase,Juvenile Male,Juvenile,Male,1240740.67718216,3209585.66666674,2509137.13271926,1237595.98461754,1395003.49999994,1396515.66666661,1554262.86684503,1554729.83478972,1772448.99999992,1274231.57008829,1239743.12066315,1395943.49999994,1549612.93327006,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Total Number Increase,Adult Female,Adult,Female,1428028.14575922,3671422.91666665,3124672.12037035,1410243.37731114,1589373.57494662,1608210.11040143,1614352.52037968,1618139.90881756,2669179.12962962,2224151.51851853,1418566.55747416,1624776.17517343,1620155.18010332,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Total Number Increase,Adult Male,Adult,Male,2643790.99827594,4186185.3333333,3493297.60113832,2859928.00000003,2778045.72304009,2777340.22462421,2847245.9806164,2850028.21710159,3240546.16666668,2654355.13328955,2861751.16666669,2778438.59735378,2843389.3998824,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Total Mortality,Neonatal Female,Neonatal,Female,1007440.17580192,0.0,1517473.06677359,1001956.85355145,1015179.20942287,1009011.37830223,0.0,0.0,0.0,1018743.41905401,1003129.19233763,1009710.29782676,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Total Mortality,Neonatal Male,Neonatal,Male,1007384.90680098,0.0,1517534.93756591,1001983.43454933,1015246.23651719,1008937.58050785,0.0,0.0,0.0,1018721.94537568,1003063.5861476,1009819.39659991,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Total Mortality,Juvenile Female,Juvenile,Female,379132.519132281,0.0,490763.137283404,387545.088744018,0.0,0.0,407799.692921003,413493.124881409,0.0,386500.260878764,382629.231852873,0.0,416849.075442097,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Total Mortality,Juvenile Male,Juvenile,Male,281542.156151111,0.0,381811.533947383,287861.515382394,0.0,0.0,306955.133154884,311374.165210193,0.0,287394.096578316,284146.546003453,0.0,313890.400063187,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Total Mortality,Adult Female,Adult,Female,822479.428314833,0.0,0.0,836819.141207359,866924.795423722,847968.435894839,859884.294435108,854922.267108333,0.0,0.0,830874.127710999,829939.05630802,848018.116192948,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Total Mortality,Adult Male,Adult,Male,218847.001724086,0.0,234817.232195003,0.0,221952.443626601,223455.60870915,226037.686050284,223087.949565096,0.0,221971.366710473,0.0,221754.569312912,225905.266784283,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Population Liveweight (kg),Neonatal Female,Neonatal,Female,26180261.1915528,65351200.8084175,47236583.6650307,26132033.8274162,26373568.9953952,26361721.9283631,36567454.3208182,31509566.222971,32793076.6078047,27047175.9155482,26251189.8155088,26344539.6408426,31386009.6911283,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Population Liveweight (kg),Neonatal Male,Neonatal,Male,26125151.6084526,69711903.5080122,47468790.8205251,26206439.4909949,26385033.3559433,26453143.5223314,30358281.1305941,39034072.7229338,32471093.1817717,26394394.3842151,25360470.3729503,25921794.176019,30969047.471419,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Population Liveweight (kg),Juvenile Female,Juvenile,Female,41978641.8232185,81710481.7489528,66396843.5634773,41791854.6835954,45752685.8529986,45758115.4824076,48135140.4846709,48080528.6407001,53035025.3029585,42578906.0816878,41914346.3471716,45647231.9738467,48199105.2578185,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Population Liveweight (kg),Juvenile Male,Juvenile,Male,34048470.4017332,73875322.7762905,55817406.9648433,34038527.0197676,36639521.2622434,39702554.9419479,39563360.6414888,39534838.2895759,43085727.9385728,34692969.5292485,34045766.0488983,36654243.0261335,39423617.081783,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Population Liveweight (kg),Adult Female,Adult,Female,426535489.632047,514731945.581422,500175620.311299,425358633.473479,430301424.148579,431543283.611919,431517443.606681,431916658.871882,460092477.871452,448181538.003001,425759255.507733,430359479.112436,431411543.352033,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Population Liveweight (kg),Adult Male,Adult,Male,102587923.680941,151989252.159749,125495190.733074,114778968.398985,106026775.017165,105877168.988352,108105125.540448,108158529.201013,117648941.625687,103292917.763421,107466304.925415,105641920.161175,107748975.988093,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Offtake Liveweight (kg),Juvenile Female,Juvenile,Female,1627207.90209676,2270526.69669644,2017826.61986037,1619731.42503213,1718986.14365196,1719130.84997138,1724505.00840513,1722064.94483296,1824478.43811565,1627989.94827786,1626559.24819141,1715417.83616315,1729171.97691177,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Offtake Liveweight (kg),Juvenile Male,Juvenile,Male,16297700.8312433,25873237.9895461,21207967.2437505,16289379.4118781,17137211.3487011,18557186.8777025,17538384.3682388,17519616.1939703,18431047.3688303,16386802.786335,16295681.3734635,17125776.5324789,17484944.9722149,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Offtake Liveweight (kg),Adult Female,Adult,Female,16534401.9886423,18225444.2648779,18124924.404702,16499704.9207542,16559999.5100825,16598629.9134954,16562318.9827122,16575851.7325152,17027669.7050807,16918491.00471,16507811.4398919,16541943.2948385,16556357.1358599,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Offtake Liveweight (kg),Adult Male,Adult,Male,76664897.074195,91587126.7232942,81579100.9661384,84052164.6233511,77652582.2904035,77533422.7404254,77843542.1312587,77850798.4933927,81067446.8341651,76965473.1785763,78687197.8263782,77357459.5765767,77612157.2197543,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Manure,Neonatal Female,Neonatal,Female,79602168.0,141734313.0,125398491.0,79610139.0,79833081.0,79880949.0,90878718.0,90975690.0,92643162.0,80790801.0,79615581.0,79861809.0,90844593.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Manure,Neonatal Male,Neonatal,Male,79602804.0,141734313.0,125398035.0,79609857.0,79832316.0,79882056.0,90878718.0,90975690.0,92643162.0,80791200.0,79616076.0,79860534.0,90844593.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Manure,Juvenile Female,Juvenile,Female,139222278.0,204374370.0,179974668.0,139046406.0,147863772.0,147901578.0,149150706.0,149115330.0,159371172.0,139902306.0,139159830.0,147877242.0,148916478.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Manure,Juvenile Male,Juvenile,Male,105861936.0,163178562.0,143227410.0,105749898.0,111509952.0,111546450.0,114985068.0,114982110.0,122044668.0,106533492.0,105825462.0,111522300.0,114820026.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Manure,Adult Female,Adult,Female,1567231308.0,1663776774.0,1644004566.0,1566243981.0,1573766217.0,1574847018.0,1572725232.0,1572939963.0,1630132434.0,1613092140.0,1566692991.0,1575829386.0,1573149159.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Manure,Adult Male,Adult,Male,334741545.0,385112268.0,360549360.0,344709981.0,339623280.0,339575103.0,340806348.0,340924410.0,356870259.0,334904166.0,344775447.0,339632469.0,340670196.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Hides,Juvenile Female,Juvenile,Female,266666.486232809,107094.876666666,341234.821975036,270786.791038677,81320.9766666679,81337.3933333345,285553.459793836,288380.412440706,86541.636666668,270622.10710605,268384.149259771,81325.3300000012,289964.554387716,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Hides,Juvenile Male,Juvenile,Male,913683.338075569,1130270.04000003,1197496.77197371,916111.317691211,809999.505000015,810214.875000015,983264.156577458,985428.447605112,874947.465000018,920305.203289172,914746.08800174,810052.155000015,985654.760031609,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Hides,Adult Female,Adult,Female,988861.0674908,605995.530000055,600476.596666721,995723.503937063,1012972.56437858,1003833.0212808,1008981.93388427,1006568.05022088,596844.973333387,592001.033333386,992890.017188883,995127.984820727,1003186.97142986,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Hides,Adult Male,Adult,Male,2544238.32669541,2720536.43000005,2694439.57109754,2497639.0491667,2574555.27681333,2574979.33852127,2580984.96552517,2580238.47728258,2566034.55000004,2546329.4141886,2498023.12083337,2574500.57965649,2580124.41089217,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Cml Dry Matter,Neonatal Female,Neonatal,Female,236041016.410288,487301875.684231,370586996.906102,235630384.731485,236804913.191493,236524351.047024,313493651.369934,269984593.476132,274846741.295905,239330699.771492,236704977.542579,236360421.354474,269062892.618745,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Cml Dry Matter,Neonatal Male,Neonatal,Male,235539276.151398,519950290.35175,372404779.721332,236409498.240123,236893146.560911,237382872.380632,260167658.484791,334459848.045405,272135011.504096,233602547.726664,228635368.545242,232603542.889654,265491887.99112,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Cml Dry Matter,Juvenile Female,Juvenile,Female,381837472.28104,563899534.6432,492286989.569974,380231013.304489,406532058.025071,406402515.623948,409711895.826982,409029631.067905,436822620.37751,383092410.710206,381322527.351399,405420517.470104,410383785.390323,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Cml Dry Matter,Juvenile Male,Juvenile,Male,290158673.067418,485675281.269552,392228651.57126,290037831.069302,306630474.25171,332091628.407627,315895652.559484,315646378.938279,334265718.919425,292136921.678356,290127877.415524,306557076.083581,314940009.436721,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Cml Dry Matter,Adult Female,Adult,Female,3888178880.28469,4336709672.61785,4300058356.87477,3879557785.69768,3897114905.90339,3906455178.78429,3898974810.93001,3902415852.2062,4031939801.94561,3995461073.79906,3882124347.58959,3893983770.23431,3897461495.95,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Cml Dry Matter,Adult Male,Adult,Male,913602690.479187,1123650461.02778,989042904.08118,1005387134.21941,928028881.735231,926540294.93133,931458499.375636,931530900.731162,977212199.884317,917397502.072451,941059676.526203,924355602.88341,928859142.302298,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Value of Offtake,Neonatal Female,Neonatal,Female,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Value of Offtake,Neonatal Male,Neonatal,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Value of Offtake,Juvenile Female,Juvenile,Female,161910207.062632,230266070.932672,201338262.181127,161701872.913089,170787742.38242,170863038.761939,171440856.741502,175528338.18044,181696508.15021,162515187.169351,161836957.074492,170745640.330713,171200799.735521,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Value of Offtake,Juvenile Male,Juvenile,Male,2334002269.96924,3753906421.94361,3343179617.24137,2332111780.26187,2445532057.3281,2447302890.72593,2506567279.36466,2506488692.6864,2642901271.29927,2345899006.89561,2334048409.05865,2445945651.02166,2502737503.8543,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Value of Offtake,Adult Female,Adult,Female,1715377459.25555,1977016954.83411,1783575191.67223,1714427150.98386,1891029614.56132,1722432211.59273,1719900186.41864,1719530075.40102,1772298599.61657,1758142709.17984,1714846441.15536,1722657349.54681,1720265506.27669,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Value of Offtake,Adult Male,Adult,Male,17513350529.8167,21309981101.3899,18537628737.2183,19563117623.1032,17721710197.3052,17720183851.241,17753694021.9527,17758773951.8237,18458410041.1678,17517655830.7067,17967570257.5578,17721391375.2952,17747141260.7791,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Value of Herd Increase,Neonatal Female,Neonatal,Female,265888809.455096,3656456901.34128,2470523756.32945,266204330.96359,285254266.476372,288392200.972097,873540434.813013,815897055.660454,950003044.676315,357852443.256417,265867736.322726,288131176.544228,809667983.668548,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Value of Herd Increase,Neonatal Male,Neonatal,Male,399895465.229732,5760367943.84429,3709298810.99716,399102420.266284,428390511.223539,488629344.725552,1220142853.97874,1227247149.4799,1428622086.85229,538558206.133391,400032192.605946,432863110.867361,1217927163.86636,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Value of Herd Increase,Juvenile Female,Juvenile,Female,154638639.184731,4158184406.33069,2604247691.55203,147228788.804644,520142856.211027,523176534.615589,760876648.591093,779152424.677098,1258438555.6075,221511406.579915,152151469.796521,521963654.711925,750267430.023314,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Value of Herd Increase,Juvenile Male,Juvenile,Male,1412697136.62209,6906176907.34762,4990319911.08232,1405631267.3055,1766255734.41574,1770922831.45793,2188488075.74614,2189978357.9945,2711014267.52216,1503167239.82573,1410979618.55151,1769087288.00478,2177152581.07539,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Value of Herd Increase,Adult Female,Adult,Female,2525449044.07697,10000497508.0918,7497623078.46696,2473508883.12299,3295285238.123,3054780588.36668,3075111225.43891,3085259967.00294,6153669252.92355,4847134333.76566,2497845105.9317,3101765955.81635,3091856372.57816,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Value of Herd Increase,Adult Male,Adult,Male,1141791686.23624,8720772773.11147,5006639527.71951,2155547051.76941,1718336688.6249,1716335838.13967,2072543974.13659,2083733132.02246,3685656025.37876,1196670236.54844,1987291069.32466,1720156104.66325,2055721291.7415,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Value of Herd Increase plus Offtake,Neonatal Female,Neonatal,Female,265888809.455096,3656456901.34128,2470523756.32945,266204330.96359,285254266.476372,288392200.972097,873540434.813013,815897055.660454,950003044.676315,357852443.256417,265867736.322726,288131176.544228,809667983.668548,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Value of Herd Increase plus Offtake,Neonatal Male,Neonatal,Male,399895465.229732,5760367943.84429,3709298810.99716,399102420.266284,428390511.223539,488629344.725552,1220142853.97874,1227247149.4799,1428622086.85229,538558206.133391,400032192.605946,432863110.867361,1217927163.86636,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Value of Herd Increase plus Offtake,Juvenile Female,Juvenile,Female,154638639.184731,4158184406.33069,2604247691.55203,147228788.804644,520142856.211027,523176534.615589,760876648.591093,779152424.677098,1258438555.6075,221511406.579915,152151469.796521,521963654.711925,750267430.023314,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Value of Herd Increase plus Offtake,Juvenile Male,Juvenile,Male,1412697136.62209,6906176907.34762,4990319911.08232,1405631267.3055,1766255734.41574,1770922831.45793,2188488075.74614,2189978357.9945,2711014267.52216,1503167239.82573,1410979618.55151,1769087288.00478,2177152581.07539,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Value of Herd Increase plus Offtake,Adult Female,Adult,Female,2525449044.07697,10000497508.0918,7497623078.46696,2473508883.12299,3295285238.123,3054780588.36668,3075111225.43891,3085259967.00294,6153669252.92355,4847134333.76566,2497845105.9317,3101765955.81635,3091856372.57816,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Value of Herd Increase plus Offtake,Adult Male,Adult,Male,1141791686.23624,8720772773.11147,5006639527.71951,2155547051.76941,1718336688.6249,1716335838.13967,2072543974.13659,2083733132.02246,3685656025.37876,1196670236.54844,1987291069.32466,1720156104.66325,2055721291.7415,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Value of Manure,Neonatal Female,Neonatal,Female,39801084.0,70867156.5,62699245.5,39805069.5,39916540.5,39940474.5,45439359.0,45487845.0,46321581.0,40395400.5,39807790.5,39930904.5,45422296.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Value of Manure,Neonatal Male,Neonatal,Male,39801402.0,70867156.5,62699017.5,39804928.5,39916158.0,39941028.0,45439359.0,45487845.0,46321581.0,40395600.0,39808038.0,39930267.0,45422296.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Value of Manure,Juvenile Female,Juvenile,Female,69611139.0,102187185.0,89987334.0,69523203.0,73931886.0,73950789.0,74575353.0,74557665.0,79685586.0,69951153.0,69579915.0,73938621.0,74458239.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Value of Manure,Juvenile Male,Juvenile,Male,52930968.0,81589281.0,71613705.0,52874949.0,55754976.0,55773225.0,57492534.0,57491055.0,61022334.0,53266746.0,52912731.0,55761150.0,57410013.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Value of Manure,Adult Female,Adult,Female,783615654.0,831888387.0,822002283.0,783121990.5,786883108.5,787423509.0,786362616.0,786469981.5,815066217.0,806546070.0,783346495.5,787914693.0,786574579.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Value of Manure,Adult Male,Adult,Male,167370772.5,192556134.0,180274680.0,172354990.5,169811640.0,169787551.5,170403174.0,170462205.0,178435129.5,167452083.0,172387723.5,169816234.5,170335098.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Value of Hides,Juvenile Female,Juvenile,Female,10666659.4493123,4283795.06666666,13649392.8790014,10831471.6415471,3252839.06666671,3253495.73333338,11422138.3917534,11535216.4976282,3461665.46666672,10824884.284242,10735365.9703908,3253013.20000005,11598582.1755087,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Value of Hides,Juvenile Male,Juvenile,Male,36547333.5230228,45210801.6000011,47899870.8789486,36644452.7076484,32399980.2000006,32408595.0000006,39330566.2630983,39417137.9042045,34997898.6000007,36812208.1315669,36589843.5200696,32402086.2000006,39426190.4012644,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Value of Hides,Adult Female,Adult,Female,39554442.699632,24239821.2000022,24019063.8666688,39828940.1574825,40518902.5751431,40153320.8512321,40359277.3553709,40262722.0088353,23873798.9333355,23680041.3333354,39715600.6875553,39805119.3928291,40127478.8571943,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Value of Hides,Adult Male,Adult,Male,101769533.067816,108821457.200002,107777582.843902,99905561.966668,102982211.072533,102999173.540851,103239398.621007,103209539.091303,102641382.000002,101853176.567544,99920924.8333347,102980023.18626,103204976.435687,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Total Production Value,Neonatal Female,Neonatal,Female,305689893.455096,3727324057.84128,2533223001.82945,306009400.46359,325170806.976372,328332675.472097,918979793.813013,861384900.660454,996324625.676315,398247843.756417,305675526.822726,328062081.044228,855090280.168548,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Total Production Value,Neonatal Male,Neonatal,Male,439696867.229732,5831235100.34429,3771997828.49716,438907348.766284,468306669.223539,528570372.725552,1265582212.97874,1272734994.4799,1474943667.85229,578953806.133391,439840230.605946,472793377.867361,1263349460.36636,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Total Production Value,Juvenile Female,Juvenile,Female,234916437.634044,4264655386.39736,2707884418.43103,227583463.446191,597327581.277694,600380819.348923,846874139.982846,865245306.174726,1341585807.07416,302287443.864157,232466750.766912,599155288.911925,836324251.198822,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Total Production Value,Juvenile Male,Juvenile,Male,1502175438.14512,7032976989.94763,5109833486.96127,1495150669.01315,1854410690.61574,1859104651.45793,2285311176.00924,2286886550.89871,2807034500.12216,1593246193.95729,1500482193.07158,1857250524.20478,2273988784.47666,,,,,,,,,,,,,,,,,,,,,,,,,,
