Species,Production system,Age class,AHLE,mean,sd
Poultry hybrid,Small holder,Adult,Mortality,32627843.797969997,131876087.13847461
Poultry hybrid,Small holder,Juvenile,Mortality,-9157182.515399992,118367455.43974681
Poultry hybrid,Small holder,Chick,Mortality,-28709316.649933994,120203268.39425023
Poultry hybrid,Village,Adult,Mortality,2626651555.8034,1582924678.7590764
Poultry hybrid,Village,Juvenile,Mortality,530023904.6175499,1222886559.364678
Poultry hybrid,Village,Chick,Mortality,2613326246.4041004,1555088937.0633035
Poultry hybrid,Small holder,Adult,Health cost,1009398.69896175,9445.667736312722
Poultry hybrid,Small holder,Juvenile,Health cost,892878.056238388,14686.115108043625
Poultry hybrid,Small holder,Chick,Health cost,81444.2088191968,0.0
Poultry hybrid,Village,Adult,Health cost,0.0,0.0
Poultry hybrid,Village,Juvenile,Health cost,0.0,0.0
Poultry hybrid,Village,Chick,Health cost,0.0,0.0
Poultry hybrid,Small holder,Adult,Production loss,119454864.21655305,190891719.31922245
Poultry hybrid,Small holder,Juvenile,Production loss,-19129348.344829384,167853673.74735194
Poultry hybrid,Small holder,Chick,Production loss,-9596434.040905194,168748827.15947646
Poultry hybrid,Village,Adult,Production loss,25775696316.96679,8244049047.18172
Poultry hybrid,Village,Juvenile,Production loss,568012906.5237103,1785639076.6029782
Poultry hybrid,Village,Chick,Production loss,302881168.7272396,2221056216.999416
