agesex_scenario,species,production_system,item,mean_current,stdev_current,mean_ideal,stdev_ideal,mean_mortality_zero,stdev_mortality_zero,mean_mortality_zero_j,stdev_mortality_zero_j,mean_mortality_zero_n,stdev_mortality_zero_n,mean_all_mort_25_imp,stdev_all_mort_25_imp,mean_mort_25_imp_j,stdev_mort_25_imp_j,mean_mort_25_imp_n,stdev_mort_25_imp_n,mean_all_mort_50_imp,stdev_all_mort_50_imp,mean_mort_50_imp_j,stdev_mort_50_imp_j,mean_mort_50_imp_n,stdev_mort_50_imp_n,mean_all_mort_75_imp,stdev_all_mort_75_imp,mean_mort_75_imp_j,stdev_mort_75_imp_j,mean_mort_75_imp_n,stdev_mort_75_imp_n,mean_current_growth_25_imp_all,stdev_current_growth_25_imp_all,mean_current_growth_50_imp_all,stdev_current_growth_50_imp_all,mean_current_growth_75_imp_all,stdev_current_growth_75_imp_all,mean_current_growth_100_imp_all,stdev_current_growth_100_imp_all,mean_current_repro_25_imp,stdev_current_repro_25_imp,mean_current_repro_50_imp,stdev_current_repro_50_imp,mean_current_repro_75_imp,stdev_current_repro_75_imp,mean_current_repro_100_imp,stdev_current_repro_100_imp,mean_ideal_a,stdev_ideal_a,mean_ideal_j,stdev_ideal_j,mean_ideal_n,stdev_ideal_n,mean_mortality_zero_a,stdev_mortality_zero_a,exchg_rate_lcuperusdol,mean_current_usd,mean_ideal_usd,mean_mortality_zero_usd,mean_mortality_zero_j_usd,mean_mortality_zero_n_usd,mean_all_mort_25_imp_usd,mean_mort_25_imp_j_usd,mean_mort_25_imp_n_usd,mean_all_mort_50_imp_usd,mean_mort_50_imp_j_usd,mean_mort_50_imp_n_usd,mean_all_mort_75_imp_usd,mean_mort_75_imp_j_usd,mean_mort_75_imp_n_usd,mean_current_growth_25_imp_all_usd,mean_current_growth_50_imp_all_usd,mean_current_growth_75_imp_all_usd,mean_current_growth_100_imp_all_usd,mean_current_repro_25_imp_usd,mean_current_repro_50_imp_usd,mean_current_repro_75_imp_usd,mean_current_repro_100_imp_usd,mean_ideal_a_usd,mean_ideal_j_usd,mean_ideal_n_usd,mean_mortality_zero_a_usd,stdev_current_usd,stdev_ideal_usd,stdev_mortality_zero_usd,stdev_mortality_zero_j_usd,stdev_mortality_zero_n_usd,stdev_all_mort_25_imp_usd,stdev_mort_25_imp_j_usd,stdev_mort_25_imp_n_usd,stdev_all_mort_50_imp_usd,stdev_mort_50_imp_j_usd,stdev_mort_50_imp_n_usd,stdev_all_mort_75_imp_usd,stdev_mort_75_imp_j_usd,stdev_mort_75_imp_n_usd,stdev_current_growth_25_imp_all_usd,stdev_current_growth_50_imp_all_usd,stdev_current_growth_75_imp_all_usd,stdev_current_growth_100_imp_all_usd,stdev_current_repro_25_imp_usd,stdev_current_repro_50_imp_usd,stdev_current_repro_75_imp_usd,stdev_current_repro_100_imp_usd,stdev_ideal_a_usd,stdev_ideal_j_usd,stdev_ideal_n_usd,stdev_mortality_zero_a_usd
Adult Female,Sheep,Crop livestock mixed,Num Offtake,3860778.8583571,29679.1845782411,4278340.51548609,139176.342336252,3880424.73271613,29816.236297289,3931622.27223488,28837.0094263683,3959728.07292018,29357.1358753514,3862233.30251908,29950.5570053599,3875238.8586218,29660.4099526723,3884296.45921251,29114.2430776093,3866435.05767414,29127.6441981948,3894380.21806528,29111.7056194642,3907126.7315378,29051.9176726619,3874778.05211353,29596.452905888,3911621.0942537,28904.274064615,3932861.56130762,28783.6375707518,3857607.21527275,29203.2493848816,3861378.78371748,30094.833651082,3859587.55809565,29958.2923908216,3858857.68936756,30266.1433315537,3923582.62817915,42853.9928093346,3986103.60622207,61298.6769989198,4049884.23812858,80814.8585992338,4254453.67820001,138259.147582678,,,,,,,,,29.06975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult Female,Sheep,Crop livestock mixed,Cml Pop Growth,2021761.46106071,376476.643216836,10321955.8543689,1993181.95988702,3041085.67322343,376182.970194238,2619493.35408918,378818.350257144,3904692.27479155,396101.323055934,2246698.6265601,373042.239012227,2127802.57427723,376611.228955903,2421416.65745172,375644.186027573,2500349.84919476,364414.433226171,2282827.38824148,377006.651714787,2878529.12353763,381006.092209718,2768883.41296522,369187.484411465,2422029.24810871,377627.578221733,3388958.84398628,384025.868018761,1980422.24442827,371239.405459982,2039705.89321117,373668.559833175,2017120.37284626,374884.502102347,1994635.35245554,381919.683176364,3153539.82091965,568584.219203478,4270733.239238,833285.164285152,5408479.469769,1091359.93410146,9062519.20950105,1898193.83695861,,,,,,,,,29.06975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult Female,Sheep,Crop livestock mixed,Total Number Increase,5882540.31941781,395230.671782949,14600296.3698549,2087131.54114111,6921510.40593956,394922.237030368,6551115.62632406,397756.984717766,7864420.34771173,415761.046174482,6108931.92907918,391924.440225339,6003041.43289903,395718.291733619,6305713.11666423,394347.160989564,6366784.9068689,382344.270198382,6177207.60630676,395680.187123359,6785655.85507543,399943.275149004,6643661.46507875,387564.662251943,6333650.3423624,396289.057729182,7321820.4052939,403276.889137718,5838029.45970102,389367.657189306,5901084.67692865,392368.855141116,5876707.9309419,393750.331854683,5853493.0418231,401150.929646822,7077122.4490988,596431.352535089,8256836.84546007,874792.731615696,9458363.70789758,1146609.44682857,13316972.8877011,1994837.006404,,,,,,,,,29.06975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult Female,Sheep,Crop livestock mixed,Total Mortality,3756133.28516592,162738.223314325,4123442.14516004,401832.293776057,2929736.80049531,143325.021050371,3110541.81066407,146842.476607067,1783357.47847733,107167.611562153,3582679.26696517,155465.815223177,3619677.11102885,158852.706376559,3312138.3105339,144008.360067037,3344728.14781684,148791.299330343,3441652.55575128,154803.700435179,2839901.19408068,126778.189535487,3146242.70626662,145570.672770936,3282698.69461406,151487.542857809,2345667.17055079,112085.092570889,3760207.56213282,162528.80780952,3748688.60597267,164138.277355954,3738979.34538803,165412.003178502,3740088.3390443,165941.459361665,3905200.70590119,182775.735905109,4130666.18868706,227769.893600976,4303402.71631931,265267.848632517,4952036.57261726,403880.413585884,,,,,,,,,29.06975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult Female,Sheep,Crop livestock mixed,Population Liveweight (kg),655504043.361633,65864036.8400682,842529608.158398,78268830.2524699,682690858.056471,68592820.446475,670936369.575169,66364164.0895242,689244332.082689,68019388.959161,662869012.606053,67755426.2514937,659582962.507555,67492633.6303856,664314039.443834,66510311.3822913,669244961.07417,67292528.151218,662931956.240832,66943579.3666776,670764241.314419,67288589.707954,675314409.587166,68004705.6233919,667657166.707045,66568408.9828599,682397377.429269,66732490.3258998,665672881.080217,66287365.4513951,675441387.447578,65654331.8197531,684341517.246303,66898572.06028,679201403.363367,60670611.4668545,678407867.623982,68234053.7781072,697247928.083558,69382009.2294015,716625882.18566,72210554.6212963,784585317.62421,80629011.4746192,,,,,,,,,29.06975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult Female,Sheep,Crop livestock mixed,Offtake Liveweight (kg),110706113.042949,17051648.1949513,122608434.091179,18427456.7104103,111962569.260971,17081243.0866852,112714553.27032,17266443.4642487,113352782.958389,17398340.2442768,111237542.562852,17112251.0510591,111565620.05004,16925914.1632837,111224777.73381,17096262.866398,111469839.40581,16899426.8434288,112180323.940044,17156688.2796579,112450784.453274,17068837.9796457,111481653.385326,17212304.2571978,112450201.560617,16826507.0949568,112807662.423437,17184066.094192,111375403.656876,17036968.8993467,111912952.419057,16936896.5774856,111933716.827755,17108402.0029822,111562576.592813,16887583.4664223,112559876.435872,17231456.3787079,114250785.790131,17412743.9768555,115888657.540376,17696669.6767967,120766741.492615,18473810.801273,,,,,,,,,29.06975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult Female,Sheep,Crop livestock mixed,Meat (kg),297509530.316392,14996858.36816,315902495.965232,16778943.1321215,299828909.988833,15183950.2762175,301367403.399837,14990417.3846921,300927054.263943,15305955.6061263,298408636.263022,15070716.5081879,299004043.248524,15065841.1010684,298718064.694889,15192916.5783059,299198284.087969,15000897.8196958,299932844.720709,15086016.0861568,299899014.528474,14923554.3027309,298788817.785755,15104033.0772997,301053262.698175,15010368.722097,301253772.97998,15110896.4385723,299050088.18358,15231530.3755713,301085105.499975,15145446.0930266,301016122.329066,15280767.9365402,300323731.057938,15065893.3290529,300901445.697494,15286010.293381,302809137.325538,15342913.0192087,305113764.707356,15791015.7382632,312405884.614884,16866935.5619721,,,,,,,,,29.06975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult Female,Sheep,Crop livestock mixed,Manure,2304566985.48833,14313021.9612334,2577403939.94396,68093510.540893,2355395163.47557,13287261.6607002,2332142756.48498,14191015.7831807,2360892758.49428,14621704.9695307,2316044827.99768,13997169.3348473,2309868728.64337,14513426.1015696,2316791087.34762,14343744.8381619,2328869929.20505,13252048.7628893,2316872130.79671,14201010.5858243,2330513027.69691,14362451.6784208,2342187551.01563,13185583.2510546,2323484997.48463,14184314.0203896,2345699928.80037,14252933.4750392,2303118415.17511,14090780.6738943,2305133024.66374,14338905.5248586,2304609196.15302,14423001.1494192,2303690309.66041,14541895.1426389,2339954531.70969,20610986.119517,2374874943.80898,29926677.6577826,2409589179.92681,39127863.7476507,2522591771.20949,67414369.6565754,,,,,,,,,29.06975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult Female,Sheep,Crop livestock mixed,Hides,871171.411726325,51546.0294827915,545282.677631112,51343.5911346848,452595.181113508,32788.8534395903,539116.907131388,40853.0445113463,891678.739238663,53583.8057810764,773099.523920288,44438.6668164825,797587.480474376,49332.7553245607,877816.94842239,52098.3779055869,665914.300867485,38436.1898739553,714905.800987525,44716.4909381729,883433.994624106,52208.6494739335,556096.847734338,33793.7344156211,626899.598780009,43285.118752066,897268.088265343,52476.7868679072,875059.791449467,51276.1402293622,868510.676393744,51872.4874075638,866090.199728679,52923.3943770993,871522.982206171,52352.2401094648,878251.399334654,50844.5879510492,899943.207165237,54635.8163827561,918389.248036637,58520.6571495025,964496.307965548,65734.4415469097,,,,,,,,,29.06975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult Female,Sheep,Crop livestock mixed,Milk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,29.06975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
