"AHLE","Production system","Age class","Cause","median","mean","sd","lower95","upper95"
"Mortality","Crop livestock mixed","Adult","External",NA,NA,NA,NA,NA
"Mortality","Crop livestock mixed","Adult","Infectious",NA,NA,NA,NA,NA
"Mortality","Crop livestock mixed","Adult","Non-infectious",NA,NA,NA,NA,NA
"Mortality","Crop livestock mixed","Juvenile","External",3161984190.58818,3152746293.09031,10841159999.4816,2480816581.88055,3824676004.30007
"Mortality","Crop livestock mixed","Juvenile","Infectious",10353990281.1465,9953003372.85357,32344984625.7502,7948277293.75283,11957729451.9543
"Mortality","Crop livestock mixed","Juvenile","Non-infectious",4342390628.18366,4690780109.04082,14804485716.7605,3773205438.73362,5608354779.34803
"Mortality","Crop livestock mixed","Oxen","External",569722874.956411,1006970730.82875,11455011235.8472,296994824.931654,1716946636.72586
"Mortality","Crop livestock mixed","Oxen","Infectious",1531819497.28277,2451702505.07316,26727908557.2765,795120010.30411,4108284999.84222
"Mortality","Crop livestock mixed","Oxen","Non-infectious",829721521.273786,1363244114.88836,17146773842.2264,300495590.142185,2425992639.63454
"Mortality","Crop livestock mixed","Sub-adult","External",3212012676.91227,3386668176.14539,11931527367.5254,2647158037.12557,4126178315.16521
"Mortality","Crop livestock mixed","Sub-adult","Infectious",8204899620.21259,8226083283.0606,27858870237.5582,6499404345.175,9952762220.9462
"Mortality","Crop livestock mixed","Sub-adult","Non-infectious",4866217152.99458,4919424480.27016,17109380037.583,3858993604.95969,5979855355.58064
"Mortality","Dairy","Adult","External",NA,NA,NA,NA,NA
"Mortality","Dairy","Adult","Infectious",NA,NA,NA,NA,NA
"Mortality","Dairy","Adult","Non-infectious",NA,NA,NA,NA,NA
"Mortality","Dairy","Juvenile","External",42203157.1288923,45623231.7676972,887931142.432296,-9410299.3431079,100656762.878502
"Mortality","Dairy","Juvenile","Infectious",210762298.389581,207534117.24342,3540249281.07468,-11888774.5095676,426957008.996408
"Mortality","Dairy","Juvenile","Non-infectious",101486983.146562,91880994.7652149,1782383976.70517,-18590278.6768962,202352268.207326
"Mortality","Dairy","Sub-adult","External",-8304088.89084243,-7205075.0888471,1109247432.71884,-75955679.9284193,61545529.7507251
