"AHLE","Production system","Age class","Cause","median","mean","sd","lower95","upper95"
"Mortality","Crop livestock mixed","Adult female","External",22742450989.3561,22765275908.3444,3609366740.4203,22541569150.7966,22988982665.8922
"Mortality","Crop livestock mixed","Adult female","Infectious",45863462108.4526,46026963420.5891,5043864862.28044,45714347182.0635,46339579659.1148
"Mortality","Crop livestock mixed","Adult female","Non-infectious",29927427412.5681,30003826786.375,4382166253.04175,29732222298.9382,30275431273.8118
"Mortality","Crop livestock mixed","Adult male","External",22291969629.1579,22283532249.515,3455920563.74287,22069336009.7703,22497728489.2597
"Mortality","Crop livestock mixed","Adult male","Infectious",42399088516.7136,42440334225.3353,4131147857.05606,42184287733.3834,42696380717.2872
"Mortality","Crop livestock mixed","Adult male","Non-infectious",25038531554.084,25176339727.4164,3172938860.36923,24979682553.0701,25372996901.7627
"Mortality","Crop livestock mixed","Juvenile","External",21299209944.3355,21231521505.391,3093918597.10849,21039761967.7067,21423281043.0752
"Mortality","Crop livestock mixed","Juvenile","Infectious",44726337039.1306,45017545027.0698,4143745562.03454,44760717735.6215,45274372318.5181
"Mortality","Crop livestock mixed","Juvenile","Non-infectious",25994942102.2433,25827958495.2066,3429285304.33633,25615413095.6083,26040503894.8048
"Mortality","Crop livestock mixed","Neonate","External",19811401947.815,19810065598.1086,3427916649.72095,19597605027.0435,20022526169.1737
"Mortality","Crop livestock mixed","Neonate","Infectious",52270396787.2619,52290725022.5648,4820779685.78336,51991935492.4565,52589514552.6731
"Mortality","Crop livestock mixed","Neonate","Non-infectious",25716498057.0261,25696164043.5193,3904632508.33067,25454156860.3555,25938171226.6831
"Mortality","Pastoral","Adult female","External",9336006240.82022,9369140896.5399,1534330919.88836,9274043828.33409,9464237964.74571
"Mortality","Pastoral","Adult female","Infectious",15128734284.7625,15255954562.7462,2110775119.36084,15125129769.417,15386779356.0753
"Mortality","Pastoral","Adult female","Non-infectious",9880537953.86728,10035871054.4699,1656354642.10585,9933211016.57875,10138531092.3611
"Mortality","Pastoral","Adult male","External",9282924093.99773,9328055276.98758,1784766062.62449,9217436363.04353,9438674190.93162
"Mortality","Pastoral","Adult male","Infectious",12761941550.0382,12852771390.9105,2167945680.93318,12718403194.5756,12987139587.2453
"Mortality","Pastoral","Adult male","Non-infectious",8468600486.84361,8482261308.1552,1655701314.98452,8379641763.15445,8584880853.15596
"Mortality","Pastoral","Juvenile","External",8312002542.93791,8361837839.6691,1643177280.83036,8259994528.08366,8463681151.25454
"Mortality","Pastoral","Juvenile","Infectious",16255053778.4632,16275103340.2729,2670329084.95712,16109597670.1254,16440609010.4204
"Mortality","Pastoral","Juvenile","Non-infectious",7852946637.9812,7951165053.88028,1546540392.77091,7855311248.6105,8047018859.15005
"Mortality","Pastoral","Neonate","External",9232764420.07118,9364604894.2345,1846284693.6609,9250173086.0994,9479036702.3696
"Mortality","Pastoral","Neonate","Infectious",17239948278.079,17179180456.6601,2653469895.01071,17014719710.7303,17343641202.5898
"Mortality","Pastoral","Neonate","Non-infectious",8102912840.15031,8193568798.9803,1575311447.4841,8095931778.03199,8291205819.92862
"Production loss","Crop livestock mixed","Adult female","External",20157786822.4477,20280875719.0223,3853729335.10474,20042023489.2479,20519727948.7967
"Production loss","Crop livestock mixed","Adult female","Infectious",45157068550.1256,45261779251.5973,7130471743.11963,44819836155.1599,45703722348.0347
"Production loss","Crop livestock mixed","Adult female","Non-infectious",31503783529.3297,31738658133.3798,5432219802.47831,31401971848.5835,32075344418.176
"Production loss","Crop livestock mixed","Adult male","External",1071644155.56611,1013836224.13345,1526234508.60291,919240967.477058,1108431480.78983
"Production loss","Crop livestock mixed","Adult male","Infectious",2355893115.37231,2141149645.7732,3228392395.87245,1941055488.84404,2341243802.70235
"Production loss","Crop livestock mixed","Adult male","Non-infectious",1606077649.10292,1482269569.93923,2233200545.00779,1343856909.54567,1620682230.3328
"Production loss","Crop livestock mixed","Juvenile","External",20292716701.814,20279434713.8322,3519029763.17115,20061326997.2577,20497542430.4068
"Production loss","Crop livestock mixed","Juvenile","Infectious",46804440376.8227,46765483070.5234,5529178050.26892,46422787361.695,47108178779.3518
"Production loss","Crop livestock mixed","Juvenile","Non-infectious",28881335926.5209,29036218536.0749,4006647774.66773,28787888497.3816,29284548574.7682
"Production loss","Crop livestock mixed","Neonate","External",21177203090.4882,21260153984.6345,3468953571.98893,21045149965.5131,21475158003.7559
"Production loss","Crop livestock mixed","Neonate","Infectious",47045169607.0504,47325578786.0591,5050792327.58437,47012533186.6752,47638624385.443
"Production loss","Crop livestock mixed","Neonate","Non-infectious",27016393166.9561,27202182193.4256,3726169620.28647,26971236051.4079,27433128335.4434
