"c.31775448368.8217..31998434897.0303..31961349598.024..32809614754.0375..","Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
32809614754.0375,"Value of Offtake","Adult Male",20001465283.9289,504311224.553854,19250929997.8391,19754817048.2,20010492966.0228,20104096168.1126,21141374621.2315
32398060972.4805,"Value of Herd Increase","Overall",4094312456.32996,736827653.425735,2456650056.23425,3785227136.66765,4221271179.00873,4594605722.35954,5068859053.38319
33141470759.6087,"Value of Herd Increase","Neonatal Female",142565725.685794,55579022.695265,59305576.1322852,127769309.257148,137498762.045165,166003340.211984,224190841.218145
32234332888.1372,"Value of Herd Increase","Neonatal Male",1569224003.15778,209248241.576905,1125453008.62441,1501826709.99442,1610404720.91401,1669393444.30934,1843977015.63336
30803985722.9605,"Value of Herd Increase","Juvenile Female",484050394.05091,94260838.271176,330459519.116179,448875998.755721,477326211.233039,507633137.426087,663140892.390467
34527129284.7381,"Value of Herd Increase","Juvenile Male",1309402027.82439,155062921.140253,1105405126.57316,1200232697.02719,1314206000.72984,1350386816.9474,1584922808.69468
33340597328.4938,"Value of Herd Increase","Adult Female",4594949711.48965,418600271.037097,3802559389.9479,4318564582.43431,4702464813.05074,4828926463.81307,5292706508.07489
31775448368.8217,"Value of Herd Increase","Adult Male",-4005879405.87857,539659405.096057,-4597327702.18675,-4545538686.77558,-4040374920.58566,-3480517922.38519,-3274705930.58116
31998434897.0303,"Value of Herd Increase plus Offtake","Overall",34390427198.2879,1031488351.11885,32679082609.7448,33796713699.1381,34188012120.2958,34984685925.7422,36358542739.7947
31961349598.024,"Value of Herd Increase plus Offtake","Neonatal Female",142565725.685794,55579022.695265,59305576.1322852,127769309.257148,137498762.045165,166003340.211984,224190841.218145
32809614754.0375,"Value of Herd Increase plus Offtake","Neonatal Male",1569224003.15778,209248241.576905,1125453008.62441,1501826709.99442,1610404720.91401,1669393444.30934,1843977015.63336
32398060972.4805,"Value of Herd Increase plus Offtake","Juvenile Female",1135435835.06866,99034864.473784,967966122.555009,1091468837.62483,1142845178.62237,1165369604.15348,1322029232.95809
33141470759.6087,"Value of Herd Increase plus Offtake","Juvenile Male",4107461489.88609,218455094.410236,3823718297.42373,3948780110.47033,4086436768.44762,4174633128.29689,4485992299.97586
32234332888.1372,"Value of Herd Increase plus Offtake","Adult Female",11440154266.4393,535026737.368749,10494912066.9658,11069689707.4964,11578323984.2211,11720800309.9685,12336378153.4285
30803985722.9605,"Value of Herd Increase plus Offtake","Adult Male",15995585878.0504,774477668.191779,14972288751.0389,15579214394.7499,15856454951.1445,16178918093.2808,17866668690.6503
34527129284.7381,"Value of Manure","Overall",200671360.435145,2760796.27069025,196308689.573161,198358045.781486,200605795.088606,203230923.747096,203788514.445538
33340597328.4938,"Value of Manure","Neonatal Female",54428919.3872735,1537269.99047141,50973154.1140051,53690062.0580397,54703566.2070472,55488772.8730989,56114771.274775
31775448368.8217,"Value of Manure","Neonatal Male",47526712.0953284,1910321.97051033,42996310.1067239,47359998.4307109,47970867.4078419,48443154.6640388,49976519.9567711
31998434897.0303,"Value of Manure","Juvenile Female",98715728.9525434,1722134.86610657,96363869.5564116,97136340.8437148,98852127.1971976,100328029.855872,100803199.109292
31961349598.024,"Value of Manure","Juvenile Male",65137891.4444055,747268.167971734,64010261.3627433,64410761.2407562,65404367.4775063,65642255.1179373,66090946.7860621
32809614754.0375,"Value of Manure","Adult Female",892500466.969135,1327702.40468655,890942796.13885,891377480.412474,892236222.026601,893395336.012028,894666198.3017
32398060972.4805,"Value of Manure","Adult Male",265213410.656718,996144.129540098,263353015.616932,264773507.664977,265201115.398865,266060920.205859,266456787.605163
33141470759.6087,"Value of Hides","Overall",159155280.751519,423554.459885301,158466359.247064,158846273.390964,159080969.484544,159476292.918654,159730179.196362
32234332888.1372,"Value of Hides","Juvenile Female",7092935.18259611,99369.5397725346,6981073.47160936,7004669.99060487,7094896.0049612,7138415.92776378,7255023.63655415
30803985722.9605,"Value of Hides","Juvenile Male",22720730.8699541,227828.921037391,22346227.8334333,22586849.3016397,22707875.9038035,22893768.7701089,23042527.5997266
34527129284.7381,"Value of Hides","Adult Female",42942885.1028351,59629.4930901257,42858881.2118407,42894658.3772118,42944454.7496736,42980757.8579671,43038856.9413489
33340597328.4938,"Value of Hides","Adult Male",86398729.5961339,180391.354959026,86085229.6556171,86290981.7599447,86413358.4516427,86503609.8705007,86643851.845379
31775448368.8217,"Value of Milk","Overall",0,0,0,0,0,0,0
31998434897.0303,"Total Production Value","Overall",34750253839.4746,1031177706.53461,33036291985.5117,34158112601.7482,34547645875.0563,35347134395.7208,36713973222.9478
31961349598.024,"Total Production Value","Neonatal Female",196994645.073067,56264921.6697581,112630498.312861,181434229.378087,192827394.752228,221165750.74881,280129595.276153
32809614754.0375,"Total Production Value","Neonatal Male",1616750715.25311,209387294.451492,1173153227.84644,1546088781.07638,1659551436.57527,1717943147.81958,1889837507.10541
32398060972.4805,"Total Production Value","Juvenile Female",1241244499.2038,100207675.02198,1071313765.99438,1195794179.07061,1249264325.55488,1270893740.10262,1430020136.60819
33141470759.6087,"Total Production Value","Juvenile Male",4195320112.20045,218945015.140682,3911698402.31167,4035638156.68433,4174815254.67175,4262097600.6774,4575125774.36165
32234332888.1372,"Total Production Value","Adult Female",12375597618.5112,535636612.821457,11429456606.6854,12005551564.0089,12512707422.7508,12657519162.5868,13272760952.5082
30803985722.9605,"Total Production Value","Adult Male",16347198018.3032,774318374.146298,15323771783.6979,15931080709.1417,16207745074.4321,16530784532.177,18217864833.4738
34527129284.7381,"Feed Cost","Overall",0,0,0,0,0,0,0
33340597328.4938,"Feed Cost","Neonatal Female",0,0,0,0,0,0,0
31775448368.8217,"Feed Cost","Neonatal Male",0,0,0,0,0,0,0
31998434897.0303,"Feed Cost","Juvenile Female",0,0,0,0,0,0,0
31961349598.024,"Feed Cost","Juvenile Male",0,0,0,0,0,0,0
32809614754.0375,"Feed Cost","Adult Female",0,0,0,0,0,0,0
32398060972.4805,"Feed Cost","Adult Male",0,0,0,0,0,0,0
33141470759.6087,"Labour Cost","Overall",2236921319.68483,83536518.84677,2114590170.296,2167042155.64721,2237123780.01859,2316085016.82907,2349354922.48058
32234332888.1372,"Labour Cost","Neonatal Female",1175388536.24738,51905574.3749843,1115850268.87419,1135027143.78737,1163268582.64276,1208358149.26959,1270624693.51488
30803985722.9605,"Labour Cost","Neonatal Male",1061532783.43745,49563001.6963211,961935000.142091,1035514476.21342,1067788656.77172,1096823090.67776,1127643453.2393
34527129284.7381,"Labour Cost","Juvenile Female",1096900566.38455,51639279.4402243,1002130458.8076,1080791390.95304,1113875539.50984,1129353483.76696,1160303370.87956
33340597328.4938,"Labour Cost","Juvenile Male",709685586.088159,33298140.8830243,677080823.780783,687269344.549025,691512305.320167,739109229.11151,766481333.808687
31775448368.8217,"Labour Cost","Adult Female",6447861395.19208,229161063.868865,6023950369.74874,6277933196.67943,6553734367.83317,6610323218.89924,6724773807.02391
31998434897.0303,"Labour Cost","Adult Male",1948052838.89846,94364230.2706076,1814013008.75476,1877013655.82296,1936716840.3496,1994331312.15302,2105731493.70101
31961349598.024,"Health Cost","Overall",14290062.3565408,355613.109625816,13775613.3193337,14131692.3870225,14166450.3003614,14343953.5492675,14920397.8448214
32809614754.0375,"Health Cost","Neonatal Female",7618705.79646182,245710.948553573,7305648.10676185,7436002.49483071,7568691.39439324,7728641.98230101,8089686.24905454
32398060972.4805,"Health Cost","Neonatal Male",6671356.560079,176669.722604631,6380828.18311048,6576092.65941979,6661026.76013022,6768772.7785518,6996705.57273058
33141470759.6087,"Health Cost","Juvenile Female",6818530.60156833,203583.801689591,6430446.52262048,6749312.30414305,6803840.25573935,6904337.71412152,7128179.03855916
32234332888.1372,"Health Cost","Juvenile Male",4523806.52397422,90578.8376285706,4398781.47756735,4440174.89500744,4521828.70406535,4614014.09981189,4627182.87415543
30803985722.9605,"Health Cost","Adult Female",41634252.8206531,911280.696698935,40333506.3338545,40850728.4824911,41833420.6099823,42205508.9347492,42817890.3317051
34527129284.7381,"Health Cost","Adult Male",12142711.4847513,256902.628351829,11632552.4746161,11991018.030134,12156482.6219753,12306826.5461914,12483726.7913576
33340597328.4938,"Capital Cost","Overall",0,0,0,0,0,0,0
31775448368.8217,"Capital Cost","Neonatal Female",0,0,0,0,0,0,0
31998434897.0303,"Capital Cost","Neonatal Male",0,0,0,0,0,0,0
31961349598.024,"Capital Cost","Juvenile Female",0,0,0,0,0,0,0
32809614754.0375,"Capital Cost","Juvenile Male",0,0,0,0,0,0,0
32398060972.4805,"Capital Cost","Adult Female",0,0,0,0,0,0,0
33141470759.6087,"Capital Cost","Adult Male",0,0,0,0,0,0,0
32234332888.1372,"Total Expenditure","Overall",2251211382.04137,83758505.6897256,2128775575.62284,2181133143.90114,2251260891.78724,2330994638.61271,2363639989.02182
30803985722.9605,"Total Expenditure","Neonatal Female",1183007242.04384,51982189.2768872,1123407954.13604,1142501314.35047,1171150362.6629,1215899916.73943,1278204391.04182
34527129284.7381,"Total Expenditure","Neonatal Male",1068204139.99753,49704344.0950785,968446531.677696,1042121411.26409,1074435791.02688,1103496065.84901,1134640158.81203
33340597328.4938,"Total Expenditure","Juvenile Female",1103719096.98612,51789573.1891783,1008774533.58018,1087581400.609,1120837009.62461,1136142594.62867,1167232638.56691
31775448368.8217,"Total Expenditure","Juvenile Male",714209392.612133,33253051.1287582,681479605.258351,691870041.208646,696125184.45868,743564807.242152,770909862.724629
31998434897.0303,"Total Expenditure","Adult Female",6489495648.01273,229426583.930224,6064596398.31035,6320412821.48949,6595848522.10205,6652052902.36351,6765177884.10914
31961349598.024,"Total Expenditure","Adult Male",1960195550.38321,94564325.5484519,1825645561.22938,1889119008.00483,1948913818.87322,2006571541.33755,2118154451.03662
32809614754.0375,"Gross Margin","Overall",32499042457.4332,1019112672.32684,30803985722.9605,31970620922.7756,32316196930.3089,33058506758.2159,34527129284.7381
32398060972.4805,"Gross Margin","Neonatal Female",-986012596.970773,50598029.9882458,-1086809835.14181,-1015887630.28391,-984129283.230826,-938919927.444992,-932126789.089389
33141470759.6087,"Gross Margin","Neonatal Male",548546575.255583,188711783.208916,204706696.168743,493671883.373506,583555598.370237,639128918.477783,804401909.125403
32234332888.1372,"Gross Margin","Juvenile Female",137525402.217682,73647429.9471331,51546317.7286658,76932444.6850529,137159831.190537,164087404.963823,290880028.45396
30803985722.9605,"Gross Margin","Juvenile Male",3481110719.58832,241433303.65253,3154656851.52113,3316451750.4899,3476441466.86962,3577357366.10728,3879279443.37689
34527129284.7381,"Gross Margin","Adult Female",5886101970.49849,603188578.330231,4811821175.45081,5575309358.80788,5947673556.00977,6369980106.18483,6692046994.89996
33340597328.4938,"Gross Margin","Adult Male",14387002467.92,734082975.35479,13334896185.7962,13987169933.7427,14262740144.04,14646080128.3056,16099710382.4372
