"c.31775448368.8217..31998434897.0303..31961349598.024..32809614754.0375..","Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
31775448368.8217,"Num Offtake","Overall",7957764.03757597,21177.7229942648,7923317.9623532,7942313.6695482,7954048.4742272,7973814.64593271,7986508.95981808
31998434897.0303,"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
31961349598.024,"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
32809614754.0375,"Num Offtake","Juvenile Female",354646.759129806,4968.47698862673,349053.673580468,350233.499530244,354744.80024806,356920.796388189,362751.181827708
32398060972.4805,"Num Offtake","Juvenile Male",1136036.54349771,11391.4460518695,1117311.39167167,1129342.46508199,1135393.79519018,1144688.43850545,1152126.37998633
33141470759.6087,"Num Offtake","Adult Female",2147144.25514176,2981.47465450625,2142944.06059204,2144732.91886059,2147222.73748368,2149037.89289836,2151942.84706744
32234332888.1372,"Num Offtake","Adult Male",4319936.4798067,9019.5677479513,4304261.48278085,4314549.08799724,4320667.92258213,4325180.49352504,4332192.59226895
30803985722.9605,"Cml Pop Growth","Overall",2662918.91770939,182324.518388297,2358901.68393612,2555139.94520958,2668168.65641319,2757361.35810897,2995456.78465772
34527129284.7381,"Cml Pop Growth","Neonatal Female",173121.354543975,67787.6004748268,72900.6651505758,154853.129239778,166391.072949109,203361.386496977,274823.487997158
33340597328.4938,"Cml Pop Growth","Neonatal Male",1066880.42338452,92581.3444167455,852863.533429551,1029229.16688832,1095046.27951251,1128591.7536543,1165853.07673023
31775448368.8217,"Cml Pop Growth","Juvenile Female",265234.21776772,60189.2313755495,168724.656406173,240338.43096581,247274.939081181,280868.512594558,376186.246503715
31998434897.0303,"Cml Pop Growth","Juvenile Male",571503.17595095,29602.2026974995,521741.915903715,550631.887585373,571309.952191957,593741.024334184,616620.887345618
31961349598.024,"Cml Pop Growth","Adult Female",1458901.103989,63160.6307350655,1383513.62047789,1401387.57326457,1460673.67528756,1490000.65939883,1563031.22020181
32809614754.0375,"Cml Pop Growth","Adult Male",-872721.357926783,25402.8968063926,-916187.320976966,-887333.344114672,-873492.20949351,-853811.32962193,-836351.017739514
32398060972.4805,"Total Number Increase","Overall",10620682.9552854,193092.454089554,10310908.9533915,10490651.0028427,10616573.8963661,10714307.8046681,10980657.5953667
33141470759.6087,"Total Number Increase","Neonatal Female",173121.354543975,67787.6004748268,72900.6651505758,154853.129239778,166391.072949109,203361.386496977,274823.487997158
32234332888.1372,"Total Number Increase","Neonatal Male",1066880.42338452,92581.3444167455,852863.533429551,1029229.16688832,1095046.27951251,1128591.7536543,1165853.07673023
30803985722.9605,"Total Number Increase","Juvenile Female",619880.976897525,64775.1618143701,517913.350554184,590726.458937739,600633.22795999,636704.07002288,738153.908019811
34527129284.7381,"Total Number Increase","Juvenile Male",1707539.71944866,39172.0987214836,1651858.79630354,1672751.4000861,1710298.64114433,1737463.60337613,1760956.70575819
33340597328.4938,"Total Number Increase","Adult Female",3606045.35913076,66107.3590735698,3526457.68106992,3545691.23807359,3607896.41277124,3639038.55229719,3714974.06726926
31775448368.8217,"Total Number Increase","Adult Male",3447215.12187991,34303.521349078,3388074.16180389,3427911.74492524,3447508.14169139,3471202.94960172,3495841.57452943
31998434897.0303,"Total Mortality","Overall",0,0,0,0,0,0,0
31961349598.024,"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
32809614754.0375,"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
32398060972.4805,"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
33141470759.6087,"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
32234332888.1372,"Total Mortality","Adult Female",0,0,0,0,0,0,0
30803985722.9605,"Total Mortality","Adult Male",0,0,0,0,0,0,0
34527129284.7381,"Liveweight (kg)","Overall",7760968835.78588,29877453.5105594,7714349849.20832,7737996352.754,7764189723.30182,7778925476.55489,7808059794.98656
33340597328.4938,"Liveweight (kg)","Neonatal Female",318391707.515691,10555620.1780123,299865196.551177,315783621.456192,319720914.659566,325127438.672475,334451456.067056
31775448368.8217,"Liveweight (kg)","Neonatal Male",286897814.75484,14302046.9563555,271482827.135598,275754633.649746,285696164.508804,294125288.429885,315976112.018668
31998434897.0303,"Liveweight (kg)","Juvenile Female",419736642.868903,22525459.8902084,384412874.677958,405673140.091497,420850694.210481,431044941.474055,462350563.5818
31961349598.024,"Liveweight (kg)","Juvenile Male",283994746.688118,13451349.3927928,258287580.109743,279523835.665202,282263129.578345,291262168.99614,304554224.655574
32809614754.0375,"Liveweight (kg)","Adult Female",4974180474.4063,11068290.95034,4958546813.78312,4968071171.39934,4971535869.62124,4982939180.28363,4992194671.28091
32398060972.4805,"Liveweight (kg)","Adult Male",1477767449.55203,7032704.50049076,1469636165.63312,1475177379.24792,1477217960.91068,1479166600.38165,1494890036.17927
33141470759.6087,"Meat (kg)","Overall",281751173.29745,4803557.69272355,272782136.402261,279282010.901682,282807244.017374,285838719.12384,286876921.210061
32234332888.1372,"Manure","Overall",401342720.870291,5521592.54138049,392617379.146321,396716091.562972,401211590.177211,406461847.494192,407577028.891076
30803985722.9605,"Manure","Neonatal Female",108857838.774547,3074539.98094283,101946308.22801,107380124.116079,109407132.414094,110977545.746198,112229542.54955
34527129284.7381,"Manure","Neonatal Male",95053424.1906567,3820643.94102067,85992620.2134479,94719996.8614218,95941734.8156838,96886309.3280777,99953039.9135422
33340597328.4938,"Manure","Juvenile Female",197431457.905087,3444269.73221315,192727739.112823,194272681.68743,197704254.394395,200656059.711744,201606398.218584
31775448368.8217,"Manure","Juvenile Male",130275782.888811,1494536.33594347,128020522.725487,128821522.481512,130808734.955013,131284510.235875,132181893.572124
31998434897.0303,"Manure","Adult Female",1785000933.93827,2655404.80937311,1781885592.2777,1782754960.82495,1784472444.0532,1786790672.02406,1789332396.6034
31961349598.024,"Manure","Adult Male",530426821.313437,1992288.2590802,526706031.233864,529547015.329955,530402230.797731,532121840.411718,532913575.210325
32809614754.0375,"Hides","Overall",7957764.03757597,21177.7229942648,7923317.9623532,7942313.6695482,7954048.4742272,7973814.64593271,7986508.95981808
32398060972.4805,"Hides","Juvenile Female",354646.759129806,4968.47698862673,349053.673580468,350233.499530244,354744.80024806,356920.796388189,362751.181827708
33141470759.6087,"Hides","Juvenile Male",1136036.54349771,11391.4460518695,1117311.39167167,1129342.46508199,1135393.79519018,1144688.43850545,1152126.37998633
32234332888.1372,"Hides","Adult Female",2147144.25514176,2981.47465450625,2142944.06059204,2144732.91886059,2147222.73748368,2149037.89289836,2151942.84706744
30803985722.9605,"Hides","Adult Male",4319936.4798067,9019.5677479513,4304261.48278085,4314549.08799724,4320667.92258213,4325180.49352504,4332192.59226895
34527129284.7381,"Milk","Overall",0,0,0,0,0,0,0
33340597328.4938,"Wool","Overall",0,0,0,0,0,0,0
31775448368.8217,"Cml Dry Matter","Overall",202480464.009729,1234289.7663639,200206040.70664,201930199.522391,202363857.782237,203248239.893393,204424966.875367
31998434897.0303,"Cml Dry Matter","Neonatal Female",8444139.62272552,309411.225626622,8044670.32941581,8207762.28973086,8382938.80095129,8712373.76689942,8870134.76468719
31961349598.024,"Cml Dry Matter","Neonatal Male",7431798.02968047,332502.210918306,6773457.55570871,7325161.268286,7443579.15916726,7694221.02221143,7850277.6423285
32809614754.0375,"Cml Dry Matter","Juvenile Female",11411201.3608185,803097.906815252,9794412.90905385,11165163.237338,11274753.4233507,11881681.4594882,12638399.0112105
32398060972.4805,"Cml Dry Matter","Juvenile Male",7394541.01754756,340684.070982763,7034231.44598909,7168641.63269269,7299552.09332331,7501964.28889013,8003322.03735502
33141470759.6087,"Cml Dry Matter","Adult Female",129326335.625705,352568.055362037,128657701.769851,129122743.217736,129296531.429189,129563908.86693,129810764.225128
32234332888.1372,"Cml Dry Matter","Adult Male",38472448.3532522,116796.348811862,38308337.314726,38385651.650591,38475166.6340853,38528650.5732938,38701916.4016486
30803985722.9605,"Value of Offtake","Overall",30296114741.958,567969088.444015,29335667286.8744,29974641612.9371,30380640669.5416,30638789494.0395,31289683686.4115
34527129284.7381,"Value of Offtake","Neonatal Female",0,0,0,0,0,0,0
33340597328.4938,"Value of Offtake","Neonatal Male",0,0,0,0,0,0,0
31775448368.8217,"Value of Offtake","Juvenile Female",651385441.017754,13312021.3437107,635886479.063025,636645185.616511,657859952.368328,660694997.478838,669521490.810406
31998434897.0303,"Value of Offtake","Juvenile Male",2798059462.0617,90554064.4140344,2641220163.02284,2757608054.4976,2807476493.2922,2842297239.1426,2972797636.0748
31961349598.024,"Value of Offtake","Adult Female",6845204554.9496,175787408.632245,6648438991.32206,6696851347.34204,6826271318.38257,6970509749.93279,7122759428.2829
