region,species,production_system,agesex_scenario,year,ahle_total_mean,ahle_dueto_mortality_mean,ahle_dueto_healthcost_mean,ahle_dueto_productionloss_mean,ahle_dueto_ppr_total_mean,ahle_dueto_ppr_mortality_mean,ahle_dueto_ppr_healthcost_mean,ahle_dueto_ppr_productionloss_mean,ahle_dueto_bruc_total_mean,ahle_dueto_bruc_mortality_mean,ahle_dueto_bruc_healthcost_mean,ahle_dueto_bruc_productionloss_mean,ahle_when_mort_imp25_mean,ahle_when_mort_imp50_mean,ahle_when_mort_imp75_mean,ahle_when_mort_imp100_mean,ahle_when_repro_imp25_mean,ahle_when_repro_imp50_mean,ahle_when_repro_imp75_mean,ahle_when_repro_imp100_mean,ahle_when_all_growth_imp25_mean,ahle_when_all_growth_imp50_mean,ahle_when_all_growth_imp75_mean,ahle_when_all_growth_imp100_mean,ahle_total_stdev,ahle_dueto_mortality_stdev,ahle_dueto_healthcost_stdev,ahle_dueto_productionloss_stdev,ahle_total_mean_usd,ahle_dueto_mortality_mean_usd,ahle_dueto_healthcost_mean_usd,ahle_dueto_productionloss_mean_usd,ahle_dueto_ppr_total_mean_usd,ahle_dueto_ppr_mortality_mean_usd,ahle_dueto_ppr_healthcost_mean_usd,ahle_dueto_ppr_productionloss_mean_usd,ahle_dueto_bruc_total_mean_usd,ahle_dueto_bruc_mortality_mean_usd,ahle_dueto_bruc_healthcost_mean_usd,ahle_dueto_bruc_productionloss_mean_usd,ahle_when_mort_imp25_mean_usd,ahle_when_mort_imp50_mean_usd,ahle_when_mort_imp75_mean_usd,ahle_when_mort_imp100_mean_usd,ahle_when_repro_imp25_mean_usd,ahle_when_repro_imp50_mean_usd,ahle_when_repro_imp75_mean_usd,ahle_when_repro_imp100_mean_usd,ahle_when_all_growth_imp25_mean_usd,ahle_when_all_growth_imp50_mean_usd,ahle_when_all_growth_imp75_mean_usd,ahle_when_all_growth_imp100_mean_usd,ahle_total_stdev_usd,ahle_dueto_mortality_stdev_usd,ahle_dueto_healthcost_stdev_usd,ahle_dueto_productionloss_stdev_usd
Afar,Cattle,Overall,Adult Combined,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,84877322.1920777,,,,,,,,,,,,,,,,,,,,,,,,,,,,2430123.4071018836,
Afar,Cattle,Overall,Adult Female,2021,-772073613230.2377,97880461281.56189,355121401.48697776,-870309195913.2865,,,,,,,,,,,,97880461281.56189,,,,,,,,,166147793918.84387,248561701845.80554,84877322.1920777,298978287259.6965,-22105246855.816235,2802416404.2307024,10167484.173963256,-24917830744.2209,,,,,,,,,,,,2802416404.2307024,,,,,,,,,4756979044.730145,7116572414.921817,2430123.4071018836,8560050144.381612
Afar,Cattle,Overall,Adult Male,2021,108948367606.318,69308820119.896,-22842204.127191007,39662389690.54919,,,,,,,,,,,,69308820119.896,,,,,,,,,232395270134.46527,242460868587.2987,84877322.1920777,335849432902.8088,3119301733.936724,1984381478.3743744,-653995.3604293523,1135574250.922779,,,,,,,,,,,,1984381478.3743744,,,,,,,,,6653711157.092113,6941899400.724075,2430123.4071018836,9615708260.824322
Afar,Cattle,Overall,Juvenile Combined,2021,,56195872671.45288,,,,,,,,,,,,,,56195872671.45288,,,,,,,,,,235386374822.0479,84877322.1920777,,,1608944557.0911431,,,,,,,,,,,,,,1608944557.0911431,,,,,,,,,,6739349503.433171,2430123.4071018836,
Afar,Cattle,Overall,Juvenile Female,2021,159081351265.41296,,-10024234.72288704,,,,,,,,,,,,,,,,,,,,,,249288147639.84552,,84877322.1920777,,4554659658.897206,,-287003.95829223027,,,,,,,,,,,,,,,,,,,,,,7137371291.2588,,2430123.4071018836,
Afar,Cattle,Overall,Juvenile Male,2021,142845652507.1029,,-23027208.526024044,,,,,,,,,,,,,,,,,,,,,,251681776974.5358,,84877322.1920777,,4089815215.59658,,-659292.2231060937,,,,,,,,,,,,,,,,,,,,,,7205903315.172008,,2430123.4071018836,
Afar,Cattle,Overall,Neonatal Combined,2021,,39311219646.10693,,,,,,,,,,,,,,39311219646.10693,,,,,,,,,,225138063709.9019,84877322.1920777,,,1125519898.0893931,,,,,,,,,,,,,,1125519898.0893931,,,,,,,,,,6445930011.940154,2430123.4071018836,
Afar,Cattle,Overall,Neonatal Female,2021,129875820193.53394,,-18164487.316363037,,,,,,,,,,,,,,,,,,,,,,262277159744.97577,,84877322.1920777,,3718475825.0811214,,-520067.6065817169,,,,,,,,,,,,,,,,,,,,,,7509259818.566192,,2430123.4071018836,
Afar,Cattle,Overall,Neonatal Male,2021,134059163625.86597,,-32976470.01390302,,,,,,,,,,,,,,,,,,,,,,250619946943.24738,,84877322.1920777,,3838249170.096062,,-944149.622004203,,,,,,,,,,,,,,,,,,,,,,7175502049.595341,,2430123.4071018836,
Afar,Cattle,Overall,Overall,2021,-764187387190.3164,121888282957.85889,444280594.794575,-886519950742.9698,,,,,,,,,,,,121888282957.85889,,,,,,,,,166067105939.69135,235028175385.60297,84877322.1920777,287778619957.12994,-21879456244.162163,3489784571.631993,12720201.873100765,-25381961017.667255,,,,,,,,,,,,3489784571.631993,,,,,,,,,4754668866.442868,6729093892.011481,2430123.4071018836,8239392364.885113
Afar,Cattle,Overall,Oxen,2021,139922810323.45288,77435819075.88391,-30677890.314355016,62517669137.88332,,,,,,,,,,,,77435819075.88391,,,,,,,,,245077685380.2904,238272997155.75308,84877322.1920777,341814423699.6238,4006131293.645333,2217065661.6447344,-878338.9650855026,1789943970.9656837,,,,,,,,,,,,2217065661.6447344,,,,,,,,,7016821506.847493,6821996414.521216,2430123.4071018836,9786491968.228329
Afar,Cattle,Pastoral,Adult Combined,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,84877322.1920777,,,,,,,,,,,,,,,,,,,,,,,,,,,,2430123.4071018836,
Afar,Cattle,Pastoral,Adult Female,2021,-772073613230.2377,97880461281.56189,355121401.48697776,-870309195913.2865,,,,,,,,,,,,97880461281.56189,,,,,,,,,166147793918.84387,248561701845.80554,84877322.1920777,298978287259.6965,-22105246855.816235,2802416404.2307024,10167484.173963256,-24917830744.2209,,,,,,,,,,,,2802416404.2307024,,,,,,,,,4756979044.730145,7116572414.921817,2430123.4071018836,8560050144.381612
Afar,Cattle,Pastoral,Adult Male,2021,108948367606.318,69308820119.896,-22842204.127191007,39662389690.54919,,,,,,,,,,,,69308820119.896,,,,,,,,,232395270134.46527,242460868587.2987,84877322.1920777,335849432902.8088,3119301733.936724,1984381478.3743744,-653995.3604293523,1135574250.922779,,,,,,,,,,,,1984381478.3743744,,,,,,,,,6653711157.092113,6941899400.724075,2430123.4071018836,9615708260.824322
Afar,Cattle,Pastoral,Juvenile Combined,2021,,56195872671.45288,,,,,,,,,,,,,,56195872671.45288,,,,,,,,,,235386374822.0479,84877322.1920777,,,1608944557.0911431,,,,,,,,,,,,,,1608944557.0911431,,,,,,,,,,6739349503.433171,2430123.4071018836,
Afar,Cattle,Pastoral,Juvenile Female,2021,159081351265.41296,,-10024234.72288704,,,,,,,,,,,,,,,,,,,,,,249288147639.84552,,84877322.1920777,,4554659658.897206,,-287003.95829223027,,,,,,,,,,,,,,,,,,,,,,7137371291.2588,,2430123.4071018836,
Afar,Cattle,Pastoral,Juvenile Male,2021,142845652507.1029,,-23027208.526024044,,,,,,,,,,,,,,,,,,,,,,251681776974.5358,,84877322.1920777,,4089815215.59658,,-659292.2231060937,,,,,,,,,,,,,,,,,,,,,,7205903315.172008,,2430123.4071018836,
Afar,Cattle,Pastoral,Neonatal Combined,2021,,39311219646.10693,,,,,,,,,,,,,,39311219646.10693,,,,,,,,,,225138063709.9019,84877322.1920777,,,1125519898.0893931,,,,,,,,,,,,,,1125519898.0893931,,,,,,,,,,6445930011.940154,2430123.4071018836,
Afar,Cattle,Pastoral,Neonatal Female,2021,129875820193.53394,,-18164487.316363037,,,,,,,,,,,,,,,,,,,,,,262277159744.97577,,84877322.1920777,,3718475825.0811214,,-520067.6065817169,,,,,,,,,,,,,,,,,,,,,,7509259818.566192,,2430123.4071018836,
Afar,Cattle,Pastoral,Neonatal Male,2021,134059163625.86597,,-32976470.01390302,,,,,,,,,,,,,,,,,,,,,,250619946943.24738,,84877322.1920777,,3838249170.096062,,-944149.622004203,,,,,,,,,,,,,,,,,,,,,,7175502049.595341,,2430123.4071018836,
Afar,Cattle,Pastoral,Overall,2021,-764187387190.3164,121888282957.85889,444280594.794575,-886519950742.9698,,,,,,,,,,,,121888282957.85889,,,,,,,,,166067105939.69135,235028175385.60297,84877322.1920777,287778619957.12994,-21879456244.162163,3489784571.631993,12720201.873100765,-25381961017.667255,,,,,,,,,,,,3489784571.631993,,,,,,,,,4754668866.442868,6729093892.011481,2430123.4071018836,8239392364.885113
Afar,Cattle,Pastoral,Oxen,2021,139922810323.45288,77435819075.88391,-30677890.314355016,62517669137.88332,,,,,,,,,,,,77435819075.88391,,,,,,,,,245077685380.2904,238272997155.75308,84877322.1920777,341814423699.6238,4006131293.645333,2217065661.6447344,-878338.9650855026,1789943970.9656837,,,,,,,,,,,,2217065661.6447344,,,,,,,,,7016821506.847493,6821996414.521216,2430123.4071018836,9786491968.228329
Amhara,Cattle,Crop livestock mixed,Adult Combined,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,939821.676768143,,,,,,,,,,,,,,,,,,,,,,,,,,,,26908.043235006517,
Amhara,Cattle,Crop livestock mixed,Adult Female,2021,-84723382553.3963,2852564980.0255013,-1893963209.947519,-85681984323.47427,,,,,,,,,,,,2852564980.0255013,,,,,,,,,7137288839.641549,5766198208.904027,939821.676768143,9175507323.745352,-2425715959.8641644,81671814.6756769,-54226078.41312035,-2453161696.126721,,,,,,,,,,,,81671814.6756769,,,,,,,,,204347783.6542642,165092074.95656055,26908.043235006517,262704036.17362896
Amhara,Cattle,Crop livestock mixed,Adult Male,2021,-110931536351.2034,-14024128986.15165,-1754808971.335159,-95152598393.7166,,,,,,,,,,,,-14024128986.15165,,,,,,,,,7240827666.12871,5942481214.0331745,939821.676768143,9367105697.758348,-3176081856.856633,-401524968.4284235,-50241952.10333792,-2724314936.324872,,,,,,,,,,,,-401524968.4284235,,,,,,,,,207312204.7657233,170139235.32843417,26908.043235006517,268189691.01554272
Amhara,Cattle,Crop livestock mixed,Juvenile Combined,2021,,17112389748.138199,,,,,,,,,,,,,,17112389748.138199,,,,,,,,,,5826831516.583046,939821.676768143,,,489944991.2462299,,,,,,,,,,,,,,489944991.2462299,,,,,,,,,,166828067.75693837,26908.043235006517,
Amhara,Cattle,Crop livestock mixed,Juvenile Female,2021,-72485511557.15201,,-1769048547.314119,,,,,,,,,,,,,,,,,,,,,,6066037831.161943,,939821.676768143,,-2075333360.6845412,,-50649645.53663648,,,,,,,,,,,,,,,,,,,,,,173676785.99134815,,26908.043235006517,
Amhara,Cattle,Crop livestock mixed,Juvenile Male,2021,-89034499659.9507,,-1765298420.100799,,,,,,,,,,,,,,,,,,,,,,5797076567.610449,,939821.676768143,,-2549147594.1431856,,-50542275.60924792,,,,,,,,,,,,,,,,,,,,,,165976153.534058,,26908.043235006517,
Amhara,Cattle,Crop livestock mixed,Neonatal Combined,2021,,32539915970.9393,,,,,,,,,,,,,,32539915970.9393,,,,,,,,,,6090191010.313142,939821.676768143,,,931650639.1089802,,,,,,,,,,,,,,931650639.1089802,,,,,,,,,,174368315.88997555,26908.043235006517,
Amhara,Cattle,Crop livestock mixed,Neonatal Female,2021,-42707088418.234,,-1762759891.927879,,,,,,,,,,,,,,,,,,,,,,6079457148.951127,,939821.676768143,,-1222747048.7282548,,-50469594.985339455,,,,,,,,,,,,,,,,,,,,,,174060994.60472822,,26908.043235006517,
Amhara,Cattle,Crop livestock mixed,Neonatal Male,2021,-64361937057.0097,,-1762697332.599149,,,,,,,,,,,,,,,,,,,,,,5797546323.1822605,,939821.676768143,,-1842747223.0415885,,-50467803.848612316,,,,,,,,,,,,,,,,,,,,,,165989603.11023682,,26908.043235006517,
Amhara,Cattle,Crop livestock mixed,Overall,2021,223391319487.63272,-4102561655.4398003,243908410.528661,227249972732.54385,,,,,,,,,,,,-4102561655.4398003,,,,,,,,,18785982507.75419,5674457610.0781355,939821.676768143,19624286199.336903,6395918961.742903,-117460481.20369977,6983343.987612734,6506396098.95899,,,,,,,,,,,,-117460481.20369977,,,,,,,,,537861641.2307256,162465449.01183736,26908.043235006517,561863122.080521
Amhara,Cattle,Crop livestock mixed,Oxen,2021,-131855346284.8483,-28065625915.39753,-1764100672.233429,-102025619697.21735,,,,,,,,,,,,-28065625915.39753,,,,,,,,,9851269823.657661,6049191258.196039,939821.676768143,11560286886.578905,-3775151655.152501,-803547198.5983402,-50507982.87883266,-2921096473.6753283,,,,,,,,,,,,-803547198.5983402,,,,,,,,,282051798.64146835,173194451.60288516,26908.043235006517,330982682.1858725
Amhara,Cattle,Overall,Adult Combined,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,5448696.356833228,,,,,,,,,,,,,,,,,,,,,,,,,,,,156001.67645448027,
Amhara,Cattle,Overall,Adult Female,2021,91204603107.8413,61313811322.04231,-2290985302.157141,32181777087.956123,,,,,,,,,,,,61313811322.04231,,,,,,,,,43664163293.09009,13092306351.418335,5448696.356833228,45584730682.25057,2611279846.2966785,1755476306.55849,-65593221.65583235,921396761.3940212,,,,,,,,,,,,1755476306.55849,,,,,,,,,1250149068.439404,374845945.84087855,156001.67645448027,1305136851.3568895
Amhara,Cattle,Overall,Adult Male,2021,55203614977.1552,54813345796.92735,-2165406900.681366,2555676080.90921,,,,,,,,,,,,54813345796.92735,,,,,,,,,30919146243.431183,14606243920.769382,5448696.356833228,34195555202.16025,1580535217.7468488,1569361417.1903713,-61997785.26633226,73171585.82280965,,,,,,,,,,,,1569361417.1903713,,,,,,,,,885246365.8517914,418191506.5767038,156001.67645448027,979053261.4537475
Amhara,Cattle,Overall,Juvenile Combined,2021,,60696301024.093704,,,,,,,,,,,,,,60696301024.093704,,,,,,,,,,10723266578.706675,5448696.356833228,,,1737796363.4309788,,,,,,,,,,,,,,1737796363.4309788,,,,,,,,,,307017945.90711904,156001.67645448027,
