region,scope,number_of_countries,antimicrobial_class,amu_tonnes,importance_ctg,antimicrobial_class_group,antimicrobial_class_group2,biomass_total_kg,amu_mg_perkgbiomass
Europe,Terrestrial Food Producing,10.0,pleuromutilins,15.7585171,C: Other,pleuromutilins,others,133355079235.00725,0.11816960546534029
Middle East,Terrestrial Food Producing,1.0,pleuromutilins,0.0,C: Other,pleuromutilins,others,2421760815.033676,0.0
Africa,AGP,1.0,polypeptides,0.134,C: Other,polypeptides,others,,
Americas,AGP,5.0,polypeptides,502.08734898838,C: Other,polypeptides,others,,
"Asia, Far East and Oceania",AGP,6.0,polypeptides,1514.758,C: Other,polypeptides,others,,
Europe,AGP,0.0,polypeptides,0.0,C: Other,polypeptides,others,,
Middle East,AGP,0.0,polypeptides,0.0,C: Other,polypeptides,others,,
Africa,All,24.0,polypeptides,50.477093846604504,C: Other,polypeptides,others,82210550037.93834,0.6139977633443694
Americas,All,19.0,polypeptides,1746.9940220419883,C: Other,polypeptides,others,307414936043.14056,5.682853424522049
"Asia, Far East and Oceania",All,22.0,polypeptides,3055.9833601249356,C: Other,polypeptides,others,282812613977.946,10.805682664363918
Europe,All,41.0,polypeptides,234.45246842576483,C: Other,polypeptides,others,136752195587.50722,1.7144329377566707
Middle East,All,3.0,polypeptides,0.05,C: Other,polypeptides,others,2446925465.033676,0.020433805898256843
Africa,Terrestrial Food Producing,6.0,polypeptides,8.007412247,C: Other,polypeptides,others,81776881551.43832,0.0979177989559711
Americas,Terrestrial Food Producing,11.0,polypeptides,169.39966942836,C: Other,polypeptides,others,299914043716.64056,0.5648273996412425
"Asia, Far East and Oceania",Terrestrial Food Producing,9.0,polypeptides,445.3586103841463,C: Other,polypeptides,others,227493629165.94614,1.9576750875044404
Europe,Terrestrial Food Producing,10.0,polypeptides,22.640610553204002,C: Other,polypeptides,others,133355079235.00725,0.16977688951243622
Middle East,Terrestrial Food Producing,1.0,polypeptides,0.0,C: Other,polypeptides,others,2421760815.033676,0.0
Africa,AGP,1.0,quinoxalines,0.0,C: Other,other_low_importance,others,,
Americas,AGP,5.0,quinoxalines,0.0,C: Other,other_low_importance,others,,
"Asia, Far East and Oceania",AGP,6.0,quinoxalines,1312.213,C: Other,other_low_importance,others,,
Europe,AGP,0.0,quinoxalines,0.0,C: Other,other_low_importance,others,,
Middle East,AGP,0.0,quinoxalines,0.0,C: Other,other_low_importance,others,,
Africa,All,24.0,quinoxalines,0.0,C: Other,other_low_importance,others,82210550037.93834,0.0
Americas,All,19.0,quinoxalines,34.794,C: Other,other_low_importance,others,307414936043.14056,0.11318252928061126
"Asia, Far East and Oceania",All,22.0,quinoxalines,1346.323,C: Other,other_low_importance,others,282812613977.946,4.760477197473899
Europe,All,41.0,quinoxalines,0.0,C: Other,other_low_importance,others,136752195587.50722,0.0
Middle East,All,3.0,quinoxalines,0.15,C: Other,other_low_importance,others,2446925465.033676,0.06130141769477052
Africa,Terrestrial Food Producing,6.0,quinoxalines,0.0,C: Other,other_low_importance,others,81776881551.43832,0.0
Americas,Terrestrial Food Producing,11.0,quinoxalines,0.0,C: Other,other_low_importance,others,299914043716.64056,0.0
"Asia, Far East and Oceania",Terrestrial Food Producing,9.0,quinoxalines,20.372,C: Other,other_low_importance,others,227493629165.94614,0.08954976046885059
Europe,Terrestrial Food Producing,10.0,quinoxalines,0.0,C: Other,other_low_importance,others,133355079235.00725,0.0
Middle East,Terrestrial Food Producing,1.0,quinoxalines,0.0,C: Other,other_low_importance,others,2421760815.033676,0.0
Africa,AGP,1.0,streptogramins,0.0,B: Highly Important,other_highly_important,others,,
Americas,AGP,5.0,streptogramins,4.86238653,B: Highly Important,other_highly_important,others,,
"Asia, Far East and Oceania",AGP,6.0,streptogramins,464.775,B: Highly Important,other_highly_important,others,,
Europe,AGP,0.0,streptogramins,0.0,B: Highly Important,other_highly_important,others,,
Middle East,AGP,0.0,streptogramins,0.0,B: Highly Important,other_highly_important,others,,
Africa,All,24.0,streptogramins,0.004,B: Highly Important,other_highly_important,others,82210550037.93834,4.8655555742591304e-05
Americas,All,19.0,streptogramins,14.067076529999998,B: Highly Important,other_highly_important,others,307414936043.14056,0.04575924875695018
"Asia, Far East and Oceania",All,22.0,streptogramins,473.259,B: Highly Important,other_highly_important,others,282812613977.946,1.6734013145428699
Europe,All,41.0,streptogramins,1.968,B: Highly Important,other_highly_important,others,136752195587.50722,0.014390993808510257
Middle East,All,3.0,streptogramins,0.102,B: Highly Important,other_highly_important,others,2446925465.033676,0.041684964032443955
Africa,Terrestrial Food Producing,6.0,streptogramins,0.0,B: Highly Important,other_highly_important,others,81776881551.43832,0.0
Americas,Terrestrial Food Producing,11.0,streptogramins,5.06369,B: Highly Important,other_highly_important,others,299914043716.64056,0.016883804230201988
"Asia, Far East and Oceania",Terrestrial Food Producing,9.0,streptogramins,0.272,B: Highly Important,other_highly_important,others,227493629165.94614,0.001195637877848388
Europe,Terrestrial Food Producing,10.0,streptogramins,0.0,B: Highly Important,other_highly_important,others,133355079235.00725,0.0
Middle East,Terrestrial Food Producing,1.0,streptogramins,0.0,B: Highly Important,other_highly_important,others,2421760815.033676,0.0
Africa,AGP,1.0,sulfonamides__including_trimethoprim,3.863,B: Highly Important,sulfonamides__including_trimethoprim,others,,
Americas,AGP,5.0,sulfonamides__including_trimethoprim,0.0,B: Highly Important,sulfonamides__including_trimethoprim,others,,
"Asia, Far East and Oceania",AGP,6.0,sulfonamides__including_trimethoprim,0.77,B: Highly Important,sulfonamides__including_trimethoprim,others,,
Europe,AGP,0.0,sulfonamides__including_trimethoprim,0.0,B: Highly Important,sulfonamides__including_trimethoprim,others,,
Middle East,AGP,0.0,sulfonamides__including_trimethoprim,0.0,B: Highly Important,sulfonamides__including_trimethoprim,others,,
Africa,All,24.0,sulfonamides__including_trimethoprim,103.43037745619999,B: Highly Important,sulfonamides__including_trimethoprim,others,82210550037.93834,1.2581156239493494
Americas,All,19.0,sulfonamides__including_trimethoprim,796.4145453110001,B: Highly Important,sulfonamides__including_trimethoprim,others,307414936043.14056,2.5906826635100013
"Asia, Far East and Oceania",All,22.0,sulfonamides__including_trimethoprim,1892.112045819472,B: Highly Important,sulfonamides__including_trimethoprim,others,282812613977.946,6.690338239181301
Europe,All,41.0,sulfonamides__including_trimethoprim,741.2669017732101,B: Highly Important,sulfonamides__including_trimethoprim,others,136752195587.50722,5.4205118871300035
Middle East,All,3.0,sulfonamides__including_trimethoprim,2.245,B: Highly Important,sulfonamides__including_trimethoprim,others,2446925465.033676,0.9174778848317323
Africa,Terrestrial Food Producing,6.0,sulfonamides__including_trimethoprim,39.2480805082,B: Highly Important,sulfonamides__including_trimethoprim,others,81776881551.43832,0.479941026896613
Americas,Terrestrial Food Producing,11.0,sulfonamides__including_trimethoprim,158.21083041999995,B: Highly Important,sulfonamides__including_trimethoprim,others,299914043716.64056,0.5275205804282972
"Asia, Far East and Oceania",Terrestrial Food Producing,9.0,sulfonamides__including_trimethoprim,1367.8022367092183,B: Highly Important,sulfonamides__including_trimethoprim,others,227493629165.94614,6.012485895644442
Europe,Terrestrial Food Producing,10.0,sulfonamides__including_trimethoprim,165.7287011,B: Highly Important,sulfonamides__including_trimethoprim,others,133355079235.00725,1.2427625708049843
Middle East,Terrestrial Food Producing,1.0,sulfonamides__including_trimethoprim,1.125,B: Highly Important,sulfonamides__including_trimethoprim,others,2421760815.033676,0.4645380307651712
Africa,AGP,1.0,tetracyclines,3.902,B: Highly Important,tetracyclines,tetracyclines,,
Americas,AGP,5.0,tetracyclines,4.8126789,B: Highly Important,tetracyclines,tetracyclines,,
"Asia, Far East and Oceania",AGP,6.0,tetracyclines,12284.669,B: Highly Important,tetracyclines,tetracyclines,,
Europe,AGP,0.0,tetracyclines,0.0,B: Highly Important,tetracyclines,tetracyclines,,
Middle East,AGP,0.0,tetracyclines,0.0,B: Highly Important,tetracyclines,tetracyclines,,
Africa,All,24.0,tetracyclines,740.348046675,B: Highly Important,tetracyclines,tetracyclines,82210550037.93834,9.005511413478512
Americas,All,19.0,tetracyclines,8517.692808254998,B: Highly Important,tetracyclines,tetracyclines,307414936043.14056,27.707478751324178
"Asia, Far East and Oceania",All,22.0,tetracyclines,16562.587335943434,B: Highly Important,tetracyclines,tetracyclines,282812613977.946,58.56382112162438
Europe,All,41.0,tetracyclines,2320.56904184088,B: Highly Important,tetracyclines,tetracyclines,136752195587.50722,16.969153817760507
Middle East,All,3.0,tetracyclines,10.79,B: Highly Important,tetracyclines,tetracyclines,2446925465.033676,4.409615312843826
Africa,Terrestrial Food Producing,6.0,tetracyclines,99.31643682500001,B: Highly Important,tetracyclines,tetracyclines,81776881551.43832,1.2144806079763406
Americas,Terrestrial Food Producing,11.0,tetracyclines,548.0339444299999,B: Highly Important,tetracyclines,tetracyclines,299914043716.64056,1.8273033754557475
"Asia, Far East and Oceania",Terrestrial Food Producing,9.0,tetracyclines,2778.4762788979688,B: Highly Important,tetracyclines,tetracyclines,227493629165.94614,12.213424565270785
Europe,Terrestrial Food Producing,10.0,tetracyclines,365.09917541999994,B: Highly Important,tetracyclines,tetracyclines,133355079235.00725,2.737797296618884
Middle East,Terrestrial Food Producing,1.0,tetracyclines,8.023,B: Highly Important,tetracyclines,tetracyclines,2421760815.033676,3.312878774070194
Africa,AGP,1.0,others,19.25,D: Unknown,other_low_importance,others,,
Americas,AGP,5.0,others,221.4178,D: Unknown,other_low_importance,others,,
"Asia, Far East and Oceania",AGP,6.0,others,0.0,D: Unknown,other_low_importance,others,,
Europe,AGP,0.0,others,0.0,D: Unknown,other_low_importance,others,,
Middle East,AGP,0.0,others,0.0,D: Unknown,other_low_importance,others,,
Africa,All,24.0,others,23.584684149999998,D: Unknown,other_low_importance,others,82210550037.93834,0.2868814785829336
Americas,All,19.0,others,444.9947622100001,D: Unknown,other_low_importance,others,307414936043.14056,1.4475378715741791
"Asia, Far East and Oceania",All,22.0,others,691.92617274375,D: Unknown,other_low_importance,others,282812613977.946,2.4465887960630606
Europe,All,41.0,others,67.88025436550001,D: Unknown,other_low_importance,others,136752195587.50722,0.49637414649085976
Middle East,All,3.0,others,0.0,D: Unknown,other_low_importance,others,2446925465.033676,0.0
Africa,Terrestrial Food Producing,6.0,others,3.1968,D: Unknown,other_low_importance,others,81776881551.43832,0.039091732765441624
Americas,Terrestrial Food Producing,11.0,others,23.377208000000003,D: Unknown,other_low_importance,others,299914043716.64056,0.077946359931337
"Asia, Far East and Oceania",Terrestrial Food Producing,9.0,others,28.53448,D: Unknown,other_low_importance,others,227493629165.94614,0.1254297982084826
Europe,Terrestrial Food Producing,10.0,others,0.7595822,D: Unknown,other_low_importance,others,133355079235.00725,0.005695937525269761
Middle East,Terrestrial Food Producing,1.0,others,0.0,D: Unknown,other_low_importance,others,2421760815.033676,0.0
Africa,AGP,1.0,aggregated_class_data,2.112,D: Unknown,aggregated_class_data,others,,
Americas,AGP,5.0,aggregated_class_data,212.566,D: Unknown,aggregated_class_data,others,,
"Asia, Far East and Oceania",AGP,6.0,aggregated_class_data,0.0,D: Unknown,aggregated_class_data,others,,
Europe,AGP,0.0,aggregated_class_data,0.0,D: Unknown,aggregated_class_data,others,,
Middle East,AGP,0.0,aggregated_class_data,0.0,D: Unknown,aggregated_class_data,others,,
Africa,All,24.0,aggregated_class_data,2.112,D: Unknown,aggregated_class_data,others,82210550037.93834,0.025690133432088206
Americas,All,19.0,aggregated_class_data,1342.566904,D: Unknown,aggregated_class_data,others,307414936043.14056,4.36727935630165
"Asia, Far East and Oceania",All,22.0,aggregated_class_data,177.2729,D: Unknown,aggregated_class_data,others,282812613977.946,0.6268210512485272
Europe,All,41.0,aggregated_class_data,10.414200000000001,D: Unknown,aggregated_class_data,others,136752195587.50722,0.07615380473607089
Middle East,All,3.0,aggregated_class_data,0.0,D: Unknown,aggregated_class_data,others,2446925465.033676,0.0
Africa,Terrestrial Food Producing,6.0,aggregated_class_data,0.0,D: Unknown,aggregated_class_data,others,81776881551.43832,0.0
Americas,Terrestrial Food Producing,11.0,aggregated_class_data,87.28412,D: Unknown,aggregated_class_data,others,299914043716.64056,0.2910304529869439
"Asia, Far East and Oceania",Terrestrial Food Producing,9.0,aggregated_class_data,136.05182000000002,D: Unknown,aggregated_class_data,others,227493629165.94614,0.5980467255228342
Europe,Terrestrial Food Producing,10.0,aggregated_class_data,0.055,D: Unknown,aggregated_class_data,others,133355079235.00725,0.0004124327345872992
Middle East,Terrestrial Food Producing,1.0,aggregated_class_data,0.0,D: Unknown,aggregated_class_data,others,2421760815.033676,0.0
