region,scope,number_of_countries,antimicrobial_class,amu_tonnes,importance_ctg,antimicrobial_class_group,antimicrobial_class_group2,biomass_total_kg,amu_mg_perkgbiomass
Middle East,Terrestrial Food Producing,1.0,amphenicols,1.5,B: Highly Important,amphenicols,others,2421760815.033676,0.6193840410202284
Africa,AGP,1.0,arsenicals,0.0,C: Other,other_low_importance,others,,
Americas,AGP,5.0,arsenicals,0.0,C: Other,other_low_importance,others,,
"Asia, Far East and Oceania",AGP,6.0,arsenicals,74.44,C: Other,other_low_importance,others,,
Europe,AGP,0.0,arsenicals,0.0,C: Other,other_low_importance,others,,
Middle East,AGP,0.0,arsenicals,0.0,C: Other,other_low_importance,others,,
Africa,All,24.0,arsenicals,0.011,C: Other,other_low_importance,others,82210550037.93834,0.00013380277829212606
Americas,All,19.0,arsenicals,51.9,C: Other,other_low_importance,others,307414936043.14056,0.1688271905979113
"Asia, Far East and Oceania",All,22.0,arsenicals,74.44,C: Other,other_low_importance,others,282812613977.946,0.26321315358941133
Europe,All,41.0,arsenicals,0.0,C: Other,other_low_importance,others,136752195587.50722,0.0
Middle East,All,3.0,arsenicals,0.0,C: Other,other_low_importance,others,2446925465.033676,0.0
Africa,Terrestrial Food Producing,6.0,arsenicals,0.0,C: Other,other_low_importance,others,81776881551.43832,0.0
Americas,Terrestrial Food Producing,11.0,arsenicals,51.9,C: Other,other_low_importance,others,299914043716.64056,0.1730495823297799
"Asia, Far East and Oceania",Terrestrial Food Producing,9.0,arsenicals,0.0,C: Other,other_low_importance,others,227493629165.94614,0.0
Europe,Terrestrial Food Producing,10.0,arsenicals,0.0,C: Other,other_low_importance,others,133355079235.00725,0.0
Middle East,Terrestrial Food Producing,1.0,arsenicals,0.0,C: Other,other_low_importance,others,2421760815.033676,0.0
Africa,AGP,1.0,cephalosporins__all_generations,0.0,C: Other,other_low_importance,others,,
Americas,AGP,5.0,cephalosporins__all_generations,0.0,C: Other,other_low_importance,others,,
"Asia, Far East and Oceania",AGP,6.0,cephalosporins__all_generations,0.0,C: Other,other_low_importance,others,,
Europe,AGP,0.0,cephalosporins__all_generations,0.0,C: Other,other_low_importance,others,,
Middle East,AGP,0.0,cephalosporins__all_generations,0.0,C: Other,other_low_importance,others,,
Africa,All,24.0,cephalosporins__all_generations,10.0178996,C: Other,other_low_importance,others,82210550037.93834,0.12185661810287077
Americas,All,19.0,cephalosporins__all_generations,116.27410461424999,C: Other,other_low_importance,others,307414936043.14056,0.37823180002526896
