scope,region,number_of_countries,aminoglycosides_tonnes,amphenicols_tonnes,arsenicals_tonnes,cephalosporins__all_generations_tonnes,1_2_gen__cephalosporins_tonnes,3_4_gen_cephalosporins_tonnes,fluoroquinolones_tonnes,glycopeptides_tonnes,glycophospholipids_tonnes,lincosamides_tonnes,macrolides_tonnes,nitrofurans_tonnes,orthosomycins_tonnes,other_quinolones_tonnes,penicillins_tonnes,pleuromutilins_tonnes,polypeptides_tonnes,quinoxalines_tonnes,streptogramins_tonnes,sulfonamides__including_trimethoprim_tonnes,tetracyclines_tonnes,others_tonnes,aggregated_class_data_tonnes,total_antimicrobials_tonnes,segment,biomass_bovine_kg,biomass_swine_kg,biomass_poultry_kg,biomass_equine_kg,biomass_goats_kg,biomass_sheep_kg,biomass_rabbits_kg,biomass_camelids_kg,biomass_cervids_kg,biomass_cats_kg,biomass_dogs_kg,biomass_aquaculture_kg,biomass_farmed_fish_kg,biomass_total_kg,biomass_terr_kg,biomass_terr_prpn,terr_amu_tonnes,price_euros_pertonne_lower,price_euros_pertonne_upper
All,Africa,24.0,33.65154353510884,20.410307295,0.011,10.0178996,0.026490000000000003,0.0874096,91.39779790500002,1.0,110.0,1.36453,78.34148013000001,0.16666,0.0,0.83929,139.48317097044,3.6,50.477093846604504,0.0,0.004,103.43037745619999,740.348046675,23.584684149999998,2.112,1410.1778815633536,Countries reporting AMU data,42265475397.57315,1629211439.8974361,3469907142.8571424,7605952267.21473,7899778013.725775,14656861758.2345,33981231.935597174,4215714300.0,0.0,758656.5,38989230.0,393920600.0,,82210550037.93834,81776881551.43832,0.9947249046953234,1402.7390588415599,176991.64545161175,206006.66929613825
All,Americas,19.0,762.3757826245582,739.797925,51.9,116.27410461424999,55.612756462499995,25.316200491750003,428.54548516660003,0.0,34.70140678,379.67399613999993,1472.3875462015326,0.303410528,27.93374765,8.016018,1851.932388023641,369.877642475,1746.9940220419883,34.794,14.067076529999998,796.4145453110001,8517.692808254998,444.9947622100001,1342.566904,19141.24257155157,Countries reporting AMU data,187656127179.44528,31309666805.544483,67280866347.3928,6839327046.327544,1202949432.039376,5207899206.879129,17855199.011967294,369646900.0,29705600.0,440427550.5,2317886580.0,4742578196.0,,307414936043.14056,299914043716.64056,0.9756001044612634,18674.198252324095,145075.11922263258,145075.11922263258
All,Asia,22.0,1425.6633331469927,2422.62492398,74.44,421.64690735783785,27.308859372837826,303.07204798500004,867.5345784811577,0.0,99.261,647.3119385724606,3981.0877146068183,3.2116587,40.708,20.504566,5809.310729588148,1161.8913148328797,3055.9833601249356,1346.323,473.259,1892.112045819472,16562.587335943434,691.92617274375,177.2729,41409.52947989788,Countries reporting AMU data,57887629673.238266,93983177562.13335,45671111428.57144,3246566342.638703,7139671622.940245,18401791808.66103,726903357.763078,363656250.0,73121120.0,13289465.0,336862305.0,,54968833041.9999,282812613977.946,227493629165.94614,0.8043970386118857,33309.702883941434,123313.85133923769,108806.33941697443
All,Europe,41.0,527.6433177347999,243.87317625000006,0.0,44.660103946599996,25.717692272599997,17.566308674,219.0016683226101,0.503,0.084,303.67643927872007,565.3769923958588,0.41274580000000005,4.813,18.93956725,1957.1912464123898,194.229793234,234.45246842576483,0.0,1.968,741.2669017732101,2320.56904184088,67.88025436550001,10.414200000000001,7457.655917030333,Countries reporting AMU data,52924800716.584785,36432046877.29231,28317635714.285706,2705043128.7535496,858128144.3110759,11709588243.175776,263284450.60401353,79684200.0,64867760.0,22736815.5,426171270.0,2948208266.9999995,,136752195587.50722,133355079235.00725,0.9751585973599513,7272.39728364444,145075.11922263258,145075.11922263258
All,Global,109.0,2753.9849770414594,3428.306332525,126.351,592.7990155186878,108.66579810793783,346.04196675075,1607.208529875368,1.848,244.04640678,1332.0869039911804,6105.2037333342105,4.1044750279999995,73.45474765,48.39944125,9762.79853499462,1729.5987505418798,5087.956944439294,1381.2670000000003,489.40007653,3535.468870359882,28151.987232714313,1228.38587346925,1532.366004,69452.52985004314,Countries reporting AMU data,341467063692.8642,163354102684.86752,145052044918.82135,20412854331.643333,17288465467.52095,50858963669.034004,1042024239.314656,5317981000.0,167894480.0,477212487.5,3119909385.0,56220320420.9999,,804778836777.5659,744961394484.066,0.9256721976772944,64290.27594053732,,
All,Middle East,3.0,4.651,1.6,0.0,0.2,0.0,0.0,0.729,0.345,0.0,0.06,8.01,0.01,0.0,0.1,4.881,0.0,0.05,0.15,0.102,2.245,10.79,0.0,0.0,33.924,Countries reporting AMU data,733030726.0225422,0.0,312524285.71428573,15965546.708802242,187938254.50448042,882822652.0835655,0.0,289279350.0,200000.0,0.0,0.0,25164650.0,,2446925465.033676,2421760815.033676,0.9897158085280486,33.575119088505524,123313.85133923769,108806.33941697443
