region,segment,bovine_kg,swine_kg,poultry_kg,equine_kg,goats_kg,sheep_kg,rabbits_kg,camelids_kg,cervids_kg,cats_kg,dogs_kg,aquaculture_kg,farmed_fish_kg
Africa,Countries reporting AMU data,42265475397.57315,1629211439.8974361,3469907142.8571424,7605952267.21473,7899778013.725775,14656861758.2345,33981231.935597174,4215714300.0,0.0,758656.5,38989230.0,393920600.0,
Africa,Total Region,82598918193.3607,3087682915.5692306,9305971428.57143,9271868330.679419,17357451205.596615,26611016934.57263,33981231.935597174,13941659250.0,5600000.0,11083982.0,114820950.0,2292545640.0,
Americas,Countries reporting AMU data,187656127179.44528,31309666805.544483,67280866347.3928,6839327046.327544,1202949432.039376,5207899206.879129,17855199.011967294,369646900.0,29705600.0,440427550.5,2317886580.0,4742578196.0,
Americas,Total Region,199287708981.1039,32585344668.129093,72083607775.96423,7956527237.438706,1367037617.2508636,6028791934.222437,17855199.011967294,738202800.0,29798800.0,442288675.5,2366229375.0,5577323876.0,
Asia,Countries reporting AMU data,57887629673.238266,93983177562.13335,45671111428.57144,3246566342.638703,7139671622.940245,18401791808.66103,726903357.763078,363656250.0,73121120.0,13289465.0,336862305.0,,54968833041.9999
Asia,Total Region,152934720594.0512,99699409491.07693,65078091428.57143,6016013342.088301,17215003170.901974,29790784263.86841,726903357.763078,1041308100.0,78629200.0,16475350.5,526655460.0,,74068878941.99991
Europe,Countries reporting AMU data,52924800716.584785,36432046877.29231,28317635714.285706,2705043128.7535496,858128144.3110759,11709588243.175776,263284450.60401353,79684200.0,64867760.0,22736815.5,426171270.0,2948208266.9999995,
Europe,Total Region,63910671297.65428,42091940421.887184,35621195714.28571,4375501656.949596,1252508340.1623676,16436224235.923384,266527142.9116263,173884050.0,65509280.0,22835403.5,442150650.0,3305158731.0,
Global,Countries reporting AMU data,341467063692.8642,163354102684.86752,145052044918.82135,20412854331.643333,17288465467.52095,50858963669.034004,1042024239.314656,5317981000.0,167894480.0,477212487.5,3119909385.0,56220320420.9999,
Global,Total Globally,501921840895.0411,177465348702.7957,184438189204.53564,28563815238.93262,38520564627.21124,83471439071.0013,1045266931.6222688,16884521850.0,179737280.0,492683411.5,3449856435.0,85360994338.99991,
Middle East,Countries reporting AMU data,733030726.0225422,0.0,312524285.71428573,15965546.708802242,187938254.50448042,882822652.0835655,0.0,289279350.0,200000.0,0.0,0.0,25164650.0,
Middle East,Total Region,3189821828.8708286,971206.1333333333,2349322857.1428576,943904671.7766123,1328564293.2994351,4604621702.414445,0.0,989467650.0,200000.0,0.0,0.0,117087150.0,
