region,number_of_countries,total_antimicrobials_tonnes,biomass_total_kg_reporting,biomass_total_kg_region,biomass_terr_kg_reporting,biomass_terr_kg_region,biomass_terr_prpn_reporting,terr_amu_tonnes_reporting,prpn_change_2018to2020,terr_amu_tonnes_reporting_2020,biomass_terr_reporting_prpnofregion,terr_amu_tonnes_region_2020,biomass_total_reporting_prpnofregion,total_antimicrobials_tonnes_region,terr_amu_tonnes_mulch_2020,am_price_eurospertonne_low,am_price_eurospertonne_mid,am_price_eurospertonne_high,worldbank_eurosperusd,am_price_usdpertonne_low,am_price_usdpertonne_mid,am_price_usdpertonne_high,resistance_rate_wtavg,drug_resistance_index
Africa,24.0,1410.3537811633535,82210550037.93834,164632600062.28564,81776881551.43832,162214149490.28564,0.9947249046953234,1402.9140305544058,-0.13,1220.535206582333,0.5041291515468915,2421.0764301909353,0.4993576606749546,2824.3359263920274,3064.9,20476.2048171585,176991.64545161225,206006.66929613883,0.875506396987983,23387.8414682098,202159.16875138672,235300.01608767963,0.36692164418754014,0.4593334289783026
Americas,19.0,19222.17252850582,307414936043.14056,328480716939.6212,299914043716.64056,320094875013.1212,0.9756001044612634,18753.153526782706,-0.28,13502.270539283547,0.9369535944752211,14410.821004263335,0.9358690485921193,20539.382681180472,25659.3,20476.2048171585,82776.0,145075.11922263258,0.875506396987983,23387.8414682098,94546.42511439715,165704.23668146407,0.11657538714117881,0.23465263750091644
"Asia, Far East and Oceania",22.0,41505.041387255726,282812613977.946,447192872700.82117,227493629165.94614,372580862948.32135,0.8043970386118857,33386.53237937226,-0.3,23370.57266556058,0.6105886044863784,38275.48122228664,0.6324175344519677,65629.17554653609,58282.700000000004,6280.0,27260.0,145075.119222633,0.875506396987983,7172.991564202354,31136.265929961173,165704.23668146454,0.24631737169851833,0.31426818743208346
Europe,41.0,7500.239917976934,136752195587.50722,167964106924.27417,133355079235.00725,164193962139.7741,0.9751585973599513,7313.923438277502,-0.18,5997.417219387552,0.8121801648314296,7384.343374886942,0.8141751121217898,9212.07220204859,11764.6,145075.119222633,156501.37845084784,157053.39361033493,0.875506396987983,165704.23668146454,178755.26551177894,179385.77507902618,0.1859313077933045,0.3024208511466745
Middle East,3.0,33.923,2446925465.033676,13523961359.637512,2421760815.033676,13406874209.637512,0.9897158085280486,33.574129372696994,-0.27,24.509114442068807,0.180635752761281,135.6825216902592,0.18093259807267462,187.4897081087304,778.9,20476.204817158545,108806.0,123313.0,0.875506396987983,23387.84146820985,124277.78983035054,140847.62878287976,0.3415087477268452,0.3923536812961388
