scope,region,number_of_countries,aminoglycosides_tonnes,amphenicols_tonnes,arsenicals_tonnes,cephalosporins__all_generations_tonnes,1_2_gen__cephalosporins_tonnes,3_4_gen_cephalosporins_tonnes,fluoroquinolones_tonnes,glycopeptides_tonnes,glycophospholipids_tonnes,lincosamides_tonnes,macrolides_tonnes,nitrofurans_tonnes,orthosomycins_tonnes,other_quinolones_tonnes,penicillins_tonnes,pleuromutilins_tonnes,polypeptides_tonnes,quinoxalines_tonnes,streptogramins_tonnes,sulfonamides__including_trimethoprim_tonnes,tetracyclines_tonnes,others_tonnes,aggregated_class_data_tonnes
AGP,Africa,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.134,0.0,0.0,3.863,3.902,19.25,2.112
AGP,Americas,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.90780678,22.0210782,62.46305198999999,0.0,3.6422226500000003,0.0,0.025,37.982856874999996,502.08734898838,0.0,4.86238653,0.0,4.8126789,221.4178,212.566
AGP,"Asia, Far East and Oceania",6.0,0.707,0.0,74.44,0.0,0.0,0.0,0.0,0.0,97.183,0.21,1174.582,0.0,26.195,0.0,7.174,12.399,1514.758,1312.213,464.775,0.77,12284.669,0.0,0.0
AGP,Europe,0.0,,,,,,,,,,,,,,,,,,,,,,,
AGP,Middle East,0.0,,,,,,,,,,,,,,,,,,,,,,,
All,Africa,24.0,33.65154353510884,20.410307295,0.011,10.0178996,0.026490000000000003,0.0874096,91.39779790500002,1.0,110.0,1.36453,78.34148013000001,0.16666,0.0,0.83929,139.48317097044,3.6,50.477093846604504,0.0,0.004,103.43037745619999,740.348046675,23.584684149999998,2.112
All,Americas,19.0,762.3757826245582,739.797925,51.9,116.27410461424999,55.612756462499995,25.316200491750003,428.54548516660003,0.0,34.70140678,379.67399613999993,1472.3875462015326,0.303410528,27.93374765,8.016018,1851.932388023641,369.877642475,1746.9940220419883,34.794,14.067076529999998,796.4145453110001,8517.692808254998,444.9947622100001,1342.566904
All,"Asia, Far East and Oceania",22.0,1425.6633331469927,2422.62492398,74.44,421.64690735783785,27.308859372837826,303.07204798500004,867.5345784811577,0.0,99.261,647.3119385724606,3981.0877146068183,3.2116587,40.708,20.504566,5809.310729588148,1161.8913148328797,3055.9833601249356,1346.323,473.259,1892.112045819472,16562.587335943434,691.92617274375,177.2729
All,Europe,41.0,527.6433177347999,243.87317625000006,0.0,44.660103946599996,25.717692272599997,17.566308674,219.0016683226101,0.503,0.084,303.67643927872007,565.3769923958588,0.41274580000000005,4.813,18.93956725,1957.1912464123898,194.229793234,234.45246842576483,0.0,1.968,741.2669017732101,2320.56904184088,67.88025436550001,10.414200000000001
All,Middle East,3.0,4.651,1.6,0.0,0.2,0.0,0.0,0.729,0.345,0.0,0.06,8.01,0.01,0.0,0.1,4.881,0.0,0.05,0.15,0.102,2.245,10.79,0.0,0.0
Terrestrial Food Producing,Africa,6.0,3.8016855000000005,9.3548,0.0,0.07614,0.002,0.00033999999999999997,21.7742,0.0,110.0,0.0289,25.859299999999994,0.138,0.0,0.06985000000000001,23.96869234544,0.0,8.007412247,0.0,0.0,39.2480805082,99.31643682500001,3.1968,0.0
Terrestrial Food Producing,Americas,11.0,166.50740406923404,96.02734378000001,51.9,49.93894542825001,43.17509936249999,6.76284606575,173.17156194999998,0.0,0.0,50.15478038999999,307.94853991403255,0.0,18.715525000000003,0.0,401.5405668801895,225.37439490000003,169.39966942836,0.0,5.06369,158.21083041999995,548.0339444299999,23.377208000000003,87.28412
Terrestrial Food Producing,"Asia, Far East and Oceania",9.0,1210.6992128601441,2141.469115,0.0,306.59636165858984,17.315807408589826,289.28055424999997,474.69859099,0.0,0.0,490.94257899999997,2131.053008,0.0,3.353,3.9355,3496.1875820142955,639.7021958830197,445.3586103841463,20.372,0.272,1367.8022367092183,2778.4762788979688,28.53448,136.05182000000002
Terrestrial Food Producing,Europe,10.0,81.437791987,28.0098675,0.0,1.752115809,2.2454462000000004,1.126169609,4.3627758624999995,0.0,0.0,10.19814494,70.04560975005869,0.001,0.0,3.2066000000000003,206.96175723087998,15.7585171,22.640610553204002,0.0,0.0,165.7287011,365.09917541999994,0.7595822,0.055
Terrestrial Food Producing,Global,37.0,1465.4160944163782,2276.36112628,51.9,358.36356289583983,62.738352971089824,297.16990992474996,674.1671288025,0.255,110.0,551.32440433,2542.696457664091,0.139,22.068525000000005,7.21195,4131.183598470805,880.8351078830198,645.4063026127103,20.372,5.3356900000000005,1732.1148487374182,3798.9488355729686,55.8680702,223.39094000000003
