"","days_growing","ADG_mean","ADG_min","ADG_max","newdata_ADG_mean_AB_FCR","newdata_ADG_min_AB_FCR","newdata_ADG_max_AB_FCR","newdata_ADG_mean_AB_FCR_ageThin_parents","newdata_ADG_min_AB_FCR_ageThin_parents","newdata_ADG_max_AB_FCR_ageThin_parents"
"33","33",0.0537130095385687,0.0537130095385687,0.0537130095385687,0.0571577125658048,0.0571577125658048,0.0571577125658048,0.0573349709447507,0.0573349709447507,0.0573349709447507
"34","34",0.0548884856693172,0.0466841455785423,0.0593372500972003,0.058238288523356,0.0520152465960695,0.0625206508596776,0.0587358133737794,0.053446328026819,0.0627605053977194
"35","35",0.0565018700545137,0.0457553709128578,0.062617172451445,0.0592115649492622,0.052266547057048,0.0640125560550115,0.0597543759043968,0.0534203286433643,0.0642369711829936
"36","36",0.0570732283787681,0.0472236534193557,0.0637327348082537,0.0596250969001046,0.0527064162322197,0.0660317091147932,0.0601846441261049,0.0534839557529502,0.0662595881220975
"37","37",0.0571356779589782,0.0483302578846737,0.0683269315926054,0.059742872838774,0.0523800219322158,0.0705765268391761,0.0603468607216208,0.0530200981707261,0.0704098941542624
"38","38",0.0574700873114233,0.0488067064205494,0.0653023227373599,0.0601964000097457,0.0536265052293333,0.0676642739396163,0.0607176109057697,0.0544310469626225,0.0683951280463377
"39","39",0.0571798675015585,0.048746898440671,0.0632179433787076,0.0601400815059693,0.0522907236164972,0.0654724601156788,0.0606395857897722,0.0543222818746247,0.0662648401889214
"40","40",0.0563927558166611,0.0477475149485436,0.0632155636057276,0.0596436163187174,0.0530293590584339,0.0656944494330117,0.060418578108952,0.0541256728732486,0.0671148293405256
"41","41",0.0555853366220271,0.0426804633236158,0.0612456385441471,0.0589889632605086,0.0509749530632894,0.0634780907730787,0.0599166987153724,0.0547548059359794,0.0651365037392181
"42","42",0.0545088493549875,0.0518494967729982,0.058193897449185,0.0578053151802698,0.0551388505825015,0.0607115934954365,0.0586930294754374,0.0562458169244102,0.0614100764351895
"43","43",0.050361280293774,0.050361280293774,0.050361280293774,0.0545143829148435,0.0545143829148435,0.0545143829148435,0.0554024476895039,0.0554024476895039,0.0554024476895039
"44","44",0.0524106057387758,0.0523409478396148,0.0524802636379369,0.0565548741117062,0.0564911828269744,0.056618565396438,0.0574943037106446,0.0571827907459273,0.057805816675362
"47","47",NA,Inf,-Inf,0.0433824603226153,0.0431476486937425,0.0436172719514881,0.0531301696825922,0.0524662389644787,0.0537941004007056
