,year,country,animal_category,species,new_outbreaks_adv,new_outbreaks_antx,new_outbreaks_asf,new_outbreaks_babo,new_outbreaks_bsui,new_outbreaks_csf,new_outbreaks_egra,new_outbreaks_ehyd,new_outbreaks_emul,new_outbreaks_fmd,new_outbreaks_jenc,new_outbreaks_nws,new_outbreaks_prrs,new_outbreaks_rab,new_outbreaks_tgas,new_outbreaks_tric,new_outbreaks_tsol,susceptible_thsdhd_adv,susceptible_thsdhd_antx,susceptible_thsdhd_asf,susceptible_thsdhd_babo,susceptible_thsdhd_bsui,susceptible_thsdhd_csf,susceptible_thsdhd_egra,susceptible_thsdhd_ehyd,susceptible_thsdhd_emul,susceptible_thsdhd_fmd,susceptible_thsdhd_jenc,susceptible_thsdhd_nws,susceptible_thsdhd_prrs,susceptible_thsdhd_rab,susceptible_thsdhd_tgas,susceptible_thsdhd_tric,susceptible_thsdhd_tsol,cases_thsdhd_adv,cases_thsdhd_antx,cases_thsdhd_asf,cases_thsdhd_babo,cases_thsdhd_bsui,cases_thsdhd_csf,cases_thsdhd_egra,cases_thsdhd_ehyd,cases_thsdhd_emul,cases_thsdhd_fmd,cases_thsdhd_jenc,cases_thsdhd_nws,cases_thsdhd_prrs,cases_thsdhd_rab,cases_thsdhd_tgas,cases_thsdhd_tric,cases_thsdhd_tsol,killed_and_disposed_of_thsdhd_adv,killed_and_disposed_of_thsdhd_antx,killed_and_disposed_of_thsdhd_asf,killed_and_disposed_of_thsdhd_babo,killed_and_disposed_of_thsdhd_bsui,killed_and_disposed_of_thsdhd_csf,killed_and_disposed_of_thsdhd_egra,killed_and_disposed_of_thsdhd_ehyd,killed_and_disposed_of_thsdhd_emul,killed_and_disposed_of_thsdhd_fmd,killed_and_disposed_of_thsdhd_jenc,killed_and_disposed_of_thsdhd_nws,killed_and_disposed_of_thsdhd_prrs,killed_and_disposed_of_thsdhd_rab,killed_and_disposed_of_thsdhd_tgas,killed_and_disposed_of_thsdhd_tric,killed_and_disposed_of_thsdhd_tsol,slaughtered_thsdhd_adv,slaughtered_thsdhd_antx,slaughtered_thsdhd_asf,slaughtered_thsdhd_babo,slaughtered_thsdhd_bsui,slaughtered_thsdhd_csf,slaughtered_thsdhd_egra,slaughtered_thsdhd_ehyd,slaughtered_thsdhd_emul,slaughtered_thsdhd_fmd,slaughtered_thsdhd_jenc,slaughtered_thsdhd_nws,slaughtered_thsdhd_prrs,slaughtered_thsdhd_rab,slaughtered_thsdhd_tgas,slaughtered_thsdhd_tric,slaughtered_thsdhd_tsol,deaths_thsdhd_adv,deaths_thsdhd_antx,deaths_thsdhd_asf,deaths_thsdhd_babo,deaths_thsdhd_bsui,deaths_thsdhd_csf,deaths_thsdhd_egra,deaths_thsdhd_ehyd,deaths_thsdhd_emul,deaths_thsdhd_fmd,deaths_thsdhd_jenc,deaths_thsdhd_nws,deaths_thsdhd_prrs,deaths_thsdhd_rab,deaths_thsdhd_tgas,deaths_thsdhd_tric,deaths_thsdhd_tsol,vaccinated_thsdhd_adv,vaccinated_thsdhd_antx,vaccinated_thsdhd_asf,vaccinated_thsdhd_babo,vaccinated_thsdhd_bsui,vaccinated_thsdhd_csf,vaccinated_thsdhd_egra,vaccinated_thsdhd_ehyd,vaccinated_thsdhd_emul,vaccinated_thsdhd_fmd,vaccinated_thsdhd_jenc,vaccinated_thsdhd_nws,vaccinated_thsdhd_prrs,vaccinated_thsdhd_rab,vaccinated_thsdhd_tgas,vaccinated_thsdhd_tric,vaccinated_thsdhd_tsol,new_outbreaks_anydisease,susceptible_thsdhd_anydisease,cases_thsdhd_anydisease,killed_and_disposed_of_thsdhd_anydisease,slaughtered_thsdhd_anydisease,deaths_thsdhd_anydisease,vaccinated_thsdhd_anydisease
4,2011,Italy,Domestic,Swine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.122,0.0,4.619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041,0.0,0.749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.741,0.79,3.878,0.069,0.741,0.0
9,2012,China (People's Rep. of),Domestic,Swine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.45600000000002,44.811,0.0,0.0,0.0,56.336,0.0,55.094,0.0,3.464,29.058000000000003,0.0,12.056000000000001,0.0,2598.952,0.25,0.749,2.5709999999999993,0.09600000000000002,0.0,0.0,0.0,1.048,0.0,0.327,0.0,0.214,0.6080000000000001,0.0,1.378,0.0,259.17900000000003,0.017,0.015000000000000001,0.03,0.3,0.0,0.0,0.0,0.049,0.0,0.0,0.0,3.4210000000000003,0.15800000000000003,0.0,0.004,0.0,1.704,0.0,0.005,0.08,0.185,0.0,0.0,0.0,0.022000000000000002,0.0,0.151,0.0,0.0,0.028,0.0,0.0,0.0,18.999,0.0,0.002,0.52,0.069,0.0,0.0,0.0,0.653,0.0,0.074,0.0,0.043000000000000003,0.0,0.0,0.27,0.0,36.922,0.0,0.0,17.952999999999996,167.718,0.0,0.0,0.0,47.615,0.0,0.0,0.0,0.305,2.5100000000000002,0.0,2.08,0.0,799.1879999999998,0.0,0.0,0.0,2893.226,265.45300000000003,5.671,19.467,38.550999999999995,1037.3689999999997
13,2012,Italy,Domestic,Swine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.074,0.0,3.539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.017,0.0,0.7430000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.9420000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44700000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.62,0.7610000000000001,0.9420000000000001,0.232,0.44800000000000006,0.0
39,2016,Brazil,Domestic,Swine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29600000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.29600000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.29700000000000004,0.0,41.296,0.001,0.0
42,2016,Germany,Domestic,Swine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.162,0.0,0.145,0.0,0.0,0.0
62,2018,Italy,Domestic,Swine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055,0.0,0.725,0.0,0.7020000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.278,0.0,0.012,0.0,0.215,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.278,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7600000000000002,0.249,0.991,0.001,0.012,0.0
71,2019,Poland,Domestic,Swine,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.329,0.0,0.0,0.974,0.0,0.001,0.0,0.8400000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049,0.0,0.0,0.01,0.0,0.0,0.0,35.251999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,43.263999999999996,0.9000000000000001,35.251999999999995,0.007,0.709,0.0
66,2019,China (People's Rep. of),Domestic,Swine,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1850000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.66399999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,137.72,7.1850000000000005,84.66399999999999,0.0,4.126,0.0
20,2013,Italy,Domestic,Swine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6700000000000002,0.0,0.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.318,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.735,0.33,1.445,0.0,0.225,0.0
50,2017,France,Domestic,Swine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.002,0.0,0.22,0.0,0.0
37,2015,Poland,Domestic,Swine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.525,0.0,0.0,0.6550000000000001,0.0,0.8140000000000002,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009000000000000001,0.0,0.0,0.019000000000000003,0.0,0.662,0.0,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.232999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1940000000000002,0.8520000000000002,0.676,24.232999999999997,0.0,0.0
45,2016,Poland,Domestic,Swine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.106,0.0,0.0,1.1949999999999998,0.0,0.387,0.0,0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.007,0.0,0.457,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6079999999999997,0.458,1.707,0.352,0.043,0.0
81,2021,China (People's Rep. of),Domestic,Swine,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.991999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0290000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,5.991999999999999,1.116,4.962,0.0,1.0290000000000001,0.0
2,2011,Germany,Domestic,Swine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.021,1.025,0.0,0.0,0.0,0.0
