,partner,partner_label,reporter,reporter_label,year,export_total_100kg,export_total_head,export_total_value_in_euros,export_live_gallusdom_gt185g_100kg,export_live_gallusdom_gt185g_head,export_live_gallusdom_gt185g_value_in_euros,export_live_gallusdom_lte185g_100kg,export_live_gallusdom_lte185g_head,export_live_gallusdom_lte185g_value_in_euros,import_total_100kg,import_total_head,import_total_value_in_euros,import_live_gallusdom_gt185g_100kg,import_live_gallusdom_gt185g_head,import_live_gallusdom_gt185g_value_in_euros,import_live_gallusdom_lte185g_100kg,import_live_gallusdom_lte185g_head,import_live_gallusdom_lte185g_value_in_euros
2322,HU,Hungary,PL,Poland,2012,15822065.64,0.0,3487694231.0,,,,,,,16315361.0,0.0,2765827356.0,12933.01,302942.0,1339990.0,,,
3164,PL,Poland,ES,Spain (incl. Canary Islands 'XB' from 1997),2018,20480326.49,,5990677773.0,,,,,,,19108510.6,,6439245982.0,,,,,,
1080,EU_INTRA,"Intra-EU (AT-01/1995, BE-01/1958, BG-01/2007, CY-05/2004, CZ-05/2004, DE-01/1958, DK-01/1973, EE-05/2004, ES-01/1986, FI-01/1995, FR-01/1958, GB-01/1973->01/2020, GR-01/1981, HR-07/2013, HU-05/2004, IE-01/1973, IT-01/1958, LT-05/2004, LU-01/1958, LV-05/2004, MT-05/2004, NL-01/1958, PL-05/2004, PT-01/1986, RO-01/2007, SE-01/1995, SI-05/2004, SK-05/2004, QR-01/1993, QV-01/1993, QY-01/1988)",DE,Germany (incl. German Democratic Republic 'DD' from 1991),2013,2776532734.18,0.0,617546110326.0,4717977.87,209649155.0,440168758.0,15130.29,32886671.0,8513026.0,3825252239.33,0.0,574694180598.0,528772.86,28281470.0,62233602.0,62516.0,143732016.0,47776789.0
1294,EU_INTRA,"Intra-EU (AT-01/1995, BE-01/1958, BG-01/2007, CY-05/2004, CZ-05/2004, DE-01/1958, DK-01/1973, EE-05/2004, ES-01/1986, FI-01/1995, FR-01/1958, GB-01/1973->01/2020, GR-01/1981, HR-07/2013, HU-05/2004, IE-01/1973, IT-01/1958, LT-05/2004, LU-01/1958, LV-05/2004, MT-05/2004, NL-01/1958, PL-05/2004, PT-01/1986, RO-01/2007, SE-01/1995, SI-05/2004, SK-05/2004, QR-01/1993, QV-01/1993, QY-01/1988)",NL,Netherlands,2018,3306385607.86,,457056028196.0,1098037.73,48997665.0,107254400.0,66849.85,163048355.0,48188928.0,2151089916.19,,249603024733.0,7236250.22,322902725.0,551758334.0,25913.04,63202611.0,20506605.0
521,ES,Spain (incl. Canary Islands 'XB' from 1997),HR,Croatia,2015,752844.29,0.0,198737658.0,,,,,,,3329626.16,0.0,386823924.0,,,,,,
3096,PL,Poland,BG,Bulgaria,2016,2254268.84,,585801616.0,,,,,,,7705625.47,,1056431833.0,,,,,,
2438,IT,Italy (incl. San Marino 'SM' -> 1993),CZ,Czechia,2018,24199531.47,,6635942976.0,,,,,,,20223890.13,,6292502343.0,,,,,,
2956,NL,Netherlands,LT,Lithuania,2019,10103089.96,,1074580604.0,,,,,,,7871620.47,,1721168807.0,11397.8,855942.0,3618542.0,,,
3097,PL,Poland,BG,Bulgaria,2017,2474919.99,,629787936.0,,,,,,,7013610.11,,1092547217.0,,,,,,
3293,PL,Poland,LT,Lithuania,2015,37642791.93,0.0,2226708423.0,10015.82,248868.0,623993.0,,,,22197339.14,0.0,2617463554.0,1423.35,274850.0,245471.0,1577.0,2119380.0,778692.0
