,year,country,animal_category,species,new_outbreaks_aib,new_outbreaks_ail,new_outbreaks_chla,new_outbreaks_dvh,new_outbreaks_flua,new_outbreaks_hpai,new_outbreaks_ibd,new_outbreaks_lpai,new_outbreaks_msyn,new_outbreaks_ndv,new_outbreaks_pul,new_outbreaks_rab,new_outbreaks_trh,new_outbreaks_typh,susceptible_thsdhd_aib,susceptible_thsdhd_ail,susceptible_thsdhd_chla,susceptible_thsdhd_dvh,susceptible_thsdhd_flua,susceptible_thsdhd_hpai,susceptible_thsdhd_ibd,susceptible_thsdhd_lpai,susceptible_thsdhd_msyn,susceptible_thsdhd_ndv,susceptible_thsdhd_pul,susceptible_thsdhd_rab,susceptible_thsdhd_trh,susceptible_thsdhd_typh,cases_thsdhd_aib,cases_thsdhd_ail,cases_thsdhd_chla,cases_thsdhd_dvh,cases_thsdhd_flua,cases_thsdhd_hpai,cases_thsdhd_ibd,cases_thsdhd_lpai,cases_thsdhd_msyn,cases_thsdhd_ndv,cases_thsdhd_pul,cases_thsdhd_rab,cases_thsdhd_trh,cases_thsdhd_typh,killed_and_disposed_of_thsdhd_aib,killed_and_disposed_of_thsdhd_ail,killed_and_disposed_of_thsdhd_chla,killed_and_disposed_of_thsdhd_dvh,killed_and_disposed_of_thsdhd_flua,killed_and_disposed_of_thsdhd_hpai,killed_and_disposed_of_thsdhd_ibd,killed_and_disposed_of_thsdhd_lpai,killed_and_disposed_of_thsdhd_msyn,killed_and_disposed_of_thsdhd_ndv,killed_and_disposed_of_thsdhd_pul,killed_and_disposed_of_thsdhd_rab,killed_and_disposed_of_thsdhd_trh,killed_and_disposed_of_thsdhd_typh,slaughtered_thsdhd_aib,slaughtered_thsdhd_ail,slaughtered_thsdhd_chla,slaughtered_thsdhd_dvh,slaughtered_thsdhd_flua,slaughtered_thsdhd_hpai,slaughtered_thsdhd_ibd,slaughtered_thsdhd_lpai,slaughtered_thsdhd_msyn,slaughtered_thsdhd_ndv,slaughtered_thsdhd_pul,slaughtered_thsdhd_rab,slaughtered_thsdhd_trh,slaughtered_thsdhd_typh,deaths_thsdhd_aib,deaths_thsdhd_ail,deaths_thsdhd_chla,deaths_thsdhd_dvh,deaths_thsdhd_flua,deaths_thsdhd_hpai,deaths_thsdhd_ibd,deaths_thsdhd_lpai,deaths_thsdhd_msyn,deaths_thsdhd_ndv,deaths_thsdhd_pul,deaths_thsdhd_rab,deaths_thsdhd_trh,deaths_thsdhd_typh,vaccinated_thsdhd_aib,vaccinated_thsdhd_ail,vaccinated_thsdhd_chla,vaccinated_thsdhd_dvh,vaccinated_thsdhd_flua,vaccinated_thsdhd_hpai,vaccinated_thsdhd_ibd,vaccinated_thsdhd_lpai,vaccinated_thsdhd_msyn,vaccinated_thsdhd_ndv,vaccinated_thsdhd_pul,vaccinated_thsdhd_rab,vaccinated_thsdhd_trh,vaccinated_thsdhd_typh,new_outbreaks_anydisease,susceptible_thsdhd_anydisease,cases_thsdhd_anydisease,killed_and_disposed_of_thsdhd_anydisease,slaughtered_thsdhd_anydisease,deaths_thsdhd_anydisease,vaccinated_thsdhd_anydisease
0,2011,Brazil,Domestic,Birds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1335.599,0.0,0.0,0.0,0.0,0.0,593.124,0.0,3071.6800000000003,0.0,0.0,0.0,0.0,0.0,556.2539999999999,0.0,0.0,0.0,0.0,0.0,513.3040000000001,0.0,2379.567,0.0,0.0,0.0,0.0,0.0,1.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.94,0.0,0.0,0.0,0.0,0.0,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8400000000000001,0.0,0.0,0.0,0.0,0.0,38.576,0.0,0.0,0.0,0.0,0.0,11.917,0.0,1.891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.403,3449.125,3.4699999999999998,0.8630000000000001,52.384,0.0
1,2011,China (People's Rep. of),Domestic,Birds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6144.577,2944.0320000000006,0.0,912.1879999999999,0.0,6.865,3550.4649999999992,0.0,0.0,481.69699999999995,15309.175000000001,0.0,0.0,65.342,675.6169999999998,297.014,0.0,150.11300000000003,0.0,0.29,422.9890000000001,0.0,0.0,46.671,1705.2560000000003,0.0,0.0,3.308,30.883999999999997,6.127999999999999,0.0,20.781000000000006,0.0,6.575,13.324999999999998,0.0,0.0,4.046,74.06200000000001,0.0,0.0,0.08,5.011,0.951,0.0,7.426,0.0,0.0,1.8810000000000002,0.0,0.0,10.976999999999999,26.358,0.0,0.0,0.045000000000000005,61.29199999999999,21.036,0.0,47.87299999999998,0.0,0.29,44.917,0.0,0.0,26.013999999999996,130.36700000000002,0.0,0.0,0.9530000000000001,2936.4849999999988,1259.01,0.0,324.63300000000004,0.0,0.0,1188.3890000000001,0.0,0.0,560.6239999999998,314.766,0.0,0.0,3.826,0.0,29414.341000000004,3301.2580000000003,155.88100000000003,52.649,332.74199999999996,6587.732999999998
2,2011,France,Domestic,Birds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.238000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.74099999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.238000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.979,15.238000000000001,24.0,201.74099999999999,15.238000000000001,0.0
3,2011,Germany,Domestic,Birds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.011,0.0,0.0,0.0,0.0,110.357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.02,0.0,0.0,0.0,0.0,4.3420000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.374,4.3740000000000006,110.293,0.0,0.007,0.0
4,2011,India,Domestic,Birds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2989999999999995,86.381,0.0,0.0,240.438,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8629999999999995,24.199000000000005,0.0,0.0,24.016000000000002,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.921,0.0,0.0,185.88799999999998,0.0,0.0,0.0,0.0,0.0,122.812,333.121,83.661,0.0,53.081,199.80899999999997
5,2011,Italy,Domestic,Birds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.513000000000005,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3250000000000002,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.513,41.325,55.892,0.0,0.23,0.0
6,2011,Netherlands,Domestic,Birds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.091,0.0,0.0,0.0,0.0,190.3,0.0,0.0,36.45,0.0,0.0,0.0,0.0,0.0,0.037000000000000005,0.0,0.0,0.0,0.0,0.022,0.0,0.0,14.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.27800000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227.841,14.459,190.27800000000002,36.45,0.001,0.0
7,2011,Poland,Domestic,Birds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.948,0.0,0.556,0.0,0.0,27.496000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.888,0.0,0.278,0.0,0.0,27.181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07200000000000001,0.0,0.0,0.07500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,47.347,0.0,0.0,0.14700000000000002,0.0
8,2011,Spain,Domestic,Birds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.005,0.0,0.0,0.0,0.0
9,2011,United Kingdom,Domestic,Birds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17400000000000002,0.030000000000000002,0.0,0.001,0.0,0.0,0.095,0.0,0.004,0.0,0.002,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31000000000000005,0.0,0.0,0.0,0.0
