,geo,time_period,sl_chicken_thsdhd,sl_chicken_thsdtonne,sl_pigmeat_thsdhd,sl_pigmeat_thsdtonne,sl_poultrymeat_thsdhd,sl_poultrymeat_thsdtonne
68,CZ,2019,119335.3,158.55,2300.59,209.6,123520.51,168.05
202,HU,2017,170367.51,334.39,4755.69,434.57,200707.87,485.14
154,EU27_2020,2018,,,248380.12,22919.64,,
333,RS,2014,36857.69,54.41,2031.43,150.52,36968.52,55.3
380,UK,2011,898862.67,1353.41,10062.49,805.68,930467.06,1557.52
55,CY,2016,11927.35,23.89,578.3,43.88,11953.24,24.05
223,IS,2019,5725.64,9.15,79.06,6.54,5809.39,9.58
317,PT,2017,200625.96,290.6,5473.17,356.47,217260.9,340.92
271,ME,2018,1233.3,1.99,17.05,0.39,1234.04,1.99
28,BE,2017,300501.66,455.37,10949.77,1044.56,301383.35,463.39
237,LT,2012,41795.42,73.77,751.38,58.86,44914.47,81.76
300,NL,2020,597529.49,995.75,16666.09,1661.65,,
206,IE,2011,79920.59,111.89,2905.01,233.71,85183.74,128.21
282,MT,2013,2353.22,4.12,71.23,5.92,2353.22,4.12
250,LU,2015,0.0,0.0,157.87,12.29,0.0,0.0
268,ME,2015,401.85,0.63,8.48,0.37,401.85,0.63
136,EU25,2018,,,252836.56,23326.44,,
132,EU25,2014,,,242956.21,21909.56,,
35,BG,2013,42777.86,69.78,797.14,52.06,50338.27,94.71
196,HU,2011,121965.64,219.83,4290.4,387.3,156334.42,383.49
50,CY,2011,13610.02,27.22,710.69,55.21,13638.77,27.4
11,AT,2016,83438.79,107.23,5227.58,511.49,,
213,IE,2018,90059.37,131.94,3446.69,303.27,98599.14,156.78
19,BA,2018,40265.0,61.93,101.51,7.3,41846.1,64.3
97,EE,2018,,,537.45,43.4,,
345,SE,2016,99293.0,148.49,2526.5,233.89,103556.82,158.03
229,IT,2014,508865.0,919.54,10930.71,1327.82,560673.0,1242.79
351,SI,2012,31637.06,53.96,252.51,21.03,32040.64,58.66
290,MT,2021,2494.24,4.07,53.97,4.72,2494.24,4.07
112,ES,2013,589666.35,1121.3,41418.47,3431.22,685538.53,1342.58
130,EU25,2012,,,241814.71,21805.09,,
388,UK,2019,1107801.09,1722.66,11133.27,959.73,1135445.9,1899.0
283,MT,2014,2230.34,3.92,69.79,6.15,2230.34,3.92
281,MT,2012,2562.36,4.25,68.69,5.67,2562.36,4.25
373,TR,2014,1109745.0,1894.69,0.68,0.02,1114920.0,1943.35
209,IE,2014,,,3042.83,254.14,76172.52,115.9
20,BA,2019,42615.0,67.17,107.97,7.75,44147.7,69.53
334,RS,2015,39309.94,58.4,2217.76,167.24,39339.04,58.58
354,SI,2015,32904.98,54.26,238.29,20.23,33321.69,58.76
148,EU27_2020,2012,,,236937.39,21396.99,,
312,PT,2012,179155.7,244.31,5526.35,362.34,195517.45,292.16
48,CH,2019,72052.56,98.02,2461.74,220.66,72267.88,100.11
371,TR,2012,1047782.68,1723.92,0.65,0.02,1052547.01,1765.85
38,BG,2016,46986.97,79.61,995.76,65.65,0.0,106.47
73,DE,2014,638172.0,972.0,58730.0,5507.0,728791.0,1527.0
222,IS,2018,5611.28,9.11,81.45,6.79,5677.42,9.47
52,CY,2013,10911.5,21.82,608.62,48.67,10925.79,21.97
316,PT,2016,195357.62,276.56,5698.4,375.44,212694.89,326.4
128,EU15,2019,,,218248.71,20317.07,,
169,FI,2014,63161.16,104.56,2054.73,186.07,64475.45,113.37
27,BE,2016,305770.18,453.49,11181.33,1060.54,306649.79,461.25
177,FR,2012,807381.0,1044.0,24122.11,2172.52,1005223.0,1709.0
31,BE,2020,297295.25,441.3,11150.24,1098.72,298140.69,448.98
40,BG,2018,51482.19,87.28,1181.21,80.04,60318.04,114.88
376,TR,2017,1228444.1,2136.73,0.88,0.02,1234709.27,2189.24
22,BE,2011,303349.57,394.01,11764.96,1108.26,304486.93,402.75
307,PL,2017,1104056.76,1937.09,22066.9,1990.46,1166662.74,2343.55
99,EE,2020,,,559.14,45.03,,
168,FI,2013,61871.56,102.32,2144.59,194.49,63138.33,111.09
175,FI,2020,79766.65,136.89,1905.74,175.02,80628.32,145.32
390,XK,2017,0.0,0.0,0.0,0.0,0.0,0.0
191,HR,2016,35526.0,52.0,1127.1,79.9,38205.6,64.0
319,PT,2019,204041.52,296.01,5558.35,365.96,221792.36,351.82
18,BA,2017,39782.0,60.97,122.61,8.77,40577.6,62.15
327,RO,2017,,,3881.95,327.98,243035.04,405.46
163,EU28,2017,,,255215.7,23362.07,,
219,IS,2015,5007.9,8.1,80.3,6.8,5072.1,8.4
304,PL,2014,845308.62,1477.1,20504.14,1838.46,896072.95,1804.06
41,BG,2019,51510.27,88.97,1180.16,78.23,59727.55,114.09
323,RO,2013,,,3753.08,308.44,202590.94,325.55
84,DK,2015,95693.1,134.1,18716.9,1598.7,95746.7,134.4
10,AT,2015,80722.62,102.38,5414.23,527.77,,
361,SK,2012,,,604.3,54.16,,
157,EU28,2011,,,253917.23,22697.2,,
88,DK,2019,104182.1,156.9,16838.7,1498.6,104616.3,158.8
256,LU,2021,0.0,0.0,144.36,12.41,0.0,0.0
160,EU28,2014,,,248729.87,22356.8,,
115,ES,2016,663376.07,1269.48,49083.79,4181.09,764538.24,1526.63
314,PT,2014,180542.6,248.9,5371.8,359.98,197678.18,295.21
158,EU28,2012,,,247236.35,22221.62,,
144,EU27_2007,2017,,,254215.3,23290.67,,
230,IT,2015,533812.0,969.41,11304.24,1485.83,584178.0,1294.96
113,ES,2014,624364.11,1209.07,43483.57,3620.22,720093.88,1436.69
87,DK,2018,103719.6,146.4,18085.7,1581.3,104163.6,147.7
