,geo,time_period,sl_chicken_thsdhd,sl_chicken_thsdtonne,sl_pigmeat_thsdhd,sl_pigmeat_thsdtonne,sl_poultrymeat_thsdhd,sl_poultrymeat_thsdtonne
280,MT,2011,2437.04,4.16,83.08,7.26,2437.04,4.16
377,TR,2018,1228533.26,2156.67,1.04,0.02,1236310.71,2226.34
110,ES,2011,603747.01,1148.39,41743.36,3469.35,703727.37,1373.61
220,IS,2016,5371.25,8.64,76.17,6.08,5440.46,9.11
186,HR,2011,33987.9,48.5,1253.6,88.2,35347.4,60.8
325,RO,2015,228198.66,362.73,4037.55,330.47,229664.92,374.79
164,EU28,2018,,,259316.58,23846.37,,
249,LU,2014,0.0,0.0,157.7,11.92,0.0,0.0
85,DK,2016,101607.1,143.8,18228.4,1566.6,101777.2,144.3
54,CY,2015,11767.89,20.01,579.34,43.59,11794.21,23.88
33,BG,2011,44779.91,73.43,719.37,48.22,52265.99,98.45
368,SK,2019,46559.3,70.1,676.79,62.8,46754.72,71.5
4,AL,2019,4052.77,4.59,128.0,6.29,4066.47,4.7
207,IE,2012,82773.64,115.88,2972.26,241.49,88412.9,132.41
16,BA,2015,31370.0,47.54,122.24,8.53,32112.9,48.7
100,EL,2011,112987.26,173.05,1829.34,115.12,113647.02,175.23
