,year,production_broilers_dollars,sales_broilers_hd,chicksplaced_broilers_thsdhd,production_broilers_thsdhd,production_broilers_thsdtonnes,pricereceived_broilers_dollarsperkg,mortality_calc_broilers_thsdhd,mortality_calc_broilers_pctplaced
0,2011,22987822000,,,8607600.0,22716.990614721883,1.0119219570000002,,
1,2012,24827800000,8463194794.0,,8463000.0,22523.39742441224,1.1265623530000002,,
2,2013,30761669000,,8890626.0,8533800.0,22987.240902412792,1.331592292,356826.0,0.040135081601677995
3,2014,32728234000,,9134788.0,8545000.0,23304.982303096716,1.4065494740000002,589788.0,0.06456504518769346
4,2015,28716398000,,9102074.0,8688700.0,24211.03290676002,1.1662455670000003,413374.0,0.04541536357537854
5,2016,25935852000,,9208278.0,8776700.0,24611.50954154066,1.053809794,431578.0,0.04686848073005615
6,2017,30232203000,8889759283.0,9381418.0,8913800.0,25207.89268732114,1.2037241580000002,467618.0,0.049845130021922056
7,2018,31749919000,,9466123.0,9038300.0,25762.998934511703,1.254430487,427823.0,0.04519516596181985
8,2019,28313919000,,9677457.0,9177200.0,26425.878710328245,1.062628286,500257.0,0.05169302224747679
9,2020,21683052000,,9789837.0,9222100.0,26945.92227333199,0.8024827720000001,567737.0,0.057992487515369257
0,2011,22987822000,,,8607600.0,22716.990614721883,1.0119219570000002,,
1,2012,24827800000,8463194794.0,,8463000.0,22523.39742441224,1.1265623530000002,,
2,2013,30761669000,,8890626.0,8533800.0,22987.240902412792,1.331592292,356826.0,0.040135081601677995
3,2014,32728234000,,9134788.0,8545000.0,23304.982303096716,1.4065494740000002,589788.0,0.06456504518769346
4,2015,28716398000,,9102074.0,8688700.0,24211.03290676002,1.1662455670000003,413374.0,0.04541536357537854
5,2016,25935852000,,9208278.0,8776700.0,24611.50954154066,1.053809794,431578.0,0.04686848073005615
6,2017,30232203000,8889759283.0,9381418.0,8913800.0,25207.89268732114,1.2037241580000002,467618.0,0.049845130021922056
7,2018,31749919000,,9466123.0,9038300.0,25762.998934511703,1.254430487,427823.0,0.04519516596181985
8,2019,28313919000,,9677457.0,9177200.0,26425.878710328245,1.062628286,500257.0,0.05169302224747679
9,2020,21683052000,,9789837.0,9222100.0,26945.92227333199,0.8024827720000001,567737.0,0.057992487515369257
