,time_period,feedprice_cattle_calf_gbppertonne,feedprice_pig_gbppertonne,feedprice_poultry_gbppertonne,feedprice_sheep_gbppertonne,year,quarter
35,Oct to Dec 14,218.0,234.0,235.0,210.0,2014,4.0
36,Jan to Mar 15,215.0,237.0,242.0,209.0,2015,1.0
37,Apr to Jun 15,210.0,234.0,243.0,216.0,2015,2.0
38,Jul to Sept 15,215.0,237.0,242.0,209.0,2015,3.0
39,Oct to Dec 15,203.0,218.0,225.0,203.0,2015,4.0
40,Jan to Mar 16,201.0,206.0,219.0,200.0,2016,1.0
41,Apr to Jun 16,194.0,210.0,225.0,206.0,2016,2.0
42,Jul to Sept 16,197.0,214.0,236.0,208.0,2016,3.0
43,Oct to Dec 16,211.0,222.0,237.0,213.0,2016,4.0
44,Jan to Mar 17,211.0,230.0,246.0,212.0,2017,1.0
45,Apr to Jun 17,213.0,232.0,255.0,224.0,2017,2.0
46,Jul to Sept 17,215.0,232.0,257.0,225.0,2017,3.0
47,Oct to Dec 17,216.0,231.0,244.0,216.0,2017,4.0
48,Jan to Mar 18,220.0,237.81876006654,248.929911448261,223.087402890124,2018,1.0
49,Apr to Jun 18,225.0,244.472589148543,262.785292312847,232.297957280588,2018,2.0
50,Jul to Sept 18,232.0,252.36924918872,279.219126750877,239.448248464523,2018,3.0
51,Oct to Dec 18,247.0,263.0,270.0,251.0,2018,4.0
52,Jan to Mar 19,248.0,266.0,271.0,254.0,2019,1.0
53,Apr to Jun 19,239.0,257.0,272.0,257.0,2019,2.0
54,Jul to Sept 19,233.0,246.0,268.0,245.0,2019,3.0
55,Oct to Dec 19,232.0,238.0,248.0,230.0,2019,4.0
56,Jan to Mar 20,233.0,241.0,256.0,236.0,2020,1.0
57,Apr to Jun 20,238.0,248.0,269.0,252.0,2020,2.0
58,Jul to Sept 20,240.0,249.0,274.0,246.0,2020,3.0
59,Oct to Dec 20,244.0,260.0,280.0,244.0,2020,4.0
60,Jan to Mar 21,248.0,273.0,302.0,258.0,2021,1.0
61,Apr to Jun 21,261.0,283.0,321.0,274.0,2021,2.0
62,Jul to Sept 21,270.0,279.0,319.0,278.0,2021,3.0
63,Oct to Dec 21,280.0,292.0,319.0,286.0,2021,4.0
