,country,year,producerprice_chickens_carcass_index,producerprice_pigs_carcass_index,producerprice_chickens_live_index,producerprice_pigs_live_index,producerprice_chickens_carcass_lcupertonne,producerprice_pigs_carcass_lcupertonne,producerprice_chickens_live_lcupertonne,producerprice_pigs_live_lcupertonne,producerprice_chickens_carcass_slcpertonne,producerprice_pigs_carcass_slcpertonne,producerprice_chickens_live_slcpertonne,producerprice_pigs_live_slcpertonne,producerprice_chickens_carcass_usdpertonne,producerprice_pigs_carcass_usdpertonne,producerprice_chickens_live_usdpertonne,producerprice_pigs_live_usdpertonne,country_inscope
0,Afghanistan,2011,111.0,,111.0,,,,,,,,,,,,,,False
1,Afghanistan,2012,113.0,,113.0,,,,,,,,,,,,,,False
2,Afghanistan,2013,109.0,,109.0,,,,,,,,,,,,,,False
3,Afghanistan,2014,105.0,,105.0,,,,,,,,,,,,,,False
4,Afghanistan,2015,101.0,,101.0,,,,,,,,,,,,,,False
5,Afghanistan,2016,93.0,,93.0,,,,,,,,,,,,,,False
6,Afghanistan,2017,90.0,,90.0,,,,,,,,,,,,,,False
7,Afghanistan,2018,85.0,,85.0,,,,,,,,,,,,,,False
8,Afghanistan,2019,88.0,,88.0,,,,,,,,,,,,,,False
9,Albania,2011,69.0,109.0,69.0,87.0,338000.0,563000.0,,297488.0,338000.0,563000.0,,297488.0,3350.0,5580.0,,2948.0,False
10,Albania,2012,100.0,116.0,94.0,87.0,489886.0,600000.0,342920.0,297411.0,489886.0,600000.0,342920.0,297411.0,4528.0,5546.0,3170.0,2749.0,False
11,Albania,2013,104.0,86.0,104.0,89.0,,,381000.0,302000.0,,,381000.0,302000.0,,,3606.0,2858.0,False
12,Albania,2014,124.0,103.0,124.0,97.0,,,453167.0,329667.0,,,453167.0,329667.0,,,4296.0,3125.0,False
13,Albania,2015,94.0,98.0,94.0,101.0,,,345848.0,344754.0,,,345848.0,344754.0,,,2746.0,2737.0,False
14,Albania,2016,82.0,99.0,82.0,102.0,,,299459.0,346072.0,,,299459.0,346072.0,,,2412.0,2788.0,False
15,Albania,2017,80.0,101.0,80.0,104.0,,,294138.0,352731.0,,,294138.0,352731.0,,,2470.0,2962.0,False
16,Albania,2018,83.0,102.0,83.0,106.0,,,305590.0,359129.0,,,305590.0,359129.0,,,2830.0,3326.0,False
17,Albania,2019,96.0,97.0,83.0,107.0,,,302659.0,362279.0,,,302659.0,362279.0,,,2755.0,3298.0,False
18,Albania,2020,,,,,,,309230.0,385842.0,,,309230.0,385842.0,,,2846.0,3551.0,False
19,Algeria,2011,92.0,87.0,93.0,87.0,237000.0,,,,237000.0,,,,3249.0,,,,False
20,Algeria,2012,109.0,100.0,110.0,100.0,281000.0,,,,281000.0,,,,3624.0,,,,False
21,Algeria,2013,97.0,109.0,98.0,109.0,249000.0,,,,249000.0,,,,3137.0,,,,False
22,Algeria,2014,97.0,105.0,98.0,105.0,250000.0,,,,250000.0,,,,3103.0,,,,False
23,Algeria,2015,103.0,100.0,104.0,100.0,265000.0,,,,265000.0,,,,2632.0,,,,False
24,Algeria,2016,100.0,95.0,98.0,95.0,256000.0,,,,256000.0,,,,2339.0,,,,False
25,Algeria,2017,94.0,97.0,95.0,97.0,242000.0,,,,242000.0,,,,2181.0,,,,False
26,Algeria,2018,111.0,122.0,112.0,122.0,286000.0,,,,286000.0,,,,2453.0,,,,False
27,Algeria,2019,98.0,121.0,107.0,121.0,250898.0,,,,250898.0,,,,2102.0,,,,False
28,Antigua and Barbuda,2011,71.0,71.0,71.0,71.0,,,,,,,,,,,,,False
29,Antigua and Barbuda,2012,72.0,72.0,72.0,72.0,,,,,,,,,,,,,False
30,Antigua and Barbuda,2013,71.0,71.0,71.0,71.0,,,,,,,,,,,,,False
31,Antigua and Barbuda,2014,73.0,73.0,73.0,73.0,,,,,,,,,,,,,False
32,Antigua and Barbuda,2015,75.0,75.0,75.0,75.0,,,,,,,,,,,,,False
