,geo,time_period,breedingsows_gte50kg_dec_thsdhd,breedingsows_gte50kg_jun_thsdhd,pigs_20to50kg_dec_thsdhd,pigs_20to50kg_jun_thsdhd,pigs_50to80kg_dec_thsdhd,pigs_50to80kg_jun_thsdhd,pigs_80to110kg_dec_thsdhd,pigs_80to110kg_jun_thsdhd,pigs_gte110kg_dec_thsdhd,pigs_gte110kg_jun_thsdhd,pigs_lt20kg_dec_thsdhd,pigs_lt20kg_jun_thsdhd,sl_pigmeat_thsdhd,sl_pigmeat_thsdtonne,_merge_slaughter,piglets_live_priceper100kg_euros,pigs_grade1_carcass_priceper100kg_euros,pigs_grade2_carcass_priceper100kg_euros,pigs_light_live_priceper100kg_euros,_merge_prodprice,electricity_priceper100kwh_euros,dieseloil_priceper100litres_euros,heatingoil_priceper100litres_euros,motorspirit_priceper100litres_euros,residualfueloil_priceper100kg_euros,feed_bulk_fatteningpigs_priceper100kg_euros,feed_sacks_fatteningpigs_priceper100kg_euros,feed_bulk_rearingpigs_priceper100kg_euros,feed_sacks_rearingpigs_priceper100kg_euros,feed_bulk_sows_priceper100kg_euros,feed_sacks_sows_priceper100kg_euros,_merge_costofprod
31,BE,2014,460.03,464.29,1317.78,1270.94,1464.13,1512.51,1227.89,1295.69,247.45,172.1,1627.46,1623.97,11855.07,1118.33,both,117.55,,,,both,12.8,64.5,,64.5,52.06,,24.11,,31.49,,24.94,both
35,BE,2018,403.35,408.25,1282.13,1248.5,1371.95,1342.27,1276.75,1266.42,275.43,272.27,1596.52,1566.09,11230.54,1073.12,both,83.4,,,,both,20.25,57.76,,57.76,56.92,,24.34,,31.96,,25.35,both
217,HU,2011,290.0,303.0,696.0,802.0,558.0,595.0,502.0,492.0,298.0,144.0,695.0,815.0,4290.4,387.3,both,189.22,,,118.0,both,13.4,108.82,108.82,109.68,40.34,25.85,,32.57,,28.52,,both
299,ME,2019,1.6,,4.6,,1.1,,2.2,,8.2,,4.7,,20.52,0.49,both,,,,,left_only,,,,,,,,,,,,left_only
20,BA,2013,97.0,,92.0,,57.0,,65.0,,41.0,,172.0,,,,left_only,,,,,left_only,,,,,,,,,,,,left_only
312,MT,2014,4.35,,12.03,,10.59,,7.13,,2.08,,11.02,,69.79,6.15,both,,,237.0,,both,,136.0,,,,,,,,,,both
358,RO,2016,361.2,339.0,1016.7,1620.9,837.1,1153.3,955.1,492.8,745.8,86.3,785.7,873.5,4033.52,337.03,both,172.79,193.97,178.83,124.04,both,,100.26,87.56,109.33,25.27,32.96,31.85,38.08,40.53,29.62,33.85,both
157,EU27_2007,2013,12386.62,,32646.25,,27544.47,,24319.41,,7528.8,,40486.68,,245448.7,22074.15,both,,,,,left_only,,,,,,,,,,,,left_only
271,LU,2012,5.57,,34.27,,20.84,,14.51,,5.08,,8.29,,138.34,10.35,both,156.8,181.0,173.0,,both,15.98,72.04,73.04,,,30.72,,43.65,,33.38,,both
196,FR,2012,1076.0,1107.0,3810.0,3735.0,2630.0,2625.0,2383.0,2278.0,557.0,557.0,3307.0,3365.0,24122.11,2172.52,both,140.65,140.65,140.65,140.65,both,,,,,,28.43,,45.14,,29.47,,both
