column_name,count,mean,std,min,1%,5%,10%,25%,50%,75%,90%,95%,99%,max
euro_feed_bulk_chicks_priceper100kg_euros,20.0,31.322000000000003,3.231945153260527,26.8,26.809500000000003,26.847500000000004,27.273,27.6875,32.36,33.392500000000005,34.824999999999996,35.1725,37.034499999999994,37.5
euro_feed_sacks_broilers_priceper100kg_euros,30.0,39.34133333333333,4.485820367314778,33.0,33.0029,33.199,33.861999999999995,35.480000000000004,38.495000000000005,42.67,45.447,45.9195,46.847500000000004,47.21
euro_feed_sacks_chicks_priceper100kg_euros,20.0,36.83250000000001,5.438384894723606,26.05,26.9525,30.5625,30.845,31.612499999999997,38.735,41.1775,42.507000000000005,43.422000000000004,44.060399999999994,44.22
euro_chickshatched_alltypes_thsdhd,69.0,770113.5862318841,238864.26658934442,412178.0,423623.76,455417.80000000005,485498.80000000005,593091.0,696248.25,934377.5,1100181.5780000002,1166288.3399999996,1367574.1331999996,1396813.1199999999
euro_chickshatched_layersandbreeders_thsdhd,69.0,44034.4004347826,16218.552597287395,0.0,7390.920000000001,14444.400000000001,18467.600000000002,35950.15,44795.6,54477.58,63911.6,69757.20399999998,72865.19199999998,74438.1
euro_chickshatched_broilers_prpn,69.0,0.9390884825657982,0.027913425626227905,0.8743969474835499,0.8774970058583617,0.8854154107698482,0.888685238545219,0.9289916861077769,0.9382342262250722,0.9585481728885631,0.9710562649987946,0.9733654662407156,0.9843516812967643,1.0
euro_sl_est_broilers_thsdhd,69.0,691211.3929222832,197962.83825956174,449370.9599973507,459517.32042385195,476607.7612305889,503948.8641350706,554368.9784323644,598301.8081970959,781409.3069630637,1035239.3935844615,1118500.7597995512,1151671.4290467019,1156098.3828187503
euro_sl_est_broilers_thsdtonne,69.0,1137.3900923451604,325.44139947560984,747.3517359379915,774.8413363904955,810.2472008315303,844.203488090536,911.2736966955259,1015.1487099807092,1298.0778236772471,1600.2611226697918,1848.6296602758741,2083.7803445334976,2145.7423004457464
euro_mortality_calc_broilers_thsdhd,69.0,34867.79287481805,76209.32157886175,-136861.61023150198,-117533.80199083086,-98715.462937974,-59548.22863902277,-23600.209615747794,37541.48740794265,91595.27096559387,120989.26647344031,129440.20813163888,204663.55309971492,212602.56331661483
euro_mortality_calc_broilers_pctplaced,69.0,0.028025495138444025,0.11350527609525699,-0.3446544939322333,-0.2764052861737432,-0.20476513305318358,-0.1067277235679849,-0.0491878344345232,0.04323622598491765,0.11785412736981081,0.14263899616676873,0.15235323575686158,0.18218816770533203,0.2070059423682251
wahis_new_outbreaks_aib,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wahis_new_outbreaks_ail,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wahis_new_outbreaks_chla,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wahis_new_outbreaks_dvh,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wahis_new_outbreaks_flua,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wahis_new_outbreaks_hpai,100.0,0.95,5.083892169977608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,13.340000000000174,47.0
wahis_new_outbreaks_ibd,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wahis_new_outbreaks_lpai,100.0,0.01,0.09999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010000000000005116,1.0
wahis_new_outbreaks_msyn,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wahis_new_outbreaks_ndv,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wahis_new_outbreaks_pul,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wahis_new_outbreaks_rab,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wahis_new_outbreaks_trh,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wahis_new_outbreaks_typh,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wahis_susceptible_thsdhd_aib,100.0,525.0233900000002,1391.4804428944205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2317.7706000000017,4505.400449999998,6150.023240000003,6689.201
wahis_susceptible_thsdhd_ail,100.0,271.39420000000007,857.0294486259272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,683.5038000000025,2119.3984,3322.9137500000124,5747.003000000001
wahis_susceptible_thsdhd_chla,100.0,0.9603299999999999,4.065959543725453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1084000000000014,3.6753499999999995,24.611650000000022,29.229999999999997
wahis_susceptible_thsdhd_dvh,100.0,37.590860000000006,139.69050894941222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352.5198999999999,588.9490400000018,912.1879999999999
wahis_susceptible_thsdhd_flua,100.0,0.0028200000000000005,0.021225285092849173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04562000000000083,0.20600000000000002
wahis_susceptible_thsdhd_hpai,100.0,978.8431800000004,7356.8346209428855,0.0,0.0,0.0,0.0,0.0,8.5515,219.923,996.6719,1650.2396499999993,3711.566570000363,73610.57300000003
wahis_susceptible_thsdhd_ibd,100.0,239.80564,630.1945223959101,0.0,0.0,0.0,0.0,0.0,0.0,28.70125,718.9844,1930.2119499999997,2614.474450000005,3550.4649999999992
wahis_susceptible_thsdhd_lpai,100.0,44.11166,113.13800606403609,0.0,0.0,0.0,0.0,0.0,0.0,39.86375,122.85390000000022,190.50525000000002,636.6831400000009,807.1750000000001
wahis_susceptible_thsdhd_msyn,100.0,238.82199999999997,1137.0245215400314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.9667000000005,666.1965999999983,4741.474880000022,9011.234
wahis_susceptible_thsdhd_ndv,100.0,33.22315,143.52164642193918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.075000000000166,110.1187499999996,816.7229000000011,1010.951
wahis_susceptible_thsdhd_pul,100.0,1055.7049699999998,3792.689036343131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.9137000000008,14124.9335,16639.771560000005,17750.013000000003
wahis_susceptible_thsdhd_rab,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wahis_susceptible_thsdhd_trh,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wahis_susceptible_thsdhd_typh,100.0,44.78857,145.3338256908015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.34670000000027,293.2318499999998,729.6270800000013,996.0440000000001
wahis_cases_thsdhd_aib,100.0,67.4473,172.79645274852922,0.0,0.0,0.0,0.0,0.0,0.0,0.001,352.8698000000005,436.3896999999999,677.765760000001,890.4929999999999
wahis_cases_thsdhd_ail,100.0,76.94296,576.338919234334,0.0,0.0,0.0,0.0,0.0,0.0,0.01225,55.15660000000009,215.35429999999994,364.74128000002776,5747.003000000001
wahis_cases_thsdhd_chla,100.0,0.19163000000000005,0.7387086145921986,0.0,0.0,0.0,0.0,0.0,0.0,0.00775,0.2012000000000002,0.8349999999999981,3.394740000000009,5.151
wahis_cases_thsdhd_dvh,100.0,4.6962600000000005,20.075725540366392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.49159999999996,98.80229000000027,150.11300000000003
wahis_cases_thsdhd_flua,100.0,0.0005600000000000001,0.0038252747970214237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024060000000000033,0.03
wahis_cases_thsdhd_hpai,100.0,35.670379999999994,130.94640489785246,0.0,0.0,0.0,0.0,0.0,0.0605,22.4805,65.28530000000003,154.80414999999994,520.4106900000032,1148.337
wahis_cases_thsdhd_ibd,100.0,81.02495,179.6878046097797,0.0,0.0,0.0,0.0,0.0,0.0,35.293,289.02290000000033,426.6118499999999,715.8078200000016,1040.8069999999998
wahis_cases_thsdhd_lpai,100.0,2.01585,10.872396088003978,0.0,0.0,0.0,0.0,0.0,0.0,0.027750000000000004,2.457300000000011,5.56304999999999,26.2991900000004,103.63700000000001
wahis_cases_thsdhd_msyn,100.0,175.79018999999997,850.9949233465558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.40940000000034,344.63149999999916,3468.9352900000167,6755.467
wahis_cases_thsdhd_ndv,100.0,35.12051000000001,142.6268131362541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.898800000000033,182.27899999999985,697.427930000002,1052.6330000000003
wahis_cases_thsdhd_pul,100.0,91.88117999999999,325.04880742648623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.66620000000049,1125.9716499999993,1335.4474400000017,1705.2560000000003
wahis_cases_thsdhd_rab,100.0,3e-05,0.0003000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.000000000001535e-05,0.003
wahis_cases_thsdhd_trh,100.0,0.0008,0.004711901972878916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030050000000000025,0.035
wahis_cases_thsdhd_typh,100.0,16.822460000000003,84.10043006609081,0.0,0.0,0.0,0.0,0.0,0.0,0.22025,22.542700000000025,38.554100000000005,359.9644700000021,751.457
wahis_killed_and_disposed_of_thsdhd_aib,100.0,2.0031,7.4166448341523985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.857700000000005,9.749849999999984,35.88201000000004,43.80300000000001
wahis_killed_and_disposed_of_thsdhd_ail,100.0,1.20961,5.433978766079435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04270000000000023,4.944299999999995,29.086390000000023,33.976
wahis_killed_and_disposed_of_thsdhd_chla,100.0,0.00966,0.04694058569999515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017099999999999938,0.21740000000000073,0.356
wahis_killed_and_disposed_of_thsdhd_dvh,100.0,0.7939400000000001,3.687231245662516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.934749999999995,20.840220000000038,26.703
wahis_killed_and_disposed_of_thsdhd_flua,100.0,0.00233,0.018434188154873892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03349000000000077,0.181
wahis_killed_and_disposed_of_thsdhd_hpai,100.0,359.29055999999997,1643.7257030245103,0.0,0.0,0.0,0.0,0.0,5.975,188.57525000000004,664.7819000000005,1017.4446999999996,3048.414310000067,16009.426
wahis_killed_and_disposed_of_thsdhd_ibd,100.0,1.29165,5.939697520399374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9765499999999925,31.30595000000004,37.83500000000001
wahis_killed_and_disposed_of_thsdhd_lpai,100.0,35.68748,94.28611246052517,0.0,0.0,0.0,0.0,0.0,0.0,38.957750000000004,116.0562,145.41784999999993,310.2704500000026,807.2950000000001
wahis_killed_and_disposed_of_thsdhd_msyn,100.0,0.12115999999999998,1.0181577711085312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021499999999999913,2.0207600000000414,10.016
wahis_killed_and_disposed_of_thsdhd_ndv,100.0,13.263720000000001,102.74360285132259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3867000000000003,4.56274999999998,180.95564000000428,1010.936
wahis_killed_and_disposed_of_thsdhd_pul,100.0,5.76888,23.236219051813087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3497000000001151,24.152599999999993,128.15161,132.86500000000007
wahis_killed_and_disposed_of_thsdhd_rab,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wahis_killed_and_disposed_of_thsdhd_trh,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wahis_killed_and_disposed_of_thsdhd_typh,100.0,4.26714,19.898574522327106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4227000000000087,13.85784999999993,112.35067000000018,147.067
wahis_slaughtered_thsdhd_aib,100.0,10.98113,99.59892182437977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034800000000001004,2.299099999999996,91.95117000000467,993.561
wahis_slaughtered_thsdhd_ail,100.0,2.4233899999999995,14.246375816925163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39400000000000035,1.8945499999999937,74.17811000000023,119.729
wahis_slaughtered_thsdhd_chla,100.0,0.00047,0.004699999999999988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00047000000000024046,0.047
