,geo,time_period,chickshatched_broilers_slct_thsdhd,chickshatched_broilers_thsdhd,chickshatched_layers_slct_thsdhd,chickshatched_layers_thsdhd,sl_chicken_thsdhd,sl_chicken_thsdtonne,_merge_slaughter,broilingfowl_carcass_priceper100kg_euros,chickens_live1stchoice_priceper100kg_euros,_merge_prodprice,electricity_priceper100kwh_euros,dieseloil_priceper100litres_euros,heatingoil_priceper100litres_euros,motorspirit_priceper100litres_euros,residualfueloil_priceper100kg_euros,feed_bulk_chicks_priceper100kg_euros,feed_sacks_broilers_priceper100kg_euros,feed_sacks_chicks_priceper100kg_euros,_merge_costofprod,geo_inscope,geo_eu27,chickshatched_alltypes_thsdhd,chickshatched_layersandbreeders_thsdhd,chickshatched_broilers_prpn,sl_est_broilers_thsdhd,sl_est_broilers_thsdtonne,mortality_calc_broilers_thsdhd,mortality_calc_broilers_pctplaced
255,NL,2014,21169.0,483251.0,2379.0,40247.0,574324.38,956.13,both,,88.66,both,,109.0,,140.08,,28.3,37.75,32.3,both,True,True,547046.0,63795.0,0.8833827502623179,507348.2503471006,844.62874900831,-24097.250347100606,-0.04986487425189106
223,LU,2014,0.0,0.0,0.0,0.0,0.0,0.0,both,401.0,407.3,both,15.57,63.06,64.06,,,,,,both,False,True,0.0,0.0,,,,,
380,EU27_2020,2012,,,,,,,right_only,,,left_only,,,,,,,,,left_only,False,False,,,,,,,
275,PT,2012,0.0,239462.0,0.0,0.0,179155.7,244.31,both,126.83,54.1,both,13.23,92.76,114.36,135.3,,,49.88,49.99,both,False,True,239462.0,0.0,1.0,179155.7,244.31,60306.29999999999,0.25184079311122426
169,HU,2013,9381.86,188374.24,403.18,7229.38,128631.49,235.6,both,,98.33,both,11.59,113.52,113.52,110.87,,37.58,,,both,False,True,205388.65999999997,17014.420000000002,0.9171598860423941,117975.64270986336,216.08286915158803,70398.59729013663,0.37371668912976974
197,IS,2020,27.11,5672.95,0.0,200.46,5401.07,8.7,both,,,left_only,,,,,,,,,left_only,False,False,5900.5199999999995,227.57,0.9614322127541302,5192.762681339949,8.364460250960931,480.18731866005055,0.08464508212835484
313,SI,2014,0.0,0.0,0.0,0.0,33214.18,55.64,both,,110.58,both,11.39,110.9,83.0,119.0,,,44.29,46.24,both,False,True,0.0,0.0,,,,,
97,EL,2017,0.0,0.0,0.0,0.0,126638.87,211.76,both,,141.19,both,7.78,130.73,97.37,151.32,,,38.3,48.32,both,False,False,0.0,0.0,,,,,
334,TR,2015,0.0,1183143.54,0.0,61819.39,1118718.13,1909.28,both,,,left_only,,,,,,,,,left_only,False,False,1244962.93,61819.39,0.9503443929852595,1063167.5021764545,1814.4735426388963,119976.03782354551,0.10140446511126242
384,EU27_2020,2018,,,,,,,right_only,,,left_only,,,,,,,,,left_only,False,False,,,,,,,
135,FI,2012,1466.0,63995.0,35.0,3702.0,59612.04,98.18,both,,,both,11.7,,92.28,,,,,,both,False,True,69198.0,5203.0,0.9248099656059424,55129.80866210006,90.79784242319143,8865.191337899938,0.138529437266973
268,PL,2016,0.0,1104849.57,0.0,30372.03,1056882.59,1849.85,both,,76.47,both,14.71,95.34,60.05,,,,41.51,39.57,both,True,True,1135221.6,30372.03,0.9732457257684315,1028606.4633565696,1800.358605812733,76243.10664343042,0.0690076809673107
405,MK,2020,,,,,0.0,0.0,right_only,,,left_only,,,,,,,,,left_only,False,False,,,,,,,
48,CY,2019,0.0,13439.07,0.0,442.53,13326.16,26.65,both,252.38,,both,16.99,76.54,82.97,61.51,,,,,both,False,True,13881.6,442.53,0.9681211099585062,12901.336810684646,25.80042758039419,537.7331893153532,0.04001267865375753
396,ME,2017,,,,,984.49,1.69,right_only,,,left_only,,,,,,,,,left_only,False,False,,,,,,,
386,EU27_2020,2020,,,,,,,right_only,,,left_only,,,,,,,,,left_only,False,False,,,,,,,
383,EU27_2020,2015,,,,,,,right_only,,,left_only,,,,,,,,,left_only,False,False,,,,,,,
258,NL,2017,20347.0,494071.0,2594.0,48030.0,621652.76,1034.32,both,,82.0,both,,93.65,,128.26,,26.8,35.45,30.8,both,True,True,565042.0,70971.0,0.8743969474835499,543571.2757387238,904.4062507211853,-49500.27573872381,-0.10018858775099897
46,CY,2017,0.0,12.5,0.0,262.89,12543.48,25.05,both,254.0,,both,13.5,66.0,79.1,64.2,,,,,both,False,True,275.39,262.89,0.04539017393514652,569.3507389520316,1.1370238570754203,-556.8507389520316,-44.548059116162534
417,XK,2018,,,,,0.0,0.0,right_only,,,left_only,,,,,,,,,left_only,False,False,,,,,,,
128,EU27_2020,2017,0.0,0.0,0.0,0.0,,,both,,,left_only,,,,,,,,,left_only,False,False,0.0,0.0,,,,,
148,FR,2014,0.0,856349.14,0.0,54448.24,782629.0,1047.0,both,79.8,182.9,both,,,,,,34.8,,,both,True,True,910797.38,54448.24,0.9402191517063873,735842.7744808182,984.4094518365874,120506.36551918183,0.14072106795037106
28,BE,2021,0.0,248029.85,0.0,5903.51,302536.61,447.73,both,,,left_only,,,,,,,,,left_only,False,True,253933.36000000002,5903.51,0.976751735179655,295503.15877287055,437.32105439198693,-47473.30877287054,-0.19140159449707583
280,PT,2017,0.0,265895.0,0.0,0.0,200625.96,290.6,both,114.4,28.32,both,,70.21,117.71,119.55,,,46.31,50.65,both,False,True,265895.0,0.0,1.0,200625.96,290.6,65269.04000000001,0.2454692265743997
68,DE,2017,0.0,677249.83,0.0,45673.21,599658.0,969.0,both,158.0,84.0,both,,,,,,,,,both,True,True,722923.0399999999,45673.21,0.9368214768753256,561772.493180104,907.7800110921905,115477.33681989601,0.17050921492279447
168,HU,2012,22509.2,161796.52,425.23,7273.63,131803.29,240.09,both,,93.74,both,13.2,118.42,118.42,115.97,,35.38,,,both,False,True,192004.58000000002,30208.06,0.8426701071401524,111066.6925057246,202.3166660232792,50729.82749427539,0.3135409061596343
299,SE,2011,0.0,0.0,0.0,0.0,78182.28,111.82,both,,105.76,both,,114.07,,,,,,,both,False,True,0.0,0.0,,,,,
274,PT,2011,0.0,239268.0,0.0,0.0,180974.51,245.63,both,125.25,50.78,both,13.47,84.22,106.84,124.63,,,46.12,46.06,both,False,True,239268.0,0.0,1.0,180974.51,245.63,58293.48999999999,0.24363262116120832
84,EE,2015,0.0,0.0,0.0,0.0,,,both,,,left_only,,,,,,,,,both,False,True,0.0,0.0,,,,,
322,SK,2012,0.0,49931.0,0.0,0.0,,,both,,93.77,both,,,,,,,,,both,False,True,49931.0,0.0,1.0,,,,
290,RO,2016,0.0,151662.7,0.0,598.0,,,both,114.69,92.42,both,,100.26,87.56,109.33,25.27,43.65,39.53,40.98,both,False,True,152260.7,598.0,0.9960725256090377,,,,
130,EU28,2016,0.0,0.0,0.0,0.0,,,both,,,left_only,,,,,,,,,left_only,False,False,0.0,0.0,,,,,
399,ME,2020,,,,,722.56,1.25,right_only,,,left_only,,,,,,,,,left_only,False,False,,,,,,,
11,BA,2014,0.0,39648.0,0.0,2118.0,,,left_only,,,left_only,,,,,,,,,left_only,False,False,41766.0,2118.0,0.9492888952736676,,,,
19,BE,2012,0.0,184937.0,0.0,8564.3,308010.34,401.75,both,,93.75,both,14.34,73.75,,73.75,61.75,,34.22,36.11,both,False,True,193501.3,8564.3,0.9557403490312468,294377.90985683305,383.9686852233034,-109440.90985683305,-0.5917740087534298
115,EU15,2017,0.0,0.0,0.0,0.0,,,both,,,left_only,,,,,,,,,left_only,False,False,0.0,0.0,,,,,
234,LV,2015,0.0,19018.59,0.0,0.0,17493.22,29.52,both,,163.2,both,,87.39,,,,34.54,,43.9,both,False,True,19018.59,0.0,1.0,17493.22,29.52,1525.369999999999,0.08020415814211247
326,SK,2016,0.0,0.0,0.0,0.0,,,both,,84.23,both,,,,,,,,,both,False,True,0.0,0.0,,,,,
137,FI,2014,378.0,66622.0,33.0,4226.0,63161.16,104.56,both,,,both,11.42,,81.94,,,,,,both,False,True,71259.0,4637.0,0.93492751792756,59051.10654822549,97.75602127450567,7570.893451774507,0.11363954026859757
