,geo,time_period,dieseloil_priceper100litres_euros,electricity_priceper100kwh_euros,feed_bulk_chicks_priceper100kg_euros,feed_bulk_fatteningpigs_priceper100kg_euros,feed_bulk_rearingpigs_priceper100kg_euros,feed_bulk_sows_priceper100kg_euros,feed_sacks_broilers_priceper100kg_euros,feed_sacks_chicks_priceper100kg_euros,feed_sacks_fatteningpigs_priceper100kg_euros,feed_sacks_rearingpigs_priceper100kg_euros,feed_sacks_sows_priceper100kg_euros,heatingoil_priceper100litres_euros,motorspirit_priceper100litres_euros,residualfueloil_priceper100kg_euros
240,SI,2011,103.6,11.28,,,,,44.25,45.49,33.06,52.64,34.59,75.9,107.5,
130,HU,2011,108.82,13.4,32.73,25.85,32.57,28.52,,,,,,108.82,109.68,40.34
194,NL,2015,93.75,,27.5,24.55,35.1,24.1,36.8,31.5,28.55,39.1,28.1,,128.77,
144,IE,2015,,,,,,,45.94,50.26,35.02,,32.78,,,
180,MT,2011,129.67,,,,,,,,,,,,,
160,LU,2011,64.53,15.66,,27.53,40.11,29.73,,,,,,65.53,,
244,SI,2015,96.7,11.34,,,,,40.48,42.4,31.28,53.16,36.07,69.6,105.6,
95,ES,2016,55.8,,,,,,34.52,,26.25,35.48,26.05,,,
197,NL,2018,103.0,,27.7,24.8,36.0,24.8,36.7,31.7,28.8,40.0,28.8,,133.72,
188,MT,2019,125.1,,,,,,,,,,,,,
254,SK,2015,,,,21.6,27.3,26.1,,,,,,,,
233,SE,2014,115.52,,,,,,,,,,,,,
163,LU,2014,63.06,15.57,,27.76,41.05,30.18,,,,,,64.06,,
190,NL,2011,89.4,,30.6,26.35,36.0,26.05,42.4,26.05,30.15,39.75,29.8,,137.8,
9,AT,2020,87.5,16.72,,,,,,,,,,50.7,,
209,PL,2020,101.68,15.04,,,,,42.64,41.13,34.14,55.09,42.69,64.2,,
71,EE,2012,,,,,,,35.92,,26.15,,27.33,,,
224,RO,2015,89.81,,45.22,31.04,39.37,30.37,40.27,44.09,34.64,40.27,38.92,99.48,120.48,30.5
16,BE,2017,48.39,19.81,,,,,29.21,26.49,22.9,29.75,23.63,,48.39,47.61
40,CZ,2011,139.35,11.37,,,,,34.16,,22.86,23.57,21.79,65.18,140.72,
227,RO,2018,84.51,,31.37,24.28,29.44,24.92,34.92,44.91,33.52,37.17,30.08,65.77,118.21,24.83
10,BE,2011,66.88,14.07,,,,,31.28,33.34,26.73,32.46,28.06,,66.88,55.14
44,CZ,2015,114.36,8.7,,,,,30.55,,22.28,23.57,20.45,46.43,114.93,
187,MT,2018,120.1,,,,,,,,,,,,,
73,EE,2014,,,,,,,,,22.51,,24.45,,,
191,NL,2012,96.7,,33.35,28.8,38.65,28.1,45.4,37.35,32.8,42.65,32.1,,147.2,
39,CY,2020,61.46,14.13,,,,,,,,43.35,,68.22,60.92,
27,BG,2018,114.53,11.1,31.75,25.38,64.61,24.88,34.1,33.68,28.41,54.21,23.73,111.97,111.46,
193,NL,2014,109.0,,28.3,25.25,36.05,25.0,37.75,32.3,29.25,40.05,29.0,,140.08,
14,BE,2015,47.56,14.31,,,,,30.06,27.85,23.43,29.71,23.96,,47.56,38.64
150,LT,2011,63.56,10.19,,27.13,36.46,27.33,,,,,,62.47,84.57,
17,BE,2018,57.76,20.25,,,,,30.06,27.64,24.34,31.96,25.35,,57.76,56.92
15,BE,2016,40.05,18.36,,,,,28.96,26.62,22.3,27.89,23.01,,40.05,36.44
213,PT,2014,82.8,,,,,,51.42,51.28,47.72,57.81,41.06,108.93,128.19,
268,UK,2019,71.49,,,,,,,,,,,,124.82,
49,CZ,2020,105.71,9.64,,,,,,,,,,37.82,106.5,
19,BE,2020,43.74,19.26,,,,,37.73,31.81,25.21,32.08,26.8,,43.26,41.67
229,RO,2020,66.04,,41.34,26.04,27.9,23.77,37.31,42.37,32.66,36.17,32.86,52.64,95.66,36.62
122,HR,2013,,,,,,,42.2,45.76,30.94,48.14,37.12,,,
66,DK,2017,75.7,12.3,,21.7,30.7,22.3,,,,,,76.4,,
245,SI,2016,88.1,11.33,,,,,41.27,42.7,30.55,52.04,34.98,60.0,97.9,
211,PT,2012,92.76,13.23,,,,,49.88,49.99,46.79,58.11,40.69,114.36,135.3,
234,SE,2015,101.14,,,,,,,,,,,,,
48,CZ,2019,123.42,9.18,,,,,,,,,,52.78,122.1,
145,IE,2016,,,,,,,43.79,49.04,34.02,,31.65,,,
103,FI,2014,,11.42,,,,,,,,,,81.94,,
253,SK,2014,,,,26.5,29.4,28.7,,,,,,,,
101,FI,2012,,11.7,,,,,,,,,,92.28,,
225,RO,2016,100.26,,43.65,32.96,38.08,29.62,39.53,40.98,31.85,40.53,33.85,87.56,109.33,25.27
56,DE,2017,,,,23.62,31.65,23.13,,,,,,,,
26,BG,2017,103.28,10.89,29.91,26.07,71.9,25.06,33.78,31.69,26.69,52.07,22.97,100.73,103.79,
167,LU,2018,55.48,15.5,,25.43,39.72,30.43,,,,,,56.48,,
239,SE,2020,100.53,,,,,,,,,,,,,
152,LT,2013,66.34,10.64,,27.57,35.2,27.02,,,,,,62.64,94.44,
1,AT,2012,117.56,16.5,,,,,,,,,,83.34,,
93,ES,2014,80.84,,,,,,36.47,,27.6,38.55,27.69,,,
226,RO,2017,103.13,,38.08,32.39,36.11,30.86,36.66,42.9,34.36,40.05,32.83,86.24,106.25,36.02
203,PL,2014,126.19,15.3,,,,,45.87,42.41,64.46,33.99,42.95,89.38,,
