,dayonfeed,bodyweight_g,dailygain_g,dailyfeedintake_g,cmlfeedintake_g,fcr
0,0.0,43.0,,,,
1,1.0,60.0,17.0,,14.0,0.229
2,2.0,77.0,17.0,17.0,31.0,0.402
3,3.0,96.0,19.0,20.0,51.0,0.534
4,4.0,118.0,22.0,23.0,75.0,0.635
5,5.0,142.0,24.0,27.0,101.0,0.714
6,6.0,169.0,27.0,30.0,131.0,0.778
7,7.0,198.0,30.0,33.0,164.0,0.829
8,8.0,231.0,33.0,37.0,201.0,0.871
9,9.0,267.0,36.0,41.0,242.0,0.907
10,10.0,305.0,39.0,45.0,286.0,0.939
11,11.0,347.0,42.0,49.0,335.0,0.967
12,12.0,391.0,45.0,53.0,388.0,0.992
13,13.0,439.0,48.0,58.0,446.0,1.016
14,14.0,490.0,51.0,63.0,509.0,1.038
15,15.0,544.0,54.0,68.0,576.0,1.059
16,16.0,601.0,57.0,73.0,649.0,1.08
17,17.0,661.0,60.0,78.0,727.0,1.1
18,18.0,724.0,63.0,83.0,810.0,1.12
19,19.0,789.0,66.0,89.0,899.0,1.139
20,20.0,857.0,68.0,94.0,994.0,1.159
21,21.0,928.0,71.0,100.0,1094.0,1.178
22,22.0,1002.0,73.0,106.0,1200.0,1.198
23,23.0,1077.0,76.0,112.0,1311.0,1.217
24,24.0,1155.0,78.0,117.0,1428.0,1.237
25,25.0,1235.0,80.0,123.0,1551.0,1.256
26,26.0,1317.0,82.0,129.0,1680.0,1.275
27,27.0,1401.0,84.0,134.0,1814.0,1.295
28,28.0,1486.0,85.0,140.0,1954.0,1.315
29,29.0,1574.0,87.0,145.0,2100.0,1.334
30,30.0,1662.0,88.0,151.0,2250.0,1.354
31,31.0,1752.0,90.0,156.0,2406.0,1.374
32,32.0,1842.0,91.0,161.0,2567.0,1.393
33,33.0,1934.0,92.0,166.0,2734.0,1.413
34,34.0,2027.0,93.0,171.0,2905.0,1.433
35,35.0,2120.0,93.0,176.0,3081.0,1.453
36,36.0,2214.0,94.0,180.0,3261.0,1.473
37,37.0,2308.0,94.0,185.0,3446.0,1.493
38,38.0,2403.0,95.0,189.0,3635.0,1.513
39,39.0,2498.0,95.0,193.0,3828.0,1.532
40,40.0,2593.0,95.0,197.0,4025.0,1.552
41,41.0,2688.0,95.0,201.0,4225.0,1.572
42,42.0,2782.0,95.0,204.0,4429.0,1.592
43,43.0,2877.0,95.0,207.0,4637.0,1.612
44,44.0,2971.0,94.0,210.0,4847.0,1.631
45,45.0,3065.0,94.0,213.0,5061.0,1.651
46,46.0,3158.0,93.0,216.0,5277.0,1.671
47,47.0,3251.0,93.0,219.0,5495.0,1.69
48,48.0,3343.0,92.0,221.0,5716.0,1.71
49,49.0,3434.0,91.0,223.0,5939.0,1.73
21,21.0,928.0,71.0,100.0,1094.0,1.178
22,22.0,1002.0,73.0,106.0,1200.0,1.198
23,23.0,1077.0,76.0,112.0,1311.0,1.217
24,24.0,1155.0,78.0,117.0,1428.0,1.237
25,25.0,1235.0,80.0,123.0,1551.0,1.256
26,26.0,1317.0,82.0,129.0,1680.0,1.275
27,27.0,1401.0,84.0,134.0,1814.0,1.295
28,28.0,1486.0,85.0,140.0,1954.0,1.315
29,29.0,1574.0,87.0,145.0,2100.0,1.334
30,30.0,1662.0,88.0,151.0,2250.0,1.354
31,31.0,1752.0,90.0,156.0,2406.0,1.374
32,32.0,1842.0,91.0,161.0,2567.0,1.393
33,33.0,1934.0,92.0,166.0,2734.0,1.413
34,34.0,2027.0,93.0,171.0,2905.0,1.433
35,35.0,2120.0,93.0,176.0,3081.0,1.453
36,36.0,2214.0,94.0,180.0,3261.0,1.473
37,37.0,2308.0,94.0,185.0,3446.0,1.493
38,38.0,2403.0,95.0,189.0,3635.0,1.513
39,39.0,2498.0,95.0,193.0,3828.0,1.532
40,40.0,2593.0,95.0,197.0,4025.0,1.552
41,41.0,2688.0,95.0,201.0,4225.0,1.572
42,42.0,2782.0,95.0,204.0,4429.0,1.592
43,43.0,2877.0,95.0,207.0,4637.0,1.612
44,44.0,2971.0,94.0,210.0,4847.0,1.631
45,45.0,3065.0,94.0,213.0,5061.0,1.651
46,46.0,3158.0,93.0,216.0,5277.0,1.671
47,47.0,3251.0,93.0,219.0,5495.0,1.69
48,48.0,3343.0,92.0,221.0,5716.0,1.71
49,49.0,3434.0,91.0,223.0,5939.0,1.73
50,50.0,3524.0,90.0,225.0,6164.0,1.749
51,51.0,3614.0,90.0,227.0,6391.0,1.769
52,52.0,3702.0,89.0,228.0,6620.0,1.788
53,53.0,3790.0,88.0,230.0,6850.0,1.807
54,54.0,3877.0,87.0,231.0,7081.0,1.827
55,55.0,3962.0,86.0,232.0,7313.0,1.846
56,56.0,4047.0,84.0,233.0,7546.0,1.865
57,57.0,4130.0,83.0,234.0,7781.0,1.884
58,58.0,4212.0,82.0,235.0,8015.0,1.903
59,59.0,4293.0,81.0,235.0,8250.0,1.922
60,60.0,4373.0,80.0,236.0,8486.0,1.941
61,61.0,4451.0,78.0,236.0,8722.0,1.959
62,62.0,4528.0,77.0,236.0,8958.0,1.978
63,63.0,4604.0,76.0,236.0,9193.0,1.997
64,64.0,4679.0,75.0,236.0,9429.0,2.015
65,65.0,4752.0,73.0,235.0,9664.0,2.034
66,66.0,4824.0,72.0,235.0,9899.0,2.052
67,67.0,4895.0,71.0,234.0,10134.0,2.07
68,68.0,4964.0,69.0,234.0,10368.0,2.088
69,69.0,5032.0,68.0,233.0,10601.0,2.106
70,70.0,5099.0,67.0,232.0,10833.0,2.124
