,country,year,yield_pigs_hgperhd,production_pigs_tonnes,slaughtered_pigs_hd,stocks_pigs_hd,country_inscope,producerprice_pigs_carcass_lcupertonne,producerprice_pigs_live_lcupertonne,producerprice_pigs_carcass_slcpertonne,producerprice_pigs_live_slcpertonne,producerprice_pigs_carcass_usdpertonne,producerprice_pigs_live_usdpertonne,producerprice_pigs_carcass_index,producerprice_pigs_live_index,_merge_prodprice
866,Kiribati,2017,400.0,997.0,24925.0,14479.0,False,,,,,,,,,left_only
966,Malawi,2017,362.0,187440.0,5181686.0,3785291.0,False,1675837.0,,1675837.0,,2295.0,,124.0,124.0,both
357,"China, Taiwan Province of",2018,1026.0,828645.0,8073454.0,5432676.0,True,,,,,,,,,left_only
1338,Rwanda,2019,377.0,14698.0,389570.0,1577203.0,False,2973958.0,,2973958.0,,3307.0,,163.0,149.0,both
1586,Togo,2017,300.0,18781.0,626002.0,1043336.0,False,1500000.0,1600000.0,1500000.0,1600000.0,2583.0,2756.0,70.0,106.0,both
940,Luxembourg,2011,703.0,9747.0,138714.0,89158.0,False,1590.0,1272.0,1590.0,1272.0,2210.0,1768.0,105.0,105.0,both
1441,Slovakia,2012,909.0,70604.0,776318.0,580393.0,False,1520.0,,1520.0,,1953.0,,107.0,105.0,both
1752,Viet Nam,2013,702.0,3228670.0,45970000.0,26264408.0,False,41235000.0,,41235000.0,,1970.0,,90.0,90.0,both
808,Israel,2019,819.0,13600.0,166000.0,166058.0,False,,17357.0,,17357.0,,4869.0,75.0,107.0,both
829,Jamaica,2020,719.0,7986.0,111141.0,218410.0,False,,352000.0,,352000.0,,2472.0,,,both
1085,Myanmar,2016,776.0,874024.0,11258071.0,16524336.0,False,,,,,,,95.0,95.0,both
302,Chad,2013,297.0,2445.0,82438.0,109313.0,False,,,,,,,125.0,,both
137,Belize,2018,544.0,2123.0,39003.0,24391.0,False,,,,,,,113.0,113.0,both
1179,Nigeria,2020,450.0,302976.0,6732788.0,7990514.0,False,,,,,,,,,left_only
746,Hungary,2017,930.0,469829.0,5050984.0,2907000.0,False,,404506.0,,404506.0,,1474.0,133.0,111.0,both
274,Cameroon,2015,300.0,32261.0,1075105.0,1845660.0,False,,,,,,,95.0,95.0,both
1521,Sweden,2012,901.0,232980.0,2585680.0,1363364.0,False,,,,,,,80.0,80.0,both
522,El Salvador,2013,515.0,7978.0,154968.0,281174.0,False,,21752.0,,2486.0,,2486.0,99.0,100.0,both
1114,Nepal,2015,326.0,20135.0,618331.0,1203230.0,False,254733.0,,254733.0,,2487.0,,98.0,98.0,both
358,"China, Taiwan Province of",2019,1027.0,819735.0,7979588.0,5514211.0,True,,,,,,,,,left_only
380,Congo,2011,473.0,1890.0,40000.0,92000.0,False,2750000.0,1928571.0,2750000.0,1928571.0,5828.0,4087.0,105.0,105.0,both
917,Lesotho,2018,500.0,580.0,11590.0,49275.0,False,,,,,,,,,left_only
943,Luxembourg,2014,740.0,12150.0,164155.0,87092.0,False,1580.0,1264.0,1580.0,1264.0,2096.0,1677.0,104.0,104.0,both
1614,Trinidad and Tobago,2015,990.0,2072.0,20935.0,29634.0,False,,,,,,,92.0,92.0,both
509,Ecuador,2020,1079.0,226148.0,2096494.0,1059842.0,False,,1622.0,,1622.0,,1622.0,,,both
190,Brazil,2011,926.0,3227000.0,34862000.0,39307336.0,True,,2733.0,,2733.0,,1634.0,70.0,70.0,both
1164,Niger,2015,450.0,1500.0,33326.0,42469.0,False,,,,,,,94.0,94.0,both
111,Belarus,2012,750.0,442900.0,5905000.0,4242900.0,False,,17187332.0,,1719.0,,2062.0,75.0,75.0,both
101,Barbados,2012,733.0,2541.0,34679.0,22500.0,False,,,,,,,99.0,99.0,both
164,Bolivia (Plurinational State of),2015,590.0,93628.0,1587755.0,2855489.0,False,21099.0,3761.0,21099.0,3761.0,3053.0,544.0,106.0,108.0,both
1084,Myanmar,2015,822.0,863235.0,10507363.0,15055885.0,False,,,,,,,94.0,94.0,both
1747,Venezuela (Bolivarian Republic of),2018,684.0,124482.0,1819862.0,3024753.0,False,,,,,,,,,left_only
1653,Tuvalu,2014,300.0,119.0,3964.0,14140.0,False,,,,,,,,,left_only
1104,Nauru,2015,302.0,75.0,2487.0,3000.0,False,,,,,,,,,left_only
1676,Ukraine,2017,869.0,735900.0,8465500.0,6669100.0,False,,33410.0,,33410.0,,1256.0,151.0,151.0,both
426,Cuba,2017,586.0,234300.0,3995200.0,2069400.0,False,,6801.0,,6801.0,,,100.0,100.0,both
92,Bahamas,2013,500.0,340.0,6802.0,5000.0,False,,,,,,,,,left_only
1760,Zambia,2011,440.0,26180.0,595000.0,815685.0,False,24417778.0,,24418.0,,5024.0,,72.0,,both
692,Guinea,2013,268.0,1662.0,62000.0,105970.0,False,,,,,,,,44.0,both
750,Iceland,2011,797.0,6044.0,75820.0,34300.0,False,362000.0,,362000.0,,3122.0,,83.0,83.0,both
665,Greece,2016,583.0,76702.0,1315790.0,697724.0,False,2160.0,2008.0,2160.0,2008.0,2389.0,2222.0,97.0,99.0,both
624,Gambia,2015,400.0,380.0,9492.0,10402.0,False,,,,,,,106.0,106.0,both
395,Cook Islands,2016,285.0,518.0,18176.0,30975.0,False,,,,,,,90.0,90.0,both
677,Grenada,2018,701.0,255.0,3636.0,2961.0,False,17621.0,,17621.0,,6526.0,,100.0,,both
1620,Tunisia,2011,438.0,114.0,2600.0,5500.0,False,,,,,,,75.0,75.0,both
