,geo,time_period,chickshatched_broilers_slct_thsdhd,chickshatched_broilers_thsdhd,chickshatched_layers_slct_thsdhd,chickshatched_layers_thsdhd,sl_chicken_thsdhd,sl_chicken_thsdtonne,_merge_slaughter,broilingfowl_carcass_priceper100kg_euros,chickens_live1stchoice_priceper100kg_euros,_merge_prodprice,electricity_priceper100kwh_euros,dieseloil_priceper100litres_euros,heatingoil_priceper100litres_euros,motorspirit_priceper100litres_euros,residualfueloil_priceper100kg_euros,feed_bulk_chicks_priceper100kg_euros,feed_sacks_broilers_priceper100kg_euros,feed_sacks_chicks_priceper100kg_euros,_merge_costofprod,geo_inscope,geo_eu27,chickshatched_alltypes_thsdhd,chickshatched_layersandbreeders_thsdhd,chickshatched_broilers_prpn,sl_est_broilers_thsdhd,sl_est_broilers_thsdtonne,mortality_calc_broilers_thsdhd,mortality_calc_broilers_pctplaced
0,AT,2011,0.0,66632.1,0.0,8897.1,72557.86,95.06,both,,93.35,both,16.34,110.98,77.0,,,,,,both,False,True,75529.20000000001,8897.1,0.8822031744014235,64010.77441977407,83.86223375859932,2621.3255802259373,0.03934028163941909
1,AT,2012,0.0,65303.5,0.0,8749.5,73393.85,92.68,both,,92.36,both,16.5,117.56,83.34,,,,,,both,False,True,74053.0,8749.5,0.8818481357946336,64722.229801290974,81.72968522544664,581.2701987090259,0.008901057350816203
2,AT,2013,0.0,63952.17,0.0,8456.3,74308.97,94.94,both,,107.66,both,17.26,117.56,83.34,,,,,,both,False,True,72408.47,8456.3,0.8832139389217863,65630.71809092085,83.85233136123439,-1678.5480909208563,-0.026246929399281624
3,AT,2014,0.0,69818.21,0.0,9337.13,76953.93,97.27,both,,107.66,both,17.29,108.17,73.25,,,,,,both,False,True,79155.34000000001,9337.13,0.8820404283526544,67876.47738062017,85.7960724658627,1941.7326193798363,0.027811263270425237
4,AT,2015,0.0,74527.32,0.0,10031.12,80722.62,102.38,both,,107.66,both,16.47,93.5,59.6,,,,,,both,False,True,84558.44,10031.12,0.8813705645468389,71146.54116109994,90.23471839830536,3380.7788389000634,0.045362946620112775
5,AT,2016,0.0,79358.06,0.0,9201.98,83438.79,107.23,both,,107.66,both,16.56,85.9,51.0,,,,,,both,False,True,88560.04,9201.98,0.8960933170310221,74768.94210015488,96.08808638523651,4589.117899845121,0.0578280000776874
6,AT,2017,0.0,81516.95,0.0,9176.39,83834.85,108.37,both,,107.66,both,15.15,92.1,57.2,,,,,,both,False,True,90693.34,9176.39,0.8988195825625123,75352.40488119084,97.40507816229946,6164.545118809154,0.07562286271516726
7,AT,2018,0.0,83076.71,0.0,9553.19,85693.55,109.59,both,,105.39,both,15.4,101.9,67.0,,,,,,both,False,True,92629.90000000001,9553.19,0.8968671023071384,76855.72587491188,98.2876657418393,6220.984125088129,0.07488240838001563
8,AT,2019,0.0,81636.75,0.0,9280.09,90701.99,115.51,both,,100.85,both,15.81,100.5,66.0,,,,,,both,False,True,90916.84,9280.09,0.8979277106419449,81443.83023136859,103.71962985625106,192.91976863141463,0.002363148565216212
9,AT,2020,0.0,84876.67,0.0,9435.79,97990.95,125.0,both,,100.85,both,16.72,87.5,50.7,,,,,,both,False,True,94312.45999999999,9435.79,0.8999518197277433,88187.1337693503,112.49397746596792,-3310.4637693503028,-0.03900322396425664
10,AT,2021,0.0,86990.15,0.0,9886.5,,,left_only,,,left_only,,,,,,,,,left_only,False,True,96876.65,9886.5,0.8979475446353687,,,,
11,BA,2014,0.0,39648.0,0.0,2118.0,,,left_only,,,left_only,,,,,,,,,left_only,False,False,41766.0,2118.0,0.9492888952736676,,,,
12,BA,2015,0.0,39615.0,0.0,1894.0,31370.0,47.54,both,,,left_only,,,,,,,,,left_only,False,False,41509.0,1894.0,0.9543713411549303,29938.62897203016,45.37081355850538,9676.371027969839,0.24426028090293675
13,BA,2016,0.0,39713.0,0.0,1446.0,37571.0,57.42,both,,,left_only,,,,,,,,,left_only,False,False,41159.0,1446.0,0.9648679511164022,36251.05379139435,55.402717753103815,3461.946208605652,0.08717412959498531
14,BA,2017,0.0,40098.0,0.0,1621.0,39782.0,60.97,both,,,left_only,,,,,,,,,left_only,False,False,41719.0,1621.0,0.9611448021285266,38236.26251827704,58.60099858577627,1861.7374817229575,0.046429684316498514
15,BA,2018,0.0,40436.0,0.0,1507.0,40265.0,61.93,both,,,left_only,,,,,,,,,left_only,False,False,41943.0,1507.0,0.964070285864149,38818.29006031996,59.70487280356675,1617.7099396800404,0.04000667572658127
16,BA,2019,0.0,41579.0,0.0,1153.0,42615.0,67.17,both,,,left_only,,,,,,,,,left_only,False,False,42732.0,1153.0,0.9730178788729757,41465.15690817186,65.35761092389778,113.8430918281374,0.002737994945240083
17,BA,2020,0.0,41530.0,0.0,970.0,41453.0,65.93,both,,,left_only,,,,,,,,,left_only,False,False,42500.0,970.0,0.9771764705882353,40506.896235294116,64.42524470588236,1023.1037647058838,0.024635294117647095
18,BE,2011,0.0,183019.3,0.0,6001.4,303349.57,394.01,both,,94.61,both,14.07,66.88,,66.88,55.14,,31.28,33.34,both,False,True,189020.69999999998,6001.4,0.9682500382233269,293718.2327475298,381.500197560373,-110698.93274752982,-0.604848410782523
19,BE,2012,0.0,184937.0,0.0,8564.3,308010.34,401.75,both,,93.75,both,14.34,73.75,,73.75,61.75,,34.22,36.11,both,False,True,193501.3,8564.3,0.9557403490312468,294377.90985683305,383.9686852233034,-109440.90985683305,-0.5917740087534298
20,BE,2013,0.0,193929.48,0.0,7266.55,290476.46,379.33,both,,94.91,both,14.23,69.84,,69.84,56.26,,36.16,37.46,both,False,True,201196.03,7266.55,0.963883233680108,279985.38957275054,365.6298270318753,-86055.90957275053,-0.44374846760147313
21,BE,2014,0.0,219502.24,0.77,7371.03,293638.55,425.0,both,,92.82,both,12.8,64.5,,64.5,52.06,,31.8,28.74,both,False,True,226874.03999999998,7371.8,0.9675070801401519,284097.376127088,411.19050905956453,-64595.136127087986,-0.29428007717410076
22,BE,2015,0.0,237635.64,0.0,7554.38,302961.38,444.95,both,,90.87,both,14.31,47.56,,47.56,38.64,,30.06,27.85,both,False,True,245190.02000000002,7554.38,0.9691896921416295,293627.04661300324,431.24095351841805,-55991.40661300323,-0.2356187254277314
23,BE,2016,0.0,250334.92,0.0,7053.78,305770.18,453.49,both,,87.63,both,18.36,40.05,,40.05,36.44,,28.96,26.62,both,False,True,257388.7,7053.78,0.9725948341943528,297390.4975186774,441.06203135879707,-47055.57751867737,-0.18797048976897576
24,BE,2017,24.47,258063.21,2.37,6263.65,300501.66,455.37,both,,87.09,both,19.81,48.39,,48.39,47.61,,29.21,26.49,both,False,True,264353.69999999995,6290.49,0.9762042672374173,293351.00280392746,444.5341371719027,-35287.79280392747,-0.1367408891950444
25,BE,2018,0.0,258188.5,0.0,5985.46,304954.77,461.61,both,,88.34,both,20.25,57.76,,57.76,56.92,,30.06,27.64,both,False,True,264173.96,5985.46,0.9773427327962225,298045.3282910435,451.1511788860643,-39856.82829104352,-0.154371043989347
26,BE,2019,0.0,256511.58,0.0,7353.94,295392.54,440.46,both,,85.62,both,20.58,57.13,,57.33,57.36,,36.38,30.8,both,False,True,263865.51999999996,7353.94,0.9721299698422137,287159.94100181485,428.1843665167014,-30648.36100181486,-0.11948139340069895
27,BE,2020,0.0,272430.75,0.0,5735.21,297295.25,441.3,both,,78.95,both,19.26,43.74,,43.26,41.67,,37.73,31.81,both,False,True,278165.96,5735.21,0.979382056668616,291165.63338281034,432.2013016078603,-18734.883382810338,-0.0687693418705867
28,BE,2021,0.0,248029.85,0.0,5903.51,302536.61,447.73,both,,,left_only,,,,,,,,,left_only,False,True,253933.36000000002,5903.51,0.976751735179655,295503.15877287055,437.32105439198693,-47473.30877287054,-0.19140159449707583
29,BG,2011,0.0,64707.0,0.0,2041.3,44779.91,73.43,both,,96.21,both,9.2,125.27,123.22,122.71,,31.49,35.04,36.55,both,False,True,66748.3,2041.3,0.9694179477230132,43410.44845142124,71.18435990130087,21296.551548578762,0.3291228390835422
30,BG,2012,0.0,67541.0,0.0,2853.8,45524.0,74.48,both,,100.76,both,9.87,133.96,132.43,132.43,,33.47,37.47,36.98,both,False,True,70394.8,2853.8,0.9594600737554478,43678.46039764301,71.46058629330575,23862.539602356992,0.353304505446425
31,BG,2013,0.0,61554.07,0.0,2621.9,42777.86,69.78,both,,116.78,both,9.82,133.45,130.89,131.4,,35.62,39.55,38.54,both,False,True,64175.97,2621.9,0.9591451442027288,41030.176698384144,66.92914816246642,20523.893301615855,0.33342869613034287
32,BG,2014,0.0,63700.86,0.0,2799.57,43138.07,71.52,both,,102.68,both,9.71,128.34,125.78,126.8,,33.4,35.18,34.53,both,False,True,66500.43000000001,2799.57,0.9579014752235435,41322.02089129649,68.50911350798783,22378.839108703512,0.35131141257282106
33,BG,2015,0.0,71173.36,0.0,0.0,45903.1,75.83,both,,103.16,both,9.2,129.87,127.82,128.34,,32.18,33.22,37.79,both,False,True,71173.36,0.0,1.0,45903.1,75.83,25270.260000000002,0.3550522274064341
34,BG,2016,0.0,70987.3,0.0,0.0,46986.97,79.61,both,,96.66,both,10.27,95.61,93.57,97.66,,33.45,32.33,34.27,both,False,True,70987.3,0.0,1.0,46986.97,79.61,24000.33,0.33809329274391337
35,BG,2017,0.0,78101.0,0.0,0.0,45925.14,79.29,both,,94.16,both,10.89,103.28,100.73,103.79,,29.91,33.78,31.69,both,False,True,78101.0,0.0,1.0,45925.14,79.29,32175.86,0.4119775675087387
36,BG,2018,0.0,80672.1,0.0,0.0,51482.19,87.28,both,,92.2,both,11.1,114.53,111.97,111.46,,31.75,34.1,33.68,both,False,True,80672.1,0.0,1.0,51482.19,87.28,29189.910000000003,0.361834016964973
37,BG,2019,0.0,74865.8,0.0,0.0,51510.27,88.97,both,,93.05,both,11.38,115.55,113.51,110.44,,31.52,34.36,33.37,both,False,True,74865.8,0.0,1.0,51510.27,88.97,23355.530000000006,0.31196527653481304
38,BG,2020,0.0,67509.1,0.0,0.0,51068.29,86.9,both,,93.05,both,12.18,97.15,130.38,95.61,,31.29,34.43,33.93,both,False,True,67509.1,0.0,1.0,51068.29,86.9,16440.810000000005,0.24353472346691044
39,BG,2021,0.0,68946.7,0.0,0.0,,,left_only,,,left_only,,,,,,,,,left_only,False,True,68946.7,0.0,1.0,,,,
40,CY,2011,0.0,13839.0,0.0,337.0,13610.02,27.22,both,251.8,,both,12.2,87.0,83.9,35.6,,,,,both,False,True,14176.0,337.0,0.9762274266365688,13286.474801072234,26.5729105530474,552.5251989277658,0.039925225733634356
41,CY,2012,0.0,12735.15,0.0,391.39,12573.77,25.15,both,252.7,,both,20.9,89.2,95.2,60.9,,,,,both,False,True,13126.539999999999,391.39,0.9701833080156691,12198.86177282818,24.400110196594078,536.288227171819,0.042110868515236884
42,CY,2013,0.0,10984.84,0.0,360.8,10911.5,21.82,both,260.3,,both,22.6,90.6,104.2,62.7,,,,,both,False,True,11345.64,360.8,0.9681992377688698,10564.505982915023,21.12610736811674,420.33401708497695,0.03826491938753564
43,CY,2014,0.0,11062.77,0.0,278.18,10746.15,21.49,both,258.3,,both,18.2,86.5,99.5,63.5,,,,,both,False,True,11340.95,278.18,0.9754711906850837,10482.559735780513,20.96287588782245,580.2102642194877,0.05244710540122299
44,CY,2015,0.0,11699.08,0.0,375.55,11767.89,20.01,both,255.6,,both,15.0,67.7,81.5,68.0,,,,,both,False,True,12074.63,375.55,0.9688975976903641,11401.880350884458,19.387640929784187,297.19964911554234,0.025403676965671005
45,CY,2016,0.0,3847.02,0.0,269.58,11927.35,23.89,both,254.2,,both,12.0,57.8,69.6,58.1,,,,,both,False,True,4116.6,269.58,0.934513919253753,11146.274594811252,22.32553753097216,-7299.254594811251,-1.897378904921537
46,CY,2017,0.0,12.5,0.0,262.89,12543.48,25.05,both,254.0,,both,13.5,66.0,79.1,64.2,,,,,both,False,True,275.39,262.89,0.04539017393514652,569.3507389520316,1.1370238570754203,-556.8507389520316,-44.548059116162534
47,CY,2018,0.0,13348.0,0.0,536.44,12741.84,25.25,both,251.7,,both,15.82,77.3,88.6,62.31,,,,,both,False,True,13884.44,536.44,0.9613639440985736,12249.54555747297,24.274439588488985,1098.4544425270306,0.08229356027322675
48,CY,2019,0.0,13439.07,0.0,442.53,13326.16,26.65,both,252.38,,both,16.99,76.54,82.97,61.51,,,,,both,False,True,13881.6,442.53,0.9681211099585062,12901.336810684646,25.80042758039419,537.7331893153532,0.04001267865375753
49,CY,2020,0.0,13362.26,0.0,583.42,13264.36,26.53,both,236.72,,both,14.13,61.46,68.22,60.92,,,,,both,False,True,13945.68,583.42,0.9581648223679304,12709.443143224282,25.420112737421196,652.8168567757184,0.048855272743960856
368,EU15,2014,,,,,,,right_only,,,left_only,,,,,,,,,left_only,False,False,,,,,,,
369,EU15,2015,,,,,,,right_only,,,left_only,,,,,,,,,left_only,False,False,,,,,,,
370,EU25,2012,,,,,,,right_only,,,left_only,,,,,,,,,left_only,False,False,,,,,,,
371,EU25,2013,,,,,,,right_only,,,left_only,,,,,,,,,left_only,False,False,,,,,,,
372,EU25,2014,,,,,,,right_only,,,left_only,,,,,,,,,left_only,False,False,,,,,,,
373,EU25,2015,,,,,,,right_only,,,left_only,,,,,,,,,left_only,False,False,,,,,,,
374,EU27_2007,2012,,,,,,,right_only,,,left_only,,,,,,,,,left_only,False,False,,,,,,,
375,EU27_2007,2013,,,,,,,right_only,,,left_only,,,,,,,,,left_only,False,False,,,,,,,
376,EU27_2007,2014,,,,,,,right_only,,,left_only,,,,,,,,,left_only,False,False,,,,,,,
377,EU27_2007,2015,,,,,,,right_only,,,left_only,,,,,,,,,left_only,False,False,,,,,,,
378,EU27_2007,2018,,,,,,,right_only,,,left_only,,,,,,,,,left_only,False,False,,,,,,,
379,EU27_2007,2019,,,,,,,right_only,,,left_only,,,,,,,,,left_only,False,False,,,,,,,
380,EU27_2020,2012,,,,,,,right_only,,,left_only,,,,,,,,,left_only,False,False,,,,,,,
381,EU27_2020,2013,,,,,,,right_only,,,left_only,,,,,,,,,left_only,False,False,,,,,,,
382,EU27_2020,2014,,,,,,,right_only,,,left_only,,,,,,,,,left_only,False,False,,,,,,,
383,EU27_2020,2015,,,,,,,right_only,,,left_only,,,,,,,,,left_only,False,False,,,,,,,
384,EU27_2020,2018,,,,,,,right_only,,,left_only,,,,,,,,,left_only,False,False,,,,,,,
385,EU27_2020,2019,,,,,,,right_only,,,left_only,,,,,,,,,left_only,False,False,,,,,,,
386,EU27_2020,2020,,,,,,,right_only,,,left_only,,,,,,,,,left_only,False,False,,,,,,,
387,EU28,2012,,,,,,,right_only,,,left_only,,,,,,,,,left_only,False,False,,,,,,,
388,EU28,2013,,,,,,,right_only,,,left_only,,,,,,,,,left_only,False,False,,,,,,,
389,EU28,2014,,,,,,,right_only,,,left_only,,,,,,,,,left_only,False,False,,,,,,,
390,EU28,2015,,,,,,,right_only,,,left_only,,,,,,,,,left_only,False,False,,,,,,,
391,IS,2021,,,,,5441.15,9.01,right_only,,,left_only,,,,,,,,,left_only,False,False,,,,,,,
392,LU,2021,,,,,0.0,0.0,right_only,,,left_only,,,,,,,,,left_only,False,True,,,,,,,
393,ME,2014,,,,,310.51,0.51,right_only,,,left_only,,,,,,,,,left_only,False,False,,,,,,,
394,ME,2015,,,,,401.85,0.63,right_only,,,left_only,,,,,,,,,left_only,False,False,,,,,,,
395,ME,2016,,,,,381.2,0.61,right_only,,,left_only,,,,,,,,,left_only,False,False,,,,,,,
396,ME,2017,,,,,984.49,1.69,right_only,,,left_only,,,,,,,,,left_only,False,False,,,,,,,
397,ME,2018,,,,,1233.3,1.99,right_only,,,left_only,,,,,,,,,left_only,False,False,,,,,,,
398,ME,2019,,,,,994.34,1.66,right_only,,,left_only,,,,,,,,,left_only,False,False,,,,,,,
399,ME,2020,,,,,722.56,1.25,right_only,,,left_only,,,,,,,,,left_only,False,False,,,,,,,
400,MK,2014,,,,,458.43,0.68,right_only,,,left_only,,,,,,,,,left_only,False,False,,,,,,,
401,MK,2015,,,,,455.73,0.65,right_only,,,left_only,,,,,,,,,left_only,False,False,,,,,,,
402,MK,2017,,,,,0.0,0.0,right_only,,,left_only,,,,,,,,,left_only,False,False,,,,,,,
