,year,month,production_broiler_chicken_compounds_ipu_thsdtonnes,production_broiler_chicken_compounds_rtl_thsdtonnes,production_layers_compounds_ipu_thsdtonnes,production_layers_compounds_rtl_thsdtonnes,production_total_poultry_feed_rtl_thsdtonnes,production_total_production_ipu_thsdtonnes,production_broiler_chicken_compounds_thsdtonnes,production_layers_compounds_thsdtonnes,production_total_poultry_feed_thsdtonnes
262,2014.0,Jan,152.2,112.7,13.0,78.3,244.9,200.0,264.9,91.3,444.9
31,1995.0,Aug,139.8,65.1,28.0,56.7,226.9,231.7,204.9,84.7,458.6
40,1995.0,Oct,148.4,72.8,28.1,59.4,227.6,241.1,221.2,87.5,468.7
137,2003.0,Sep,195.5,92.9,21.4,66.7,246.7,263.3,288.4,88.1,510.0
22,1994.0,Jan,,71.9,,56.5,195.5,,,,
50,1996.0,May,152.7,80.3,27.8,64.4,232.6,249.5,233.0,92.2,482.1
88,1999.0,Oct,163.6,71.8,21.9,65.2,214.6,237.4,235.39999999999998,87.1,452.0
106,2001.0,Jan,157.3,65.7,21.8,65.6,191.1,229.6,223.0,87.39999999999999,420.7
55,1997.0,Aug,150.5,74.4,27.5,59.8,228.6,239.7,224.9,87.3,468.29999999999995
128,2003.0,Dec,186.3,94.3,24.0,76.7,247.6,256.2,280.6,100.7,503.79999999999995
304,2017.0,Oct,119.1,156.0,12.0,89.0,320.6,167.8,275.1,101.0,488.40000000000003
221,2010.0,Sep,198.6,113.2,18.3,90.0,286.0,262.8,311.8,108.3,548.8
204,2009.0,Jun,191.5,102.9,19.6,84.1,280.0,253.1,294.4,103.69999999999999,533.1
276,2015.0,Jun,173.6,135.1,17.3,91.2,326.8,242.0,308.7,108.5,568.8
27,1994.0,Nov,,79.7,,64.2,241.3,,,,
273,2015.0,Feb,137.5,113.8,14.0,79.4,246.6,190.3,251.3,93.4,436.9
179,2007.0,Jul,153.6,92.5,18.5,71.7,259.1,208.1,246.1,90.2,467.20000000000005
18,1994.0,Apr,,76.5,,59.3,217.8,,,,
