,commodity,year,month,price_gbppertonne
0,FEED WHEAT,2011,jan,155.5
1,WHEAT FEED - 77% of Feed Wheat,2011,jan,119.735
2,FEED BARLEY,2011,jan,168.87
3,SOYA BEANS (US No. 2 Yellow Gulf ports cif Rotterdam ($/mt)) - Con to £,2011,jan,343.61
4,SOYA BEAN MEAL (49%-50% Hipro (£/mt)),2011,jan,358.5
5,RAPE SEED MEAL (domestic (£/mt)),2011,jan,198.0
6,SUNFLOWER SEED MEAL  (32%CP (£/mt)),2011,jan,183.0
7,MAIZE GLUTEN FEED (18.5%-24% CP,2011,jan,189.0
8,WHITE FISH MEAL 66%/72% CP (£/mt)),2011,jan,977.0
9,Beet Pulp Pellets (11%CP/88% DM),2011,jan,181.5
10,MOLASSES (Beet cif North Europe ($/mt) - +$20 then Con to £,2011,jan,150.17
11,GRASSLAND HAY,2011,jan,165.0
12,WHEAT STRAW,2011,jan,73.0
13,Maize - US No.3 Yellow Corn,2011,jan,170.53
14,Oilseed Rape,2011,jan,421.67
15,FEED WHEAT,2012,jan,147.2
16,WHEAT FEED - 77% of Feed Wheat,2012,jan,113.344
17,FEED BARLEY,2012,jan,145.31
18,SOYA BEANS (US No. 2 Yellow Gulf ports cif Rotterdam ($/mt)) - Con to £,2012,jan,298.71
19,SOYA BEAN MEAL (49%-50% Hipro (£/mt)),2012,jan,294.5
20,RAPE SEED MEAL (domestic (£/mt)),2012,jan,168.5
21,SUNFLOWER SEED MEAL  (32%CP (£/mt)),2012,jan,171.0
22,MAIZE GLUTEN FEED (18.5%-24% CP,2012,jan,177.0
23,WHITE FISH MEAL 66%/72% CP (£/mt)),2012,jan,1002.0
24,Beet Pulp Pellets (11%CP/88% DM),2012,jan,159.0
25,MOLASSES (Beet cif North Europe ($/mt) - +$20 then Con to £,2012,jan,155.67
26,GRASSLAND HAY,2012,jan,115.0
27,WHEAT STRAW,2012,jan,63.0
28,FIELD BEANS,2012,jan,163.0
29,FIELD PEAS,2012,jan,161.33
30,Maize - US No.3 Yellow Corn,2012,jan,174.58
31,Oilseed Rape,2012,jan,369.83
32,FEED WHEAT,2013,jan,196.88
33,WHEAT FEED - 77% of Feed Wheat,2013,jan,151.5976
34,FEED BARLEY,2013,jan,194.02
35,FEED OATS,2013,jan,
36,SOYA BEANS (US No. 2 Yellow Gulf ports cif Rotterdam ($/mt)) - Con to £,2013,jan,349.25
37,SOYA BEAN MEAL (49%-50% Hipro (£/mt)),2013,jan,470.5
38,RAPE SEED MEAL (domestic (£/mt)),2013,jan,265.5
39,SUNFLOWER SEED MEAL  (32%CP (£/mt)),2013,jan,225.5
40,MAIZE GLUTEN FEED (18.5%-24% CP,2013,jan,234.0
41,WHITE FISH MEAL 66%/72% CP (£/mt)),2013,jan,1062.5
42,Beet Pulp Pellets (11%CP/88% DM),2013,jan,203.5
43,MOLASSES (Beet cif North Europe ($/mt) - +$20 then Con to £,2013,jan,178.33
44,GRASSLAND HAY,2013,jan,83.0
45,WHEAT STRAW,2013,jan,62.0
46,FIELD BEANS,2013,jan,296.5
47,FIELD PEAS,2013,jan,294.5
48,Maize - US No.3 Yellow Corn,2013,jan,191.15
49,Oilseed Rape,2013,jan,
2134,FIELD BEANS,2018,dec,217.75
2135,FIELD PEAS,2018,dec,212.75
2136,MAIZE - US No.3 YELLOW CORN,2018,dec,131.85000000000002
2137,OILSEED RAPE (a),2018,dec,320.7692307692308
2138,Feed Wheat (a),2019,dec,137.72
2139,Wheat Feed - 77% of Feed Wheat (a),2019,dec,106.0444
2140,Feed Barley (a) ,2019,dec,122.07
2141,Feed Oats (a),2019,dec,105.84
2142,Soya Bean Meal (48%-50% CP Hipro),2019,dec,306.0
2143,Rape Seed Meal (domestic 34%/36% CP),2019,dec,207.5
2144,"Sunflower Seed Meal (Argentinian, 32-33%)",2019,dec,178.91666666666666
2145,"Maize Gluten Feed (imported, 18.5%-21% CP)",2019,dec,204.25
2146,Beet Pulp Pellets (11%CP/88%DM),2019,dec,193.5
2147,Molasses,2019,dec,232.5
2148,Grassland Hay (big bale) (b),2019,dec,53.36
2149,Wheat Straw (big bale) (b),2019,dec,40.64
2150,Field Beans,2019,dec,178.75
2151,Field Peas,2019,dec,173.5
2152,Oilseed Rape (a),2019,dec,323.01331360946745
2153,Feed Wheat (a),2020,dec,185.94
2154,Wheat Feed - 77% of Feed Wheat (a),2020,dec,143.1738
2155,Feed Barley (a) ,2020,dec,140.06
2156,Feed Oats (a),2020,dec,117.9
2157,Soya Beans (No. 2 Yellow Gulf ports CIF Rotterdam ($/mt)) - converted to £,2020,dec,384.0787792227317
2158,Soya Bean Meal (48%-50% CP Hipro),2020,dec,399.6666666666667
2159,Rape Seed Meal (domestic 34%/36% CP),2020,dec,280.0
2160,"Sunflower Seed Meal (Argentinian, 32-33%)",2020,dec,
2161,"Maize Gluten Feed (imported, 18.5%-21% CP)",2020,dec,252.0
2162,Beet Pulp Pellets (11%CP/88%DM),2020,dec,231.33333333333334
2163,Molasses,2020,dec,232.5
2164,Grassland Hay (big bale) (b),2020,dec,89.0
2165,Wheat Straw (big bale) (b),2020,dec,92.67
2166,Field Beans (c),2020,dec,211.0
2167,Field Peas (c),2020,dec,203.0
2168,Oilseed Rape (a; c),2020,dec,349.91
2169,Feed Wheat (a),2021,dec,216.24
2170,Wheat Feed - 77% of Feed Wheat (a),2021,dec,166.5048
2171,Feed Barley (a) ,2021,dec,203.63
2172,Feed Oats (a),2021,dec,159.67
2173,Soya Beans (No. 2 Yellow Gulf ports CIF Rotterdam ($/mt)) - converted to £,2021,dec,411.54
2174,Soya Bean Meal (48%-50% CP Hipro),2021,dec,404.3333333333333
2175,Rape Seed Meal (domestic 34%/36% CP),2021,dec,321.0
2176,"Maize Gluten Feed (imported, 18.5%-21% CP)",2021,dec,279.0
2177,Beet Pulp Pellets (11%CP/88%DM),2021,dec,272.0
2178,Molasses,2021,dec,232.5
2179,Grassland Hay (big bale) (b),2021,dec,65.0
2180,Wheat Straw (big bale) (b),2021,dec,50.0
2181,Field Beans (c),2021,dec,243.0
2182,Field Peas (c),2021,dec,235.0
2183,Oilseed Rape (a; c),2021,dec,563.98
