,country,year,fao_yield_pigs_hgperhd,fao_production_pigs_tonnes,fao_slaughtered_pigs_hd,fao_stocks_pigs_hd,fao_producerprice_pigs_carcass_lcupertonne,fao_producerprice_pigs_live_lcupertonne,fao_producerprice_pigs_carcass_slcpertonne,fao_producerprice_pigs_live_slcpertonne,fao_producerprice_pigs_carcass_usdpertonne,fao_producerprice_pigs_live_usdpertonne,fao_producerprice_pigs_carcass_index,fao_producerprice_pigs_live_index,euro_geo,euro_breedingsows_gte50kg_dec_thsdhd,euro_breedingsows_gte50kg_jun_thsdhd,euro_pigs_20to50kg_dec_thsdhd,euro_pigs_20to50kg_jun_thsdhd,euro_pigs_50to80kg_dec_thsdhd,euro_pigs_50to80kg_jun_thsdhd,euro_pigs_80to110kg_dec_thsdhd,euro_pigs_80to110kg_jun_thsdhd,euro_pigs_gte110kg_dec_thsdhd,euro_pigs_gte110kg_jun_thsdhd,euro_pigs_lt20kg_dec_thsdhd,euro_pigs_lt20kg_jun_thsdhd,euro_sl_pigmeat_thsdhd,euro_sl_pigmeat_thsdtonne,euro_piglets_live_priceper100kg_euros,euro_pigs_grade1_carcass_priceper100kg_euros,euro_pigs_grade2_carcass_priceper100kg_euros,euro_pigs_light_live_priceper100kg_euros,euro_electricity_priceper100kwh_euros,euro_dieseloil_priceper100litres_euros,euro_heatingoil_priceper100litres_euros,euro_motorspirit_priceper100litres_euros,euro_residualfueloil_priceper100kg_euros,euro_feed_bulk_fatteningpigs_priceper100kg_euros,euro_feed_sacks_fatteningpigs_priceper100kg_euros,euro_feed_bulk_rearingpigs_priceper100kg_euros,euro_feed_sacks_rearingpigs_priceper100kg_euros,euro_feed_bulk_sows_priceper100kg_euros,euro_feed_sacks_sows_priceper100kg_euros
30,France,2011,887.0,2217368.0,25005000.0,13975454.0,1357.0,,1357.0,,1887.0,,102.0,107.0,FR,1103.0,1144.0,3806.0,3746.0,2748.0,2649.0,2376.0,2299.0,547.0,508.0,3373.0,3474.0,24801.18,2217.94,,,,146.57,,,,,,26.8,,42.8,,27.6,
31,France,2012,886.0,2161653.0,24388000.0,13759913.0,1494.0,,1494.0,,1919.0,,112.0,118.0,FR,1076.0,1107.0,3810.0,3735.0,2630.0,2625.0,2383.0,2278.0,557.0,557.0,3307.0,3365.0,24122.11,2172.52,140.65,140.65,140.65,140.65,,,,,,28.43,,45.14,,29.47,
32,France,2013,874.0,2130578.0,24387873.0,13485406.0,1520.0,,1520.0,,2018.0,,114.0,120.0,FR,1043.0,1084.0,3657.0,2038.0,2637.0,2615.0,2273.0,2258.0,557.0,536.0,3247.0,5032.0,23728.13,2150.3,142.97,142.97,142.97,142.97,,,,,,29.54,,46.88,,30.51,
33,France,2014,909.0,2120315.0,23332517.0,13335192.0,1391.0,,1391.0,,1846.0,,104.0,110.0,FR,1035.0,1066.0,3549.0,1944.0,2609.0,2629.0,2277.0,2205.0,598.0,565.0,3219.0,4945.0,23658.93,2157.89,130.9,130.9,130.9,130.9,,,,,,25.76,,43.24,,26.8,
34,France,2015,922.0,2148452.0,23312352.0,13162391.0,1290.0,,1290.0,,1431.0,,97.0,102.0,FR,1011.0,1060.0,3637.0,2113.0,2492.0,2543.0,2300.0,2311.0,596.0,577.0,3261.0,5029.0,23657.26,2162.87,121.5,121.5,121.5,121.5,,,,,,24.26,,41.4,,25.83,
35,France,2016,906.0,2170418.0,23965189.0,12626616.0,1327.0,,1327.0,,1468.0,,99.0,88.0,FR,986.0,1007.0,3504.0,2034.0,2418.0,2482.0,2135.0,2208.0,618.0,652.0,3122.0,4884.0,23816.5,2206.41,125.1,125.1,125.1,125.1,,,,,,23.32,,39.9,,24.64,
36,France,2017,916.0,2147550.0,23453731.0,12930857.0,1413.0,,1413.0,,1596.0,,106.0,85.0,FR,998.0,1001.0,3652.0,1992.0,2463.0,2440.0,2306.0,2193.0,667.0,677.0,3259.0,5000.0,23404.3,2177.25,,,,,,,,,,23.46,,40.0,,24.46,
37,France,2018,929.0,2181530.0,23491470.0,13713000.0,1245.0,,1245.0,,1470.0,,93.0,89.0,FR,1018.0,979.0,3763.0,2040.0,2547.0,2369.0,2298.0,2210.0,729.0,647.0,3350.0,4786.0,23491.47,2181.53,,,,,,,,,,24.18,,41.31,,25.47,
38,France,2019,935.0,2200350.0,23538780.0,13510000.0,1517.0,,1517.0,,1699.0,,114.0,96.0,FR,984.0,955.0,2075.0,1973.0,2461.0,2444.0,2293.0,2232.0,707.0,666.0,4982.0,4959.0,23538.78,2200.35,,,,,,,,,,25.35,,42.88,,26.7,
39,France,2020,945.0,2201110.0,23291020.0,13737000.0,,,,,,,,,FR,965.0,943.0,2138.0,2019.0,2403.0,2392.0,2221.0,2237.0,719.0,754.0,4933.0,4853.0,23291.02,2201.11,,,,,,,,,,25.34,,42.87,,26.81,
40,Germany,2011,940.0,5616074.0,59735680.0,26758100.0,,,,,,,94.0,94.0,DE,2193.58,2193.77,5394.79,5480.66,5387.94,5275.49,5217.24,4925.61,1186.39,1015.06,7997.48,7840.45,59590.0,5598.0,,152.0,141.0,,,,,,,26.4,,34.94,,,
41,Germany,2012,938.0,5474021.0,58365864.0,28131700.0,1695.0,1305.0,1695.0,1305.0,2178.0,1677.0,115.0,115.0,DE,2117.75,2172.29,5611.83,5591.54,5859.59,5775.58,5415.35,5165.98,1183.7,1131.07,8116.61,8268.37,58198.0,5459.0,,171.0,159.0,,,,,,,28.54,,37.51,,,
42,Germany,2013,939.0,5506772.0,58622058.0,27690100.0,1693.0,1303.0,1693.0,1303.0,2248.0,1730.0,115.0,115.0,DE,2057.69,2054.95,5449.07,5286.53,5821.89,5800.08,5392.14,5262.35,1168.44,1092.19,8219.05,8166.95,58628.0,5474.0,,170.0,158.0,,,,,,,28.26,,38.12,,,
43,Germany,2014,938.0,5527769.0,58934837.0,28338990.0,1542.0,1188.0,1542.0,1188.0,2046.0,1576.0,105.0,105.0,DE,2052.26,2080.17,5759.19,5698.95,5715.79,5721.51,5499.92,5223.58,1191.93,1092.61,8097.77,8256.97,58730.0,5507.0,,155.0,143.0,,,,,,,24.73,,34.92,,,
44,Germany,2015,937.0,5570490.0,59435349.0,27652416.0,1385.0,1067.0,1385.0,1067.0,1536.0,1183.0,94.0,94.0,DE,1973.24,2024.34,5554.05,5604.29,5584.43,5774.51,5304.74,5359.32,1109.76,1026.19,8100.85,8290.91,59292.0,5562.0,158.49,140.0,103.0,,,,,,,24.55,,34.1,,24.67,
45,Germany,2016,940.0,5589639.0,59480468.0,27376100.0,1490.0,1147.0,1490.0,1147.0,1648.0,1269.0,101.0,101.0,DE,1908.36,1917.04,5189.35,5341.31,5561.16,5444.52,5465.46,5271.47,1228.51,1050.75,7998.23,8099.85,59391.0,5579.0,192.45,149.0,112.0,,,,,,,23.25,,31.73,,22.81,
46,Germany,2017,943.0,5505572.0,58408370.0,27577600.0,1632.0,1257.0,1632.0,1257.0,1844.0,1420.0,111.0,111.0,DE,1905.36,1906.22,5337.26,5447.01,5500.26,5530.29,5515.54,5193.65,1223.7,1158.05,8071.2,7917.04,57868.0,5455.0,226.42,162.0,132.0,,,,,,,23.62,,31.65,,23.13,
47,Germany,2018,944.0,5350000.0,56679000.0,26445400.0,1428.0,1100.0,1428.0,1100.0,1686.0,1299.0,97.0,97.0,DE,1837.0,1858.9,5048.6,5172.6,5359.5,5563.6,5284.2,5190.6,1226.6,1123.7,7671.6,7970.5,56609.0,5343.0,162.26,143.0,105.0,,,98.69,,113.52,55.27,25.55,,34.0,,25.43,
48,Germany,2019,948.0,5232000.0,55196000.0,26053400.0,1739.0,1339.0,1739.0,1339.0,1948.0,1499.0,118.0,118.0,DE,1787.9,1805.0,4851.9,4985.7,5315.2,5219.1,5118.3,4981.4,1287.8,1143.5,7673.8,7803.1,55131.0,5227.0,240.0,173.9,137.0,,,97.0,,111.39,53.69,25.45,,33.47,,25.54,
49,Germany,2020,959.0,5118000.0,53378000.0,26069900.0,,1233.0,,1233.0,,1408.0,,,DE,1694.7,1775.5,4700.6,4729.9,5121.0,5119.2,5156.4,4758.6,1668.6,1228.8,7708.8,7850.1,53318.0,5112.0,194.5,132.84,130.41,,,83.39,,97.24,36.13,25.52,,33.41,,25.54,
70,Poland,2011,878.0,1936300.0,22055910.0,13508654.0,,4521.0,,4521.0,,1526.0,92.0,98.0,PL,1124.95,1214.36,3585.35,4194.65,2267.47,1965.89,1995.56,1647.34,497.21,326.95,3556.91,4111.31,20978.5,1810.78,159.8,,,,15.29,123.34,89.31,,,,54.98,,31.66,,37.96
71,Poland,2012,897.0,1848600.0,20604816.0,11581298.0,,5404.0,,5404.0,,1659.0,110.0,118.0,PL,1012.11,1097.36,3163.02,3386.19,1844.25,1908.56,1732.31,1723.89,405.48,325.88,2950.75,3472.41,19215.8,1695.2,170.89,,,,15.77,137.11,98.93,,,,60.02,,34.3,,41.22
72,Poland,2013,876.0,1775500.0,20278472.0,11162472.0,,5391.0,,5391.0,,1706.0,110.0,117.0,PL,955.14,1020.38,3084.72,3510.36,1900.18,1758.9,1717.22,1618.78,422.58,309.74,2892.31,3161.89,19119.83,1684.26,197.41,,,,15.96,131.96,93.39,,,,65.39,,36.22,,43.28
73,Poland,2014,861.0,1864500.0,21665978.0,11724056.0,,4821.0,,4821.0,,1528.0,98.0,105.0,PL,956.29,1008.77,3149.46,3257.72,2037.22,2019.0,1800.95,1765.5,469.41,426.24,2833.99,3225.13,20504.14,1838.46,173.26,,,,15.3,126.19,89.38,,,,64.46,,33.99,,42.95
74,Poland,2015,909.0,1976000.0,21748332.0,11639790.0,,4295.0,,4295.0,,1139.0,88.0,93.0,PL,814.4,946.98,2969.9,3207.43,2027.7,2087.7,1752.9,1846.86,433.6,402.6,2575.5,3127.69,21242.97,1906.11,192.8,,,,15.61,108.75,72.66,,,,62.88,,32.56,,42.29
75,Poland,2016,909.0,2008800.0,22098424.0,10865318.0,,4677.0,,4677.0,,1186.0,114.0,102.0,PL,859.0,854.0,3169.8,3077.0,2075.6,1928.0,1788.8,1692.0,406.8,355.0,2789.8,2944.0,21770.26,1963.01,199.03,,,,14.71,95.34,60.05,,,,58.3,,31.42,,39.54
76,Poland,2017,916.0,2032900.0,22188959.0,11352719.0,,5049.0,,5049.0,,1336.0,118.0,110.0,PL,908.1,885.0,3508.0,3276.0,2314.4,2192.0,1955.2,1774.0,482.3,357.0,2723.2,2853.0,22066.9,1990.46,234.1,,,,15.27,105.47,68.59,,,,59.17,,32.49,,40.46
77,Poland,2018,920.0,2093200.0,22753710.0,11027700.0,,4476.0,,4476.0,,1239.0,112.0,97.0,PL,744.6,871.0,3228.7,3434.0,2267.6,2314.0,1944.1,1985.0,550.1,464.0,2278.9,2744.0,22649.92,2082.44,194.14,,,,15.25,116.16,77.91,,,,59.79,,33.39,,42.25
78,Poland,2019,927.0,1988840.0,21443710.0,11215500.0,,5386.0,,5386.0,,1403.0,113.0,117.0,PL,756.8,755.0,3338.7,3044.0,2332.5,2167.0,1932.4,1896.0,552.6,488.0,2288.2,2419.0,21339.92,1978.84,255.65,,,,13.9,118.69,78.4,,,,34.63,,55.58,,43.3
79,Poland,2020,946.0,1985120.0,20983590.0,11727400.0,,5125.0,,5125.0,,1314.0,,,PL,815.0,795.0,3443.7,3312.0,2334.2,2226.0,2054.3,2031.0,688.7,563.0,2376.8,2490.0,20869.24,1974.49,289.53,,,,15.04,101.68,64.2,,,,34.14,,55.09,,42.69
80,Russia,2011,836.0,2427636.0,29055140.0,17217860.0,124668.0,76386.0,124668.0,76386.0,4243.0,2600.0,80.0,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Russia,2012,852.0,2559477.0,30046699.0,17258297.0,137695.0,83243.0,137695.0,83243.0,4465.0,2699.0,88.0,86.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Russia,2013,853.0,2816178.0,33005627.0,18816357.0,119262.0,71675.0,119262.0,71675.0,3746.0,2251.0,76.0,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Russia,2014,868.0,2973928.0,34271029.0,19081411.0,150696.0,94081.0,150696.0,94081.0,3927.0,2451.0,96.0,97.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Russia,2015,878.0,3098678.0,35310350.0,19546095.0,168055.0,103030.0,168055.0,103030.0,2758.0,1691.0,108.0,106.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Russia,2016,869.0,3355060.0,38603909.0,21405501.0,150097.0,93976.0,150097.0,93976.0,2238.0,1401.0,96.0,97.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Russia,2017,875.0,3515740.0,40190933.0,21924642.0,150073.0,96502.0,150073.0,96502.0,2572.0,1654.0,96.0,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Russia,2018,897.0,3744170.0,41746342.0,23075510.0,154488.0,99583.0,154488.0,99583.0,2465.0,1589.0,99.0,103.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Russia,2019,909.0,3936829.0,43328496.0,23726560.0,149477.0,94766.0,149477.0,94766.0,2309.0,1464.0,96.0,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Russia,2020,923.0,4281613.0,46363647.0,25163165.0,,92215.0,,92215.0,,1279.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Spain,2011,831.0,3469345.0,41743364.0,25634900.0,1232.0,,1232.0,,1713.0,,104.0,126.0,ES,2404.3,2425.26,5887.78,5791.61,4340.29,4651.76,4745.54,4498.51,1284.69,839.69,6928.22,7356.97,41743.36,3469.35,178.85,,178.07,123.24,,81.48,,,,,29.04,,40.11,,28.52
91,Spain,2012,833.0,3466323.0,41594556.0,25250400.0,1349.0,,1349.0,,1733.0,,114.0,138.0,ES,2250.13,2357.48,5735.41,6096.19,4656.68,4500.77,4597.41,4110.31,887.91,819.9,7084.78,7233.72,41594.56,3466.32,226.8,,193.56,134.89,,88.04,,,,,30.83,,41.56,,30.26
92,Spain,2013,828.0,3431214.0,41418464.0,25494720.0,1392.0,,1392.0,,1848.0,,117.0,142.0,ES,2252.93,2235.08,5591.78,5811.91,4634.57,4315.22,5198.66,4444.23,725.8,763.73,7055.32,7103.04,41418.47,3431.22,261.45,,211.32,139.18,,85.92,,,,,30.44,,41.44,,29.9
93,Spain,2014,818.0,3555606.0,43484000.0,26567600.0,1286.0,,1286.0,,1707.0,,108.0,131.0,ES,2357.78,2353.35,6009.85,5850.26,4473.03,4595.52,4910.16,4151.86,901.23,831.45,7879.91,7594.43,43483.57,3620.22,240.25,,186.68,128.46,,80.84,,,,,27.6,,38.55,,27.69
94,Spain,2015,840.0,3854658.0,45890524.0,28367335.0,1139.0,,1139.0,,1263.0,,96.0,84.0,ES,2466.27,2407.59,6595.2,6487.98,4881.72,4634.36,5038.63,4845.02,1437.64,891.11,7909.64,7682.69,45890.52,3854.66,182.25,,161.59,113.89,,64.26,,,,,27.42,,38.08,,27.36
95,Spain,2016,852.0,4181091.0,49083785.0,29231595.0,1140.0,,1140.0,,1261.0,,96.0,84.0,ES,2415.17,2374.31,6397.27,6390.62,5145.99,4754.43,5576.74,4742.49,1562.74,1072.0,8100.46,8174.4,49083.79,4181.09,190.75,,164.7,113.95,,55.8,,,,,26.25,,35.48,,26.05
96,Spain,2017,859.0,4298789.0,50072755.0,29971357.0,1260.0,,1260.0,,1423.0,,106.0,93.0,ES,2454.33,2516.0,7058.28,6673.01,4943.37,5111.71,5569.84,5343.85,1549.19,774.94,8364.93,8215.69,50072.76,4298.79,241.2,,185.12,125.99,,61.24,,,,,26.04,,35.53,,25.96
97,Spain,2018,866.0,4530480.0,52289200.0,30804100.0,1144.0,,1144.0,,1351.0,,96.0,85.0,ES,2500.52,2497.79,6897.16,7296.59,5138.34,5248.03,6083.33,5546.59,1605.12,884.98,8550.74,8636.91,52289.2,4530.48,223.7,,165.59,114.44,,69.74,,,,,26.79,,36.26,,26.48
98,Spain,2019,876.0,4641160.0,52982310.0,31246040.0,1348.0,,1348.0,,1510.0,,113.0,85.0,ES,2576.99,2537.87,7020.19,7010.89,5646.34,5259.03,5641.99,5551.95,1992.56,1028.76,8341.14,9044.87,52982.31,4641.16,261.15,,183.66,134.81,,72.97,,,,,27.46,,36.22,,27.27
99,Spain,2020,891.0,5003430.0,56130030.0,32796070.0,,,,,,,,,ES,2635.25,2554.59,7534.17,7410.93,6019.72,5616.12,6070.84,5293.11,2020.81,1556.75,8484.05,8911.42,56130.03,5003.43,236.65,,183.6,134.13,,58.75,,,,,27.39,,35.77,,26.91
100,United Kingdom,2011,801.0,806000.0,10062000.0,4441000.0,,1029.0,,1029.0,,1649.0,94.0,94.0,UK,484.0,507.0,1116.0,1112.0,944.0,960.0,612.0,622.0,46.0,52.0,1108.0,1171.0,10062.49,805.68,264.38,,,118.59,,79.02,,143.42,,,,,,,
101,United Kingdom,2012,801.0,825000.0,10299000.0,4481000.0,,1072.0,,1072.0,,1694.0,98.0,98.0,UK,494.0,507.0,1075.0,1130.0,916.0,969.0,593.0,627.0,48.0,59.0,1075.0,1173.0,10298.97,824.64,250.57,,,132.31,,88.03,,145.76,,,,,,,
102,United Kingdom,2013,809.0,833000.0,10302000.0,4885000.0,,1227.0,,1227.0,,1918.0,112.0,112.0,UK,482.0,507.0,1131.0,1231.0,966.0,1030.0,614.0,676.0,50.0,62.0,1125.0,1364.0,10298.84,832.92,282.65,,,144.51,,82.67,,137.61,,,,,,,
103,United Kingdom,2014,824.0,863000.0,10470000.0,4815000.0,,1206.0,,1206.0,,1985.0,110.0,110.0,UK,473.0,486.0,1158.0,1218.0,998.0,1057.0,637.0,687.0,53.0,69.0,1177.0,1284.0,10465.46,862.13,291.72,,,149.62,,79.9,,137.92,,,,,,,
104,United Kingdom,2015,828.0,900000.0,10872000.0,4739000.0,,1026.0,,1026.0,,1568.0,94.0,94.0,UK,488.0,492.0,1130.0,1194.0,972.0,1038.0,622.0,674.0,53.0,63.0,1144.0,1263.0,10847.95,898.33,294.27,,,141.34,,67.48,,131.94,,,,,,,
105,United Kingdom,2016,836.0,919000.0,10990000.0,4866000.0,,1045.0,,1045.0,,1411.0,96.0,96.0,UK,490.0,494.0,1165.0,1225.0,996.0,1039.0,636.0,686.0,53.0,63.0,1184.0,1344.0,10989.83,919.22,,,,127.53,,54.86,,111.99,,,,,,,
106,United Kingdom,2017,847.0,903000.0,10657000.0,4969000.0,,1161.0,,1161.0,,1494.0,107.0,106.0,UK,490.0,498.0,1213.0,1235.0,1036.0,1051.0,661.0,692.0,56.0,65.0,1244.0,1413.0,10656.79,902.57,218.71,,,133.63,,60.81,,114.2,,,,,,,
107,United Kingdom,2018,848.0,927000.0,10938000.0,5055000.0,,1078.0,,1078.0,,1438.0,101.0,99.0,UK,490.0,491.0,1187.0,1231.0,1023.0,1029.0,664.0,683.0,56.0,63.0,1216.0,1502.0,10936.46,926.73,192.99,,,125.19,,69.54,,122.44,,,,,,,
108,United Kingdom,2019,862.0,957000.0,11107000.0,5130000.0,,1095.0,,1095.0,,1398.0,102.0,100.0,UK,490.0,497.0,1231.0,1268.0,1046.0,1056.0,673.0,709.0,55.0,69.0,1233.0,1467.0,11133.27,959.73,191.88,,,128.86,,71.49,,124.82,,,,,,,
