,country,year,fao_yield_pigs_hgperhd,fao_production_pigs_tonnes,fao_slaughtered_pigs_hd,fao_stocks_pigs_hd,fao_producerprice_pigs_carcass_lcupertonne,fao_producerprice_pigs_live_lcupertonne,fao_producerprice_pigs_carcass_slcpertonne,fao_producerprice_pigs_live_slcpertonne,fao_producerprice_pigs_carcass_usdpertonne,fao_producerprice_pigs_live_usdpertonne,fao_producerprice_pigs_carcass_index,fao_producerprice_pigs_live_index,euro_geo,euro_breedingsows_gte50kg_dec_thsdhd,euro_breedingsows_gte50kg_jun_thsdhd,euro_pigs_20to50kg_dec_thsdhd,euro_pigs_20to50kg_jun_thsdhd,euro_pigs_50to80kg_dec_thsdhd,euro_pigs_50to80kg_jun_thsdhd,euro_pigs_80to110kg_dec_thsdhd,euro_pigs_80to110kg_jun_thsdhd,euro_pigs_gte110kg_dec_thsdhd,euro_pigs_gte110kg_jun_thsdhd,euro_pigs_lt20kg_dec_thsdhd,euro_pigs_lt20kg_jun_thsdhd,euro_sl_pigmeat_thsdhd,euro_sl_pigmeat_thsdtonne,euro_piglets_live_priceper100kg_euros,euro_pigs_grade1_carcass_priceper100kg_euros,euro_pigs_grade2_carcass_priceper100kg_euros,euro_pigs_light_live_priceper100kg_euros,euro_electricity_priceper100kwh_euros,euro_dieseloil_priceper100litres_euros,euro_heatingoil_priceper100litres_euros,euro_motorspirit_priceper100litres_euros,euro_residualfueloil_priceper100kg_euros,euro_feed_bulk_fatteningpigs_priceper100kg_euros,euro_feed_sacks_fatteningpigs_priceper100kg_euros,euro_feed_bulk_rearingpigs_priceper100kg_euros,euro_feed_sacks_rearingpigs_priceper100kg_euros,euro_feed_bulk_sows_priceper100kg_euros,euro_feed_sacks_sows_priceper100kg_euros
0,Brazil,2011,926.0,3227000.0,34862000.0,39307336.0,,2733.0,,2733.0,,1634.0,70.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Brazil,2012,875.0,3149726.0,36005797.0,38795902.0,,2864.0,,2864.0,,1466.0,73.0,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Brazil,2013,859.0,3117087.0,36286098.0,36743593.0,,3555.0,,3555.0,,1649.0,91.0,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Brazil,2014,860.0,3192918.0,37130094.0,37930307.0,,3840.0,,3840.0,,1632.0,98.0,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Brazil,2015,874.0,3430734.0,39263964.0,39795222.0,,4083.0,,4083.0,,1227.0,104.0,104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Brazil,2016,877.0,3711235.0,42319791.0,40053184.0,,3833.0,,3833.0,,1098.0,98.0,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Brazil,2017,886.0,3824682.0,43185385.0,41383029.0,,,,,,,99.0,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Brazil,2018,891.0,3950759.0,44337205.0,41231856.0,,,,,,,104.0,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Brazil,2019,890.0,4125728.0,46356359.0,40556109.0,,,,,,,105.0,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Brazil,2020,908.0,4482048.0,49356207.0,41124233.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,China,2011,765.0,51593351.0,674059173.0,477109052.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,China,2012,768.0,54435720.0,708596895.0,486742946.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,China,2013,770.0,55917319.0,726039838.0,485112117.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,China,2014,774.0,57661871.0,744917877.0,484914637.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,China,2015,782.0,57415740.0,734077183.0,477319709.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,China,2016,777.0,55206920.0,710504716.0,463691471.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,China,2017,779.0,55455562.0,711541952.0,447191543.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,China,2018,782.0,54991853.0,703464765.0,433763815.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,China,2019,786.0,43498280.0,553734735.0,316081113.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,China,2020,589.0,42102311.0,714862515.0,412172274.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Denmark,2011,823.0,1720200.0,20898500.0,12931678.0,10743.0,7178.0,10743.0,7178.0,2001.0,1337.0,95.0,102.0,DK,1239.0,1264.0,3558.0,3611.0,2639.0,2688.0,660.0,672.0,6.0,6.0,4235.0,4299.0,20874.5,1718.4,203.47,139.05,118.25,96.1,,78.38,82.28,,,25.1,,34.9,,25.1,
21,Denmark,2012,857.0,1669000.0,19485000.0,12330879.0,12336.0,8070.0,12336.0,8070.0,2130.0,1393.0,109.0,115.0,DK,1229.0,1226.0,3508.0,3588.0,2595.0,2646.0,649.0,661.0,9.0,6.0,4280.0,4270.0,19460.7,1603.7,224.89,157.58,138.24,108.41,12.28,91.29,94.25,,,26.83,,36.6,,27.19,
22,Denmark,2013,832.0,1589400.0,19102000.0,12075750.0,12400.0,8147.0,12400.0,8147.0,2208.0,1451.0,110.0,116.0,DK,1258.0,1228.0,3542.0,3571.0,2595.0,2527.0,649.0,632.0,7.0,6.0,4340.0,4277.0,19107.8,1589.4,226.74,159.43,140.25,109.28,12.37,88.24,91.91,,,28.4,,38.54,,28.33,
23,Denmark,2014,845.0,1593900.0,18857500.0,12331707.0,12400.0,7429.0,12400.0,7429.0,2209.0,1324.0,110.0,106.0,DK,1245.0,1242.0,3777.0,3679.0,2561.0,2476.0,640.0,619.0,7.0,6.0,4468.0,4435.0,18857.5,1593.9,215.41,145.3,126.67,99.6,12.5,83.91,87.8,,,24.51,,34.6,,24.42,
24,Denmark,2015,855.0,1600591.0,18716700.0,12537763.0,10211.0,6655.0,10211.0,6655.0,1518.0,989.0,91.0,95.0,DK,1237.0,1248.0,3884.0,3851.0,2518.0,2392.0,629.0,598.0,7.0,6.0,4416.0,4539.0,18716.9,1598.7,194.27,129.92,106.99,89.29,11.72,70.07,74.13,,,23.32,,32.56,,23.2,
25,Denmark,2016,860.0,1579405.0,18356533.0,12383000.0,11191.0,7018.0,11191.0,7018.0,1662.0,1043.0,99.0,100.0,DK,1236.0,1216.0,3785.0,3812.0,2325.0,2322.0,581.0,581.0,6.0,6.0,4337.0,4366.0,18228.4,1566.6,210.6,136.4,110.9,94.3,11.8,66.5,67.9,,,22.4,,30.9,,23.1,
26,Denmark,2017,877.0,1532387.0,17465583.0,12307667.0,12511.0,7629.0,12511.0,7629.0,1895.0,1155.0,111.0,108.0,DK,1260.0,1228.0,3971.0,3888.0,2402.0,2278.0,600.0,569.0,7.0,6.0,4582.0,4487.0,17466.0,1530.0,230.4,148.8,123.1,102.6,12.3,75.7,76.4,,,21.7,,30.7,,22.3,
27,Denmark,2018,874.0,1583100.0,18109700.0,12642000.0,10313.0,6418.0,10313.0,6418.0,1633.0,1016.0,92.0,91.0,DK,1243.0,1269.0,3937.0,3984.0,2321.0,2386.0,580.0,597.0,7.0,7.0,4543.0,4624.0,18085.7,1581.3,184.0,136.9,131.2,86.1,12.3,88.9,91.1,,,22.3,,31.3,,22.8,
28,Denmark,2019,890.0,1500400.0,16862700.0,12728000.0,13257.0,8210.0,13257.0,8210.0,1988.0,1231.0,118.0,117.0,DK,1244.0,1227.0,3908.0,3930.0,2398.0,2236.0,599.0,559.0,6.0,6.0,4563.0,4582.0,16838.7,1498.6,241.15,170.42,164.7,109.97,11.89,93.1,95.4,,,23.34,,32.03,,23.92,
29,Denmark,2020,923.0,1595630.0,17281900.0,13391000.0,,8617.0,,8617.0,,1317.0,,,DK,1273.0,1250.0,4087.0,4061.0,2669.0,2483.0,667.0,621.0,8.0,6.0,4674.0,4730.0,17278.9,1595.4,267.89,178.91,172.7,115.6,11.91,83.2,81.7,,,23.11,,32.25,,24.33,
