study ,ps,breed,Jwt,seJwt,sdJwt,szJwt,type of stduy,metjod of collection,samplesize,reference 
1,Mid Rift Valley ,b.CLM ,12.85,0.33,2.55,61,on station,monitoring and weighing   ,102,"Tesfaye Alemu Tucho, Alemu Regassa and Lemma Fita. 2000. Preliminary production and reproduction performance 
evaluation of Mid Rift Valley and Boran goats  Reviewed by   Solomon, A.K., Mwai, O., Grum, G., Haile, A., Rischkowsky, B.A., Solomon, G. and Dessie, T. 2014. Review of goat research and development projects "
2,aris bale,CLM,14.31,0.23,3.38,217,on sation,monitoring and weighing   ,,"Dadi, H., Duguma, G., Shelima, B., Fayera, T., Tadesse, M., Woldu, T. and Tucho, T.A. 2008. Non-genetic factors influencing post-weaning growth and reproductive performances of Arsi-Bale goats. Livestock Research for Rural Development 20(7)."
