study,Breed ,PS,Nmort,Ndied,Nno.,Jmor,Jdied,"Jno,",AMmort,AMdied,AMno.,AFmort,AFdied,AFno.,study type,data collection method,sample size,reference 
1,Ill Abba Bora zone,CLM,46,124,270,,0,,8,22,270,2,5,270,on afrm ,interview of farmers ,270 hh,"Urgessa, D., Duguma, B., Demeke, S.,  and Tolamariam, T.  2012.A Survey of Sheep and Goat Diseases in Ilu Abba Bora Zone of Oromia Regional State, Southwestern Ethiopia. Global Veterinaria 9: 552-556."
2,Gedeo,CLM,25.88,12,48,,0,,18.5,4,23,12.06,10,80,on afrm ,monitoring,30hh,"Debele, S.,   Habta, M., 2015. Sheep and Goat Production Practice In Agroforestry Systems of Gedio Zone, Ethiopia. International Journal of Environment,4,2 "
3,Wolaita,CLM,9.6,12,125,6,3,51,4.7,4,93,4.7,4,93,on farm ,monitoring,125,"Tifashe, M., Hassan, A., Herago, T., Tesfamariam, G., 2017. Analysis of Morbidity and Mortality of Sheep and Goat in Wolaita Soddo Zuria District, Southern Ethiopia. Global Veterinaria 18(3):168-177"
4,highland regions of Ethiopia ,CLM ,11.7,494,4221,,0,,6.1,128,2104,11.2,693,6190,on farms ,interview,2634,"Gebremedhin, B., Hoekstra, D., Tegegne, A., Shiferaw, K. and Bogale, A. 2015. Factors determining household market participation in small ruminant production in the highlands of Ethiopia. LIVES Working Paper 2. Nairobi, Kenya: International Livestock Research Institute."
5,highland regions of Ethiopia ,CLM ,17,114,669,,0,,4.5,34,763,4.5,83,1838,on farms ,interview,1350hh,"ILRI, 2020. Livestock and Fisheries Sector Development Project (LFSDP): Household level baseline survey report. Nairobi, Kenya: ILRI."
6,Horo,CLM,14.6,27,188,4.9,3,63,2.7,1,49,3.8,1,33,on farms ,interview,333,"Zewdu, E., Aynalem, H., Markos T., Sharma, A. K., Dejene, A., Sölkner, J. and Maria, W. (2009) Morphological characterization of Bonga and Horro Indigenous Sheep Breeds under Smallholder conditions in Ethiopia Breeds under Smallholder Conditions in Ethiopia. Ethiopian Journal Animal Production, 9, 117-136."
7,Bonga ,CLM ,11.6,13,109,5,2,47,1.9,1,18,5.9,3,56,on farms ,interview,230,"Zewdu, E., Aynalem, H., Markos T., Sharma, A. K., Dejene, A., Sölkner, J. and Maria, W. (2009) Morphological characterization of Bonga and Horro Indigenous Sheep Breeds under Smallholder conditions in Ethiopia Breeds under Smallholder Conditions in Ethiopia. Ethiopian Journal Animal Production, 9, 117-136."
