study,Breed ,PS,Nmort,Ndied,Nno.,Jmor,Jdied,"Jno,",AMmort,AMdied,AMno.,AFmort,AFdied,AFno.,study type,data collection method,sample size,reference 
1,Alaba (arsi bale breed),CLM,14.82,23,155,,0,,,0,,,0,,on afrm,monitoring,155,"Deribe, G., Abebe, G., Tegegne, A. 2014. Non-genetic factors influencing reproductive traits and pre- weaning mortality of lambs and kids under smallholder management, southern Ethiopia. The Journal of Animal & Plant Sciences, 24(2): 413-427"
2,Ill Abba Bora zone,CLM,46,124,270,,0,,8,22,270,2,5,270,on afrm ,interview of farmers ,270 hh,"Urgessa, D., Duguma, B., Demeke, S.,  and Tolamariam, T.  2012.A Survey of Sheep and Goat Diseases in Ilu Abba Bora Zone of Oromia Regional State, Southwestern Ethiopia. Global Veterinaria 9: 552-556."
3,Gedeo,CLM,25.88,12,48,,0,,18.5,4,23,12.06,10,80,on afrm ,monitoring,30hh,"Debele, S.,   Habta, M., 2015. Sheep and Goat Production Practice In Agroforestry Systems of Gedio Zone, Ethiopia. International Journal of Environment,4,2 "
4,Wolaita,CLM,9.6,12,125,6,3,51,4.7,4,93,4.7,4,93,on farm ,monitoring,125,"Tifashe, M., Hassan, A., Herago, T., Tesfamariam, G., 2017. Analysis of Morbidity and Mortality of Sheep and Goat in Wolaita Soddo Zuria District, Southern Ethiopia. Global Veterinaria 18(3):168-177"
5,Gera keya/north shewa,CLM,15.8,35,221,3.2,6,186,,0,,,0,,on farm ,monitoring,686,"Tibbo, M., Aragaw, K., Teferi, M.,  Haile, A. 2010. Effect of strategic helminthosis control on mortality of communally grazed Menz lambs of smallholders in the cool central Ethiopian highlands Small Ruminant Research 90, 58–63"
6,Horo,CLM,27,641,2374,,0,,,0,,,0,,on station (Debre Birhan) ,monitoring ,2374,"Berhan, A., Van Arendonk, J.  2006. Reproductive performance and mortality rate in Menz and Horro sheep following controlled breeding in Ethiopia. Small Ruminant Research 63, 297–303 ."
7,Menz,CLM,13.5,340,2516,,0,,,0,,,0,,on station (Debre Birhan) ,,2516,"Berhan, A., Van Arendonk, J.  2006. Reproductive performance and mortality rate in Menz and Horro sheep following controlled breeding in Ethiopia. Small Ruminant Research 63, 297–303 ."
8,Jimma ,CLM ,19.5,125,639,30.5,90,296,,0,,,0,,on farm ,,639,"Belay, B., Haile, A. 2011. Survivability of lambs under village management condition: The case around Jimma, Ethiopia. Livestock Research for Rural Development,  23,  4"
9,Horo,CLM ,49,883,1803,9.6,173,1803,,0,,,0,,on station (Debre Birhan) ,records ,1803,"Mukasa-Mugerwa,  E., Lahlou-Kassi, A., Anindo, D., Rege, J.E.O., Tembely, S., Tibbo, M. & Baker, R.L. 2000. Between and within breed variation in  lamb survival and the risk factors associated with major causes of mortality in indigenous Horro and Menz sheep in Ethiopia. Small Ruminant Research 37, 1–12."
10,Menz,CLM ,19,276,1453,9.1,132,1453,,0,,,0,,on station (Debre Birhan) ,records ,1453,"Mukasa-Mugerwa,  E., Lahlou-Kassi, A., Anindo, D., Rege, J.E.O., Tembely, S., Tibbo, M. & Baker, R.L. 2000. Between and within breed variation in  lamb survival and the risk factors associated with major causes of mortality in indigenous Horro and Menz sheep in Ethiopia. Small Ruminant Research 37, 1–12."
11,north shewa ,CLM,12,664,5530,,0,,,0,,,0,,on farm ,records ,5530,"Getachew, T., Gizaw, S., Wurzingerm, M.,  Haile, A., Rischkowsky, B., Okeyo, A.M., Sölkner, J., Mészáros, G. 2015.  Survival analysis of genetic and non-genetic factorsinfluencing ewe longevity and lamb survivalof Ethiopian sheep breeds. Livestock Science 176, 22–3223"
12,jamma district ,CLM ,32.5,485,1491,,0,,,0,,,0,,on farm ,monitoring and recording ,1491,"Hadgu, A., Lemma, A., Tefera Yilma, T., Fesseh, T. 2021. Major Causes of Calf and Lamb Mortality and Morbidity and Associated Risk Factors in the Mixed Crop-Livestock Production System in Jamma District, South Wollo, Ethiopia. Veterinary Medicine International. https://doi.org/10.1155/2021/6689154 "
13,Ebinat,CLM ,40,96,241,,0,,,0,,,0,,on farm ,monitoring and recording ,241,"Woldemariam, S., Zewde, S., Hameto, D., Habtamu. A. 2014. Major causes of lamb mortality at Ebinat woreda, Amhara National Regional State, North-western Ethiopia. Ethiop. Vet. J., 18, 57-71"
14,Amhra and Ormia,CLM ,17.8,185,1042,,0,,,0,,,0,,on farms ,interview,1042,"Fentie, T. Temesgen, W., Melaku, A., Assefa,  G., Tesfaye, S., Fufa, F., et al., 2016. Assessment of young stock mortality in major livestock production systems of Ethiopia. A research monograph"
15,highland regions of Ethiopia ,CLM ,11.7,494,4221,,0,,6.1,128,2104,11.2,693,6190,on farms ,interview,2634,"Gebremedhin, B., Hoekstra, D., Tegegne, A., Shiferaw, K. and Bogale, A. 2015. Factors determining household market participation in small ruminant production in the highlands of Ethiopia. LIVES Working Paper 2. Nairobi, Kenya: International Livestock Research Institute."
16,highland regions of Ethiopia ,CLM ,17,114,669,,0,,4.5,34,763,4.5,83,1838,on farms ,interview,1350hh,"ILRI, 2020. Livestock and Fisheries Sector Development Project (LFSDP): Household level baseline survey report. Nairobi, Kenya: ILRI."
17,Horo,CLM,14.6,27,188,4.9,3,63,2.7,1,49,3.8,1,33,on farms ,interview,333,"Zewdu, E., Aynalem, H., Markos T., Sharma, A. K., Dejene, A., Sölkner, J. and Maria, W. (2009) Morphological characterization of Bonga and Horro Indigenous Sheep Breeds under Smallholder conditions in Ethiopia Breeds under Smallholder Conditions in Ethiopia. Ethiopian Journal Animal Production, 9, 117-136."
18,Bonga ,CLM ,11.6,13,109,5,2,47,1.9,0,18,5.9,3,56,on farms ,interview,230,"Zewdu, E., Aynalem, H., Markos T., Sharma, A. K., Dejene, A., Sölkner, J. and Maria, W. (2009) Morphological characterization of Bonga and Horro Indigenous Sheep Breeds under Smallholder conditions in Ethiopia Breeds under Smallholder Conditions in Ethiopia. Ethiopian Journal Animal Production, 9, 117-136."
