???Species,InspectionType,Condition,YearMonth,Country,NumberOfConditions,Throughput,NumberOfThroughputPlants,PercentageOfThroughput
Broilers,Conditions,Abnormal Colour/Fevered,2020-07,England,155812,72066108,44,0.216
Broilers,Conditions,Abnormal Colour/Fevered,2020-08,England,166853,68773331,43,0.243
Broilers,Conditions,Abnormal Colour/Fevered,2020-09,England,160729,65124367,42,0.247
Broilers,Conditions,Abnormal Colour/Fevered,2020-07,Wales,10683,7924167,3,0.135
Broilers,Conditions,Abnormal Colour/Fevered,2020-08,Wales,10680,8295869,4,0.129
Broilers,Conditions,Abnormal Colour/Fevered,2020-09,Wales,12830,7861283,3,0.163
Broilers,Conditions,Antemortem Rejects (Cull/Runts),2020-07,England,32604,72066108,44,0.045
Broilers,Conditions,Antemortem Rejects (Cull/Runts),2020-08,England,25866,68773331,43,0.038
Broilers,Conditions,Antemortem Rejects (Cull/Runts),2020-09,England,23708,65124367,42,0.036
Broilers,Conditions,Antemortem Rejects (Cull/Runts),2020-07,Wales,525,7924167,3,0.007
Broilers,Conditions,Antemortem Rejects (Cull/Runts),2020-08,Wales,548,8295869,4,0.007
Broilers,Conditions,Antemortem Rejects (Cull/Runts),2020-09,Wales,761,7861283,3,0.01
Broilers,Conditions,Ascites/Oedema,2020-07,England,192800,72066108,44,0.268
Broilers,Conditions,Ascites/Oedema,2020-08,England,165882,68773331,43,0.241
Broilers,Conditions,Ascites/Oedema,2020-09,England,166879,65124367,42,0.256
Broilers,Conditions,Ascites/Oedema,2020-07,Wales,24876,7924167,3,0.314
Broilers,Conditions,Ascites/Oedema,2020-08,Wales,21179,8295869,4,0.255
Broilers,Conditions,Ascites/Oedema,2020-09,Wales,24183,7861283,3,0.308
Broilers,Conditions,Bruising/Fractures,2020-07,England,12872,72066108,44,0.018
Broilers,Conditions,Bruising/Fractures,2020-07,England,2420,72066108,44,0.003
Broilers,Conditions,Bruising/Fractures,2020-08,England,84204,68773331,43,0.122
Broilers,Conditions,Bruising/Fractures,2020-08,England,2397,68773331,43,0.003
Broilers,Conditions,Bruising/Fractures,2020-09,England,2245,65124367,42,0.003
Broilers,Conditions,Bruising/Fractures,2020-09,England,13519,65124367,42,0.021
Broilers,Conditions,Bruising/Fractures,2020-07,Wales,3457,7924167,3,0.044
Broilers,Conditions,Bruising/Fractures,2020-07,Wales,2031,7924167,3,0.026
Broilers,Conditions,Bruising/Fractures,2020-08,Wales,1989,8295869,4,0.024
Broilers,Conditions,Bruising/Fractures,2020-08,Wales,2395,8295869,4,0.029
Broilers,Conditions,Bruising/Fractures,2020-09,Wales,2068,7861283,3,0.026
Broilers,Conditions,Bruising/Fractures,2020-09,Wales,2754,7861283,3,0.035
Broilers,Conditions,Cellulitis,2020-07,England,12735,72066108,44,0.018
Broilers,Conditions,Cellulitis,2020-07,England,206785,72066108,44,0.287
Broilers,Conditions,Cellulitis,2020-08,England,12724,68773331,43,0.019
Broilers,Conditions,Cellulitis,2020-08,England,207419,68773331,43,0.302
Broilers,Conditions,Cellulitis,2020-09,England,14083,65124367,42,0.022
Broilers,Conditions,Cellulitis,2020-09,England,177381,65124367,42,0.272
Broilers,Conditions,Cellulitis,2020-07,Wales,23476,7924167,3,0.296
Broilers,Conditions,Cellulitis,2020-07,Wales,1,7924167,3,0
Broilers,Conditions,Cellulitis,2020-08,Wales,22933,8295869,4,0.276
Broilers,Conditions,Cellulitis,2020-09,Wales,21093,7861283,3,0.268
Broilers,Conditions,Cellulitis,2020-09,Wales,7,7861283,3,0
Broilers,Conditions,Contamination,2020-07,England,61962,72066108,44,0.086
Broilers,Conditions,Contamination,2020-07,England,62817,72066108,44,0.087
Broilers,Conditions,Contamination,2020-08,England,58290,68773331,43,0.085
Broilers,Conditions,Contamination,2020-08,England,57902,68773331,43,0.084
Broilers,Conditions,Contamination,2020-09,England,48485,65124367,42,0.074
Broilers,Conditions,Contamination,2020-09,England,43073,65124367,42,0.066
Broilers,Conditions,Contamination,2020-07,Wales,2,7924167,3,0
Broilers,Conditions,Contamination,2020-07,Wales,6677,7924167,3,0.084
Broilers,Conditions,Contamination,2020-08,Wales,8430,8295869,4,0.102
Broilers,Conditions,Contamination,2020-09,Wales,8291,7861283,3,0.105
Broilers,Conditions,Dead on Arrival/Death in the Lairage (DOA),2020-07,England,73563,72066108,44,0.102
Broilers,Conditions,Dead on Arrival/Death in the Lairage (DOA),2020-08,England,92478,68773331,43,0.134
Broilers,Conditions,Dead on Arrival/Death in the Lairage (DOA),2020-09,England,70253,65124367,42,0.108
Broilers,Conditions,Dead on Arrival/Death in the Lairage (DOA),2020-07,Wales,6054,7924167,3,0.076
Broilers,Conditions,Dead on Arrival/Death in the Lairage (DOA),2020-08,Wales,6655,8295869,4,0.08
Broilers,Conditions,Dead on Arrival/Death in the Lairage (DOA),2020-09,Wales,7408,7861283,3,0.094
Broilers,Conditions,Death other than slaughter (uncut/badly bled),2020-07,England,13495,72066108,44,0.019
Broilers,Conditions,Death other than slaughter (uncut/badly bled),2020-08,England,12394,68773331,43,0.018
Broilers,Conditions,Death other than slaughter (uncut/badly bled),2020-09,England,11181,65124367,42,0.017
Broilers,Conditions,Death other than slaughter (uncut/badly bled),2020-07,Wales,3098,7924167,3,0.039
Broilers,Conditions,Death other than slaughter (uncut/badly bled),2020-08,Wales,2369,8295869,4,0.029
Broilers,Conditions,Death other than slaughter (uncut/badly bled),2020-09,Wales,2586,7861283,3,0.033
Broilers,Conditions,Dermatitis,2020-07,England,20,72066108,44,0
Broilers,Conditions,Dermatitis,2020-07,England,10733,72066108,44,0.015
Broilers,Conditions,Dermatitis,2020-08,England,7583,68773331,43,0.011
Broilers,Conditions,Dermatitis,2020-08,England,24,68773331,43,0
Broilers,Conditions,Dermatitis,2020-09,England,6877,65124367,42,0.011
Broilers,Conditions,Dermatitis,2020-09,England,22,65124367,42,0
Broilers,Conditions,Dermatitis,2020-07,Wales,2453,7924167,3,0.031
Broilers,Conditions,Dermatitis,2020-07,Wales,18,7924167,3,0
Broilers,Conditions,Dermatitis,2020-08,Wales,2292,8295869,4,0.028
Broilers,Conditions,Dermatitis,2020-08,Wales,16,8295869,4,0
Broilers,Conditions,Dermatitis,2020-09,Wales,21,7861283,3,0
Broilers,Conditions,Dermatitis,2020-09,Wales,1730,7861283,3,0.022
Broilers,Conditions,Emaciation,2020-07,England,10878,72066108,44,0.015
Broilers,Conditions,Emaciation,2020-08,England,11937,68773331,43,0.017
Broilers,Conditions,Emaciation,2020-09,England,11388,65124367,42,0.017
Broilers,Conditions,Emaciation,2020-07,Wales,3174,7924167,3,0.04
Broilers,Conditions,Emaciation,2020-08,Wales,3727,8295869,4,0.045
Broilers,Conditions,Emaciation,2020-09,Wales,4117,7861283,3,0.052
Broilers,Conditions,Hepatitis,2020-07,England,29719,72066108,44,0.041
Broilers,Conditions,Hepatitis,2020-07,England,85939,72066108,44,0.119
Broilers,Conditions,Hepatitis,2020-08,England,28955,68773331,43,0.042
Broilers,Conditions,Hepatitis,2020-08,England,73946,68773331,43,0.108
Broilers,Conditions,Hepatitis,2020-09,England,28778,65124367,42,0.044
Broilers,Conditions,Hepatitis,2020-09,England,56487,65124367,42,0.087
Broilers,Conditions,Hepatitis,2020-07,Wales,8687,7924167,3,0.11
Broilers,Conditions,Hepatitis,2020-07,Wales,4141,7924167,3,0.052
Broilers,Conditions,Hepatitis,2020-08,Wales,7129,8295869,4,0.086
Broilers,Conditions,Hepatitis,2020-08,Wales,3124,8295869,4,0.038
Broilers,Conditions,Hepatitis,2020-09,Wales,2727,7861283,3,0.035
Broilers,Conditions,Hepatitis,2020-09,Wales,5919,7861283,3,0.075
Broilers,Conditions,Joint Lesions,2020-07,England,497,72066108,44,0.001
Broilers,Conditions,Joint Lesions,2020-07,England,17421,72066108,44,0.024
Broilers,Conditions,Joint Lesions,2020-08,England,17940,68773331,43,0.026
Broilers,Conditions,Joint Lesions,2020-08,England,679,68773331,43,0.001
Broilers,Conditions,Joint Lesions,2020-09,England,17827,65124367,42,0.027
Broilers,Conditions,Joint Lesions,2020-09,England,622,65124367,42,0.001
Broilers,Conditions,Joint Lesions,2020-07,Wales,977,7924167,3,0.012
Broilers,Conditions,Joint Lesions,2020-07,Wales,226,7924167,3,0.003
Broilers,Conditions,Joint Lesions,2020-08,Wales,116,8295869,4,0.001
Broilers,Conditions,Joint Lesions,2020-08,Wales,1399,8295869,4,0.017
Broilers,Conditions,Joint Lesions,2020-09,Wales,130,7861283,3,0.002
Broilers,Conditions,Joint Lesions,2020-09,Wales,1431,7861283,3,0.018
Broilers,Conditions,Machine Damage,2020-07,England,13386,72066108,44,0.019
Broilers,Conditions,Machine Damage,2020-07,England,97367,72066108,44,0.135
Broilers,Conditions,Machine Damage,2020-08,England,11144,68773331,43,0.016
Broilers,Conditions,Machine Damage,2020-08,England,84734,68773331,43,0.123
Broilers,Conditions,Machine Damage,2020-09,England,78885,65124367,42,0.121
Broilers,Conditions,Machine Damage,2020-09,England,12436,65124367,42,0.019
Broilers,Conditions,Machine Damage,2020-07,Wales,18,7924167,3,0
Broilers,Conditions,Machine Damage,2020-07,Wales,4209,7924167,3,0.053
Broilers,Conditions,Machine Damage,2020-08,Wales,3548,8295869,4,0.043
Broilers,Conditions,Machine Damage,2020-08,Wales,16,8295869,4,0
Broilers,Conditions,Machine Damage,2020-09,Wales,3122,7861283,3,0.04
Broilers,Conditions,Machine Damage,2020-09,Wales,14,7861283,3,0
Broilers,Conditions,"Other Factory (poor plucking, product requirement)",2020-07,England,37222,72066108,44,0.052
Broilers,Conditions,"Other Factory (poor plucking, product requirement)",2020-08,England,35831,68773331,43,0.052
Broilers,Conditions,"Other Factory (poor plucking, product requirement)",2020-08,England,37,68773331,43,0
Broilers,Conditions,"Other Factory (poor plucking, product requirement)",2020-09,England,14,65124367,42,0
Broilers,Conditions,"Other Factory (poor plucking, product requirement)",2020-09,England,37184,65124367,42,0.057
Broilers,Conditions,"Other Factory (poor plucking, product requirement)",2020-07,Wales,3893,7924167,3,0.049
Broilers,Conditions,"Other Factory (poor plucking, product requirement)",2020-08,Wales,4660,8295869,4,0.056
Broilers,Conditions,"Other Factory (poor plucking, product requirement)",2020-09,Wales,2312,7861283,3,0.029
Broilers,Conditions,"Other Farm (Jaundice, Oregon, White Muscle,Congen)",2020-07,England,433,72066108,44,0.001
Broilers,Conditions,"Other Farm (Jaundice, Oregon, White Muscle,Congen)",2020-07,England,62078,72066108,44,0.086
Broilers,Conditions,"Other Farm (Jaundice, Oregon, White Muscle,Congen)",2020-08,England,57869,68773331,43,0.084
Broilers,Conditions,"Other Farm (Jaundice, Oregon, White Muscle,Congen)",2020-08,England,1097,68773331,43,0.002
Broilers,Conditions,"Other Farm (Jaundice, Oregon, White Muscle,Congen)",2020-09,England,66518,65124367,42,0.102
Broilers,Conditions,"Other Farm (Jaundice, Oregon, White Muscle,Congen)",2020-09,England,370,65124367,42,0.001
Broilers,Conditions,"Other Farm (Jaundice, Oregon, White Muscle,Congen)",2020-07,Wales,7063,7924167,3,0.089
Broilers,Conditions,"Other Farm (Jaundice, Oregon, White Muscle,Congen)",2020-08,Wales,9724,8295869,4,0.117
Broilers,Conditions,"Other Farm (Jaundice, Oregon, White Muscle,Congen)",2020-09,Wales,11465,7861283,3,0.146
Broilers,Conditions,Overscald,2020-07,England,35696,72066108,44,0.05
Broilers,Conditions,Overscald,2020-08,England,27,68773331,43,0
Broilers,Conditions,Overscald,2020-08,England,26748,68773331,43,0.039
Broilers,Conditions,Overscald,2020-09,England,155,65124367,42,0
Broilers,Conditions,Overscald,2020-09,England,27506,65124367,42,0.042
Broilers,Conditions,Overscald,2020-07,Wales,7898,7924167,3,0.1
Broilers,Conditions,Overscald,2020-08,Wales,9117,8295869,4,0.11
Broilers,Conditions,Overscald,2020-09,Wales,4,7861283,3,0
Broilers,Conditions,Overscald,2020-09,Wales,7325,7861283,3,0.093
Broilers,Conditions,Pericarditis,2020-07,England,140808,72066108,44,0.195
Broilers,Conditions,Pericarditis,2020-07,England,20246,72066108,44,0.028
Broilers,Conditions,Pericarditis,2020-08,England,13267,68773331,43,0.019
Broilers,Conditions,Pericarditis,2020-08,England,80275,68773331,43,0.117
Broilers,Conditions,Pericarditis,2020-09,England,15130,65124367,42,0.023
Broilers,Conditions,Pericarditis,2020-09,England,63288,65124367,42,0.097
Broilers,Conditions,Pericarditis,2020-07,Wales,4702,7924167,3,0.059
Broilers,Conditions,Pericarditis,2020-07,Wales,803,7924167,3,0.01
Broilers,Conditions,Pericarditis,2020-08,Wales,3316,8295869,4,0.04
Broilers,Conditions,Pericarditis,2020-08,Wales,563,8295869,4,0.007
Broilers,Conditions,Pericarditis,2020-09,Wales,4114,7861283,3,0.052
Broilers,Conditions,Pericarditis,2020-09,Wales,1046,7861283,3,0.013
Broilers,Conditions,Perihepatitis/Peritonitis,2020-07,England,83194,72066108,44,0.115
Broilers,Conditions,Perihepatitis/Peritonitis,2020-07,England,542,72066108,44,0.001
Broilers,Conditions,Perihepatitis/Peritonitis,2020-08,England,351,68773331,43,0.001
Broilers,Conditions,Perihepatitis/Peritonitis,2020-08,England,79792,68773331,43,0.116
