Species,InspectionType,Condition,YearMonth,Country,NumberOfConditions,Throughput,NumberOfThroughputPlants,PercentageOfThroughput
Poultry,Conditions,Perihepatitis/Peritonitis,2018-08,Wales,44,102200,1,0.043
Poultry,Conditions,Perihepatitis/Peritonitis,2018-09,Wales,13,13000,1,0.1
Poultry,Conditions,Respiratory Disease (air sacculitis),2018-07,England,1,225714,11,0
Poultry,Conditions,Respiratory Disease (air sacculitis),2018-08,England,492,69274,7,0.71
Poultry,Conditions,Respiratory Disease (air sacculitis),2018-09,England,5,214710,8,0.002
Poultry,Conditions,Salpingitis,2018-07,England,120,225714,11,0.053
Poultry,Conditions,Salpingitis,2018-08,England,62,69274,7,0.089
Poultry,Conditions,Salpingitis,2018-09,England,34,214710,8,0.016
Poultry,Conditions,Tumours/Nodules,2018-07,England,40,225714,11,0.018
Poultry,Conditions,Tumours/Nodules,2018-08,England,41,69274,7,0.059
Poultry,Conditions,Tumours/Nodules,2018-09,England,44,214710,8,0.02
Poultry,Conditions,Tumours/Nodules,2018-08,Wales,2,102200,1,0.002
Quail,Conditions,Abnormal Colour/Fevered,2018-07,England,19,7250,1,0.262
Quail,Conditions,Abnormal Colour/Fevered,2018-08,England,22,8525,1,0.258
Quail,Conditions,Abnormal Colour/Fevered,2018-09,England,31,6600,1,0.47
Quail,Conditions,Ascites/Oedema,2018-08,England,2,8525,1,0.023
Quail,Conditions,Ascites/Oedema,2018-09,England,2,6600,1,0.03
Quail,Conditions,Bruising/Fractures,2018-07,England,85,7250,1,1.172
Quail,Conditions,Bruising/Fractures,2018-08,England,4,8525,1,0.047
Quail,Conditions,Cellulitis,2018-07,England,70,7250,1,0.966
Quail,Conditions,Cellulitis,2018-08,England,60,8525,1,0.704
Quail,Conditions,Cellulitis,2018-09,England,58,6600,1,0.879
Quail,Conditions,Dermatitis,2018-08,England,2,8525,1,0.023
Quail,Conditions,Emaciation,2018-07,England,10,7250,1,0.138
Quail,Conditions,Emaciation,2018-08,England,7,8525,1,0.082
Quail,Conditions,Emaciation,2018-09,England,5,6600,1,0.076
Quail,Conditions,Joint Lesions,2018-07,England,74,7250,1,1.021
Quail,Conditions,Joint Lesions,2018-08,England,107,8525,1,1.255
Quail,Conditions,Joint Lesions,2018-09,England,42,6600,1,0.636
Quail,Conditions,Machine Damage,2018-07,England,3,7250,1,0.041
Quail,Conditions,"Other Factory (poor plucking, product requirement)",2018-07,England,4,7250,1,0.055
Quail,Conditions,"Other Farm (Jaundice, Oregon, White Muscle,Congen)",2018-08,England,2,8525,1,0.023
Quail,Conditions,Perihepatitis/Peritonitis,2018-07,England,3,7250,1,0.041
Quail,Conditions,Perihepatitis/Peritonitis,2018-08,England,6,8525,1,0.07
Quail,Conditions,Perihepatitis/Peritonitis,2018-09,England,3,6600,1,0.045
Quail,Conditions,Salpingitis,2018-07,England,11,7250,1,0.152
Quail,Conditions,Salpingitis,2018-08,England,8,8525,1,0.094
Quail,Conditions,Salpingitis,2018-09,England,16,6600,1,0.242
Quail,Conditions,Tumours/Nodules,2018-07,England,1,7250,1,0.014
Quail,Conditions,Tumours/Nodules,2018-08,England,1,8525,1,0.012
Quail,Conditions,Tumours/Nodules,2018-09,England,1,6600,1,0.015
Turkeys,Conditions,Abnormal Colour/Fevered,2018-07,England,1354,975078,10,0.139
Turkeys,Conditions,Abnormal Colour/Fevered,2018-08,England,1669,976332,11,0.171
Turkeys,Conditions,Abnormal Colour/Fevered,2018-09,England,1113,793195,11,0.14
Turkeys,Conditions,Abnormal Colour/Fevered,2018-07,Wales,3,7726,1,0.039
Turkeys,Conditions,Abnormal Colour/Fevered,2018-08,Wales,34,21801,1,0.156
Turkeys,Conditions,Abnormal Colour/Fevered,2018-09,Wales,15,10762,1,0.139
Turkeys,Conditions,Antemortem Rejects (Cull/Runts),2018-08,England,4,976332,11,0
Turkeys,Conditions,Ascites/Oedema,2018-07,England,121,975078,10,0.012
Turkeys,Conditions,Ascites/Oedema,2018-08,England,136,976332,11,0.014
Turkeys,Conditions,Ascites/Oedema,2018-09,England,101,793195,11,0.013
Turkeys,Conditions,Ascites/Oedema,2018-07,Wales,33,7726,1,0.427
Turkeys,Conditions,Ascites/Oedema,2018-08,Wales,47,21801,1,0.216
Turkeys,Conditions,Ascites/Oedema,2018-09,Wales,35,10762,1,0.325
Turkeys,Conditions,Bruising/Fractures,2018-07,England,9672,975078,10,0.992
Turkeys,Conditions,Bruising/Fractures,2018-08,England,10010,976332,11,1.025
Turkeys,Conditions,Bruising/Fractures,2018-09,England,7429,793195,11,0.937
Turkeys,Conditions,Bruising/Fractures,2018-07,Wales,62,7726,1,0.802
Turkeys,Conditions,Bruising/Fractures,2018-08,Wales,52,21801,1,0.239
Turkeys,Conditions,Bruising/Fractures,2018-09,Wales,149,10762,1,1.385
Turkeys,Conditions,Cellulitis,2018-07,England,627,975078,10,0.064
Turkeys,Conditions,Cellulitis,2018-08,England,452,976332,11,0.046
Turkeys,Conditions,Cellulitis,2018-09,England,378,793195,11,0.048
Turkeys,Conditions,Cellulitis,2018-09,Wales,20,10762,1,0.186
Turkeys,Conditions,Contamination,2018-07,England,815,975078,10,0.084
Turkeys,Conditions,Contamination,2018-08,England,797,976332,11,0.082
Turkeys,Conditions,Contamination,2018-09,England,255,793195,11,0.032
Turkeys,Conditions,Contamination,2018-07,Wales,71,7726,1,0.919
Turkeys,Conditions,Contamination,2018-08,Wales,55,21801,1,0.252
Turkeys,Conditions,Contamination,2018-09,Wales,65,10762,1,0.604
Turkeys,Conditions,Dead on Arrival/Death in the Lairage (DOA),2018-07,England,511,975078,10,0.052
Turkeys,Conditions,Dead on Arrival/Death in the Lairage (DOA),2018-08,England,628,976332,11,0.064
Turkeys,Conditions,Dead on Arrival/Death in the Lairage (DOA),2018-09,England,507,793195,11,0.064
Turkeys,Conditions,Dead on Arrival/Death in the Lairage (DOA),2018-08,Wales,3,21801,1,0.014
Turkeys,Conditions,Dead on Arrival/Death in the Lairage (DOA),2018-09,Wales,2,10762,1,0.019
Turkeys,Conditions,Death other than slaughter (uncut/badly bled),2018-07,England,92,975078,10,0.009
Turkeys,Conditions,Death other than slaughter (uncut/badly bled),2018-08,England,123,976332,11,0.013
Turkeys,Conditions,Death other than slaughter (uncut/badly bled),2018-09,England,178,793195,11,0.022
Turkeys,Conditions,Dermatitis,2018-07,England,413,975078,10,0.042
Turkeys,Conditions,Dermatitis,2018-08,England,375,976332,11,0.038
Turkeys,Conditions,Dermatitis,2018-09,England,377,793195,11,0.048
Turkeys,Conditions,Emaciation,2018-07,England,369,975078,10,0.038
Turkeys,Conditions,Emaciation,2018-08,England,417,976332,11,0.043
Turkeys,Conditions,Emaciation,2018-09,England,332,793195,11,0.042
Turkeys,Conditions,Emaciation,2018-07,Wales,3,7726,1,0.039
Turkeys,Conditions,Emaciation,2018-09,Wales,4,10762,1,0.037
Turkeys,Conditions,Hepatitis,2018-07,England,1293,975078,10,0.133
