Species,InspectionType,Condition,YearMonth,Country,NumberOfConditions,Throughput,NumberOfThroughputPlants,PercentageOfThroughput
Broilers,Conditions,Abnormal Colour/Fevered,2019-01,England,239159,75421965,47,0.317
Broilers,Conditions,Abnormal Colour/Fevered,2019-02,England,199162,67050245,48,0.297
Broilers,Conditions,Abnormal Colour/Fevered,2019-03,England,203403,71567858,48,0.284
Broilers,Conditions,Abnormal Colour/Fevered,2019-01,Wales,26967,7950226,3,0.339
Broilers,Conditions,Abnormal Colour/Fevered,2019-02,Wales,20553,7156397,3,0.287
Broilers,Conditions,Abnormal Colour/Fevered,2019-03,Wales,19698,7676964,3,0.257
Broilers,Conditions,Antemortem Rejects (Cull/Runts),2019-01,England,77522,75421965,47,0.103
Broilers,Conditions,Antemortem Rejects (Cull/Runts),2019-02,England,51155,67050245,48,0.076
Broilers,Conditions,Antemortem Rejects (Cull/Runts),2019-03,England,36927,71567858,48,0.052
Broilers,Conditions,Antemortem Rejects (Cull/Runts),2019-01,Wales,645,7950226,3,0.008
Broilers,Conditions,Antemortem Rejects (Cull/Runts),2019-02,Wales,650,7156397,3,0.009
Broilers,Conditions,Antemortem Rejects (Cull/Runts),2019-03,Wales,842,7676964,3,0.011
Broilers,Conditions,Ascites/Oedema,2019-01,England,247365,75421965,47,0.328
Broilers,Conditions,Ascites/Oedema,2019-02,England,238066,67050245,48,0.355
Broilers,Conditions,Ascites/Oedema,2019-03,England,238432,71567858,48,0.333
Broilers,Conditions,Ascites/Oedema,2019-01,Wales,30032,7950226,3,0.378
Broilers,Conditions,Ascites/Oedema,2019-02,Wales,27369,7156397,3,0.382
Broilers,Conditions,Ascites/Oedema,2019-03,Wales,24507,7676964,3,0.319
Broilers,Conditions,Bruising/Fractures,2019-01,England,41824,75421965,47,0.055
Broilers,Conditions,Bruising/Fractures,2019-02,England,33125,67050245,48,0.049
Broilers,Conditions,Bruising/Fractures,2019-03,England,22535,71567858,48,0.031
Broilers,Conditions,Bruising/Fractures,2019-01,Wales,5750,7950226,3,0.072
Broilers,Conditions,Bruising/Fractures,2019-02,Wales,3473,7156397,3,0.049
Broilers,Conditions,Bruising/Fractures,2019-03,Wales,3816,7676964,3,0.05
Broilers,Conditions,Cellulitis,2019-01,England,213147,75421965,47,0.283
Broilers,Conditions,Cellulitis,2019-02,England,178472,67050245,48,0.266
Broilers,Conditions,Cellulitis,2019-03,England,213674,71567858,48,0.299
Broilers,Conditions,Cellulitis,2019-01,Wales,23438,7950226,3,0.295
Broilers,Conditions,Cellulitis,2019-02,Wales,18337,7156397,3,0.256
Broilers,Conditions,Cellulitis,2019-03,Wales,18653,7676964,3,0.243
Broilers,Conditions,Contamination,2019-01,England,143137,75421965,47,0.19
Broilers,Conditions,Contamination,2019-02,England,117684,67050245,48,0.176
Broilers,Conditions,Contamination,2019-03,England,118053,71567858,48,0.165
Broilers,Conditions,Contamination,2019-01,Wales,5450,7950226,3,0.069
Broilers,Conditions,Contamination,2019-02,Wales,11519,7156397,3,0.161
Broilers,Conditions,Contamination,2019-03,Wales,6189,7676964,3,0.081
Broilers,Conditions,Dead on Arrival/Death in the Lairage (DOA),2019-01,England,85766,75421965,47,0.114
Broilers,Conditions,Dead on Arrival/Death in the Lairage (DOA),2019-02,England,79145,67050245,48,0.118
Broilers,Conditions,Dead on Arrival/Death in the Lairage (DOA),2019-03,England,85642,71567858,48,0.12
Broilers,Conditions,Dead on Arrival/Death in the Lairage (DOA),2019-01,Wales,8448,7950226,3,0.106
Broilers,Conditions,Dead on Arrival/Death in the Lairage (DOA),2019-02,Wales,7341,7156397,3,0.103
Broilers,Conditions,Dead on Arrival/Death in the Lairage (DOA),2019-03,Wales,7871,7676964,3,0.103
Broilers,Conditions,Death other than slaughter (uncut/badly bled),2019-01,England,22831,75421965,47,0.03
Broilers,Conditions,Death other than slaughter (uncut/badly bled),2019-02,England,17674,67050245,48,0.026
Broilers,Conditions,Death other than slaughter (uncut/badly bled),2019-03,England,11634,71567858,48,0.016
Broilers,Conditions,Death other than slaughter (uncut/badly bled),2019-01,Wales,6279,7950226,3,0.079
Broilers,Conditions,Death other than slaughter (uncut/badly bled),2019-02,Wales,6093,7156397,3,0.085
Broilers,Conditions,Death other than slaughter (uncut/badly bled),2019-03,Wales,5593,7676964,3,0.073
Broilers,Conditions,Dermatitis,2019-01,England,19214,75421965,47,0.025
Broilers,Conditions,Dermatitis,2019-02,England,21644,67050245,48,0.032
Broilers,Conditions,Dermatitis,2019-03,England,11931,71567858,48,0.017
Broilers,Conditions,Dermatitis,2019-01,Wales,4299,7950226,3,0.054
Broilers,Conditions,Dermatitis,2019-02,Wales,2978,7156397,3,0.042
Broilers,Conditions,Dermatitis,2019-03,Wales,3182,7676964,3,0.041
Broilers,Conditions,Emaciation,2019-01,England,25665,75421965,47,0.034
Broilers,Conditions,Emaciation,2019-02,England,17266,67050245,48,0.026
Broilers,Conditions,Emaciation,2019-03,England,14611,71567858,48,0.02
