???Species,InspectionType,Condition,YearMonth,Country,NumberOfConditions,Throughput,NumberOfThroughputPlants,PercentageOfThroughput
Turkeys,Conditions,"Other Factory (poor plucking, product requirement)",2020-06,England,13,845645,11,0.002
Turkeys,Conditions,"Other Farm (Jaundice, Oregon, White Muscle,Congen)",2020-04,England,83,828151,11,0.01
Turkeys,Conditions,"Other Farm (Jaundice, Oregon, White Muscle,Congen)",2020-05,England,41,545716,12,0.008
Turkeys,Conditions,"Other Farm (Jaundice, Oregon, White Muscle,Congen)",2020-06,England,7,845645,11,0.001
Turkeys,Conditions,Overscald,2020-05,England,125,545716,12,0.023
Turkeys,Conditions,Overscald,2020-06,England,111,845645,11,0.013
Turkeys,Conditions,Pericarditis,2020-04,England,211,828151,11,0.025
Turkeys,Conditions,Pericarditis,2020-04,England,2283,828151,11,0.276
Turkeys,Conditions,Pericarditis,2020-05,England,298,545716,12,0.055
Turkeys,Conditions,Pericarditis,2020-05,England,161,545716,12,0.03
Turkeys,Conditions,Pericarditis,2020-06,England,171,845645,11,0.02
Turkeys,Conditions,Pericarditis,2020-06,England,3005,845645,11,0.355
Turkeys,Conditions,Pericarditis,2020-04,Wales,118,1323,1,8.919
Turkeys,Conditions,Pericarditis,2020-05,Wales,554,4554,1,12.165
Turkeys,Conditions,Pericarditis,2020-06,Wales,139,3451,1,4.028
Turkeys,Conditions,Perihepatitis/Peritonitis,2020-04,England,56,828151,11,0.007
Turkeys,Conditions,Perihepatitis/Peritonitis,2020-04,England,514,828151,11,0.062
Turkeys,Conditions,Perihepatitis/Peritonitis,2020-05,England,97,545716,12,0.018
Turkeys,Conditions,Perihepatitis/Peritonitis,2020-05,England,96,545716,12,0.018
Turkeys,Conditions,Perihepatitis/Peritonitis,2020-06,England,805,845645,11,0.095
Turkeys,Conditions,Perihepatitis/Peritonitis,2020-06,England,159,845645,11,0.019
Turkeys,Conditions,Perihepatitis/Peritonitis,2020-05,Wales,1,4554,1,0.022
Turkeys,Conditions,Perihepatitis/Peritonitis,2020-06,Wales,4,3451,1,0.116
