Species,InspectionType,Condition,YearMonth,Country,NumberOfConditions,Throughput,NumberOfThroughputPlants,PercentageOfThroughput
Broilers,Conditions,Abnormal Colour/Fevered,2016-07,England,155959,64136564,55,0.243
Broilers,Conditions,Abnormal Colour/Fevered,2016-08,England,186577,69917835,54,0.267
Broilers,Conditions,Abnormal Colour/Fevered,2016-09,England,186433,67092992,56,0.278
Broilers,Conditions,Abnormal Colour/Fevered,2016-10,England,203280,68254922,55,0.298
Broilers,Conditions,Abnormal Colour/Fevered,2016-11,England,211644,67980670,52,0.311
Broilers,Conditions,Abnormal Colour/Fevered,2016-12,England,191655,61077716,53,0.314
Broilers,Conditions,Abnormal Colour/Fevered,2017-01,England,233625,71951637,50,0.325
Broilers,Conditions,Abnormal Colour/Fevered,2017-02,England,201238,64357428,53,0.313
Broilers,Conditions,Abnormal Colour/Fevered,2017-03,England,204896,73934999,53,0.277
Broilers,Conditions,Abnormal Colour/Fevered,2016-07,Wales,8679,4901652,3,0.177
Broilers,Conditions,Abnormal Colour/Fevered,2016-08,Wales,13931,5376693,3,0.259
Broilers,Conditions,Abnormal Colour/Fevered,2016-09,Wales,14085,4954680,2,0.284
Broilers,Conditions,Abnormal Colour/Fevered,2016-10,Wales,12382,5093791,3,0.243
Broilers,Conditions,Abnormal Colour/Fevered,2016-11,Wales,14268,5050940,3,0.282
Broilers,Conditions,Abnormal Colour/Fevered,2016-12,Wales,15183,4953176,2,0.307
Broilers,Conditions,Abnormal Colour/Fevered,2017-01,Wales,15775,5243581,3,0.301
Broilers,Conditions,Abnormal Colour/Fevered,2017-02,Wales,12143,4709341,3,0.258
Broilers,Conditions,Abnormal Colour/Fevered,2017-03,Wales,16130,5273392,3,0.306
Broilers,Conditions,Antemortem Rejects (Cull/Runts),2016-07,England,56180,64136564,55,0.088
Broilers,Conditions,Antemortem Rejects (Cull/Runts),2016-08,England,55173,69917835,54,0.079
Broilers,Conditions,Antemortem Rejects (Cull/Runts),2016-09,England,56005,67092992,56,0.083
Broilers,Conditions,Antemortem Rejects (Cull/Runts),2016-10,England,61226,68254922,55,0.09
Broilers,Conditions,Antemortem Rejects (Cull/Runts),2016-11,England,47039,67980670,52,0.069
Broilers,Conditions,Antemortem Rejects (Cull/Runts),2016-12,England,48545,61077716,53,0.079
Broilers,Conditions,Antemortem Rejects (Cull/Runts),2017-01,England,56910,71951637,50,0.079
Broilers,Conditions,Antemortem Rejects (Cull/Runts),2017-02,England,60967,64357428,53,0.095
Broilers,Conditions,Antemortem Rejects (Cull/Runts),2017-03,England,73113,73934999,53,0.099
Broilers,Conditions,Antemortem Rejects (Cull/Runts),2016-07,Wales,144,4901652,3,0.003
Broilers,Conditions,Antemortem Rejects (Cull/Runts),2016-08,Wales,159,5376693,3,0.003
Broilers,Conditions,Antemortem Rejects (Cull/Runts),2016-09,Wales,171,4954680,2,0.003
Broilers,Conditions,Antemortem Rejects (Cull/Runts),2016-10,Wales,120,5093791,3,0.002
Broilers,Conditions,Antemortem Rejects (Cull/Runts),2016-11,Wales,306,5050940,3,0.006
Broilers,Conditions,Antemortem Rejects (Cull/Runts),2016-12,Wales,143,4953176,2,0.003
Broilers,Conditions,Antemortem Rejects (Cull/Runts),2017-01,Wales,216,5243581,3,0.004
Broilers,Conditions,Antemortem Rejects (Cull/Runts),2017-02,Wales,247,4709341,3,0.005
Broilers,Conditions,Antemortem Rejects (Cull/Runts),2017-03,Wales,204,5273392,3,0.004
Broilers,Conditions,Ascites/Oedema,2016-07,England,150426,64136564,55,0.235
Broilers,Conditions,Ascites/Oedema,2016-08,England,181812,69917835,54,0.26
Broilers,Conditions,Ascites/Oedema,2016-09,England,173520,67092992,56,0.259
