???Species,InspectionType,Condition,YearMonth,Country,NumberOfConditions,Throughput,NumberOfThroughputPlants,PercentageOfThroughput
Turkeys,Conditions,Pericarditis,2020-01,England,233,813409,12,0.029
Turkeys,Conditions,Pericarditis,2020-02,England,294,731276,11,0.04
Turkeys,Conditions,Pericarditis,2020-02,England,2898,731276,11,0.396
Turkeys,Conditions,Pericarditis,2020-03,England,422,777962,11,0.054
Turkeys,Conditions,Pericarditis,2020-03,England,2352,777962,11,0.302
Turkeys,Conditions,Pericarditis,2020-01,Wales,155,2494,1,6.215
Turkeys,Conditions,Pericarditis,2020-02,Wales,209,3642,1,5.739
Turkeys,Conditions,Pericarditis,2020-03,Wales,251,6075,1,4.132
Turkeys,Conditions,Perihepatitis/Peritonitis,2020-01,England,932,813409,12,0.115
Turkeys,Conditions,Perihepatitis/Peritonitis,2020-01,England,9,813409,12,0.001
Turkeys,Conditions,Perihepatitis/Peritonitis,2020-02,England,832,731276,11,0.114
Turkeys,Conditions,Perihepatitis/Peritonitis,2020-02,England,139,731276,11,0.019
Turkeys,Conditions,Perihepatitis/Peritonitis,2020-03,England,852,777962,11,0.11
Turkeys,Conditions,Perihepatitis/Peritonitis,2020-03,England,18,777962,11,0.002
Turkeys,Conditions,Perihepatitis/Peritonitis,2020-03,Wales,1,6075,1,0.016
Turkeys,Conditions,Respiratory Disease (air sacculitis),2020-01,England,130,813409,12,0.016
Turkeys,Conditions,Respiratory Disease (air sacculitis),2020-01,England,250,813409,12,0.031
Turkeys,Conditions,Respiratory Disease (air sacculitis),2020-02,England,137,731276,11,0.019
Turkeys,Conditions,Respiratory Disease (air sacculitis),2020-03,England,118,777962,11,0.015
Turkeys,Conditions,Salpingitis,2020-01,England,61,813409,12,0.007
Turkeys,Conditions,Salpingitis,2020-02,England,31,731276,11,0.004
Turkeys,Conditions,Salpingitis,2020-03,England,72,777962,11,0.009
Turkeys,Conditions,Salpingitis,2020-01,Wales,15,2494,1,0.601
Turkeys,Conditions,Salpingitis,2020-02,Wales,13,3642,1,0.357
Turkeys,Conditions,Salpingitis,2020-03,Wales,29,6075,1,0.477
Turkeys,Conditions,Tumours/Nodules,2020-01,England,1,813409,12,0
Turkeys,Conditions,Tumours/Nodules,2020-02,England,1,731276,11,0
Turkeys,Conditions,Tumours/Nodules,2020-03,England,2,777962,11,0
