country,species,variable,count,mean,std,min,25%,50%,75%,max,iqr,max_iqrdist,min_iqrdist,range,range_mult,range_iqrdist,range_scaled
Afghanistan,Camels,output_value_meatlive_2010usd,20.0,107573122.19923751,56346926.80342522,61247439.034419246,69412548.57546268,86143758.25731161,123273895.97615626,234673916.39991733,53861347.40069358,2.7576391106155853,0.46222978860294484,173426477.3654981,3.8315710844340374,3.2198688992185303,2.0132216294472873
Afghanistan,Cattle,output_value_meatlive_2010usd,20.0,1940390169.5870614,719591728.3202477,847792817.6940911,1195448027.81071,2132464726.1919737,2506762717.5287056,3102893806.83569,1311314689.7179956,0.7400428655705913,0.9796823894149751,2255100989.1415987,3.6599670840279597,1.7197252549855662,1.057509163665568
Afghanistan,Chickens,output_value_meatlive_2010usd,20.0,83265154.65859272,19877029.361302327,40039940.98170834,70905416.59362242,84627329.17138043,97886156.96696806,112674511.26058453,26980740.373345643,1.0395260360205683,1.6525635535828405,72634570.27887619,2.814052880648806,2.6920895896034085,0.8582873994733135
Afghanistan,Goats,output_value_meatlive_2010usd,20.0,581152113.7254674,198651639.1038924,228318837.07565886,423151603.5898195,639971310.2330749,742357451.6493435,894098151.3884268,319205848.059524,0.7961221346670425,1.2896144467900006,665779314.312768,3.9160069437991494,2.085736581457043,1.040326814135299
Afghanistan,Sheep,output_value_meatlive_2010usd,20.0,1283746793.7405365,630347493.151247,571892159.6816837,812634678.4525883,1146374921.1766376,1564854803.4984727,2988312288.2333436,752220125.0458844,2.448668023797356,0.7637162877819991,2416420128.55166,5.225307319996561,3.2123843115793558,2.1078794414583406
Albania,Cattle,output_value_meatlive_2010usd,20.0,595174394.6639991,130703615.30118471,429904325.556242,470414685.1778691,597312589.0920558,689698722.2626662,799137012.7076836,219284037.08479714,0.9203790038651206,0.7634311451091947,369232687.1514416,1.858871765650883,1.6838101489743154,0.6181565463281014
Albania,Chickens,output_value_meatlive_2010usd,20.0,46898719.91591194,18340104.94278792,20564207.921128795,33142792.834735535,44967869.263139725,59747984.84908673,94056613.86206982,26605192.014351197,1.8450813875897218,0.9172518404996765,73492405.94094102,4.573801929197131,2.7623332280893984,1.6343315159293734
Albania,Pigs,output_value_meatlive_2010usd,20.0,76279548.54913753,10757263.939524211,62330426.0894437,66242487.35183102,74596071.66770363,83895474.07155919,96027757.17953926,17652986.71972817,1.2140543610042238,0.6948198496378182,33697331.090095565,1.5406241093513486,1.908874210642042,0.4517306385811309
Albania,Sheep,output_value_meatlive_2010usd,20.0,185760628.2363647,19797672.27192856,149447784.38805407,169446800.6112454,189872696.0682587,199421367.87698156,219623596.98107207,29974567.265736163,0.9925381290432016,1.3486403764171844,70175812.593018,1.4695674337385989,2.3411785054603858,0.3695940177085282
Algeria,Camels,output_value_meatlive_2010usd,20.0,609299388.2545305,246406131.91656873,226696788.22019643,421101056.87774295,517044983.48479784,805586551.1273216,1059230203.948166,384485494.24957865,1.4101578045787675,0.755160336624116,832533415.7279696,4.672453510542498,2.1653181412028837,1.6101759853017659
Algeria,Cattle,output_value_meatlive_2010usd,20.0,2523995328.2590256,468950307.48054284,1669847886.797346,2196377700.2179017,2596203962.0540495,2846712832.738761,3253985345.4522543,650335132.5208592,1.01144986716077,1.4244287736169488,1584137458.6549082,1.9486717150585346,2.4358786407777187,0.6101745016218139
Algeria,Chickens,output_value_meatlive_2010usd,20.0,945382810.0641791,127865713.94819768,636219019.2295146,899912029.5548347,976889058.0469897,1020745869.7005141,1151192099.6236458,120833840.14567935,1.4425018799908482,2.8193264271561462,514973080.3941312,1.8094273588642211,4.2618283071469945,0.5271561557088914
Algeria,Horses,output_value_meatlive_2010usd,20.0,23385607.15583742,7099377.87973013,13393576.151600001,18537143.601022672,19702638.519549835,30614675.984985504,35055003.98607481,12077532.383962832,1.271150842610088,0.5223800828989977,21661427.83447481,2.617299785306938,1.7935309255090854,1.0994176141932146
Algeria,Pigs,output_value_meatlive_2010usd,20.0,955019.2304594303,133734.46068841268,706523.6473102963,890779.0599624424,950494.5457670887,1025591.4521910609,1255445.391116009,134812.3922286185,2.262038676917598,1.8097067667418876,548921.7438057128,1.7769332928847223,4.071745443659485,0.5775117240285793
Algeria,Sheep,output_value_meatlive_2010usd,20.0,4838710243.923416,1782171516.5897274,2421378440.853147,3414906913.3690867,4144148900.338149,6607586373.442257,7917838659.332449,3192679460.07317,1.1819820330186903,0.5396001950805044,5496460218.479301,3.269971568980635,1.7215822280991944,1.3263182261696262
Algeria,Turkeys,output_value_meatlive_2010usd,20.0,59835787.04585558,29122528.956153207,7788653.615190094,39827964.892260864,67577194.12669057,76856081.56614822,119029353.01645552,37028116.67388736,1.3895429611749492,1.6146794890506548,111240699.40126543,15.28240423791788,3.0042224502256043,1.6461278222460163
Angola,Cattle,output_value_meatlive_2010usd,20.0,2694425287.481291,581481948.6978732,1900089799.9377232,2228627703.394205,2531230294.02677,3306128198.006917,3654802147.53234,1077500494.612712,1.042757622036561,0.5857449692548856,1754712347.594617,1.9234891675394126,1.6285025912914468,0.6932250896867858
Angola,Chickens,output_value_meatlive_2010usd,20.0,109355772.67140396,80002444.5282862,34195465.896706834,42905580.73862438,94729401.15719646,141718014.97077018,309308821.218155,98812434.2321458,2.1715831790646374,0.6126145533291258,275113355.3214482,9.045316772477218,2.7841977323937632,2.9042024119303558
Angola,Pigs,output_value_meatlive_2010usd,20.0,623913969.4319972,530326323.4352609,232265165.6750507,359064678.6004359,488671552.7769596,653880558.8647442,2359100798.2841287,294815880.2643083,6.3443978792129245,0.8697170141311096,2126835632.609078,10.156929005809745,7.214114893344035,4.352280423370198
Angola,Sheep,output_value_meatlive_2010usd,20.0,100823475.69294447,46200027.19255723,33549885.26280751,73689843.7602524,87291242.85304087,131802157.81938419,232813370.4319064,58112314.059131786,2.504153034256913,0.924784332896281,199263485.16909888,6.939319422650812,3.428937367153194,2.2827431327168615
Antigua and Barbuda,Cattle,output_value_meatlive_2010usd,20.0,9552327.676725518,10880183.258906007,2570969.699451968,3149214.090266847,3807872.5732716466,10722441.618680656,39129208.28351211,7573227.528413809,4.663973923630209,0.163325724623877,36558238.58406014,15.219630278743834,4.827299648254086,9.600699046672679
Antigua and Barbuda,Chickens,output_value_meatlive_2010usd,20.0,706387.502544394,310744.8044001637,292293.8965235476,417725.46398007934,685451.3796884404,895428.4570648039,1328192.1594706115,477702.9930847246,1.3454820025969059,0.823016579038187,1035898.2629470639,4.544029742898208,2.168498581635093,1.5112643925494949
Antigua and Barbuda,Goats,output_value_meatlive_2010usd,20.0,2479360.8616166823,842171.3627520256,1202789.786938535,1778670.1905830593,2625309.808929783,3017637.70569596,3835125.889559452,1238967.5151129009,0.976471187397859,1.1481495718324952,2632336.102620917,3.1885254856719487,2.1246207592303543,1.0026763674394674
Antigua and Barbuda,Pigs,output_value_meatlive_2010usd,20.0,790073.4309779141,335491.62600151764,575642.3504027008,622300.3058713359,666765.2878527883,791843.2473839863,1764295.6145211672,169542.94151265034,6.473465169804709,0.5374622891233041,1188653.2641184665,3.0649162857578545,7.0109274589280135,1.782716175802036
Antigua and Barbuda,Sheep,output_value_meatlive_2010usd,20.0,1093131.0763693748,823373.0842982937,310569.67147891584,539152.8833212655,911982.6613650203,1228098.900723981,3349056.2974529406,688946.0174027155,3.5373941855060567,0.8729464641560667,3038486.6259740246,10.783590945970085,4.410340649662123,3.331737273849193
Argentina,Cattle,output_value_meatlive_2010usd,20.0,41011596606.07861,6847315633.0560665,32374596178.554935,36414760902.11806,40150716368.64996,42633055896.43346,56664319887.1942,6218294994.315399,2.6556481372531433,1.250522884038752,24289723708.639263,1.7502710944925661,3.9061710212918954,0.6049636446239075
Argentina,Chickens,output_value_meatlive_2010usd,20.0,3731369704.6743293,1748479718.5397444,1597491234.2746065,2219933353.0943527,3505358877.4971046,4941526350.207567,7098566496.487696,2721592997.1132145,1.3202589890560035,0.7010113728416291,5501075262.213089,4.443571485205071,2.021270361897632,1.5693329711624178
Argentina,Goats,output_value_meatlive_2010usd,20.0,227651506.79137906,74579654.94060974,132991807.4820564,168997899.41180474,212159908.1529983,283509541.1502327,400005878.3010926,114511641.73842794,1.6404093705789284,0.6913541668696083,267014070.81903625,3.0077482656596155,2.331763537448537,1.258551029473863
Argentina,Horses,output_value_meatlive_2010usd,20.0,2113289132.9546604,989421471.4145936,1273308617.2511237,1503780473.232708,1581609232.6535516,2773615447.88471,4475393704.408664,1269834974.6520019,2.2788665689005403,0.24278793824128025,3202085087.1575403,3.5147753213752266,2.521654507141821,2.024574098992346
Argentina,Pigs,output_value_meatlive_2010usd,20.0,1500848593.934732,888871375.6735214,509303173.50888276,768857413.3296375,1277853734.0962887,2138556570.5778341,3419316088.3863387,1369699157.2481966,1.5634545315720056,0.5611090264021682,2910012914.8774557,6.713714475463998,2.1245635579741737,2.277266041669039
Argentina,Sheep,output_value_meatlive_2010usd,20.0,1293137106.1014907,512522057.09691024,712490704.5780505,960823251.8196809,1145859405.4028318,1419419435.4460595,2542347801.703965,458596183.62637854,3.0451374131775637,0.9449897672455333,1829857097.1259146,3.5682539931655506,3.9901271804230967,1.5969298576229956
Argentina,Turkeys,output_value_meatlive_2010usd,20.0,151669134.81915537,18747449.862590875,103997840.93997109,145904461.41876006,154893652.79109976,162519861.6114697,181608276.79231334,16615400.192709625,1.6078230852925959,3.0631709896136194,77610435.85234225,1.7462696835902585,4.670994074906216,0.50105626960075
Armenia,Cattle,output_value_meatlive_2010usd,20.0,597212517.562162,189080957.93106318,290432914.6108493,448792159.53165317,562434945.0041606,790846960.5446754,870134987.8586545,342054801.0130222,0.8995635843824322,0.7952001538576741,579702073.2478051,2.995993030006765,1.6947637382401062,1.0307006675118964
Armenia,Chickens,output_value_meatlive_2010usd,20.0,34497015.58896277,12598927.288373692,18238318.503355063,25807963.90843898,29839904.20872424,41123963.81404835,69831029.70083615,15315999.90560937,2.6110685386897567,0.7574814427310218,51592711.19748109,3.82880854328705,3.3685499814207787,1.728983807608773
Armenia,Goats,output_value_meatlive_2010usd,20.0,2310327.3982687118,1314837.8798212467,1052082.9864143769,1483602.8811088414,1674689.4546904233,2571794.137236428,5073977.14128414,1088191.2561275866,3.123796177788036,0.5721480160497154,4021894.154869763,4.822791744382117,3.6959441938377515,2.4015760913794226
Armenia,Pigs,output_value_meatlive_2010usd,20.0,110490396.62292501,39682186.76797148,52563046.98275436,81273702.10938321,101594761.46506394,143364726.97832406,182915377.24218792,62091024.868940845,1.309700008153709,0.7896747490608135,130352330.25943357,3.4799234013622047,2.0993747572145227,1.2830615317135095
Armenia,Sheep,output_value_meatlive_2010usd,20.0,97616691.46284494,30066914.90585016,56482713.765254974,71763554.40487131,95588030.31782857,129503228.5810698,140840439.66982865,57739674.17619848,0.7837316368275263,0.6772694357997197,84357725.90457368,2.4935140378553458,1.461001072627246,0.8825134865117074
Australia,Cattle,output_value_meatlive_2010usd,20.0,45457138120.426834,40200282289.04107,21127170935.721535,24396474515.708168,26538778636.02321,30016804471.6509,131529739985.08427,5620329955.942734,18.680568965181024,0.96286298895666,110402569049.36273,6.225620097705347,19.643431954137682,4.160047098004144
Australia,Chickens,output_value_meatlive_2010usd,20.0,1945954245.1732597,495215241.24642134,1383476429.4406624,1514289094.3965952,1927355594.8396273,2045875623.296755,2944590823.185871,531586528.90015984,1.9135835335234697,1.0231244319231305,1561114393.7452087,2.12839970419761,2.9367079654466,0.8099773585761724
Australia,Goats,output_value_meatlive_2010usd,20.0,393146127.13769984,285604476.5470865,118802700.77088872,188803324.60544592,218250641.59742755,632333628.56217,962532770.6692829,443530303.9567241,1.6780863053372697,0.22421904419915828,843730069.8983942,8.101943511583373,1.902305349536428,3.865876699023363
Australia,Horses,output_value_meatlive_2010usd,20.0,374097213.5692028,45086850.91152614,311217036.35438025,327447921.0246818,377449604.06569034,401777556.83101726,454981563.54324824,74329635.80633545,1.043082730548634,0.8910654141220047,143764527.188868,1.4619429863896156,1.9341481446706388,0.3808840323060654
Australia,Pigs,output_value_meatlive_2010usd,20.0,1352978800.2932906,217983486.13723552,1096756736.5441127,1142640213.8611748,1326885615.1683702,1413756539.8795938,1848405263.6834412,271116326.018419,1.9236010467316529,0.8488197003990942,751648527.1393285,1.6853375065721299,2.772420747130747,0.5664757523533411
Australia,Sheep,output_value_meatlive_2010usd,20.0,6972028461.544968,1358666624.3211305,4003257564.5479875,6052254624.551758,7063668672.090342,7998024970.2147,8763078026.928299,1945770345.662942,0.873386398670267,1.5728531963517225,4759820462.380312,2.1889868152707153,2.4462395950219897,0.6738453745979205
