iso3,year,incomegroup,flag
HTI,2001,L,
HND,2001,LM,
HKG,2001,H,
HUN,2001,UM,
ISL,2001,H,
IND,2001,L,
IDN,2001,L,
IRN,2001,LM,
IRQ,2001,LM,
IRL,2001,H,
IMN,2001,UM,
ISR,2001,H,
ITA,2001,H,
JAM,2001,LM,
JPN,2001,H,
JOR,2001,LM,
KAZ,2001,LM,
KEN,2001,L,
KIR,2001,LM,
PRK,2001,L,
KOR,2001,H,
XKX,2001,..,
KWT,2001,H,
KGZ,2001,L,
LAO,2001,L,
LVA,2001,UM,
LBN,2001,UM,
LSO,2001,L,
LBR,2001,L,
LBY,2001,UM,
LIE,2001,H,
LTU,2001,UM,
LUX,2001,H,
MAC,2001,H,
MDG,2001,L,
MWI,2001,L,
MYS,2001,UM,
MDV,2001,LM,
MLI,2001,L,
MLT,2001,UM,
MHL,2001,LM,
MRT,2001,L,
MUS,2001,UM,
MEX,2001,UM,
FSM,2001,LM,
MDA,2001,L,
MCO,2001,H,
MNG,2001,L,
MNE,2001,..,
MAR,2001,LM,
MOZ,2001,L,
MMR,2001,L,
NAM,2001,LM,
NRU,2001,..,
NPL,2001,L,
NLD,2001,H,
NCL,2001,H,
NZL,2001,H,
NIC,2001,L,
NER,2001,L,
NGA,2001,L,
MKD,2001,LM,
MNP,2001,H,
NOR,2001,H,
OMN,2001,UM,
PAK,2001,L,
PLW,2001,UM,
PAN,2001,UM,
PNG,2001,L,
PRY,2001,LM,
PER,2001,LM,
PHL,2001,LM,
POL,2001,UM,
PRT,2001,H,
PRI,2001,UM,
QAT,2001,H,
ROU,2001,LM,
RUS,2001,LM,
RWA,2001,L,
WSM,2001,LM,
SMR,2001,H,
STP,2001,L,
SAU,2001,UM,
SEN,2001,L,
SRB,2001,..,
SYC,2001,UM,
SLE,2001,L,
SGP,2001,H,
SXM,2001,..,
SVK,2001,UM,
SVN,2001,H,
SLB,2001,L,
SOM,2001,L,
ZAF,2001,LM,
SSD,2001,..,
ESP,2001,H,
LKA,2001,LM,
KNA,2001,UM,
LCA,2001,UM,
MAF,2001,..,
VCT,2001,LM,
SDN,2001,L,
SUR,2001,LM,
SWE,2001,H,
CHE,2001,H,
SYR,2001,LM,
TWN,2001,H,
TJK,2001,L,
TZA,2001,L,
THA,2001,LM,
TLS,2001,L,
TGO,2001,L,
TON,2001,LM,
TTO,2001,UM,
TUN,2001,LM,
TUR,2001,LM,
TKM,2001,LM,
TCA,2001,..,
TUV,2001,..,
UGA,2001,L,
UKR,2001,L,
ARE,2001,H,
GBR,2001,H,
USA,2001,H,
URY,2001,UM,
UZB,2001,L,
VUT,2001,LM,
VEN,2001,UM,
VNM,2001,L,
VIR,2001,H,
PSE,2001,LM,
YEM,2001,L,
ZMB,2001,L,
ZWE,2001,L,
AFG,2002,L,
ALB,2002,LM,
DZA,2002,LM,
ASM,2002,UM,
AND,2002,H,
AGO,2002,L,
