Expert,AHLE,Production system,Age class,Cause,min,avg,max
FS_1n7ul98Wd3jq5xD,Mortality,Pastoral,Juvenile,Infectious,50,65,75
FS_1n7ul98Wd3jq5xD,Mortality,Pastoral,Juvenile,Non-infectious,5,10,20
FS_1n7ul98Wd3jq5xD,Mortality,Pastoral,Juvenile,External,10,25,35
FS_1n7ul98Wd3jq5xD,Mortality,Pastoral,Sub-adult,Infectious,30,50,70
FS_1n7ul98Wd3jq5xD,Mortality,Pastoral,Sub-adult,Non-infectious,5,15,20
FS_1n7ul98Wd3jq5xD,Mortality,Pastoral,Sub-adult,External,10,35,55
FS_1n7ul98Wd3jq5xD,Mortality,Pastoral,Adult,Infectious,25,45,70
FS_1n7ul98Wd3jq5xD,Mortality,Pastoral,Adult,Non-infectious,10,20,45
FS_1n7ul98Wd3jq5xD,Mortality,Pastoral,Adult,External,5,35,50
FS_1n7ul98Wd3jq5xD,Mortality,Crop livestock mixed,Juvenile,Infectious,50,70,80
FS_1n7ul98Wd3jq5xD,Mortality,Crop livestock mixed,Juvenile,Non-infectious,5,15,25
FS_1n7ul98Wd3jq5xD,Mortality,Crop livestock mixed,Juvenile,External,5,15,25
FS_1n7ul98Wd3jq5xD,Mortality,Crop livestock mixed,Sub-adult,Infectious,45,50,70
FS_1n7ul98Wd3jq5xD,Mortality,Crop livestock mixed,Sub-adult,Non-infectious,10,25,30
FS_1n7ul98Wd3jq5xD,Mortality,Crop livestock mixed,Sub-adult,External,5,25,45
FS_1n7ul98Wd3jq5xD,Mortality,Crop livestock mixed,Adult,Infectious,30,45,65
FS_1n7ul98Wd3jq5xD,Mortality,Crop livestock mixed,Adult,Non-infectious,15,35,45
FS_1n7ul98Wd3jq5xD,Mortality,Crop livestock mixed,Adult,External,10,20,30
FS_1n7ul98Wd3jq5xD,Mortality,Crop livestock mixed,Oxen,Infectious,20,35,50
FS_1n7ul98Wd3jq5xD,Mortality,Crop livestock mixed,Oxen,Non-infectious,25,30,40
FS_1n7ul98Wd3jq5xD,Mortality,Crop livestock mixed,Oxen,External,20,35,40
