region,species,production_system,group,year,ahle_total_mean,ahle_dueto_mortality_mean,ahle_dueto_healthcost_mean,ahle_dueto_productionloss_mean,ahle_dueto_ppr_total_mean,ahle_dueto_ppr_mortality_mean,ahle_dueto_ppr_healthcost_mean,ahle_dueto_ppr_productionloss_mean,ahle_dueto_bruc_total_mean,ahle_dueto_bruc_mortality_mean,ahle_dueto_bruc_healthcost_mean,ahle_dueto_bruc_productionloss_mean,ahle_when_af_repro_imp25_mean,ahle_when_af_repro_imp50_mean,ahle_when_af_repro_imp75_mean,ahle_when_af_repro_imp100_mean,ahle_when_af_ideal_mean,ahle_when_am_ideal_mean,ahle_when_jf_ideal_mean,ahle_when_jm_ideal_mean,ahle_when_nf_ideal_mean,ahle_when_nm_ideal_mean,ahle_when_af_mort_imp25_mean,ahle_when_am_mort_imp25_mean,ahle_when_j_mort_imp25_mean,ahle_when_n_mort_imp25_mean,ahle_when_af_mort_imp50_mean,ahle_when_am_mort_imp50_mean,ahle_when_j_mort_imp50_mean,ahle_when_n_mort_imp50_mean,ahle_when_af_mort_imp75_mean,ahle_when_am_mort_imp75_mean,ahle_when_j_mort_imp75_mean,ahle_when_n_mort_imp75_mean,ahle_when_af_mort_imp100_mean,ahle_when_am_mort_imp100_mean,ahle_when_j_mort_imp100_mean,ahle_when_n_mort_imp100_mean,ahle_when_all_growth_imp25_mean,ahle_when_af_growth_imp25_mean,ahle_when_am_growth_imp25_mean,ahle_when_jf_growth_imp25_mean,ahle_when_jm_growth_imp25_mean,ahle_when_nf_growth_imp25_mean,ahle_when_nm_growth_imp25_mean,ahle_when_all_growth_imp50_mean,ahle_when_af_growth_imp50_mean,ahle_when_am_growth_imp50_mean,ahle_when_jf_growth_imp50_mean,ahle_when_jm_growth_imp50_mean,ahle_when_nf_growth_imp50_mean,ahle_when_nm_growth_imp50_mean,ahle_when_all_growth_imp75_mean,ahle_when_af_growth_imp75_mean,ahle_when_am_growth_imp75_mean,ahle_when_jf_growth_imp75_mean,ahle_when_jm_growth_imp75_mean,ahle_when_nf_growth_imp75_mean,ahle_when_nm_growth_imp75_mean,ahle_when_all_growth_imp100_mean,ahle_when_af_growth_imp100_mean,ahle_when_am_growth_imp100_mean,ahle_when_jf_growth_imp100_mean,ahle_when_jm_growth_imp100_mean,ahle_when_nf_growth_imp100_mean,ahle_when_nm_growth_imp100_mean,ahle_when_a_ideal_mean,ahle_when_j_ideal_mean,ahle_when_n_ideal_mean,ahle_when_a_mort_imp100_mean,ahle_total_stdev,ahle_dueto_mortality_stdev,ahle_dueto_healthcost_stdev,ahle_dueto_productionloss_stdev,ahle_dueto_ppr_total_stdev,ahle_dueto_ppr_mortality_stdev,ahle_dueto_ppr_healthcost_stdev,ahle_dueto_ppr_productionloss_stdev,ahle_dueto_bruc_total_stdev,ahle_dueto_bruc_mortality_stdev,ahle_dueto_bruc_healthcost_stdev,ahle_dueto_bruc_productionloss_stdev,ahle_total_mean_usd,ahle_dueto_mortality_mean_usd,ahle_dueto_healthcost_mean_usd,ahle_dueto_productionloss_mean_usd,ahle_dueto_ppr_total_mean_usd,ahle_dueto_ppr_mortality_mean_usd,ahle_dueto_ppr_healthcost_mean_usd,ahle_dueto_ppr_productionloss_mean_usd,ahle_dueto_bruc_total_mean_usd,ahle_dueto_bruc_mortality_mean_usd,ahle_dueto_bruc_healthcost_mean_usd,ahle_dueto_bruc_productionloss_mean_usd,ahle_when_af_repro_imp25_mean_usd,ahle_when_af_repro_imp50_mean_usd,ahle_when_af_repro_imp75_mean_usd,ahle_when_af_repro_imp100_mean_usd,ahle_when_af_ideal_mean_usd,ahle_when_am_ideal_mean_usd,ahle_when_jf_ideal_mean_usd,ahle_when_jm_ideal_mean_usd,ahle_when_nf_ideal_mean_usd,ahle_when_nm_ideal_mean_usd,ahle_when_af_mort_imp25_mean_usd,ahle_when_am_mort_imp25_mean_usd,ahle_when_j_mort_imp25_mean_usd,ahle_when_n_mort_imp25_mean_usd,ahle_when_af_mort_imp50_mean_usd,ahle_when_am_mort_imp50_mean_usd,ahle_when_j_mort_imp50_mean_usd,ahle_when_n_mort_imp50_mean_usd,ahle_when_af_mort_imp75_mean_usd,ahle_when_am_mort_imp75_mean_usd,ahle_when_j_mort_imp75_mean_usd,ahle_when_n_mort_imp75_mean_usd,ahle_when_af_mort_imp100_mean_usd,ahle_when_am_mort_imp100_mean_usd,ahle_when_j_mort_imp100_mean_usd,ahle_when_n_mort_imp100_mean_usd,ahle_when_all_growth_imp25_mean_usd,ahle_when_af_growth_imp25_mean_usd,ahle_when_am_growth_imp25_mean_usd,ahle_when_jf_growth_imp25_mean_usd,ahle_when_jm_growth_imp25_mean_usd,ahle_when_nf_growth_imp25_mean_usd,ahle_when_nm_growth_imp25_mean_usd,ahle_when_all_growth_imp50_mean_usd,ahle_when_af_growth_imp50_mean_usd,ahle_when_am_growth_imp50_mean_usd,ahle_when_jf_growth_imp50_mean_usd,ahle_when_jm_growth_imp50_mean_usd,ahle_when_nf_growth_imp50_mean_usd,ahle_when_nm_growth_imp50_mean_usd,ahle_when_all_growth_imp75_mean_usd,ahle_when_af_growth_imp75_mean_usd,ahle_when_am_growth_imp75_mean_usd,ahle_when_jf_growth_imp75_mean_usd,ahle_when_jm_growth_imp75_mean_usd,ahle_when_nf_growth_imp75_mean_usd,ahle_when_nm_growth_imp75_mean_usd,ahle_when_all_growth_imp100_mean_usd,ahle_when_af_growth_imp100_mean_usd,ahle_when_am_growth_imp100_mean_usd,ahle_when_jf_growth_imp100_mean_usd,ahle_when_jm_growth_imp100_mean_usd,ahle_when_nf_growth_imp100_mean_usd,ahle_when_nm_growth_imp100_mean_usd,ahle_when_a_ideal_mean_usd,ahle_when_j_ideal_mean_usd,ahle_when_n_ideal_mean_usd,ahle_when_a_mort_imp100_mean_usd,ahle_total_stdev_usd,ahle_dueto_mortality_stdev_usd,ahle_dueto_healthcost_stdev_usd,ahle_dueto_productionloss_stdev_usd,ahle_dueto_ppr_total_stdev_usd,ahle_dueto_ppr_mortality_stdev_usd,ahle_dueto_ppr_healthcost_stdev_usd,ahle_dueto_ppr_productionloss_stdev_usd,ahle_dueto_bruc_total_stdev_usd,ahle_dueto_bruc_mortality_stdev_usd,ahle_dueto_bruc_healthcost_stdev_usd,ahle_dueto_bruc_productionloss_stdev_usd
National,All Small Ruminants,Pastoral,Overall,2017,77926904093.25911,16864516509.183136,98606210.88396145,60963781373.19201,8578291276.8992,2510947204.903036,20139757.60529173,6047204314.390873,2561773839.893265,7376118.014357329,0.0,2554397721.878907,10275105358.102936,20150378322.62069,29903626014.64225,38937212697.08119,47500075684.00731,4824588790.41066,3775337200.4042892,4866252552.902908,5828029697.411049,6879630122.108818,4387536747.322403,3493314156.2637634,3865023926.3916626,4326964475.235847,5807026505.383606,4128797897.1119385,4759264962.640717,5663756390.8738785,7401711281.657387,4576107719.0718155,5448646949.701576,6954377281.241524,5680863766.950165,2124856581.4651718,3453388961.142708,5935914489.164658,1196172010.1281242,663530422.4520874,853633478.412384,428540492.7682495,431900843.75091934,287589184.1715927,395793964.1587715,2137536380.783432,612787059.6475945,1555985945.399414,499258683.75862885,609620750.2928925,191897759.17914963,671734531.1676102,3034869085.350708,803730834.9795456,1952866282.6528854,476669396.7025261,827229620.2333183,246017214.75165558,727243638.8921432,3859106858.228096,1232090577.1428146,2646077322.804039,301504157.22021484,1112084396.4475594,176503749.38024902,745563142.740982,,,,,3459716449.7627892,2611230542.162999,1007829.1282837108,4334531563.249212,5021475957.174149,127864134.77443127,871019.6283041635,5023103700.314661,5077420657.675472,403974.051218654,0.0,5077420673.746136,3265170662.112644,706630465.7836708,4131642.4747875286,2554408553.854186,359434079.0809241,105209763.46951203,843864.4706860229,253380451.1407261,107339421.24759331,309062.504420004,0.0,107030358.7431733,430531315.92707926,844309483.2915744,1252974739.4679894,1631485891.070413,1990273518.192635,202152336.96893525,158188245.89245936,203898066.46436232,244196940.80409253,288259449.0602799,183839669.14884138,146371359.53617203,161946158.12934804,181301665.00180337,243316898.0612594,172998400.4921921,199415240.6033969,237313818.89241624,310134873.2829547,191740873.64100748,228300641.16346803,291391387.0464765,238030625.27809235,89032400.96249637,144698476.75832704,248717359.7918717,50120119.61410019,27802208.929241635,35767608.40612414,17956030.215695735,18096830.361302495,12050110.007889086,16583936.639724338,89563689.9854237,25676040.291412987,65196477.63110939,20919152.7108885,25543370.573137343,8040598.310527745,28145964.59871683,127162314.68634662,33676666.27009659,81825933.76885815,19972651.906938203,34661275.43812001,10308226.681512149,30471819.99013965,161698230.43867168,51625122.9580177,110871773.29361776,12633153.339215005,46596812.581290804,7395582.70580808,31239415.048710216,,,,,144963601.2419382,109411678.25786437,42228.47218665769,181618729.2309853,210401993.594499,5357562.018661086,36496.09553408437,210470196.7293431,212746100.50985894,16926.68579153834,0.0,212746101.18322664
National,All Small Ruminants,Pastoral,Overall,2018,81823249297.92209,17707742334.642296,103536521.42815952,64011970441.85163,9007205840.744186,2636494565.1481886,21146745.48555632,6349564530.110441,2689862531.887924,7744923.915075197,0.0,2682117607.972849,10788860626.008095,21157897238.75174,31398807315.374374,40884073331.93525,49875079468.20768,5065818229.931198,3964104060.424507,5109565180.548058,6119431182.281616,7223611628.214256,4606913584.688515,3667979864.0769577,4058275122.7112503,4543312698.9976425,6097377830.652794,4335237791.967537,4997228210.7727585,5946944210.41758,7771796845.740257,4804913105.0254135,5721079297.186661,7302096145.303604,5964906955.297676,2231099410.5384293,3626058409.1998444,6232710213.622894,1255980610.6345444,696706943.5746994,896315152.3330078,449967517.406662,453495885.93847656,301968643.3801727,415583662.3667145,2244413199.8226166,643426412.6299744,1633785242.6693954,524221617.9465561,640101787.8075485,201492647.1381073,705321257.7260056,3186612539.6182632,843917376.7285309,2050509596.7855377,500502866.5376587,868591101.2449951,258318075.48924255,763605820.8367538,4052062201.139511,1293695105.9999695,2778381188.9442444,316579365.08123016,1167688616.2699509,185328936.84925842,782841299.8780441,,,,,3632702272.250929,2741792069.271149,1058220.5846978964,4551258141.411674,5272549755.032857,134257341.51315284,914570.6097193717,5274258885.330395,5331291690.559247,424172.7537795868,0.0,5331291707.433443,2983050642.310868,645575586.3825308,3774656.829189838,2333700399.0991473,328377953.6892638,96119341.06134482,770952.1834532572,231487660.44446573,98064990.35818638,282358.62615762174,0.0,97782631.73202875,393332187.3228663,771358745.705648,1144714162.9500325,1490520875.9072251,1818308232.9232407,184685800.84866083,144520332.1195501,186280694.35700354,223097631.48633486,263353013.87127897,167955399.54467115,133724458.30987021,147953550.06496236,165636686.16504353,222293626.93621078,158050847.29417518,182185197.38372493,216809230.85907772,283338339.3047898,175173917.52563855,208574817.2875051,266214343.5193156,217464103.1369695,81339748.6261289,132196117.35579184,227227473.4334883,45789598.91511569,25400019.106619954,32677185.44328015,16404578.20162682,16533212.814716015,11008946.275320323,15151037.408000039,81825132.7683692,23457557.47840199,59563316.775623634,19111678.496596064,23336350.80062915,7345867.7774791345,25714073.309827622,116175129.49764423,30766906.647048514,74755940.66772209,18246958.050607614,31666442.78620926,9417566.616096986,27838968.188925773,147727044.03099,47164565.695212975,101292137.15392059,11541613.006707042,42570715.61776298,6756583.353149851,28540240.854111113,,,,,132438334.33094276,99958198.47660157,38579.81224133331,165926355.144215,192222663.7089343,4894653.44229407,33342.729214144,192284973.89919943,194364233.1284591,15464.172059530998,0.0,194364233.74364588
National,All Small Ruminants,Pastoral,Overall,2019,85914411762.81818,18593129451.374405,108713347.4995675,67212568963.94421,9457566132.781387,2768319293.405598,22204082.759834137,6667042756.615955,2824355658.482315,8132170.110828956,0.0,2816223488.371486,11328303657.308495,22215792100.689316,32968747681.14308,42928276998.53201,52368833441.61806,5319109141.42775,4162309263.4457245,5365043439.575455,6425402741.395683,7584792209.6249695,4837259263.922943,3851378857.280792,4261188878.8468018,4770478333.947517,6402246722.185417,4551999681.56591,5247089621.311386,6244291420.938446,8160386688.02726,5045158760.27668,6007133262.04599,7667200952.568779,6263152303.062553,2342654381.065346,3807361329.659836,6544345724.304031,1318779641.1662521,731542290.753418,941130909.9496536,472465893.2769928,476170680.2353897,317067075.5491791,436362845.48503876,2356633859.8137436,675597733.261467,1715474504.8028564,550432698.8438797,672106877.1979141,211567279.49500275,740587320.6122894,3345943166.599167,886113245.564949,2153035076.6248016,525528009.8645401,912020656.3072281,271233979.26369476,801786111.8785858,4254665311.196472,1358379861.2999496,2917300248.391449,332408333.335289,1226073047.0834274,194595383.69171906,821983364.871933,,,,,3814337385.8634753,2878881672.734707,1111131.6139327914,4778821048.482257,5536177242.784499,140970208.5888105,960299.1402053402,5537971829.596914,5597856275.087209,445381.3914685662,0.0,5597856292.805115,2955457537.915468,639604036.8897017,3739741.3978299606,2312113759.6279364,325340470.17196184,95230240.83129708,763820.9052308375,229346408.43543392,97157892.9465274,279746.8196606079,0.0,96878146.1268668,389693879.62774,764223706.7979366,1134125600.7066824,1476733614.7896702,1801488951.285032,182977464.25159314,143183524.57264766,184557605.0559587,221033986.92440367,260917008.5613041,166401818.52004036,132487512.18296656,146584985.38332123,164104553.1505265,220237419.38562998,156588882.99919713,180499991.27310646,214803753.7625348,280717470.49862003,173553565.4856571,206645508.20168698,263751871.0194886,215452568.49689293,80587359.06106333,130973308.32428335,225125627.99143547,45366046.875747204,25165069.900959518,32374922.727221724,16252836.480430441,16380281.228266144,10907113.943160126,15010890.89121987,81068253.41854483,23240575.968540046,59012358.372633286,18934896.20116718,23120490.447902516,7277918.7813793635,25476219.114794225,115100513.99131975,30482313.936822608,74064451.07456382,18078174.38624481,31373529.40108629,9330454.48494379,27581458.797498632,146360574.52150336,46728295.26569543,100355188.7577791,11434853.52764606,42176938.12583278,6694085.215446265,28276244.717341326,,,,,131213284.80167444,99033588.9622273,38222.9504530583,164391542.70271528,190444611.41855362,4849378.085081932,33034.31024364985,190506345.241941,192566371.40282282,15321.129059196113,0.0,192566372.01231915
National,All Small Ruminants,Pastoral,Overall,2020,90210132350.95908,19522785923.94314,114149014.87454587,70573197412.14139,9930444439.42044,2906735258.075878,23314286.897825845,7000394894.446736,2965573441.406433,8538778.616370404,0.0,2957034662.790063,11894718840.173927,23326581705.723785,34617185065.20025,45074690848.45861,54987275113.69898,5585064598.4991455,4370424726.618019,5633295611.55423,6746672878.465469,7964031820.106224,5079122227.119095,4043947800.144844,4474248322.789154,5009002250.644913,6722359058.294701,4779599665.644218,5509444102.376968,6556505991.985374,8568406022.428642,5297416698.29052,6307489925.1483,8050561000.1972275,6576309918.215698,2459787100.118622,3997729396.1428375,6871563010.519241,1384718623.2245789,768119405.2911072,988187455.4471436,496089187.9408493,499979214.2471695,332920429.3266525,458180987.75930786,2474465552.804428,709377619.9245529,1801248230.043007,577954333.786087,705712221.0578232,222145643.46977234,777616686.6429138,3513240324.9291306,930418907.8432083,2260686830.456047,551804410.3577728,957621689.1225967,284795678.22689056,841875417.4725266,4467398576.7563095,1426298854.3649597,3063165260.811035,349028750.00205994,1287376699.4376144,204325152.8763199,863082533.1155396,,,,,4005054255.156649,3022825756.3714423,1166688.194629431,5017762100.90637,5812986104.923724,148018719.01825103,1008314.0972156073,5814870421.07676,5877749088.84157,467650.46104199445,0.0,5877749107.445372,2582807144.736787,558957066.744521,3268201.5146107743,2020581876.477655,284318647.8073505,83222764.41418932,667511.5666594814,200428371.8265017,84907360.9925234,244473.85058572865,0.0,84662887.14193769,340557806.5833518,667863579.419627,991124950.0137136,1290533896.0957975,1574341189.0888236,159906036.8595804,125129671.30485903,161286939.4463533,193164054.40920806,228018269.67569888,145420396.08320284,115782307.36345518,128102245.65980867,143412790.37964723,192467925.1960439,136844762.8186658,157740945.7264354,187719384.50026387,245322113.12623274,151670387.13303974,180589803.157019,230495687.44178513,188286390.89775506,70426187.515179,114459027.80534194,196739784.9504367,39645891.87831411,21992033.89125447,28292804.297620706,14203534.18899151,14314909.568622809,9531847.931986488,13118184.154340368,70846446.43158416,20310197.28393108,51571554.95460382,16547415.946878668,20205253.21462777,6360254.0000017965,22263950.642641,100587616.66707474,26638832.469799474,64725745.8286188,15798717.24414085,27417675.555538163,8153987.732252248,24103742.967218798,127906130.51695049,40836375.8657599,87701513.2884699,9993045.412201816,36858894.34613808,5850035.366817469,24710924.09393456,,,,,114668745.91241066,86546552.55882172,33403.460633953066,143663593.7345752,166431659.64596927,4237925.331356209,28869.05036670868,166485609.51940554,168285889.24544182,13389.30473263932,0.0,168285889.77808744
National,All Small Ruminants,Pastoral,Overall,2021,94720638968.50702,20498925220.14028,119856465.61827318,74101857282.74846,10426966661.391449,3052072020.9796724,24480001.242717136,7350414639.16906,3113852113.4767303,8965717.547188925,0.0,3104886395.9295416,12489454782.18261,24492910791.00997,36348044318.46024,47328425390.88154,57736638869.383934,5864317828.424088,4588945962.948914,5914960392.131935,7084006522.388741,8362233411.1115265,5333078338.475044,4246145190.1520767,4697960738.9285965,5259452363.177139,7058477011.209427,5018579648.926407,5784916307.495804,6884331291.584633,8996826323.550056,5562287533.205032,6622864421.405693,8453089050.207069,6905125414.126472,2582776455.124542,4197615865.9499664,7215141161.045197,1453954554.3857956,806525375.5556488,1037596828.21949,520893647.337883,524978174.9595108,349566450.7929611,481090037.14725494,2598188830.4446335,744846500.9207687,1891310641.5451431,606852050.4753723,740997832.1107025,233252925.64324188,816497520.9750443,3688902341.1755753,976939853.2353516,2373721171.9788513,579394630.8756485,1005502773.5787201,299035462.13822174,883969188.3461456,4690768505.594109,1497613797.0831985,3216323523.85157,366480187.5021515,1351745534.4094772,214541410.5201187,906236659.7713089,,,,,4205306967.9144816,3173967044.1900144,1225022.6043609027,5268650205.951688,6103635410.169911,155419654.9691636,1058729.8020763877,6105613942.130599,6171636543.283648,491032.98409409425,0.0,6171636562.817638,2711947501.973626,586904920.0817467,3431611.5903413133,2121610970.3015378,298534580.19771767,87383902.63489881,700887.1449924554,210449790.4178264,89152729.04214887,256697.54311501508,0.0,88896031.49903387,357585696.912519,701256758.3906083,1040681197.5143987,1355060590.9005873,1653058248.5432646,167901338.70255896,131386154.8701018,169351286.41867077,202822257.12966838,239419183.15948355,152691415.88736284,121571422.73162767,134507357.94279867,150583429.89862904,202091321.45584586,143687000.95959845,165627993.01275676,197105353.72527677,257588218.78254387,159253906.48969135,189619293.3148693,242020471.81387383,197700710.4426425,73947496.89093764,120181979.19560868,206576774.19795835,41628186.472229466,23091635.5858168,29707444.512501437,14913710.898440834,15030655.047053458,10008440.328585126,13774093.36205686,74388768.75316292,21325707.148127295,54150132.70233361,17374786.744222056,21215515.87535882,6678266.70000134,23377148.174772613,105616997.50042814,27970774.093288954,67962033.1200498,16588653.106347522,28788559.333314884,8561687.118864479,25308930.11557953,134301437.04279754,42878194.65904763,92086588.9528929,10492697.682811579,38701839.06344447,6142537.135157851,25946470.29863107,,,,,120402183.2080312,90873880.18676281,35073.63366565073,150846773.42130393,174753242.62826774,4449821.59792402,30312.502885044116,174809889.99537584,176700183.70771387,14058.769969271289,0.0,176700184.26699176
National,Cattle,Crop livestock mixed,Overall,2017,614401699789.9669,109274992491.60156,909145111.96323,504217562186.4021,,,,,,,,,,,,,414087415547.42786,20398730869.170914,15038796664.268219,6288451101.9435425,8969353614.241302,9253512758.072754,,,,,,,,,,,,,13048327358.488281,16917824237.317047,6520490225.539917,11511787070.601715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76419579647.81993,42426590395.65915,2786831.8380204435,87406908959.85834,,,,,,,,,25743694405.022255,4578668994.204548,38093569.63075142,21126931841.186954,,,,,,,,,,,,,17350440089.053482,854715561.3758044,630132022.2202147,263488794.87915054,375819758.5302003,387726148.37855256,,,,,,,,,,,,,546730505.674781,708864082.4272681,273211333.5536306,482348809.423161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3202013122.174407,1777692311.3433373,116769.44777449383,3662386926.8581405,,,,,,,,
National,Cattle,Crop livestock mixed,Overall,2018,581104877802.5868,182154391266.23438,851982075.6524035,398098504460.7,,,,,,,,,,,,,354584960058.4818,33241310802.920822,16073154664.203857,10025277964.234924,5634337171.630722,6846103046.959015,,,,,,,,,,,,,18594909020.98253,31111324361.00145,178301353.6618042,7640754063.777191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75396271360.52513,53490314248.01025,2619320.812173145,92443558241.13258,,,,,,,,,21185485712.836468,6640848151.703561,31060923.3905942,14513576637.742313,,,,,,,,,,,,,12927192478.08079,1211886772.9251416,585983015.2972531,365494063.4497076,205412437.9445275,249590089.20800835,,,,,,,,,,,,,677919243.9154667,1134233325.0579424,6500376.997118953,278560879.8631363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2748740701.936053,1950109750.517929,95493.23325845666,3370237898.8231616,,,,,,,,
National,Cattle,Crop livestock mixed,Overall,2019,612379588001.9535,133550215247.12515,900306574.6525675,477929066180.1758,,,,,,,,,,,,,417367507958.6159,30290358635.388824,33178112564.08258,26514179511.686005,27504780499.36183,27630768839.337738,,,,,,,,,,,,,18773905633.35379,22532528897.41153,9531148537.474274,9342014760.719772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71435602246.39839,43213520095.301285,2835754.3392985384,83489242393.10207,,,,,,,,,21065870466.789482,4594130160.979202,30970564.750387173,16440769741.059893,,,,,,,,,,,,,14357450888.24692,1041988962.2507529,1141327757.001095,912088322.454992,946165016.8770572,950499018.3726293,,,,,,,,,,,,,645822741.2810152,775119459.1426321,327871706.4121389,321365500.58806056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2457386191.70782,1486545983.205954,97550.00780187441,2872031661.541708,,,,,,,,
National,Cattle,Crop livestock mixed,Overall,2020,614125040915.7123,77933924565.29341,803233411.929711,535387882938.4892,,,,,,,,,,,,,445782955625.93945,37556968411.26167,43501837719.66315,37342515305.73988,36810101832.79939,37238913521.282394,,,,,,,,,,,,,31373826069.025635,24110300092.905685,39645443500.69704,35995387000.7881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77621422698.3994,41207416370.11127,2674478.5295860213,87881377053.25368,,,,,,,,,17583019801.67763,2231326924.5799704,22997383.34439222,15328695493.75327,,,,,,,,,,,,,12763215980.142807,1075293914.5447245,1245501523.4253972,1069153905.6708013,1053910370.5375751,1066187682.0091037,,,,,,,,,,,,,898264308.199379,690302227.9075813,1135089064.4023125,1030584262.54723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2222379680.7003436,1179809924.2644055,76573.01984422233,2516132529.984454,,,,,,,,
National,Cattle,Crop livestock mixed,Overall,2021,525257092286.539,70691157075.18555,788271028.781522,453777664182.57196,,,,,-159708602701.28406,15614705.301377563,0.0,-159724217406.58545,,,,,354290620162.2901,19233240191.460693,19802427980.112274,15080875170.6035,9968330850.426529,9113928469.082397,,,,,,,,,,,,,3360168675.652893,2539285317.9108887,13939405988.981964,11256341206.261902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76393987531.91592,49047338105.6866,2527364.3976769717,90783713917.57242,,,,,98648173644.74927,870638.9784925492,0.0,98648173648.59126,15038640731.657452,2023959180.6957211,22568995.212257743,12992112555.749474,,,,,-4572618500.635864,447064.7738156055,0.0,-4573065565.40968,,,,,10143698066.070528,550667080.1643634,566963501.075341,431780678.33867025,285403373.99591506,260940971.408693,,,,,,,,,,,,,96205020.84214902,72702301.73380008,399099263.502484,322280410.5643156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2187236972.9459524,1404274796.9468133,72360.99375486693,2599229363.9457636,,,,,2824396784.0956707,24927.2727523383,0.0,2824396784.205671
National,Cattle,Overall,Overall,2017,840856830160.5188,168678606143.47485,2162558700.859365,670015665316.1846,,,,,,,,,,,,,611334086564.1691,62359219917.96344,55730269989.15036,43882328355.22154,44155750607.860245,46903694993.915726,,,,,,,,,,,,,56277929649.644485,59619879049.33807,42163470940.43476,46214599217.37285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108934186437.68839,84041469499.80873,17241219.590991255,137584976897.14523,,,,,,,,,35232261371.39275,7067705852.225308,90612135.9151138,28073943383.252327,,,,,,,,,,,,,25615160096.824963,2612878026.6272354,2335122185.0468884,1838688355.4258585,1850144864.9340024,1965284911.813417,,,,,,,,,,,,,2358069359.415935,2498098470.813527,1766667493.4601376,1936411503.59665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4564389074.5586195,3521373571.8694777,722414.4862751724,5764869467.602331,,,,,,,,
National,Cattle,Overall,Overall,2018,783699121326.809,199170832074.729,1964416883.639627,582563872368.4403,,,,,,,,,,,,,532035258963.83386,33504025825.11656,23420252235.157257,14035787255.169601,10064901701.579636,11237995187.277023,,,,,,,,,,,,,27531391089.759155,30733234712.035492,4390857992.33342,11986544853.29509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79891652144.10165,54483180435.74816,16563756.68730889,96701051220.06932,,,,,,,,,28571514664.98617,7261220785.633095,71617237.1152256,21238676642.23785,,,,,,,,,,,,,19396542359.316914,1221464640.125847,853837987.0346043,511706202.65181345,366938635.9416473,409706398.23447466,,,,,,,,,,,,,1003718803.3805374,1120449216.2639687,160078606.83502147,436996460.4255576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2912629922.2853165,1986306921.1812007,603869.0158252186,3525454384.04497,,,,,,,,
National,Cattle,Overall,Overall,2019,812649389193.2952,149006165987.15118,2024930233.9604094,661618292972.1836,,,,,,,,,,,,,595086088392.7852,34542282421.19202,40865645733.09032,31190996959.140137,33271228558.235397,33312314407.696365,,,,,,,,,,,,,27001998207.181107,23705416170.93152,13652710489.003052,13725647752.487183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76264325111.11821,44428967437.7773,16937869.127068765,88262000425.62383,,,,,,,,,27955155761.34281,5125815185.447112,69657641.84282319,22759682934.052876,,,,,,,,,,,,,20470973723.296043,1188255228.2421424,1405779056.685741,1072970939.1769842,1144530949.1218672,1145944303.1913369,,,,,,,,,,,,,928869295.6486075,815466805.5601276,469653522.6138186,472162565.9830987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2623494357.919081,1528357396.8739772,582663.0475689941,3036214636.370241,,,,,,,,
National,Cattle,Overall,Overall,2020,850200801113.9292,104884755547.16367,1994402181.5803003,743321643385.1852,,,,,,,,,,,,,659573883694.5857,51890976263.89877,55911031623.22342,47368069920.95987,44663607181.10855,46078633221.18616,,,,,,,,,,,,,42087717781.77814,33309778684.67636,46703238953.45859,42152295623.64215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82679015489.39308,42663428761.78353,17627782.766905796,93037562665.54817,,,,,,,,,24342107104.276413,3002956418.9892864,57101747.55119367,21282048937.73593,,,,,,,,,,,,,18884266045.199467,1485691027.703496,1600789270.3699222,1356195653.8127854,1278764155.7634628,1319277779.5777192,,,,,,,,,,,,,1205013842.2315083,953692585.6806879,1337160872.15185,1206862771.0271027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2367183667.2960787,1221497028.6952686,504701.2135965262,2663759328.570807,,,,,,,,
