species,production_system,item,group,age_group,sex,year,mean_current,stdev_current,mean_ideal,stdev_ideal,mean_all_mort_25_imp,mean_all_mort_50_imp,mean_all_mort_75_imp,mean_mortality_zero,stdev_mortality_zero,mean_current_repro_25_imp,mean_current_repro_50_imp,mean_current_repro_75_imp,mean_current_repro_100_imp,mean_current_growth_25_imp_all,mean_current_growth_50_imp_all,mean_current_growth_75_imp_all,mean_current_growth_100_imp_all,mean_current_usd,stdev_current_usd,mean_ideal_usd,stdev_ideal_usd,mean_all_mort_25_imp_usd,mean_all_mort_50_imp_usd,mean_all_mort_75_imp_usd,mean_mortality_zero_usd,stdev_mortality_zero_usd,mean_current_repro_25_imp_usd,mean_current_repro_50_imp_usd,mean_current_repro_75_imp_usd,mean_current_repro_100_imp_usd,mean_current_growth_25_imp_all_usd,mean_current_growth_50_imp_all_usd,mean_current_growth_75_imp_all_usd,mean_current_growth_100_imp_all_usd
Sheep,Crop livestock mixed,Num Offtake,Neonatal Female,Neonatal,Female,2021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Num Offtake,Neonatal Male,Neonatal,Male,2021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Num Offtake,Juvenile Female,Juvenile,Female,2021.0,77306.3167624705,1291.2053876067,106994.928992458,9111.121248508,79388.1583124332,81965.4954546047,84574.3428513886,86514.6140530751,1649.3457939295,81018.7038614667,82286.3297245388,84122.2963070603,98674.2654827129,76430.7710906866,76303.9013711985,76594.0546014041,77414.4672949165,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Num Offtake,Juvenile Male,Juvenile,Male,2021.0,773550.143786819,22591.5026971858,1129688.97640921,111970.152403968,796424.537454433,827300.208909181,854020.81019717,874624.217272782,20379.2076283242,814173.01789493,838312.984980573,864598.156117458,1050913.2473996,764144.615906995,765509.807743414,767115.941933288,783974.138037336,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Num Offtake,Adult Female,Adult,Female,2021.0,578605.071699977,1240.22095961274,605594.627943396,4762.8727058022,582460.203067914,587061.944439086,591805.4094761,596828.818156693,811.592222800263,579276.57439937,579473.68566036,579633.148293057,587483.249804391,576699.052977368,576832.575857644,577272.467681682,577449.227217036,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Num Offtake,Adult Male,Adult,Male,2021.0,2435311.96634353,15265.4932571913,2714424.69954467,79591.6333980655,2466507.05829737,2504176.47232463,2536183.58988763,2565752.71365207,13480.6371794154,2460605.43721693,2477063.005263,2493308.33872239,2602281.44990894,2427973.83090835,2427889.16868139,2428224.34878225,2441977.21937204,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Cml Pop Growth,Neonatal Female,Neonatal,Female,2021.0,257670.611688358,87106.1222424618,2878059.86110767,430994.021943181,296594.989298495,500117.355044858,622465.39155294,801866.607676219,145503.002802522,553956.349676787,841221.700236575,941817.096804421,1830139.90750583,204717.944658896,236110.654128159,194959.716328148,198870.143271049,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Cml Pop Growth,Neonatal Male,Neonatal,Male,2021.0,253867.585146862,84565.7742426034,2878059.86110767,430994.021943181,313217.139910658,509808.991006386,621432.82805923,801866.607676219,145503.002802522,587597.66822356,851996.947653863,947980.729524693,1851983.07181115,189515.682361312,227247.834142774,176623.746418342,155931.181068787,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Cml Pop Growth,Juvenile Female,Juvenile,Female,2021.0,90853.4695928658,49514.2287505098,1998399.27726274,377584.352612946,193010.032780458,346121.636405568,466008.508276245,605980.961051225,99002.5503817061,302674.459583361,411724.13843002,522143.14069393,1340734.56536357,33413.0535864598,48070.5925995239,33946.6132746042,71076.6741247127,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Cml Pop Growth,Juvenile Male,Juvenile,Male,2021.0,456454.699448809,56315.7112629874,2141418.43350884,323759.579612373,552392.476420825,692739.100942807,784652.137754036,904253.107623115,87649.7185874022,671755.061460454,781501.474592989,873045.098289021,1627947.45632909,433531.455949196,452157.229109373,435949.149403451,475039.358975024,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Cml Pop Growth,Adult Female,Adult,Female,2021.0,888421.201186624,74992.6151627945,3061944.52183673,438171.962179818,1132274.35315,1456157.25887308,1763264.01596729,2071044.05628402,79444.2496880203,1002432.68905168,1075592.78671764,1141469.96461748,1879703.05977082,791375.821733749,807633.956279983,810889.796977435,846021.584597216,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Cml Pop Growth,Adult Male,Adult,Male,2021.0,210376.272599794,62738.4133658539,1469608.54641537,338129.619479224,311855.949569752,454145.514384656,571146.858154438,673596.239210083,62174.0523053157,336192.945290432,412825.393293188,488216.632487004,1044163.51566087,183359.67792068,189237.41940351,183071.350548224,232509.272657605,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Total Number Increase,Neonatal Female,Neonatal,Female,2021.0,257670.611688358,87106.1222424618,2878059.86110767,430994.021943181,296594.989298495,500117.355044858,622465.39155294,801866.607676219,145503.002802522,553956.349676787,841221.700236575,941817.096804421,1830139.90750583,204717.944658896,236110.654128159,194959.716328148,198870.143271049,,,,,,,,,,,,,,,,,
