species,production_system,item,group,age_group,sex,year,mean_current,stdev_current,mean_ideal,stdev_ideal,mean_all_mort_25_imp,mean_all_mort_50_imp,mean_all_mort_75_imp,mean_mortality_zero,stdev_mortality_zero,mean_current_repro_25_imp,mean_current_repro_50_imp,mean_current_repro_75_imp,mean_current_repro_100_imp,mean_current_growth_25_imp_all,mean_current_growth_50_imp_all,mean_current_growth_75_imp_all,mean_current_growth_100_imp_all,mean_current_usd,stdev_current_usd,mean_ideal_usd,stdev_ideal_usd,mean_all_mort_25_imp_usd,mean_all_mort_50_imp_usd,mean_all_mort_75_imp_usd,mean_mortality_zero_usd,stdev_mortality_zero_usd,mean_current_repro_25_imp_usd,mean_current_repro_50_imp_usd,mean_current_repro_75_imp_usd,mean_current_repro_100_imp_usd,mean_current_growth_25_imp_all_usd,mean_current_growth_50_imp_all_usd,mean_current_growth_75_imp_all_usd,mean_current_growth_100_imp_all_usd
Sheep,Crop livestock mixed,Total Number Increase,Neonatal Male,Neonatal,Male,2021.0,253867.585146862,84565.7742426034,2878059.86110767,430994.021943181,313217.139910658,509808.991006386,621432.82805923,801866.607676219,145503.002802522,587597.66822356,851996.947653863,947980.729524693,1851983.07181115,189515.682361312,227247.834142774,176623.746418342,155931.181068787,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Total Number Increase,Juvenile Female,Juvenile,Female,2021.0,168159.786355336,50103.9431292115,2105394.2062552,384939.330712609,272398.191092891,428087.131860173,550582.851127634,692495.5751043,100603.204790667,383693.163444828,494010.468154559,606265.43700099,1439408.83084628,109843.824677146,124374.493970722,110540.667876008,148491.141419629,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Total Number Increase,Juvenile Male,Juvenile,Male,2021.0,1230004.84323563,74759.0898859077,3271107.40991805,414997.744675081,1348817.01387526,1520039.30985199,1638672.94795121,1778877.3248959,107395.223714123,1485928.07935538,1619814.45957356,1737643.25440648,2678860.7037287,1197676.07185619,1217667.03685279,1203065.09133674,1259013.49701236,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Total Number Increase,Adult Female,Adult,Female,2021.0,1467026.2728866,75793.1641359592,3667539.14978013,442768.900583724,1714734.55621791,2043219.20331217,2355069.42544339,2667872.87444072,80244.1488047812,1581709.26345105,1655066.472378,1721103.11291054,2467186.30957521,1368074.87471112,1384466.53213763,1388162.26465912,1423470.81181425,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Total Number Increase,Adult Male,Adult,Male,2021.0,2645688.23894332,77585.7402476151,4184033.24596004,414704.268162843,2778363.00786712,2958321.98670929,3107330.44804206,3239348.95286216,75478.5467715712,2796798.38250736,2889888.39855619,2981524.97120939,3646444.96556982,2611333.50882903,2617126.5880849,2611295.69933047,2674486.49202965,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Total Mortality,Neonatal Female,Neonatal,Female,2021.0,1005132.19033325,59234.0754396155,0.0,0.0,803595.191567224,547016.583960727,273878.902620256,0.0,0.0,1160071.56064068,1170335.12612257,1183619.11275187,1651701.06370709,997684.155883907,1033599.8305145,948815.804043775,1020295.73490084,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Total Mortality,Neonatal Male,Neonatal,Male,2021.0,1031596.01110605,86010.7544574154,0.0,0.0,794068.538045422,533769.13150268,282684.474441958,0.0,0.0,1123680.57498069,1138868.31933485,1171861.23878232,1554204.45949184,1006841.19214755,1031557.30325795,986316.119114089,1044930.72303675,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Total Mortality,Juvenile Female,Juvenile,Female,2021.0,401747.452927968,43358.6355470315,0.0,0.0,287281.937573083,206738.976216611,108413.644020893,0.0,0.0,394183.09403025,422339.94443797,442832.329015208,532075.54384615,378465.325851664,400161.184785407,403769.868108152,406397.341314794,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Total Mortality,Juvenile Male,Juvenile,Male,2021.0,317556.907396118,37586.4943307839,0.0,0.0,223455.024231522,152542.539639766,78227.6436714621,0.0,0.0,330177.41647317,326681.091280879,320948.17518439,409719.098344109,288051.615140901,297747.547544404,280613.674248645,281294.405877443,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Total Mortality,Adult Female,Adult,Female,2021.0,791053.254959207,62746.9005821655,0.0,0.0,636728.350881768,424327.945976163,229743.801914657,0.0,0.0,860124.33406848,849600.88701461,874919.623850652,834629.048437132,851521.86599719,828415.825706621,838005.832961972,843226.921773143,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Total Mortality,Adult Male,Adult,Male,2021.0,219312.293600453,16488.4168378294,0.0,0.0,171357.501223369,105752.861102495,55709.5897252323,0.0,0.0,218657.239325711,214974.508779264,220690.421818234,245826.321095382,218831.735270952,218094.92207589,229874.455978002,229121.426627151,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Population Liveweight (kg),Neonatal Female,Neonatal,Female,2021.0,24733428.7789407,4496969.65134604,67331034.5794895,17278385.3364255,24430651.3020376,29920119.0650432,31119893.0782353,34823465.7886217,5819065.57762111,30561795.9824805,34383060.9073711,34584524.8759455,45450206.2350334,27969989.0175613,28030901.4846271,24147458.3528902,30468771.3365005,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Population Liveweight (kg),Neonatal Male,Neonatal,Male,2021.0,27420273.9158986,5039168.86031033,63727338.5526206,10200473.1970838,26055736.5572882,30150634.0466571,30837435.5429978,31142637.5389846,7664831.86347042,29126240.0640102,32146188.4251556,32716904.9420717,44064438.6824896,28261375.2079871,29324716.4146132,30078094.9795522,32406242.8750708,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Population Liveweight (kg),Juvenile Female,Juvenile,Female,2021.0,42437002.1882342,7377723.13435708,84100075.0843108,12868160.824523,43578915.7167493,45347224.6077458,47941168.281713,50521111.2064909,11380032.1029372,52809450.1942854,47997124.4921064,51388341.3202781,70841211.120545,41746455.0251098,42006612.1093632,45346354.8996541,42472560.9696732,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Population Liveweight (kg),Juvenile Male,Juvenile,Male,2021.0,37134391.1391082,5624864.05193269,75983731.1383872,15193382.7696989,37851385.0058257,39302587.2596879,42515595.7630304,42519322.6372018,8401434.2403061,40511164.5401472,36713123.781362,43285352.2667488,60264824.5315368,31899534.9466462,33127932.342888,35832889.4140767,37723778.7662217,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Population Liveweight (kg),Adult Female,Adult,Female,2021.0,457206620.560462,33327349.2635723,531713137.238403,57104863.1308898,424595758.96002,459742868.916991,440595703.06431,481715800.893618,74042082.8003885,455281937.374947,452815474.843995,437439837.680475,467146145.911675,397622484.88702,425650535.256877,462242957.570553,444539389.357585,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Population Liveweight (kg),Adult Male,Adult,Male,2021.0,104941473.592365,20728299.8024702,143786968.194639,27848722.7473453,97622170.6697995,106886897.144944,113661968.723153,127696493.209955,31375471.3234746,106484668.899592,107871678.12353,104666499.102481,113138890.054191,92145170.7701761,106588579.879537,103121409.410285,113007128.46201,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Offtake Liveweight (kg),Juvenile Female,Juvenile,Female,2021.0,1831403.62077758,300916.77741056,2221145.89792571,397815.971282909,1569792.07452523,1734416.80512373,1649737.56652929,1914192.84819937,357714.394812097,1742635.97583229,1720525.34652379,1777447.11182111,2008820.9860908,1534506.69883136,1703046.16663215,1798392.27142155,1676585.8093895,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Offtake Liveweight (kg),Juvenile Male,Juvenile,Male,2021.0,15804190.9511122,3713601.8824097,25958568.1428217,4545993.29649856,16139351.8979843,18205745.3023076,18731078.4348248,18816276.9836531,2890511.46665012,15110964.336916,17731826.2548685,16775592.9283591,20361808.0348215,17115485.9310407,15381662.1944229,17224973.5395334,18266753.3669727,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Offtake Liveweight (kg),Adult Female,Adult,Female,2021.0,15821775.7180291,2078955.88948636,18086651.6431218,3458734.59702379,17385760.6425371,16648046.7302644,17703859.8821179,17772896.6702642,2053335.76756654,14984029.9117897,17179831.0748679,16805593.9532044,17275729.292221,17586037.3383318,18577326.4732817,17067590.3080596,18328509.5559198,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Offtake Liveweight (kg),Adult Male,Adult,Male,2021.0,75004090.1618362,17854834.1560313,94805980.4995896,10387209.1572533,76496270.3133045,72768353.2956556,81576865.3417326,82781628.0970566,23215399.8339337,76007204.9337967,76771590.0444168,74239447.9690509,72729784.7855066,80177508.0846394,80968541.8382026,83134165.1748427,81646252.9011296,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Manure,Neonatal Female,Neonatal,Female,2021.0,80607027.228388,2250265.14503779,142826711.389129,14556635.2311187,82413369.7650729,86696167.9196609,89846241.6535821,92733672.8226736,3626009.3769528,88580475.1589018,93075669.2794602,97419277.7550591,129783977.401423,78191412.5251132,78823485.4140735,78777117.937963,80257623.6844576,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Manure,Neonatal Male,Neonatal,Male,2021.0,80187723.8526,2415599.79154496,142826711.389129,14556635.2311187,82335517.2692829,86789247.5244828,89703229.8131971,92733672.8226736,3626009.3769528,88730893.12258,93480443.0903797,97538464.995707,131211268.812718,78254619.8068313,78993193.2044721,78377151.8153445,80458278.3310452,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Manure,Juvenile Female,Juvenile,Female,2021.0,139696490.990004,2471128.95609627,204581267.85,18269283.1564474,144056745.159063,149614621.636722,155029868.182157,159362191.061842,3547954.24045559,147649713.70814,150585738.33475,154552992.196872,185658085.261065,137775866.284755,137635446.023754,138072977.962175,139772501.175598,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Manure,Juvenile Male,Juvenile,Male,2021.0,105878747.368269,3273101.35738301,163473707.455614,16448451.8483767,109504293.185783,114463129.126881,118577354.186147,122042080.948776,3226244.62234714,112586932.754753,116464073.511634,120518024.738729,149889451.057922,104487137.523295,104780917.740445,104897820.487526,107380121.225495,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Manure,Adult Female,Adult,Female,2021.0,1570229484.40062,3816352.2439087,1662662996.1437,16696696.8714071,1582833017.46172,1598172665.31539,1613743981.72917,1630077205.52963,2898440.75896462,1573068645.07976,1574259286.36343,1575282730.07281,1603122102.00979,1564209825.4345,1564716660.42216,1565933670.91334,1566727107.74737,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Manure,Adult Male,Adult,Male,2021.0,334822110.966184,2636435.62496618,384312385.209921,13812643.5318242,340000073.541211,346430422.30169,351859090.97385,356823496.626845,2395662.65121196,339412302.608156,342351890.018631,345251292.201266,365152404.033563,333575773.47863,333617099.075379,333607426.545419,335932507.114907,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Hides,Juvenile Female,Juvenile,Female,2021.0,200873.726463984,21679.3177735158,0.0,0.0,143640.968786542,103369.488108305,54206.8220104463,0.0,0.0,197091.547015125,211169.972218985,221416.164507604,266037.771923075,189232.662925832,200080.592392704,201884.934054076,203198.670657397,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Hides,Juvenile Male,Juvenile,Male,2021.0,158778.453698059,18793.2471653919,0.0,0.0,111727.512115761,76271.269819883,39113.8218357311,0.0,0.0,165088.708236585,163340.54564044,160474.087592195,204859.549172055,144025.80757045,148873.773772202,140306.837124322,140647.202938722,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Hides,Adult Female,Adult,Female,2021.0,395526.627479604,31373.4502910827,0.0,0.0,318364.175440884,212163.972988081,114871.900957329,0.0,0.0,430062.16703424,424800.443507305,437459.811925326,417314.524218566,425760.932998595,414207.912853311,419002.916480986,421613.460886572,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Hides,Adult Male,Adult,Male,2021.0,109656.146800226,8244.2084189147,0.0,0.0,85678.7506116845,52876.4305512475,27854.7948626162,0.0,0.0,109328.619662855,107487.254389632,110345.210909117,122913.160547691,109415.867635476,109047.461037945,114937.227989001,114560.713313576,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Cml Dry Matter,Neonatal Female,Neonatal,Female,2021.0,238943276.078013,15375980.7318019,497736594.148582,59296955.3624067,242990446.667565,258049912.646281,266676554.165382,271290596.733739,17429083.8593169,260555290.342048,283498336.041521,285209313.78929,391084596.82881,235530087.057392,246067872.706463,261959031.767587,268997339.972907,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Cml Dry Matter,Neonatal Male,Neonatal,Male,2021.0,247105290.75096,16158551.1034036,504895672.746892,54703898.8086535,242841027.146358,246383415.746684,265178449.998963,267394537.347658,16425509.3918931,263569196.348729,276893597.278831,281378523.452124,390851865.043917,243527169.35969,253106059.075028,248615127.454721,276072943.919065,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Cml Dry Matter,Juvenile Female,Juvenile,Female,2021.0,207150759.456623,8765928.04850838,348271117.959759,44070610.5424979,211614911.545648,219527921.242191,232981204.900975,230373819.253259,16110496.2847717,218658967.704514,217399958.513242,226101378.614456,275057445.493523,212133906.321395,214090850.915711,216064060.116843,237776100.194977,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Cml Dry Matter,Juvenile Male,Juvenile,Male,2021.0,154422274.332985,3371055.83833756,288889689.897498,38949284.512648,161347763.536688,170771237.898822,178832506.765286,181105172.734406,10854522.143642,168718603.664618,170320090.063023,178944054.336622,224808849.509977,162729854.118321,168570175.43828,164895080.3997,184699688.276012,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Cml Dry Matter,Adult Female,Adult,Female,2021.0,1519924316.81762,84338649.5666326,1899337673.48239,103158472.068943,1605708199.17852,1609156227.80588,1597625101.0815,1624603239.71161,51946917.0248371,1557962846.04168,1587521628.94814,1540178765.6627,1563402381.2694,1618503578.4908,1717442883.50835,1647576450.42666,1743183119.76301,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Cml Dry Matter,Adult Male,Adult,Male,2021.0,330057730.865718,16289323.9523784,452025390.48456,45340177.8661091,340754906.515766,336704270.090641,343599883.458298,346868324.691141,19113093.4671843,346192446.838574,333314841.161933,341582973.976871,373502226.6898,351222659.338371,352106921.021702,365514183.721624,393568117.754493,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Value of Offtake,Neonatal Female,Neonatal,Female,2021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Value of Offtake,Neonatal Male,Neonatal,Male,2021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Value of Offtake,Juvenile Female,Juvenile,Female,2021.0,184852399.197056,31824358.0473719,268116145.557209,50773238.271747,165432962.528751,170877842.102715,176824958.42236,197596023.207117,36566463.7196235,191475331.912139,196428591.759475,170959355.556131,208926585.2438,196965642.865915,172636746.48591,174373459.850236,193465196.223339,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Value of Offtake,Juvenile Male,Juvenile,Male,2021.0,2249122253.23692,543009890.481923,3672451741.62989,1009436257.273,2413386371.99476,2491004997.14999,2577567296.46543,2413703280.28905,609706684.528918,2408890236.40095,2758723939.38847,2771407407.13581,2880840879.49436,2324365842.41218,2320190724.12694,2303949858.68366,2411113373.30401,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Value of Offtake,Adult Female,Adult,Female,2021.0,1763110496.86443,198795685.421438,2001780108.69885,142846775.173323,1730395831.15888,1745326804.36714,1754012764.50766,1818460452.31812,179731486.680558,1654751969.68157,1741934699.6167,1766557379.57316,1723540021.87675,1785401763.81199,1818274421.48242,1901702377.65076,1903373250.31231,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Value of Offtake,Adult Male,Adult,Male,2021.0,10377062264.3717,2348839713.60828,13693118342.9308,2326061534.90547,13490368924.3223,13656845418.6895,13851345802.874,10860937158.8598,3507456511.12911,11508042356.6121,10329673957.013,11128917542.0379,11140804540.8393,12013007010.8567,10183716518.2186,11093453270.0365,13026670077.9252,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Value of Herd Increase,Neonatal Female,Neonatal,Female,2021.0,358811830.181944,143664749.80446,4173649189.66578,609932052.082322,344687725.748972,584419552.07153,742051068.551322,1014572037.17846,214411253.349554,727887062.408063,1171129926.44441,1252213523.97672,2746286420.40486,263516295.545361,331433240.763283,282531535.045759,310499187.448161,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Value of Herd Increase,Neonatal Male,Neonatal,Male,2021.0,351068863.162707,132566307.259539,4096153612.28587,868488240.016999,557976140.418275,910778433.555033,1101701348.26475,1136402595.01657,219925978.072236,792838364.33612,1145192270.23318,1218592707.19998,2418194976.06526,252981675.734063,303997660.640516,250048132.975437,241462782.099933,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Value of Herd Increase,Juvenile Female,Juvenile,Female,2021.0,190278037.34882,102886569.833568,5092756103.61267,1760264918.80847,406430532.158999,728146402.686644,982873728.14154,1396915744.00332,365523199.816999,715966355.784215,948530914.166244,1263722693.90659,3243856594.54766,86277656.7529188,100486480.198248,98359842.45943,172585478.451739,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Value of Herd Increase,Juvenile Male,Juvenile,Male,2021.0,1330198240.5886,505355746.140099,6998103662.01157,1866715933.07611,1671503782.47644,2097648973.74095,2364244219.87923,2260309282.39964,474040390.827246,2246353370.58987,2346079212.57423,2683243690.32348,5189744348.95142,1384657368.74759,1509889124.14533,1509978200.56369,1719850583.18668,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Value of Herd Increase,Adult Female,Adult,Female,2021.0,2685497906.06579,180844506.518082,9968287591.69976,1891284657.33186,3361075164.86435,4302595027.14564,5261865474.11294,6369681401.15966,828777918.263093,2840844969.7241,3071985237.0656,3426968358.36493,5668908319.50055,2396419641.5724,2512147888.43823,2602196016.1119,2727998381.23298,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Value of Herd Increase,Adult Male,Adult,Male,2021.0,877811479.223089,434547486.943664,7388909523.51714,2876963701.57369,1707582645.33123,2487508970.83218,3126593990.58279,3268759454.95783,781162625.053637,1539325864.83084,1805565936.36695,1904301027.99902,4953715767.43868,759720051.462217,1090873757.37503,818304170.881984,1355519510.02146,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Value of Herd Increase plus Offtake,Neonatal Female,Neonatal,Female,2021.0,358811830.181944,143664749.80446,4173649189.66578,609932052.082322,344687725.748972,584419552.07153,742051068.551322,1014572037.17846,214411253.349554,727887062.408063,1171129926.44441,1252213523.97672,2746286420.40486,263516295.545361,331433240.763283,282531535.045759,310499187.448161,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Value of Herd Increase plus Offtake,Neonatal Male,Neonatal,Male,2021.0,351068863.162707,132566307.259539,4096153612.28587,868488240.016999,557976140.418275,910778433.555033,1101701348.26475,1136402595.01657,219925978.072236,792838364.33612,1145192270.23318,1218592707.19998,2418194976.06526,252981675.734063,303997660.640516,250048132.975437,241462782.099933,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Value of Herd Increase plus Offtake,Juvenile Female,Juvenile,Female,2021.0,375130436.545876,111240711.495932,5360872249.16988,1768101033.80417,571863494.68775,899024244.789359,1159698686.5639,1594511767.21044,369402020.236313,907441687.696354,1144959505.92572,1434682049.46272,3452783179.79146,283243299.618834,273123226.684157,272733302.309666,366050674.675078,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Value of Herd Increase plus Offtake,Juvenile Male,Juvenile,Male,2021.0,3579320493.82552,518017217.672675,10670555403.6415,1895771628.40332,4084890154.4712,4588653970.89094,4941811516.34466,4674012562.68869,705007034.090379,4655243606.99082,5104803151.9627,5454651097.45929,8070585228.44578,3709023211.15977,3830079848.27228,3813928059.24735,4130963956.49069,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Value of Herd Increase plus Offtake,Adult Female,Adult,Female,2021.0,4448608402.93022,289687948.120108,11970067700.3986,1914946919.42856,5091470996.02324,6047921831.51278,7015878238.6206,8188141853.47778,825052384.556131,4495596939.40566,4813919936.6823,5193525737.9381,7392448341.3773,4181821405.38438,4330422309.92065,4503898393.76266,4631371631.54529,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Value of Herd Increase plus Offtake,Adult Male,Adult,Male,2021.0,11254873743.5948,2202377296.12911,21082027866.4479,3414197396.21136,15197951569.6536,16144354389.5217,16977939793.4568,14129696613.8176,3628366275.03061,13047368221.4429,12135239893.38,13033218570.0369,16094520308.2779,12772727062.3189,11274590275.5936,11911757440.9185,14382189587.9467,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Value of Manure,Neonatal Female,Neonatal,Female,2021.0,40303513.614194,1125132.5725189,71413355.6945643,7278317.61555933,41206684.8825364,43348083.9598304,44923120.826791,46366836.4113368,1813004.6884764,44290237.5794509,46537834.6397301,48709638.8775295,64891988.7007114,39095706.2625566,39411742.7070367,39388558.9689815,40128811.8422288,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Value of Manure,Neonatal Male,Neonatal,Male,2021.0,40093861.9263,1207799.89577248,71413355.6945643,7278317.61555933,41167758.6346414,43394623.7622414,44851614.9065985,46366836.4113368,1813004.6884764,44365446.56129,46740221.5451899,48769232.4978535,65605634.4063588,39127309.9034156,39496596.602236,39188575.9076722,40229139.1655226,,,,,,,,,,,,,,,,,
