,region,n_countries,amu_terrestrial_tonnes_min,amu_terrestrial_tonnes_mostlikely,amu_terrestrial_tonnes_max,amu_terrestrial_tonnes_distr,amu_terrestrial_tonnes_distr_lambda,amu_eurospertonne_min,amu_eurospertonne_mostlikely,amu_eurospertonne_max,amu_eurospertonne_distr,amu_eurospertonne_distr_lambda,biomass_total_kg,biomass_total_terr_kg,tonnes_ci95_low,tonnes_ci95_high,price_ci95_low,price_ci95_high,amu_terrestrial_tonnes_errorlow,amu_terrestrial_tonnes_errorhigh,amu_eurospertonne_errorlow,amu_eurospertonne_errorhigh,expenditure_ci95_low,expenditure_ci95_mid,expenditure_ci95_high,amu_terrestrial_expenditure_midpoint,amu_terrestrial_expenditure_errorlow,amu_terrestrial_expenditure_errorhigh
0,Africa,24,1403,2806.0,3086,Pert,,20476.0,176992.0,206007.0,Modified pert; Ƴ=2.5,2.5,82210550037.93834,81776881551.43832,1976.193945233711,3033.5316567149457,67808.92901949247,201277.73083444955,829.806054766289,227.5316567149457,109183.07098050753,24285.730834449554,174636617.27106887,397009966.330565,568764386.3605363,397009966.330565,222373349.0594961,171754420.02997136
1,Americas,19,18753,29000.0,31900,Pert,,20476.0,82775.5,145075.0,Uniform,,307414936043.14056,299914043716.64056,22735.10065023782,31314.195481254683,23590.975,141960.025,6264.899349762181,2314.195481254683,59184.525,59184.524999999994,672777151.526171,2546217595.9445095,4716367978.269003,2546217595.9445095,1873440444.4183385,2170150382.3244934
2,"Asia, Far East and Oceania",22,33387,50080.0,55088,Pert,,20476.0,108806.0,123314.0,Modified pert; Ƴ=2.5,2.5,282812613977.946,227493629165.94614,39812.99808573467,54061.070435834125,47559.30115676153,120933.55953607627,10267.001914265333,3981.0704358341245,61246.69884323847,12127.559536076267,2227205853.4770155,4555713523.4992285,6180539297.740922,4555713523.4992285,2328507670.022213,1624825774.2416935
3,Europe,41,7314,7679.5,8045,Uniform,,,145075.0,,,,136752195587.50722,133355079235.00725,7332.275,8026.725,,,347.22500000000036,347.22500000000036,,,1091099510.0134187,1646594924.3138645,2200555174.4890513,1646594924.3138645,555495414.3004458,553960250.1751869
4,Middle East,3,34,198.0,218,Pert,,20476.0,108806.0,123314.0,Modified pert; Ƴ=2.5,2.5,2446925465.033676,2421760815.033676,104.66498559019126,214.4154565588197,47559.30115676153,120933.55953607627,93.33501440980874,16.4154565588197,61246.69884323847,12127.559536076267,7217489.399403223,16250491.598786969,23992855.731649876,16250491.598786969,9033002.199383747,7742364.132862907
