species,production_system,group,age_group,sex,mean_current_gross_margin,mean_current_health_cost,mean_mortality_zero_gross_margin,mean_mortality_zero_health_cost,mean_ideal_gross_margin,mean_ideal_health_cost,stdev_current_gross_margin,stdev_current_health_cost,stdev_mortality_zero_gross_margin,stdev_mortality_zero_health_cost,stdev_ideal_gross_margin,stdev_ideal_health_cost,ahle_due_to_mortality_mean,ahle_due_to_healthcost_mean,ahle_due_to_productionloss_mean,ahle_due_to_mortality_stdev,ahle_due_to_healthcost_stdev,ahle_due_to_productionloss_stdev
All small ruminants,Crop livestock mixed,Adult Combined,Adult,Overall,40291163974.393295,20843019.43647511,46597845561.67239,21115747.272223778,84333963651.5175,32367754.678118996,1195688206.7952554,343852.29208766413,1220818572.7463307,344590.0602205533,4389126261.959648,1373041.1194863138,6306681587.2790985,20843019.43647511,37715275070.40863,1708820726.5338402,343852.29208766413,4859441122.69705
All small ruminants,Crop livestock mixed,Adult Female,Adult,Female,40291163974.393295,20843019.43647511,46597845561.67239,21115747.272223778,84333963651.5175,32367754.678118996,1195688206.7952554,343852.29208766413,1191802003.0692716,344590.0602205533,4389126261.959648,1373041.1194863138,6306681587.2790985,20843019.43647511,37715275070.40863,1688212753.8877265,343852.29208766413,4852232687.322064
All small ruminants,Crop livestock mixed,Adult Male,Adult,Male,40291163974.393295,20843019.43647511,43336058888.649,20801749.20263405,49135619930.5694,20811781.39727447,1195688206.7952554,343852.29208766413,1140254447.2818353,340642.52864852187,1268701014.2830346,337082.39938759175,3044894914.255707,20843019.43647511,5778718022.48392,1652225920.5130687,343852.29208766413,2401899906.7741585
All small ruminants,Crop livestock mixed,Juvenile Combined,Juvenile,Overall,40291163974.393295,20843019.43647511,45830310205.6694,20907861.844699003,46722062585.634705,20891196.36108999,1195688206.7952554,343852.29208766413,1149310122.1089015,344882.9476372563,1169464979.6743588,342709.72280052747,5539146231.276108,20843019.43647511,870909360.5288264,1658488481.9169626,343852.29208766413,2355398647.6687193
All small ruminants,Crop livestock mixed,Juvenile Female,Juvenile,Female,40291163974.393295,20843019.43647511,45830310205.6694,20907861.844699003,46722062585.634705,20844214.3517038,1195688206.7952554,343852.29208766413,1149310122.1089015,344882.9476372563,1155925911.79842,337572.7750466719,5539146231.276108,20843019.43647511,870909360.5288264,1658488481.9169626,343852.29208766413,2348705848.828646
All small ruminants,Crop livestock mixed,Juvenile Male,Juvenile,Male,40291163974.393295,20843019.43647511,45830310205.6694,20907861.844699003,45234147848.4349,20891196.36108999,1195688206.7952554,343852.29208766413,1149310122.1089015,344882.9476372563,1169464979.6743588,342303.9120180776,5539146231.276108,20843019.43647511,-617005376.6709799,1658488481.9169626,343852.29208766413,2355398647.6687193
All small ruminants,Crop livestock mixed,Neonatal Combined,Neonatal,Overall,40291163974.393295,20843019.43647511,49881755149.350296,24103346.6896429,50498744127.1868,24135453.8445998,1195688206.7952554,343852.29208766413,1141058821.3180137,355009.4078903511,1181091551.9674828,371239.6400669111,9590591174.957,20843019.43647511,596145958.4000269,1652781147.513762,343852.29208766413,2357187557.6223283
All small ruminants,Crop livestock mixed,Neonatal Female,Neonatal,Female,40291163974.393295,20843019.43647511,49881755149.350296,24103346.6896429,49737527893.4019,24063227.471281298,1195688206.7952554,343852.29208766413,1141058821.3180137,355009.4078903511,1164989770.1181502,362564.6392609691,9590591174.957,20843019.43647511,-165070275.38486987,1652781147.513762,343852.29208766413,2349160933.6442876
All small ruminants,Crop livestock mixed,Neonatal Male,Neonatal,Male,40291163974.393295,20843019.43647511,49881755149.350296,24103346.6896429,50442322368.7201,24135453.8445998,1195688206.7952554,343852.29208766413,1141058821.3180137,355009.4078903511,1181091551.9674828,371239.6400669111,9590591174.957,20843019.43647511,539724199.9333292,1652781147.513762,343852.29208766413,2357187557.6223283
All small ruminants,Crop livestock mixed,Overall,Overall,Overall,40291163974.393295,20843019.43647511,91800024739.7421,26621292.3760985,126160999451.3147,0.0,1195688206.7952554,343852.29208766413,5533155625.042359,401669.54506946437,5908841430.623732,0.0,51508860765.3488,20843019.43647511,34340131692.136127,5660872853.0861,343852.29208766413,8269797997.361623
