,Country,Region,ISO3-code,Tonnes2020,Tonnes2030,PCU (kg) 2020,PCU (kg) 2030,mgPCU_2020,mgPCU_2030
171,Rwanda,Africa,RWA,10,12.05,484528704.2,484528704.2,20.63861215,24.86952764
172,"Saint Helena, Ascension and Tristan da Cunha",Africa,SHN,1,1,0,0,NA,NA
179,Sao Tome and Principe,Africa,STP,1,1,6069923.456,6069923.456,164.7467233,164.7467233
181,Senegal,Africa,SEN,40,55.89,2036628100,2036628100,19.64030644,27.44241818
183,Seychelles,Africa,SYC,1,1,105297.2308,105297.2308,9496.925918,9496.925918
184,Sierra Leone,Africa,SLE,7.2,9.57,411815828.2,411815828.2,17.48354363,23.23854341
189,Somalia,Africa,SOM,39.7,22.69,1295570520,1295570520,30.64287075,17.51351983
190,South Africa,Africa,ZAF,328.6,603.78,14788764689,14788764689,22.21957053,40.82693942
193,Sudan (former),Africa,SDN,228.2,157.15,8444975872,8444975872,27.02198366,18.60869733
195,Swaziland,Africa,SWZ,5.3,6.73,269143360.5,269143360.5,19.69210755,25.00526109
203,Togo,Africa,TGO,6.4,10.98,368607359.2,368607359.2,17.36264847,29.78779377
207,Tunisia,Africa,TUN,27.9,34.3,1250840635,1250840635,22.30499971,27.42155879
212,Uganda,Africa,UGA,91.9,99.44,4382921695,4382921695,20.96774855,22.68806219
216,United Republic of Tanzania,Africa,TZA,166.3,241.16,7694212772,7694212772,21.61364716,31.34303757
225,Western Sahara,Africa,ESH,1,1,0,0,NA,NA
227,Zambia,Africa,ZMB,29.8,41.05,1596069053,1596069053,18.67087138,25.7194386
228,Zimbabwe,Africa,ZWE,45.1,62.89,2112751213,2112751213,21.34657394,29.7668744
229,South Sudan,Africa,SSD,92.5,1,3877768708,3877768708,23.85392398,0.257880259
1,Afghanistan,Asia,AFG,155.8,223.65,2306480400,2306480400,67.54880728,96.96592264
10,Armenia,Asia,ARM,27.8,30.19,331053538.4,331053538.4,83.97433277,91.19370886
14,Azerbaijan,Asia,AZE,131.3,137.22,1387444182,1387444182,94.63443769,98.90127601
16,Bahrain,Asia,BHR,7.8,1.23,88637088.79,88637088.79,87.99928006,13.87680955
17,Bangladesh,Asia,BGD,381.9,400.93,4080066287,4080066287,93.60142045,98.26556036
24,Bhutan,Asia,BTN,6.6,8.46,60106141.5,60106141.5,109.8057509,140.7510079
30,Brunei Darussalam,Asia,BRN,7.5,7.38,129466441.2,129466441.2,57.93006997,57.00318885
36,Cambodia,Asia,KHM,106.3,126.97,861435218.9,861435218.9,123.3987161,147.3935558
43,"China, Hong Kong SAR",Asia,HKG,4.1,4.11,56811856.77,56811856.77,72.1680338,72.3440534
44,"China, Macao SAR",Asia,MAC,1,1,0,0,NA,NA
