"Animaux de boucherie : Abattage et Production"
""
"France entière";"FR - France entière"
""
"Source";"Agreste - Base de données nationale de l'identification française (BDNI)"
"notes";"- Unités utilisées : « Nombre d'animaux abattus en têtes »,  « Indicateurs de Volume en téc » et  « Poids moyen en kg carcasse/tête »"
""
"/Conjoncture animale 1";"/Conjoncture animale 2";"/Année de référence";"Total annuel/Nombre d'animaux abattus bruts";"Total annuel/Nombre d'animaux abattus CVJA";"Total annuel/Production indigène brute totale (PIB)";"Total annuel/Production indigène brute (PIB) d'animaux finis";"Total annuel/Solde des échanges d'animaux d'élevage (PIB)";"Total annuel/Production indigène brute totale (PIB) CVJA";"Total annuel/Production indigène brute (PIB) CVJA d'animaux finis";"Total annuel/Solde des échanges d'animaux d'élevage (PIB) CVJA";"Total annuel/Production indigène contrôlée totale (PIC) (nombre d'animaux)";"Total annuel/Production indigène contrôlée CVJA (PIC) (nombre d'animaux)";"Total annuel/Abattages bruts (volume)";"Total annuel/Abattages CVJA (volume)";"Total annuel/Production indigène brute (PIB) totale (volume)";"Total annuel/Production indigène brute (PIB) d'animaux finis (volume)";"Total annuel/Solde des échanges d'animaux d'élevage (PIB) (volume)";"Total annuel/Production indigène brute totale (PIB) CVJA (volume)";"Total annuel/Production indigène brute (PIB) CVJA d'animaux finis (volume)";"Total annuel/Solde des échanges d'animaux d'élevage (PIB) CVJA (volume)";"Total annuel/Production indigène contrôlée totale (PIC) (volume)";"Total annuel/Production indigène contrôlée CVJA (PIC) (volume)";"Total annuel/Poids moyen brut"
"Caprins";"";"2018";"690773";"682722";"696055";"";"";"688002";"";"";"694281";"686228";"6163";"6127";"6253";"";"";"6217";"";"";"6223";"6189";"8,9"
"Caprins";"";"2019";"681576";"696111";"686237";"";"";"700772";"";"";"686774";"701309";"6255";"6347";"6294";"";"";"6387";"";"";"6297";"6389";"9,2"
"Caprins";"";"2020";"668537";"668635";"676269";"";"";"676366";"";"";"675802";"675899";"6132";"6129";"6249";"";"";"6246";"";"";"6238";"6236";"9,2"
"Caprins";"";"2021";"650960";"652259";"653962";"";"";"655258";"";"";"653449";"654745";"6207";"6217";"6237";"";"";"6250";"";"";"6239";"6251";"9,5"
"Caprins";"";"2022";"229808";"222768";"97033";"";"";"104430";"";"";"97454";"104851";"1966";"1931";"980";"";"";"1051";"";"";"997";"1068";"8,6"
"Caprins";"Chevreaux";"2011";"707988";"714239";"";"";"";"";"";"";"";"";"4067";"4105";"";"";"";"";"";"";"";"";"5,7"
"Caprins";"Chevreaux";"2012";"678094";"674347";"";"";"";"";"";"";"";"";"3875";"3848";"";"";"";"";"";"";"";"";"5,7"
"Caprins";"Chevreaux";"2013";"625791";"644010";"";"";"";"";"";"";"";"";"3568";"3669";"";"";"";"";"";"";"";"";"5,7"
"Caprins";"Chevreaux";"2014";"589959";"589278";"";"";"";"";"";"";"";"";"3410";"3405";"";"";"";"";"";"";"";"";"5,8"
"Caprins";"Chevreaux";"2015";"570425";"573101";"";"";"";"";"";"";"";"";"3257";"3267";"";"";"";"";"";"";"";"";"5,7"
"Caprins";"Chevreaux";"2016";"593939";"582950";"";"";"";"";"";"";"";"";"3489";"3435";"";"";"";"";"";"";"";"";"5,9"
"Caprins";"Chevreaux";"2017";"549781";"557333";"";"";"";"";"";"";"";"";"3219";"3264";"";"";"";"";"";"";"";"";"5,9"
"Caprins";"Chevreaux";"2018";"556555";"548144";"";"";"";"";"";"";"";"";"3201";"3157";"";"";"";"";"";"";"";"";"5,8"
"Caprins";"Chevreaux";"2019";"546679";"560678";"";"";"";"";"";"";"";"";"3235";"3313";"";"";"";"";"";"";"";"";"5,9"
"Caprins";"Chevreaux";"2020";"533553";"533631";"";"";"";"";"";"";"";"";"3095";"3094";"";"";"";"";"";"";"";"";"5,8"
"Caprins";"Chevreaux";"2021";"509038";"510076";"";"";"";"";"";"";"";"";"2934";"2937";"";"";"";"";"";"";"";"";"5,8"
"Caprins";"Chevreaux";"2022";"190201";"183031";"";"";"";"";"";"";"";"";"1042";"1003";"";"";"";"";"";"";"";"";"5,5"
"Caprins";"Caprins de réforme";"2011";"149405";"149727";"";"";"";"";"";"";"";"";"3261";"3271";"";"";"";"";"";"";"";"";"21,8"
"Caprins";"Caprins de réforme";"2012";"148723";"149493";"";"";"";"";"";"";"";"";"3291";"3312";"";"";"";"";"";"";"";"";"22,1"
"Caprins";"Caprins de réforme";"2013";"134402";"135109";"";"";"";"";"";"";"";"";"2921";"2935";"";"";"";"";"";"";"";"";"21,7"
"Caprins";"Caprins de réforme";"2014";"128639";"128518";"";"";"";"";"";"";"";"";"2812";"2807";"";"";"";"";"";"";"";"";"21,9"
"Caprins";"Caprins de réforme";"2015";"135481";"135356";"";"";"";"";"";"";"";"";"2971";"2969";"";"";"";"";"";"";"";"";"21,9"
"Caprins";"Caprins de réforme";"2016";"134836";"134863";"";"";"";"";"";"";"";"";"2966";"2967";"";"";"";"";"";"";"";"";"22"
"Caprins";"Caprins de réforme";"2017";"130443";"131023";"";"";"";"";"";"";"";"";"2862";"2875";"";"";"";"";"";"";"";"";"21,9"
"Caprins";"Caprins de réforme";"2018";"134218";"134578";"";"";"";"";"";"";"";"";"2962";"2970";"";"";"";"";"";"";"";"";"22,1"
"Caprins";"Caprins de réforme";"2019";"134897";"135433";"";"";"";"";"";"";"";"";"3020";"3034";"";"";"";"";"";"";"";"";"22,4"
"Caprins";"Caprins de réforme";"2020";"134984";"135004";"";"";"";"";"";"";"";"";"3037";"3035";"";"";"";"";"";"";"";"";"22,5"
"Caprins";"Caprins de réforme";"2021";"141922";"142183";"";"";"";"";"";"";"";"";"3273";"3280";"";"";"";"";"";"";"";"";"23,1"
"Caprins";"Caprins de réforme";"2022";"39607";"39737";"";"";"";"";"";"";"";"";"924";"928";"";"";"";"";"";"";"";"";"23,3"
"Equidés";"";"2011";"17071";"17068";"25711";"21545";"4166";"25708";"21542";"4166";"24881";"24878";"4997";"4996";"7584";"6674";"909";"7584";"6673";"909";"7393";"7391";"292,7"
"Equidés";"";"2012";"18529";"18524";"27871";"22234";"5637";"27866";"22229";"5637";"26120";"26115";"5300";"5299";"8097";"6785";"1313";"8096";"6782";"1313";"7677";"7676";"286"
"Equidés";"";"2013";"20534";"20550";"29383";"22873";"6510";"29399";"22889";"6510";"27547";"27563";"5758";"5763";"8349";"6801";"1547";"8354";"6805";"1547";"7849";"7856";"280,4"
"Equidés";"";"2014";"17072";"17088";"25924";"20327";"5597";"25940";"20343";"5597";"25708";"25724";"4878";"4885";"7714";"6130";"1581";"7716";"6136";"1581";"7384";"7390";"285,7"
"Equidés";"";"2015";"15968";"15994";"26189";"19957";"6232";"26215";"19983";"6232";"25088";"25114";"4536";"4543";"7286";"5877";"1409";"7293";"5884";"1409";"7013";"7021";"284,1"
"Equidés";"";"2016";"13228";"13346";"25472";"18231";"7241";"25590";"18349";"7241";"23273";"23391";"3728";"3764";"6590";"5248";"1342";"6625";"5283";"1342";"6383";"6420";"281,8"
"Equidés";"";"2017";"10172";"10237";"20565";"15007";"5558";"20630";"15072";"5558";"19868";"19933";"2796";"2811";"5549";"4231";"1318";"5566";"4248";"1318";"5358";"5375";"274,9"
"Equidés";"";"2018";"9247";"9269";"20810";"14930";"5880";"20832";"14952";"5880";"20155";"20177";"2521";"2525";"5515";"4263";"1254";"5519";"4266";"1254";"5325";"5329";"272,6"
"Equidés";"";"2019";"7970";"8023";"14798";"13857";"941";"14851";"13910";"941";"17304";"17357";"2176";"2188";"5335";"4011";"1325";"5348";"4023";"1325";"5138";"5152";"273"
"Equidés";"";"2020";"6812";"6837";"16001";"12582";"3419";"16026";"12607";"3419";"16159";"16184";"1847";"1856";"4730";"3621";"1106";"4734";"3628";"1106";"4634";"4640";"271,1"
"Equidés";"";"2021";"5235";"5252";"12599";"10119";"2480";"12616";"10136";"2480";"12418";"12435";"1457";"1459";"4081";"3098";"983";"4087";"3101";"983";"3988";"3994";"278,3"
"Equidés";"";"2022";"1068";"1077";"425";"1567";"1992";"425";"1567";"1992";"455";"455";"290";"293";"662";"476";"186";"663";"476";"186";"652";"651";"271,5"
"Cervidés";"";"2011";"3174";"3174";"";"";"";"";"";"";"";"";"128";"128";"";"";"";"";"";"";"";"";"40,3"
"Cervidés";"";"2012";"3166";"3166";"";"";"";"";"";"";"";"";"136";"136";"";"";"";"";"";"";"";"";"43"
"Cervidés";"";"2013";"3334";"3334";"";"";"";"";"";"";"";"";"132";"132";"";"";"";"";"";"";"";"";"39,6"
"Cervidés";"";"2014";"2985";"2985";"";"";"";"";"";"";"";"";"126";"126";"";"";"";"";"";"";"";"";"42,2"
"Cervidés";"";"2015";"2984";"2984";"";"";"";"";"";"";"";"";"129";"129";"";"";"";"";"";"";"";"";"43,2"
"Cervidés";"";"2016";"2875";"2875";"";"";"";"";"";"";"";"";"122";"122";"";"";"";"";"";"";"";"";"42,4"
"Cervidés";"";"2017";"1797";"1797";"";"";"";"";"";"";"";"";"87";"87";"";"";"";"";"";"";"";"";"48,4"
"Cervidés";"";"2018";"1744";"1744";"";"";"";"";"";"";"";"";"80";"80";"";"";"";"";"";"";"";"";"45,9"
"Cervidés";"";"2019";"1758";"1758";"";"";"";"";"";"";"";"";"81";"81";"";"";"";"";"";"";"";"";"46,1"
"Cervidés";"";"2020";"1527";"1527";"";"";"";"";"";"";"";"";"67";"67";"";"";"";"";"";"";"";"";"43,9"
"Cervidés";"";"2021";"2013";"2013";"";"";"";"";"";"";"";"";"86";"86";"";"";"";"";"";"";"";"";"42,7"
"Cervidés";"";"2022";"186";"186";"";"";"";"";"";"";"";"";"6";"6";"";"";"";"";"";"";"";"";"32,3"
