"Animaux de boucherie : Abattage et Production"
""
"France entière";"FR - France entière"
""
"Source";"Agreste - Base de données nationale de l'identification française (BDNI)"
"notes";"- Unités utilisées : « Nombre d'animaux abattus en têtes »,  « Indicateurs de Volume en téc » et  « Poids moyen en kg carcasse/tête »"
""
"/Conjoncture animale 1";"/Conjoncture animale 2";"/Année de référence";"Total annuel/Nombre d'animaux abattus bruts";"Total annuel/Nombre d'animaux abattus CVJA";"Total annuel/Production indigène brute totale (PIB)";"Total annuel/Production indigène brute (PIB) d'animaux finis";"Total annuel/Solde des échanges d'animaux d'élevage (PIB)";"Total annuel/Production indigène brute totale (PIB) CVJA";"Total annuel/Production indigène brute (PIB) CVJA d'animaux finis";"Total annuel/Solde des échanges d'animaux d'élevage (PIB) CVJA";"Total annuel/Production indigène contrôlée totale (PIC) (nombre d'animaux)";"Total annuel/Production indigène contrôlée CVJA (PIC) (nombre d'animaux)";"Total annuel/Abattages bruts (volume)";"Total annuel/Abattages CVJA (volume)";"Total annuel/Production indigène brute (PIB) totale (volume)";"Total annuel/Production indigène brute (PIB) d'animaux finis (volume)";"Total annuel/Solde des échanges d'animaux d'élevage (PIB) (volume)";"Total annuel/Production indigène brute totale (PIB) CVJA (volume)";"Total annuel/Production indigène brute (PIB) CVJA d'animaux finis (volume)";"Total annuel/Solde des échanges d'animaux d'élevage (PIB) CVJA (volume)";"Total annuel/Production indigène contrôlée totale (PIC) (volume)";"Total annuel/Production indigène contrôlée CVJA (PIC) (volume)";"Total annuel/Poids moyen brut"
"Mammifères de type bovin";"Bovins";"2018";"4673285";"4671350";"6147629";"4677377";"1470252";"6148842";"4678590";"1470252";"6089844";"6091057";"1468498";"1467495";"1708582";"1472747";"235838";"1709040";"1473202";"235838";"1694677";"1695136";"314,2"
"Mammifères de type bovin";"Bovins";"2019";"4561042";"4549029";"6060643";"4542495";"1518148";"6063664";"4545516";"1518148";"5991346";"5994367";"1432497";"1429404";"1675333";"1432507";"242828";"1676265";"1433438";"242828";"1657560";"1658486";"314,1"
"Mammifères de type bovin";"Bovins";"2020";"4508649";"4487997";"6008608";"4481136";"1527472";"6010125";"4482653";"1527472";"5931448";"5932965";"1440462";"1435088";"1678777";"1438094";"240682";"1679283";"1438600";"240682";"1662305";"1662814";"319,5"
"Mammifères de type bovin";"Bovins";"2021";"4482637";"4459715";"5971008";"4454707";"1516301";"5972529";"4456228";"1516301";"5924484";"5926005";"1430201";"1424586";"1662494";"1427414";"235076";"1662756";"1427675";"235076";"1651767";"1652030";"319,1"
"Mammifères de type bovin";"Bovins";"2022";"1066950";"1080886";"910055";"670147";"239908";"946322";"706414";"239908";"899586";"935853";"338203";"342772";"249580";"211732";"37849";"261320";"223472";"37849";"246993";"258732";"317"
"Mammifères de type bovin";"Autres mammifères de type bovin, n.c.a. niv. 1";"2011";"357";"357";"30673";"";"";"30673";"";"";"";"";"80";"80";"5443";"";"";"5443";"";"";"";"";"224,1"
"Mammifères de type bovin";"Autres mammifères de type bovin, n.c.a. niv. 1";"2012";"331";"331";"60570";"";"";"60570";"";"";"";"";"76";"76";"13482";"";"";"13482";"";"";"";"";"229,6"
"Mammifères de type bovin";"Autres mammifères de type bovin, n.c.a. niv. 1";"2013";"360";"360";"71560";"";"";"71560";"";"";"";"";"91";"91";"14597";"";"";"14597";"";"";"";"";"252,8"
"Mammifères de type bovin";"Autres mammifères de type bovin, n.c.a. niv. 1";"2014";"312";"312";"60307";"";"";"60307";"";"";"";"";"70";"70";"12652";"";"";"12652";"";"";"";"";"224,4"
"Mammifères de type bovin";"Autres mammifères de type bovin, n.c.a. niv. 1";"2015";"340";"340";"96321";"";"";"96321";"";"";"";"";"86";"86";"15299";"";"";"15299";"";"";"";"";"252,9"
"Mammifères de type bovin";"Autres mammifères de type bovin, n.c.a. niv. 1";"2016";"375";"375";"100322";"";"";"100322";"";"";"";"";"90";"90";"16411";"";"";"16411";"";"";"";"";"240"
"Mammifères de type bovin";"Autres mammifères de type bovin, n.c.a. niv. 1";"2017";"317";"317";"81206";"";"";"81206";"";"";"";"";"78";"78";"10535";"";"";"10535";"";"";"";"";"246,1"
"Mammifères de type bovin";"Autres mammifères de type bovin, n.c.a. niv. 1";"2018";"304";"304";"25905";"";"";"25905";"";"";"";"";"75";"75";"5145";"";"";"5145";"";"";"";"";"246,7"
"Mammifères de type bovin";"Autres mammifères de type bovin, n.c.a. niv. 1";"2019";"152";"152";"16218";"";"";"16218";"";"";"";"";"37";"37";"3012";"";"";"3012";"";"";"";"";"243,4"
"Mammifères de type bovin";"Autres mammifères de type bovin, n.c.a. niv. 1";"2020";"125";"125";"23405";"";"";"23405";"";"";"";"";"30";"30";"3831";"";"";"3831";"";"";"";"";"240"
"Mammifères de type bovin";"Autres mammifères de type bovin, n.c.a. niv. 1";"2021";"118";"118";"21975";"";"";"21975";"";"";"";"";"34";"34";"3624";"";"";"3624";"";"";"";"";"288,1"
"Mammifères de type bovin";"Autres mammifères de type bovin, n.c.a. niv. 1";"2022";"15";"15";"3858";"";"";"3858";"";"";"";"";"4";"4";"700";"";"";"700";"";"";"";"";"266,7"
"Mammifères de type porcin";"";"2011";"24802057";"24798821";"25193909";"25295954";"117036";"25190674";"25292719";"117036";"25148083";"25144848";"2217965";"2217804";"2269799";"2268539";"51";"2269640";"2268381";"51";"2266367";"2266209";"89,4"
"Mammifères de type porcin";"";"2012";"24122783";"24128429";"24544152";"24610138";"78142";"24549796";"24615782";"78142";"24490582";"24496226";"2172547";"2173053";"2226044";"2223398";"1611";"2226553";"2223904";"1611";"2221846";"2222353";"90,1"
"Mammifères de type porcin";"";"2013";"23728651";"23739617";"24249082";"24253535";"24833";"24260046";"24264499";"24833";"24190966";"24201930";"2150312";"2151390";"2208191";"2203827";"2684";"2209265";"2204900";"2684";"2203557";"2204629";"90,6"
"Mammifères de type porcin";"";"2014";"23659475";"23663197";"24113370";"24224101";"132864";"24117093";"24227824";"132864";"24066797";"24070520";"2157909";"2158528";"2216168";"2214757";"352";"2216785";"2215373";"352";"2212660";"2213280";"91,2"
"Mammifères de type porcin";"";"2015";"23658919";"23669603";"24070010";"24225135";"176348";"24080695";"24235820";"176348";"24029255";"24039940";"2181865";"2182955";"2238781";"2238075";"1146";"2239870";"2239165";"1146";"2235644";"2236734";"92,2"
"Mammifères de type porcin";"";"2016";"23817215";"23840966";"24165207";"24320370";"174942";"24188958";"24344121";"174942";"24130028";"24153779";"2206430";"2208950";"2256725";"2256483";"1729";"2259245";"2259003";"1729";"2253738";"2256255";"92,6"
"Mammifères de type porcin";"";"2017";"23404972";"23408277";"23756181";"23881824";"142175";"23759487";"23885130";"142175";"23712061";"23715367";"2177274";"2177688";"2224265";"2223786";"986";"2224680";"2224202";"986";"2221304";"2221715";"93"
"Mammifères de type porcin";"";"2018";"23492171";"23504027";"23935425";"24071394";"150585";"23947282";"24083251";"150585";"23899823";"23911680";"2181554";"2182747";"2236575";"2236572";"1611";"2237762";"2237760";"1611";"2233991";"2235181";"92,9"
"Mammifères de type porcin";"";"2019";"23543611";"23559272";"24072502";"24172271";"117013";"24088163";"24187932";"117013";"24032737";"24048398";"2200145";"2201965";"2261406";"2260377";"752";"2263226";"2262194";"752";"2258290";"2260112";"93,4"
"Mammifères de type porcin";"";"2020";"23291405";"23299810";"23973361";"24055481";"103853";"23981764";"24063884";"103853";"23914788";"23923191";"2201126";"2201871";"2275304";"2272978";"93";"2276051";"2273723";"93";"2270968";"2271713";"94,5"
"Mammifères de type porcin";"";"2021";"23313051";"23320358";"23726547";"23828156";"122424";"23733852";"23835461";"122424";"23686720";"23694025";"2203840";"2204935";"2253288";"2252301";"918";"2254377";"2253391";"918";"2250175";"2251265";"94,5"
"Mammifères de type porcin";"";"2022";"5891160";"5981729";"3839760";"3847356";"8589";"4044094";"4051690";"8589";"3833005";"4037339";"559878";"568585";"366827";"366625";"56";"386290";"386088";"56";"366391";"385854";"95"
"Mammifères de type porcin";"Porcins";"2011";"24801177";"24797941";"25178918";"25295954";"117036";"25175683";"25292719";"117036";"25148083";"25144848";"2217936";"2217775";"2268591";"2268539";"51";"2268432";"2268381";"51";"2266367";"2266209";"89,4"
"Mammifères de type porcin";"Porcins";"2012";"24122111";"24127757";"24531996";"24610138";"78142";"24537640";"24615782";"78142";"24490582";"24496226";"2172522";"2173028";"2225007";"2223398";"1611";"2225516";"2223904";"1611";"2221846";"2222353";"90,1"
"Mammifères de type porcin";"Porcins";"2013";"23728126";"23739092";"24228702";"24253535";"24833";"24239666";"24264499";"24833";"24190966";"24201930";"2150294";"2151372";"2206512";"2203827";"2684";"2207586";"2204900";"2684";"2203557";"2204629";"90,6"
"Mammifères de type porcin";"Porcins";"2014";"23658933";"23662655";"24091237";"24224101";"132864";"24094960";"24227824";"132864";"24066797";"24070520";"2157890";"2158509";"2214401";"2214757";"352";"2215018";"2215373";"352";"2212660";"2213280";"91,2"
"Mammifères de type porcin";"Porcins";"2015";"23658270";"23668954";"24048787";"24225135";"176348";"24059472";"24235820";"176348";"24029255";"24039940";"2181844";"2182934";"2236930";"2238075";"1146";"2238019";"2239165";"1146";"2235644";"2236734";"92,2"
"Mammifères de type porcin";"Porcins";"2016";"23816497";"23840248";"24145428";"24320370";"174942";"24169179";"24344121";"174942";"24130028";"24153779";"2206405";"2208925";"2254754";"2256483";"1729";"2257274";"2259003";"1729";"2253738";"2256255";"92,6"
"Mammifères de type porcin";"Porcins";"2017";"23404295";"23407600";"23739649";"23881824";"142175";"23742955";"23885130";"142175";"23712061";"23715367";"2177251";"2177665";"2222801";"2223786";"986";"2223216";"2224202";"986";"2221304";"2221715";"93"
"Mammifères de type porcin";"Porcins";"2018";"23491470";"23503326";"23920809";"24071394";"150585";"23932666";"24083251";"150585";"23899823";"23911680";"2181528";"2182721";"2234962";"2236572";"1611";"2236149";"2237760";"1611";"2233991";"2235181";"92,9"
"Mammifères de type porcin";"Porcins";"2019";"23543020";"23558681";"24055658";"24172271";"117013";"24071319";"24187932";"117013";"24032737";"24048398";"2200124";"2201944";"2259654";"2260377";"752";"2261474";"2262194";"752";"2258290";"2260112";"93,5"
"Mammifères de type porcin";"Porcins";"2020";"23291015";"23299420";"23951628";"24055481";"103853";"23960031";"24063884";"103853";"23914788";"23923191";"2201112";"2201857";"2273073";"2272978";"93";"2273820";"2273723";"93";"2270968";"2271713";"94,5"
"Mammifères de type porcin";"Porcins";"2021";"23312755";"23320062";"23705732";"23828156";"122424";"23713037";"23835461";"122424";"23686720";"23694025";"2203830";"2204925";"2251383";"2252301";"918";"2252472";"2253391";"918";"2250175";"2251265";"94,5"
"Mammifères de type porcin";"Porcins";"2022";"5891071";"5981640";"3838767";"3847356";"8589";"4043101";"4051690";"8589";"3833005";"4037339";"559874";"568581";"366570";"366625";"56";"386033";"386088";"56";"366391";"385854";"95"
"Mammifères de type porcin";"Autres mammifères de type porcin, n.c.a. niv. 1";"2011";"880";"880";"14991";"";"";"14991";"";"";"";"";"29";"29";"1208";"";"";"1208";"";"";"";"";"33"
"Mammifères de type porcin";"Autres mammifères de type porcin, n.c.a. niv. 1";"2012";"672";"672";"12156";"";"";"12156";"";"";"";"";"25";"25";"1037";"";"";"1037";"";"";"";"";"37,2"
"Mammifères de type porcin";"Autres mammifères de type porcin, n.c.a. niv. 1";"2013";"525";"525";"20380";"";"";"20380";"";"";"";"";"18";"18";"1679";"";"";"1679";"";"";"";"";"34,3"
"Mammifères de type porcin";"Autres mammifères de type porcin, n.c.a. niv. 1";"2014";"542";"542";"22133";"";"";"22133";"";"";"";"";"19";"19";"1767";"";"";"1767";"";"";"";"";"35,1"
"Mammifères de type porcin";"Autres mammifères de type porcin, n.c.a. niv. 1";"2015";"649";"649";"21223";"";"";"21223";"";"";"";"";"21";"21";"1851";"";"";"1851";"";"";"";"";"32,4"
"Mammifères de type porcin";"Autres mammifères de type porcin, n.c.a. niv. 1";"2016";"718";"718";"19779";"";"";"19779";"";"";"";"";"25";"25";"1971";"";"";"1971";"";"";"";"";"34,8"
"Mammifères de type porcin";"Autres mammifères de type porcin, n.c.a. niv. 1";"2017";"677";"677";"16532";"";"";"16532";"";"";"";"";"23";"23";"1464";"";"";"1464";"";"";"";"";"34"
"Mammifères de type porcin";"Autres mammifères de type porcin, n.c.a. niv. 1";"2018";"701";"701";"14616";"";"";"14616";"";"";"";"";"26";"26";"1613";"";"";"1613";"";"";"";"";"37,1"
"Mammifères de type porcin";"Autres mammifères de type porcin, n.c.a. niv. 1";"2019";"591";"591";"16844";"";"";"16844";"";"";"";"";"21";"21";"1752";"";"";"1752";"";"";"";"";"35,5"
"Mammifères de type porcin";"Autres mammifères de type porcin, n.c.a. niv. 1";"2020";"390";"390";"21733";"";"";"21733";"";"";"";"";"14";"14";"2231";"";"";"2231";"";"";"";"";"35,9"
"Mammifères de type porcin";"Autres mammifères de type porcin, n.c.a. niv. 1";"2021";"296";"296";"20815";"";"";"20815";"";"";"";"";"10";"10";"1905";"";"";"1905";"";"";"";"";"33,8"
