"Data generated on Wednesday, March 23, 2022 at 7:27:10 PM EST",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area/Partners of Origin,,,,,January - December,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
And General  Commodities Imported,,,,,Cumulative To Date Quantities/Values in Thousands of Dollars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2011,2011,2012,2012,2013,2013,2014,2014,2015,2015,2016,2016,2017,2017,2018,2018,2019,2019,2020,2020,2021,2021,Jan - Jan 2021,Jan - Jan 2021,Jan - Jan 2022,Jan - Jan 2022,,,,,
,Partner,,HS Code,Product,UOM,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Period/Period %  Change (Value),Period/Period %  Change (Qty),Reporter Code,Partner Code,Product Code
1,World Total,1,103920010,"SWN,>50KG,IMD,SL",NO,"147,849","912,136.00","126,815","804,930.00","135,491","735,557.00","168,323","763,886.00","141,703","1,055,184.00","110,374","848,779.00","123,821","753,973.00","105,401","695,080.00","111,061","745,274.00","95,165","802,871.00","319,942","1,480,235.00","15,391","108,859.00","16,334","100,394.00",6,-8,US,R00,103920010
1,World Total,2,103910010,"SWN,LV,NES,<7KG",NO,"111,044","3,138,084.00","103,751","3,075,794.00","106,751","2,780,836.00","146,356","2,889,622.00","123,861","3,345,053.00","122,615","3,439,010.00","130,637","3,442,477.00","123,598","3,310,252.00","132,873","3,293,884.00","109,374","3,502,476.00","158,044","3,713,543.00","12,412","286,740.00","14,510","296,578.00",17,3,US,R00,103910010
1,World Total,3,103910030,"SWN,LV,23KG<50KG",NO,"53,167","941,708.00","59,534","1,158,872.00","47,493","790,531.00","48,600","534,396.00","38,555","629,298.00","33,459","626,746.00","36,505","651,837.00","32,302","594,683.00","27,041","441,130.00","16,857","379,044.00","33,399","549,397.00","2,208","45,618.00","2,781","33,605.00",26,-26,US,R00,103910030
1,World Total,4,103910020,"SWN,LV, 7KG<23KG",NO,"30,921","720,955.00","24,144","559,672.00","27,130","578,074.00","44,164","669,567.00","26,762","612,515.00","27,360","672,042.00","30,750","673,124.00","25,685","593,988.00","27,945","576,024.00","20,151","555,022.00","33,222","852,868.00","1,837","54,154.00","3,207","76,346.00",75,41,US,R00,103910020
1,World Total,5,103920020,"SWN,>50KG,BRDNG",NO,"14,770","45,102.00","13,637","39,289.00","13,526","41,718.00","22,999","73,261.00","21,372","83,088.00","15,592","57,348.00","15,808","59,098.00","13,588","38,124.00","10,136","21,494.00","16,524","36,550.00","17,700","38,916.00","1,547","3,626.00","1,881","3,570.00",22,-2,US,R00,103920020
1,World Total,6,103920091,"SWN,>50KG,FEEDER",NO,"4,857","35,677.00","2,346","16,425.00","2,972","19,059.00","2,890","15,825.00","2,196","14,821.00","1,802","12,940.00","2,048","16,545.00","1,693","15,931.00","1,997","14,127.00","1,640","16,883.00","4,906","29,437.00",325,"1,671.00",774,"4,103.00",138,146,US,R00,103920091
1,World Total,7,103100000,"SWINE,LV,PBB ANM",NO,260,939,333,"1,420.00",526,"1,976.00",72,686,88,416,99,172,8,20,575,"2,122.00",512,"3,702.00",442,426,439,"1,533.00",11,7,0,0,,,US,R00,103100000
,Grand Total,,,,NO,"362,867","5,794,601.00","330,559","5,656,402.00","333,890","4,947,751.00","433,403","4,947,243.00","354,538","5,740,375.00","311,302","5,657,037.00","339,578","5,597,074.00","302,842","5,250,180.00","311,564","5,095,635.00","260,152","5,293,272.00","567,651","6,665,929.00","33,732","500,675.00","39,487","514,596.00",17,3,,,
"Notes:<br>
1. Data Source: U.S. Census Bureau Trade Data<br>
2. All zeroes for a data item may show that statistics exist in the other import type. Consumption or General.<br>
3. Users should use cautious interpretation on QUANTITY reports using mixed units of measure. QUANTITY line items will only include statistics on the units of measure that are equal to, or are able to be converted to, the assigned unit of measure of the grouped
 commodities.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Product Group : BICO-HS10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
