Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H3,2009,2009,2009,6,1,1,Import,124,Canada,CAN,0,World,WLD,,,,,,,,010391,"Live swine other than pure-bred breeding animals, weighing < 50kg",5,Number of items,309,,,,112214,,324464,,,4
H3,2009,2009,2009,6,1,2,Export,124,Canada,CAN,0,World,WLD,,,,,,,,010391,"Live swine other than pure-bred breeding animals, weighing < 50kg",5,Number of items,5221664,,,,61166254,,161640074,,,4
H3,2009,2009,2009,6,1,2,Export,132,Cabo Verde,CPV,0,World,WLD,,,,,,,,010391,"Live swine other than pure-bred breeding animals, weighing < 50kg",1,No Quantity,,,,,43,,318,,,0
H3,2009,2009,2009,6,1,3,Re-Export,132,Cabo Verde,CPV,0,World,WLD,,,,,,,,010391,"Live swine other than pure-bred breeding animals, weighing < 50kg",1,No Quantity,,,,,43,,318,,,0
H3,2009,2009,2009,6,1,2,Export,156,China,CHN,0,World,WLD,,,,,,,,010391,"Live swine other than pure-bred breeding animals, weighing < 50kg",1,No Quantity,,,,,1196135,,4464976,,,0
H3,2009,2009,2009,6,1,2,Export,188,Costa Rica,CRI,0,World,WLD,,,,,,,,010391,"Live swine other than pure-bred breeding animals, weighing < 50kg",1,No Quantity,,,,,3615,,35400,,,0
H3,2009,2009,2009,6,1,1,Import,191,Croatia,HRV,0,World,WLD,,,,,,,,010391,"Live swine other than pure-bred breeding animals, weighing < 50kg",5,Number of items,648632,,,,17713702,,55214073,,,0
H3,2009,2009,2009,6,1,2,Export,196,Cyprus,CYP,0,World,WLD,,,,,,,,010391,"Live swine other than pure-bred breeding animals, weighing < 50kg",5,Number of items,1027,,,,17508,,46267,,,4
H3,2009,2009,2009,6,1,1,Import,203,Czechia,CZE,0,World,WLD,,,,,,,,010391,"Live swine other than pure-bred breeding animals, weighing < 50kg",5,Number of items,296088,,,,8570703,,25425396,,,0
H3,2009,2009,2009,6,1,2,Export,203,Czechia,CZE,0,World,WLD,,,,,,,,010391,"Live swine other than pure-bred breeding animals, weighing < 50kg",5,Number of items,10870,,,,323324,,888184,,,0
H3,2009,2009,2009,6,1,1,Import,208,Denmark,DNK,0,World,WLD,,,,,,,,010391,"Live swine other than pure-bred breeding animals, weighing < 50kg",5,Number of items,2311,,,,67089,,186809,,,0
H3,2009,2009,2009,6,1,2,Export,208,Denmark,DNK,0,World,WLD,,,,,,,,010391,"Live swine other than pure-bred breeding animals, weighing < 50kg",5,Number of items,7015595,,,,200059430,,530010578,,,0
H3,2009,2009,2009,6,1,1,Import,251,France,FRA,0,World,WLD,,,,,,,,010391,"Live swine other than pure-bred breeding animals, weighing < 50kg",5,Number of items,197761,,,,3368758,,9740681,,,4
H3,2009,2009,2009,6,1,2,Export,251,France,FRA,0,World,WLD,,,,,,,,010391,"Live swine other than pure-bred breeding animals, weighing < 50kg",5,Number of items,34285,,,,1012039,,2674451,,,4
H3,2009,2009,2009,6,1,1,Import,276,Germany,DEU,0,World,WLD,,,,,,,,010391,"Live swine other than pure-bred breeding animals, weighing < 50kg",5,Number of items,7953084,,,,215028386,,588492828,,,4
H3,2009,2009,2009,6,1,2,Export,276,Germany,DEU,0,World,WLD,,,,,,,,010391,"Live swine other than pure-bred breeding animals, weighing < 50kg",5,Number of items,1565121,,,,40645138,,119234510,,,0
H3,2009,2009,2009,6,1,1,Import,300,Greece,GRC,0,World,WLD,,,,,,,,010391,"Live swine other than pure-bred breeding animals, weighing < 50kg",5,Number of items,24293,,,,79697,,1728371,,,0
H3,2009,2009,2009,6,1,2,Export,300,Greece,GRC,0,World,WLD,,,,,,,,010391,"Live swine other than pure-bred breeding animals, weighing < 50kg",5,Number of items,1703,,,,91881,,152647,,,0
H3,2009,2009,2009,6,1,2,Export,320,Guatemala,GTM,0,World,WLD,,,,,,,,010391,"Live swine other than pure-bred breeding animals, weighing < 50kg",1,No Quantity,,,,,151126,,494494,,,0
H3,2009,2009,2009,6,1,1,Import,340,Honduras,HND,0,World,WLD,,,,,,,,010391,"Live swine other than pure-bred breeding animals, weighing < 50kg",5,Number of items,10485,,,,234643,,872484,,,2
H3,2009,2009,2009,6,1,1,Import,344,"China, Hong Kong SAR",HKG,0,World,WLD,,,,,,,,010391,"Live swine other than pure-bred breeding animals, weighing < 50kg",5,Number of items,28210,,,,1475849,,4267381,,,4
