"","days_growing","ADG_mean","ADG_min","ADG_max","ADG_mean_mort_prrs","ADG_min_mort_prrs","ADG_max_mort_prrs","ADG_mean_mort_prrs_sstd_mth","ADG_min_mort_prrs_sstd_mth","ADG_max_mort_prrs_sstd_mth"
"111","111",2.04212051255127,2.04212051255127,2.04212051255127,2.07252728795071,2.07252728795071,2.07252728795071,2.10109001920317,2.10109001920317,2.10109001920317
"126","126",2.0661137093174,2.0661137093174,2.0661137093174,2.10579998022536,2.10579998022536,2.10579998022536,2.11841552100025,2.11841552100025,2.11841552100025
"140","140",1.86335888027742,1.86335888027742,1.86335888027742,1.9213678973567,1.9213678973567,1.9213678973567,1.92180674335794,1.92180674335794,1.92180674335794
"144","144",1.84132734367613,1.84132734367613,1.84132734367613,1.85049246588307,1.85049246588307,1.85049246588307,1.83486568164576,1.83486568164576,1.83486568164576
"148","148",1.73440912863624,1.73440912863624,1.73440912863624,1.77053986213916,1.77053986213916,1.77053986213916,1.83075046876193,1.83075046876193,1.83075046876193
"149","149",1.73086409935704,1.73086409935704,1.73086409935704,1.75323319079356,1.75323319079356,1.75323319079356,1.78035009508001,1.78035009508001,1.78035009508001
"151","151",1.71379358273913,1.69046534814596,1.72818901372695,1.74448199616459,1.73081525500102,1.77101613254623,1.75942535777822,1.74314067848815,1.78350020814377
"152","152",1.74238329170305,1.74238329170305,1.74238329170305,1.75624562670392,1.75624562670392,1.75624562670392,1.76022996892387,1.76022996892387,1.76022996892387
"153","153",1.64794137715161,1.61074253546765,1.68514021883557,1.66640377254239,1.63460394083841,1.69820360424637,1.6962954556963,1.68514125701068,1.70744965438191
"154","154",1.68877416582638,1.65200633092854,1.72093274452846,1.71205507639817,1.67763642764841,1.74951153370659,1.71261706903076,1.67208326771898,1.74409645678101
"155","155",1.61912827858055,1.5466521586573,1.68883261727158,1.65421730348814,1.60339795116171,1.70957672108878,1.69246595334752,1.64436970229102,1.73846313891676
"156","156",1.71010415761426,1.57627510233927,1.80648972385869,1.73070057831886,1.5999855376201,1.81408320713838,1.73903243012819,1.65866456660044,1.80896984150488
"157","157",1.60639368889027,1.46150836525885,1.73789504943957,1.63903477923636,1.50727510868821,1.75650001501246,1.70113518144029,1.61606728100483,1.75216432955122
"158","158",1.7043049860207,1.63924186402879,1.80834948634357,1.7260530074122,1.6589558775989,1.83917731635746,1.72820821685899,1.64844531169885,1.82653856360032
