"","days_growing","ADG_mean","ADG_min","ADG_max","dailyfeedintake_mean","dailyfeedintake_min","dailyfeedintake_max"
"111","111",2.04949773154959,2.04949773154959,2.04949773154959,4.75303453252951,4.75303453252951,4.75303453252951
"126","126",1.93442180463043,1.93442180463043,1.93442180463043,5.18328872583142,5.18328872583142,5.18328872583142
"140","140",1.80814186555191,1.80814186555191,1.80814186555191,4.63041776423077,4.63041776423077,4.63041776423077
"144","144",1.85067800120335,1.85067800120335,1.85067800120335,4.31420885177641,4.31420885177641,4.31420885177641
"148","148",1.73955664998181,1.73955664998181,1.73955664998181,4.52674192898964,4.52674192898964,4.52674192898964
"149","149",1.74277261718474,1.74277261718474,1.74277261718474,4.40353854408859,4.40353854408859,4.40353854408859
"151","151",1.74126096128767,1.7201063788546,1.76370088505991,4.2477328076671,4.08094870831126,4.42438301238865
"152","152",1.732105836692,1.732105836692,1.732105836692,4.44360530898444,4.44360530898444,4.44360530898444
"153","153",1.68994636811531,1.6563385412863,1.72355419494432,4.18486400938155,4.14517622198401,4.22455179677909
"154","154",1.71941724742263,1.69581310705116,1.74834792925863,4.22361666710841,3.91182258385094,4.44315690123684
"155","155",1.65189727289132,1.58962003839627,1.71413443350376,4.33322090698054,4.13508155125797,4.50154146788329
"156","156",1.69533482668821,1.56847252003472,1.76155843950758,4.38465319801289,3.78527888301266,5.02461576863921
"157","157",1.60467940046236,1.4886192004968,1.69755869961834,4.25636422536829,3.98636397360208,4.46742052085106
"158","158",1.69095669783437,1.64185820316564,1.73523697233593,4.30659620826877,4.03091646172282,4.54963534604751
"159","159",1.63620966825102,1.47506055631927,1.73207272001149,4.29311948131711,3.83451259692353,4.717777059028
"160","160",1.64394850629961,1.58496734918659,1.69528039417621,4.27936804605558,4.06470451050317,4.4632928818418
"161","161",1.63191231947633,1.51213426389731,1.72460544834284,4.21711736473239,3.78665510654035,4.70213061801934
"162","162",1.60409313243469,1.38850275853698,1.69323135023396,4.1251436004691,3.7493804747166,4.5827811919835
"163","163",1.60423119144219,1.45578621962197,1.68624257651152,4.07252495063151,3.71769782687574,4.45794843184967
"164","164",1.61598319787212,1.52637366854485,1.6909306973229,4.12638059637142,3.86875479336711,4.50406593260502
"165","165",1.58510391702033,1.34528789601036,1.65523410614418,4.08252253710085,3.65193379746139,4.53512553521467
"166","166",1.57580206143285,1.27254004434511,1.67297685759081,4.0700491151013,3.38567948000437,4.71779082339294
"167","167",1.56893820345029,1.45069808967031,1.65917191112377,4.0309683409786,3.64552085914342,4.50449463048018
"168","168",1.56566367919331,1.38873024386654,1.67426659394119,4.06532387906682,3.56250880423459,4.80270057224478
"169","169",1.55113054987986,1.39037686958452,1.64081053144175,4.01719083678884,3.66646154858786,4.45450620940935
"170","170",1.55102775138885,1.43186308407498,1.64334713673023,4.03874050645209,3.56056357566995,4.44882227198146
"171","171",1.5284868799134,1.32941853803886,1.64189325737972,4.00225194905031,3.61423843213177,4.56163607974874
"172","172",1.52387364818571,1.24458916988106,1.62857372356902,3.97807095024104,3.54134662845967,4.6848084280401
"173","173",1.51801652921017,1.38644018719667,1.62108474037824,3.93021959773012,3.53331093008199,4.36894879409146
"174","174",1.51349175096145,1.32086828446035,1.61371431797139,3.91701560517122,3.48188337648526,4.44268451509583
"175","175",1.50638595195514,1.33856367013018,1.58788896720689,3.9192931865347,3.56167159896189,4.53930139083272
"176","176",1.48572833150234,1.28370552244092,1.60996973399486,3.87349510459271,3.4578895471695,4.31537044224447
"177","177",1.48665646619255,1.10422016678574,1.58863097336976,3.89502317542178,3.42046614454889,4.42924786375615
"178","178",1.47864382144615,1.22769280723917,1.56785404282747,3.86469677837394,3.41417746714501,4.46424548865595
"179","179",1.45835931632376,1.2364687868684,1.56512550704442,3.79635282010648,3.31797949092087,4.28697626672385
"180","180",1.45282383332631,1.19796453288052,1.56328068212915,3.80945565680909,3.13483249212127,4.28695179083716
"181","181",1.45142323864929,1.32274339703654,1.54800109140409,3.81608930827111,3.30596959468885,4.63027415788468
"182","182",1.43895871149861,1.11304640828413,1.55205436172432,3.78558190568208,3.37179854275832,4.20836029470113
"183","183",1.42916443118577,1.12259826717426,1.53717716943143,3.76046526777455,3.34731386854599,4.28052555601142
"184","184",1.42591664531281,1.23593294356863,1.53048219905193,3.78005659027499,3.39846049116468,4.37718776538821
"185","185",1.42425571154414,1.18778174874836,1.5219432455627,3.77215193688542,3.3220725171952,4.38527324465854
"186","186",1.41377755500875,1.06088899385241,1.49357251465084,3.69777293521112,3.26943609988298,4.0605936285728
"187","187",1.39527190033066,1.21342512316967,1.48999393400399,3.71236449838801,3.24305417463238,4.22159059486944
"188","188",1.39678961721523,1.20104999851351,1.50101282276079,3.69734086193424,3.4007867142449,4.09694687106808
"189","189",1.37659406348469,1.13923586265652,1.50045454521146,3.64055318846568,3.02714837606742,4.00621097847788
"190","190",1.36642822186686,1.10760300509045,1.4726635207045,3.63435831368203,3.18860962390006,4.08015627658478
"191","191",1.37157141576252,1.18939884834535,1.48209545626591,3.67303287051179,3.38901200452417,4.03986133213481
"192","192",1.35494062573208,1.06373526428657,1.4605367290812,3.61525350455883,3.36862354699343,4.02780633765543
"193","193",1.34787303484431,1.15428818723463,1.44613868340304,3.57234995707159,3.17047263510829,4.054208567091
"194","194",1.33500275184353,1.09331350705915,1.43452492305656,3.59876105102609,3.30588781085944,4.16348398574266
"195","195",1.34369869689467,1.21493123858821,1.40937133613903,3.54418203639744,3.18600588442367,3.99659317875389
"196","196",1.32670246499141,1.1054955700406,1.42972580122228,3.52133717643619,3.06464401164012,4.14390041725967
"197","197",1.32757572714113,1.03509094153486,1.41702404777055,3.50806525668933,3.24048617292878,3.96405904711938
"198","198",1.33384180748169,1.17690762154944,1.39260971871039,3.53563567460513,3.26367244869929,3.85199958170099
"199","199",1.31764035167629,1.18171469361537,1.42098269743174,3.52112875216455,3.09637343272694,4.00521164067703
"200","200",1.30500087223416,1.14515673153928,1.39668028608601,3.48337406986319,3.09708094917032,3.83489214033016
"201","201",1.29371280840929,1.10184808249279,1.38685083147014,3.43993420247787,3.12553022666441,3.81191065959135
"202","202",1.28690456919133,1.18759768753366,1.3594901505814,3.376784000948,3.01180994175797,3.89153797895848
"203","203",1.27960489579074,1.12996703929185,1.38394907268137,3.45276050998833,3.11005863154617,3.86938556031013
"204","204",1.28292908345261,1.1565013012177,1.38029335659431,3.448491288334,3.13657493538424,3.75142863029692
"205","205",1.26138467542443,1.08792104227712,1.34904333650767,3.37621114945267,3.03631916034466,4.01013439325184
"206","206",1.29186239878328,1.18554559609937,1.34477060164673,3.41748326059184,3.105760556545,3.89948119521337
"207","207",1.24422109666311,1.13875121477222,1.321624778698,3.33455605193171,2.90892654993737,3.96778073618383
"208","208",1.2446512374928,1.07949926912536,1.32427060699302,3.28015871335796,3.03638534696521,3.56193061443916
"209","209",1.25372811217542,1.13253814402363,1.32882324730252,3.33381552188442,3.11514542347907,3.58175620629855
"210","210",1.21973382591021,1.07202654236614,1.31429654156653,3.29627176819599,2.8414316239467,3.57894416300674
"211","211",1.22049681217233,1.11461075958805,1.29412556053922,3.24949530432411,2.93994297702454,3.54375238076506
"212","212",1.19732739476514,0.958541327751244,1.26269049608989,3.21296551443422,3.03709791847551,3.40744775092613
"213","213",1.18459083534872,0.995313448653586,1.26174277158192,3.16014088347135,2.97251834025695,3.3349925133609
"214","214",1.23081868821627,1.1854580480849,1.27284534174795,3.19923218490741,2.83557998194993,3.3372453891222
"215","215",1.20775171676287,1.12132244109158,1.27640111436637,3.29976798349534,3.02789240196296,3.57603177305417
"216","216",1.20487570234879,1.1737901352131,1.25485143255909,3.21113898846345,3.0625927313426,3.3752263202862
"217","217",1.17325390625138,1.00566555233894,1.29033215250574,3.1853673542975,2.9416172604342,3.47025181422704
"218","218",1.1877141962076,1.08373725840264,1.24910032631765,3.24324149759657,2.83740100482374,3.77320732914059
"219","219",1.17679531648064,1.11510461608851,1.23619657529669,3.29299006951858,3.03066358559209,3.58393546354344
"220","220",1.22130786697085,1.22130786697085,1.22130786697085,3.28889801100775,3.28889801100775,3.28889801100775
"221","221",1.15943504080999,0.896303588521656,1.24282255448121,3.26772323927398,2.98358319042377,3.53230194455
"222","222",1.16395986555685,1.07812929989868,1.21854631593522,3.15543053907757,2.96264628216308,3.41691555965686
"223","223",1.17989502427198,1.1396827291674,1.22010731937656,3.39991677921842,3.26529779277436,3.53453576566249
"224","224",1.15956319286604,1.01888093591416,1.22450391826734,3.17019189750348,2.93147210260123,3.46719489230553
"225","225",1.14513072003605,1.12420457118857,1.16605686888353,3.01493614829806,2.99884933754295,3.03102295905318
"226","226",1.12487268149127,1.01819925057018,1.18641715275772,3.06874905261195,2.96086347655464,3.13137304347744
"227","227",1.11871492385707,1.11871492385707,1.11871492385707,2.77155539989935,2.77155539989935,2.77155539989935
"228","228",1.16339716350981,1.11325999168504,1.20882238359344,3.12995952680424,2.8782839120292,3.2351536862724
"229","229",1.12443578485062,1.0547867207586,1.16022127778683,3.0257666251299,2.88900907346471,3.19782221760278
